,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,MAP Dataset,4359.033898305085,AGAST+SIFT,1659.2203389830509,0.3806394668387879,0.6193605331612121,0.3806394668387879
1,MAP Dataset,4929.762711864407,AGAST+SIFT,1487.7966101694915,0.3017988282861622,0.6982011717138378,0.3017988282861622
2,MAP Dataset,4981.35593220339,AGAST+SIFT,2043.8135593220338,0.41029261653623683,0.5897073834637632,0.41029261653623683
3,MAP Dataset,5339.406779661017,AGAST+SIFT,2186.0508474576272,0.40941830013490993,0.59058169986509,0.40941830013490993
4,MAP Dataset,5790.762711864407,AGAST+SIFT,2373.5254237288136,0.4098813130204446,0.5901186869795554,0.40988131302044456
5,MAP Dataset,5874.169491525424,AGAST+SIFT,2449.830508474576,0.41705138266931346,0.5829486173306865,0.41705138266931346
6,MAP Dataset,5984.779661016949,AGAST+SIFT,2362.186440677966,0.394698982163794,0.6053010178362059,0.394698982163794
7,MAP Dataset,6471.966101694915,AGAST+SIFT,2724.2203389830506,0.420926237278903,0.579073762721097,0.420926237278903
8,MAP Dataset,6183.593220338983,AGAST+SIFT,2380.9491525423728,0.3850429786860802,0.6149570213139198,0.3850429786860802
9,MAP Dataset,7517.389830508475,AGAST+SIFT,1019.728813559322,0.1356493193183714,0.8643506806816287,0.13564931931837135
10,MAP Dataset,7154.9152542372885,AGAST+SIFT,0.11864406779661017,1.6582176529113564e-05,0.9999834178234709,1.6582176529112716e-05
11,MAP Dataset,6439.762711864407,AGAST+SIFT,4392.6949152542375,0.6821206171403305,0.3178793828596695,0.6821206171403305
12,MAP Dataset,6106.423728813559,AGAST+SIFT,2375.7796610169494,0.3890623655555834,0.6109376344444166,0.3890623655555834
13,MAP Dataset,5827.033898305085,AGAST+SIFT,2564.271186440678,0.44006457336494126,0.5599354266350587,0.44006457336494126
14,MAP Dataset,5460.474576271186,AGAST+SIFT,2367.0169491525426,0.43348191005934794,0.566518089940652,0.43348191005934794
15,MAP Dataset,5474.406779661017,AGAST+SIFT,2380.135593220339,0.43477507043561725,0.5652249295643827,0.43477507043561725
16,MAP Dataset,5448.932203389831,AGAST+SIFT,2030.135593220339,0.3725749408218684,0.6274250591781316,0.3725749408218684
17,MAP Dataset,5558.4915254237285,AGAST+SIFT,2337.7118644067796,0.42056587721946265,0.5794341227805373,0.42056587721946265
18,MAP Dataset,5353.322033898305,AGAST+SIFT,2092.64406779661,0.39090569454734275,0.6090943054526573,0.3909056945473428
19,MAP Dataset,5413.203389830508,AGAST+SIFT,1861.3728813559321,0.3438579242843143,0.6561420757156858,0.3438579242843142
20,MAP Dataset,6371.932203389831,AGAST+SIFT,749.9322033898305,0.11769306066861022,0.8823069393313898,0.1176930606686102
21,MAP Dataset,6075.864406779661,AGAST+SIFT,0.13559322033898305,2.231669623628918e-05,0.9999776833037638,2.23166962362456e-05
22,MAP Dataset,6063.457627118644,AGAST+SIFT,4494.474576271186,0.7412395455968513,0.25876045440314865,0.7412395455968513
23,MAP Dataset,4789.71186440678,AGAST+SIFT,1925.542372881356,0.40201632736833537,0.5979836726316646,0.40201632736833537
24,MAP Dataset,5094.254237288135,AGAST+SIFT,1901.2711864406779,0.3732187476086385,0.6267812523913615,0.3732187476086385
25,MAP Dataset,4946.372881355932,AGAST+SIFT,1922.3728813559321,0.3886429364437561,0.611357063556244,0.3886429364437561
26,MAP Dataset,5144.745762711865,AGAST+SIFT,1711.7796610169491,0.33272385847005337,0.6672761415299467,0.3327238584700533
27,MAP Dataset,6144.559322033899,AGAST+SIFT,855.7457627118644,0.13926885849132067,0.8607311415086792,0.13926885849132073
28,MAP Dataset,5562.8983050847455,AGAST+SIFT,0.13559322033898305,2.43745639238173e-05,0.9999756254360762,2.4374563923803766e-05
29,MAP Dataset,5463.220338983051,AGAST+SIFT,2725.1186440677966,0.4988117767505351,0.5011882232494649,0.4988117767505351
30,MAP Dataset,4716.389830508475,AGAST+SIFT,1776.7457627118645,0.3767173254464237,0.6232826745535762,0.3767173254464237
31,MAP Dataset,4371.71186440678,AGAST+SIFT,1587.3559322033898,0.36309710736592343,0.6369028926340765,0.36309710736592343
32,MAP Dataset,4318.813559322034,AGAST+SIFT,1424.6949152542372,0.32988108786939285,0.670118912130607,0.3298810878693929
33,MAP Dataset,5028.745762711865,AGAST+SIFT,1591.4915254237287,0.31647882007172323,0.6835211799282769,0.3164788200717232
34,MAP Dataset,5028.1016949152545,AGAST+SIFT,3592.0,0.7143849146154831,0.2856150853845169,0.7143849146154833
35,MAP Dataset,4681.322033898305,AGAST+SIFT,0.13559322033898305,2.8964728202231736e-05,0.9999710352717979,2.8964728202180826e-05
36,MAP Dataset,4061.2542372881358,AGAST+SIFT,526.6779661016949,0.12968357441551828,0.8703164255844817,0.12968357441551828
37,MAP Dataset,4306.067796610169,AGAST+SIFT,1478.6949152542372,0.3433979642443851,0.6566020357556148,0.3433979642443851
38,MAP Dataset,4228.372881355932,AGAST+SIFT,1480.0169491525423,0.35002044301209745,0.6499795569879026,0.35002044301209745
39,MAP Dataset,4297.576271186441,AGAST+SIFT,1621.864406779661,0.3773904881348178,0.6226095118651821,0.3773904881348178
