,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,MAP Dataset,8.403361344537815,SIFT,0.2689075630252101,0.032,0.9679999999999999,0.03200000000000007
1,MAP Dataset,8.403361344537815,SIFT,0.31932773109243695,0.03799999999999999,0.962,0.03800000000000001
2,MAP Dataset,8.403361344537815,SIFT,0.2689075630252101,0.032,0.9679999999999999,0.03200000000000007
3,MAP Dataset,8.403361344537815,SIFT,0.23529411764705882,0.027999999999999997,0.9720000000000001,0.027999999999999955
4,MAP Dataset,8.403361344537815,SIFT,0.04201680672268908,0.005,0.995,0.005000000000000002
5,MAP Dataset,8.403361344537815,SIFT,0.8571428571428571,0.102,0.898,0.102
6,MAP Dataset,8.403361344537815,SIFT,0.2605042016806723,0.031,0.9689999999999999,0.03100000000000007
7,MAP Dataset,8.403361344537815,SIFT,0.5882352941176471,0.06999999999999999,0.93,0.06999999999999997
8,MAP Dataset,8.411764705882353,SIFT,0.8907563025210085,0.1058941058941059,0.894105894105894,0.10589410589410593
9,MAP Dataset,8.403361344537815,SIFT,1.0672268907563025,0.127,0.873,0.127
10,MAP Dataset,8.403361344537815,SIFT,1.0924369747899159,0.12999999999999998,0.87,0.12999999999999998
11,MAP Dataset,8.403361344537815,SIFT,1.3361344537815125,0.15899999999999997,0.8410000000000001,0.15899999999999995
12,MAP Dataset,8.403361344537815,SIFT,1.0420168067226891,0.124,0.876,0.124
13,MAP Dataset,8.403361344537815,SIFT,0.9411764705882353,0.11199999999999999,0.888,0.11199999999999999
14,MAP Dataset,8.420168067226891,SIFT,1.0588235294117647,0.12574850299401197,0.874251497005988,0.12574850299401197
15,MAP Dataset,8.403361344537815,SIFT,0.9243697478991597,0.11,0.89,0.11
16,MAP Dataset,8.403361344537815,SIFT,0.6890756302521008,0.08199999999999999,0.9179999999999999,0.08200000000000003
17,MAP Dataset,8.403361344537815,SIFT,1.226890756302521,0.146,0.854,0.146
18,MAP Dataset,8.403361344537815,SIFT,1.4285714285714286,0.16999999999999998,0.83,0.17
19,MAP Dataset,8.411764705882353,SIFT,1.504201680672269,0.17882117882117882,0.8211788211788212,0.1788211788211788
20,MAP Dataset,8.420168067226891,SIFT,1.361344537815126,0.16167664670658682,0.8383233532934131,0.16167664670658685
21,MAP Dataset,8.403361344537815,SIFT,1.3781512605042017,0.16399999999999998,0.836,0.164
22,MAP Dataset,8.403361344537815,SIFT,1.0252100840336134,0.12199999999999998,0.878,0.12199999999999998
23,MAP Dataset,8.403361344537815,SIFT,0.7815126050420168,0.093,0.907,0.09299999999999999
24,MAP Dataset,8.403361344537815,SIFT,0.15966386554621848,0.018999999999999996,0.9810000000000001,0.01899999999999995
25,MAP Dataset,8.403361344537815,SIFT,3.3949579831932772,0.40399999999999997,0.596,0.40399999999999997
26,MAP Dataset,8.411764705882353,SIFT,1.5294117647058822,0.1818181818181818,0.8181818181818182,0.1818181818181818
27,MAP Dataset,8.403361344537815,SIFT,1.26890756302521,0.151,0.849,0.151
28,MAP Dataset,8.403361344537815,SIFT,1.5126050420168067,0.18,0.8200000000000001,0.17999999999999994
29,MAP Dataset,8.403361344537815,SIFT,1.680672268907563,0.19999999999999998,0.7999999999999999,0.20000000000000004
30,MAP Dataset,8.403361344537815,SIFT,1.3025210084033614,0.155,0.845,0.155
31,MAP Dataset,8.403361344537815,SIFT,0.9663865546218487,0.11499999999999999,0.885,0.11499999999999999
32,MAP Dataset,8.403361344537815,SIFT,1.2941176470588236,0.154,0.846,0.154
33,MAP Dataset,8.403361344537815,SIFT,1.4705882352941178,0.17500000000000002,0.825,0.17500000000000002
34,MAP Dataset,8.403361344537815,SIFT,1.3529411764705883,0.161,0.839,0.161
35,MAP Dataset,8.403361344537815,SIFT,1.403361344537815,0.16699999999999998,0.833,0.167
36,MAP Dataset,8.403361344537815,SIFT,1.3025210084033614,0.155,0.845,0.155
37,MAP Dataset,8.403361344537815,SIFT,1.5210084033613445,0.181,0.8190000000000001,0.18099999999999994
38,MAP Dataset,8.403361344537815,SIFT,1.73109243697479,0.206,0.794,0.206
39,MAP Dataset,8.403361344537815,SIFT,1.596638655462185,0.19,0.81,0.19
40,MAP Dataset,8.403361344537815,SIFT,0.20168067226890757,0.024,0.9760000000000001,0.023999999999999955
41,MAP Dataset,8.403361344537815,SIFT,3.1092436974789917,0.37,0.6300000000000001,0.37
42,MAP Dataset,8.403361344537815,SIFT,1.7563025210084033,0.209,0.791,0.209
43,MAP Dataset,8.403361344537815,SIFT,1.8571428571428572,0.221,0.7789999999999999,0.22100000000000006
44,MAP Dataset,8.403361344537815,SIFT,1.6470588235294117,0.19599999999999998,0.804,0.19599999999999998
45,MAP Dataset,8.403361344537815,SIFT,1.134453781512605,0.13499999999999998,0.8650000000000001,0.13499999999999993
46,MAP Dataset,8.411764705882353,SIFT,1.3361344537815125,0.15884115884115882,0.8411588411588412,0.15884115884115882
47,MAP Dataset,8.403361344537815,SIFT,1.184873949579832,0.141,0.859,0.141
48,MAP Dataset,8.403361344537815,SIFT,0.9747899159663865,0.11599999999999999,0.884,0.11599999999999999
49,MAP Dataset,8.403361344537815,SIFT,1.3277310924369747,0.15799999999999997,0.8420000000000001,0.15799999999999995
50,MAP Dataset,8.411764705882353,SIFT,1.2016806722689075,0.14285714285714285,0.8571428571428571,0.14285714285714288
51,MAP Dataset,8.411764705882353,SIFT,0.226890756302521,0.026973026973026972,0.9730269730269732,0.026973026973026903
52,MAP Dataset,8.403361344537815,SIFT,3.588235294117647,0.427,0.5730000000000001,0.427
53,MAP Dataset,8.403361344537815,SIFT,1.6218487394957983,0.193,0.807,0.19299999999999998
54,MAP Dataset,8.403361344537815,SIFT,1.4201680672268908,0.169,0.831,0.169
55,MAP Dataset,8.403361344537815,SIFT,1.5798319327731092,0.18799999999999997,0.812,0.18799999999999997
56,MAP Dataset,8.420168067226891,SIFT,1.915966386554622,0.2275449101796407,0.7724550898203593,0.2275449101796407
57,MAP Dataset,8.420168067226891,SIFT,2.0756302521008405,0.24650698602794413,0.7534930139720559,0.2465069860279441
58,MAP Dataset,8.403361344537815,SIFT,0.3697478991596639,0.044,0.956,0.04400000000000002
59,MAP Dataset,8.403361344537815,SIFT,2.4705882352941178,0.294,0.706,0.294
60,MAP Dataset,8.403361344537815,SIFT,0.29411764705882354,0.034999999999999996,0.965,0.03500000000000001
61,MAP Dataset,8.403361344537815,SIFT,0.42016806722689076,0.049999999999999996,0.95,0.05000000000000003
62,MAP Dataset,8.403361344537815,SIFT,0.44537815126050423,0.053,0.947,0.053000000000000026
63,MAP Dataset,8.403361344537815,SIFT,0.5966386554621849,0.071,0.929,0.07099999999999997
64,MAP Dataset,8.403361344537815,SIFT,0.5882352941176471,0.06999999999999999,0.93,0.06999999999999997
65,MAP Dataset,8.403361344537815,SIFT,0.6302521008403361,0.075,0.925,0.07499999999999997
66,MAP Dataset,8.403361344537815,SIFT,0.8991596638655462,0.107,0.893,0.107
67,MAP Dataset,8.403361344537815,SIFT,0.7983193277310925,0.095,0.905,0.095
68,MAP Dataset,8.411764705882353,SIFT,0.5462184873949579,0.06493506493506493,0.935064935064935,0.06493506493506494
69,MAP Dataset,8.403361344537815,SIFT,0.6134453781512605,0.073,0.927,0.07299999999999997
70,MAP Dataset,8.411764705882353,SIFT,0.8907563025210085,0.1058941058941059,0.894105894105894,0.10589410589410593
71,MAP Dataset,8.403361344537815,SIFT,1.504201680672269,0.179,0.8210000000000001,0.17899999999999996
72,MAP Dataset,8.403361344537815,SIFT,1.495798319327731,0.178,0.822,0.178
73,MAP Dataset,8.403361344537815,SIFT,1.3529411764705883,0.161,0.839,0.161
74,MAP Dataset,8.403361344537815,SIFT,1.3529411764705883,0.161,0.839,0.161
75,MAP Dataset,8.403361344537815,SIFT,1.218487394957983,0.145,0.855,0.145
76,MAP Dataset,8.403361344537815,SIFT,0.9159663865546218,0.10899999999999999,0.891,0.10899999999999999
77,MAP Dataset,8.403361344537815,SIFT,1.0756302521008403,0.128,0.872,0.128
78,MAP Dataset,8.411764705882353,SIFT,1.2773109243697478,0.15184815184815184,0.8481518481518482,0.15184815184815184
79,MAP Dataset,8.403361344537815,SIFT,3.0252100840336134,0.36,0.64,0.36
80,MAP Dataset,8.403361344537815,SIFT,0.24369747899159663,0.028999999999999998,0.9710000000000001,0.028999999999999956
81,MAP Dataset,8.411764705882353,SIFT,2.226890756302521,0.2647352647352647,0.7352647352647352,0.2647352647352647
82,MAP Dataset,8.403361344537815,SIFT,2.235294117647059,0.266,0.734,0.266
83,MAP Dataset,8.403361344537815,SIFT,2.042016806722689,0.24299999999999997,0.757,0.24299999999999997
84,MAP Dataset,8.403361344537815,SIFT,1.3025210084033614,0.155,0.845,0.155
85,MAP Dataset,8.403361344537815,SIFT,1.2857142857142858,0.153,0.847,0.153
86,MAP Dataset,8.403361344537815,SIFT,1.1008403361344539,0.131,0.869,0.131
87,MAP Dataset,8.403361344537815,SIFT,1.2521008403361344,0.149,0.851,0.149
88,MAP Dataset,8.403361344537815,SIFT,1.4873949579831933,0.177,0.823,0.17700000000000005
89,MAP Dataset,8.403361344537815,SIFT,1.2857142857142858,0.153,0.847,0.153
90,MAP Dataset,8.403361344537815,SIFT,1.0,0.119,0.881,0.119
91,MAP Dataset,8.403361344537815,SIFT,1.0420168067226891,0.124,0.876,0.124
92,MAP Dataset,8.411764705882353,SIFT,0.7478991596638656,0.08891108891108891,0.9110889110889111,0.08891108891108891
93,MAP Dataset,8.411764705882353,SIFT,0.8571428571428571,0.10189810189810189,0.8981018981018981,0.10189810189810189
94,MAP Dataset,8.403361344537815,SIFT,0.6974789915966386,0.08299999999999999,0.9169999999999999,0.08300000000000003
95,MAP Dataset,8.403361344537815,SIFT,0.7899159663865546,0.09399999999999999,0.906,0.09399999999999999
96,MAP Dataset,8.411764705882353,SIFT,0.6218487394957983,0.07392607392607392,0.9260739260739261,0.07392607392607389
97,MAP Dataset,8.403361344537815,SIFT,0.44537815126050423,0.053,0.947,0.053000000000000026
98,MAP Dataset,8.420168067226891,SIFT,0.23529411764705882,0.027944111776447105,0.972055888223553,0.02794411177644703
99,MAP Dataset,8.403361344537815,SIFT,0.2773109243697479,0.033,0.9669999999999999,0.03300000000000007
100,MAP Dataset,8.403361344537815,SIFT,0.25210084033613445,0.03,0.9699999999999999,0.03000000000000007
101,MAP Dataset,8.403361344537815,SIFT,0.31092436974789917,0.037,0.963,0.03700000000000001
102,MAP Dataset,8.403361344537815,SIFT,0.226890756302521,0.027,0.9730000000000001,0.026999999999999958
103,MAP Dataset,8.403361344537815,SIFT,0.3277310924369748,0.039,0.961,0.039000000000000014
104,MAP Dataset,8.411764705882353,SIFT,0.3949579831932773,0.04695304695304695,0.953046953046953,0.046953046953046994
