,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,MAP Dataset,14.764705882352942,SUPERPOINT,3.403361344537815,0.23050654524758107,0.7694934547524189,0.23050654524758107
1,MAP Dataset,15.361344537815127,SUPERPOINT,4.126050420168068,0.2685995623632385,0.7314004376367614,0.2685995623632385
2,MAP Dataset,17.327731092436974,SUPERPOINT,3.0756302521008405,0.17749757516973813,0.8225024248302619,0.1774975751697381
3,MAP Dataset,17.369747899159663,SUPERPOINT,3.3529411764705883,0.19303338171262702,0.8069666182873729,0.19303338171262704
4,MAP Dataset,11.344537815126051,SUPERPOINT,0.04201680672268908,0.003703703703703704,0.9962962962962963,0.0037037037037036787
5,MAP Dataset,10.159663865546218,SUPERPOINT,3.411764705882353,0.3358147229114971,0.6641852770885028,0.3358147229114971
6,MAP Dataset,8.394957983193278,SUPERPOINT,2.142857142857143,0.2552552552552552,0.7447447447447448,0.2552552552552552
7,MAP Dataset,7.5210084033613445,SUPERPOINT,2.0840336134453783,0.27709497206703915,0.722905027932961,0.2770949720670391
8,MAP Dataset,6.705882352941177,SUPERPOINT,1.546218487394958,0.2305764411027569,0.7694235588972431,0.2305764411027569
9,MAP Dataset,6.243697478991597,SUPERPOINT,1.7647058823529411,0.2826379542395693,0.7173620457604307,0.2826379542395693
10,MAP Dataset,5.638655462184874,SUPERPOINT,1.4621848739495797,0.25931445603576747,0.7406855439642325,0.25931445603576747
11,MAP Dataset,5.226890756302521,SUPERPOINT,1.403361344537815,0.2684887459807074,0.7315112540192926,0.2684887459807074
12,MAP Dataset,5.084033613445378,SUPERPOINT,1.1932773109243697,0.2347107438016529,0.7652892561983471,0.2347107438016529
13,MAP Dataset,5.159663865546219,SUPERPOINT,1.4873949579831933,0.28827361563517917,0.7117263843648208,0.28827361563517917
14,MAP Dataset,5.3277310924369745,SUPERPOINT,1.4873949579831933,0.2791798107255521,0.7208201892744479,0.2791798107255521
15,MAP Dataset,4.9411764705882355,SUPERPOINT,1.26890756302521,0.2568027210884353,0.7431972789115646,0.2568027210884353
16,MAP Dataset,4.840336134453781,SUPERPOINT,1.1932773109243697,0.2465277777777778,0.7534722222222222,0.2465277777777778
17,MAP Dataset,5.369747899159663,SUPERPOINT,1.504201680672269,0.2801251956181534,0.7198748043818466,0.2801251956181534
18,MAP Dataset,5.621848739495798,SUPERPOINT,1.546218487394958,0.27503736920777283,0.7249626307922272,0.27503736920777283
19,MAP Dataset,5.243697478991597,SUPERPOINT,1.9915966386554622,0.3798076923076923,0.6201923076923077,0.3798076923076923
20,MAP Dataset,4.890756302521009,SUPERPOINT,1.5714285714285714,0.3213058419243986,0.6786941580756014,0.3213058419243986
21,MAP Dataset,4.873949579831932,SUPERPOINT,1.5294117647058822,0.3137931034482759,0.6862068965517242,0.3137931034482759
22,MAP Dataset,5.2100840336134455,SUPERPOINT,1.7563025210084033,0.3370967741935484,0.6629032258064517,0.3370967741935484
23,MAP Dataset,4.815126050420168,SUPERPOINT,1.4369747899159664,0.2984293193717278,0.7015706806282722,0.2984293193717278
24,MAP Dataset,4.218487394957983,SUPERPOINT,0.04201680672268908,0.0099601593625498,0.9900398406374502,0.009960159362549797
25,MAP Dataset,3.8823529411764706,SUPERPOINT,1.9915966386554622,0.512987012987013,0.487012987012987,0.512987012987013
26,MAP Dataset,4.2521008403361344,SUPERPOINT,1.6470588235294117,0.38735177865612647,0.6126482213438735,0.38735177865612647
27,MAP Dataset,4.53781512605042,SUPERPOINT,1.9327731092436975,0.42592592592592593,0.574074074074074,0.425925925925926
28,MAP Dataset,4.563025210084033,SUPERPOINT,1.7058823529411764,0.3738489871086556,0.6261510128913443,0.3738489871086556
