,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,MAP Dataset,24.369747899159663,SUPERPOINT,5.260504201680672,0.21586206896551724,0.7841379310344828,0.2158620689655172
1,MAP Dataset,25.991596638655462,SUPERPOINT,6.302521008403361,0.24248302618816683,0.7575169738118332,0.24248302618816678
2,MAP Dataset,27.672268907563026,SUPERPOINT,6.352941176470588,0.2295778924992408,0.7704221075007592,0.2295778924992408
3,MAP Dataset,28.016806722689076,SUPERPOINT,5.067226890756302,0.18086382723455308,0.8191361727654469,0.1808638272345531
4,MAP Dataset,19.386554621848738,SUPERPOINT,0.04201680672268908,0.0021673168617251846,0.9978326831382748,0.0021673168617252028
5,MAP Dataset,17.89075630252101,SUPERPOINT,6.016806722689076,0.33630812588069514,0.6636918741193049,0.33630812588069514
6,MAP Dataset,15.3109243697479,SUPERPOINT,4.016806722689076,0.26234906695938526,0.7376509330406147,0.26234906695938526
7,MAP Dataset,14.058823529411764,SUPERPOINT,3.899159663865546,0.27734608487746565,0.7226539151225343,0.27734608487746565
8,MAP Dataset,13.109243697478991,SUPERPOINT,4.0,0.30512820512820515,0.6948717948717948,0.30512820512820515
9,MAP Dataset,12.050420168067227,SUPERPOINT,3.53781512605042,0.29358437935843795,0.706415620641562,0.29358437935843795
10,MAP Dataset,11.15126050420168,SUPERPOINT,3.4453781512605044,0.30896759608138663,0.6910324039186134,0.30896759608138663
11,MAP Dataset,10.436974789915967,SUPERPOINT,3.0504201680672267,0.29227053140096615,0.7077294685990339,0.29227053140096615
12,MAP Dataset,10.126050420168067,SUPERPOINT,2.4873949579831933,0.24564315352697097,0.754356846473029,0.24564315352697097
13,MAP Dataset,9.84873949579832,SUPERPOINT,3.0756302521008405,0.3122866894197952,0.6877133105802048,0.3122866894197952
14,MAP Dataset,9.873949579831933,SUPERPOINT,3.0756302521008405,0.31148936170212765,0.6885106382978724,0.31148936170212765
15,MAP Dataset,9.193277310924369,SUPERPOINT,2.7815126050420167,0.30255941499085925,0.6974405850091407,0.30255941499085925
16,MAP Dataset,9.319327731092438,SUPERPOINT,2.4705882352941178,0.2651036970243463,0.7348963029756538,0.2651036970243463
17,MAP Dataset,9.61344537815126,SUPERPOINT,2.9243697478991595,0.30419580419580416,0.6958041958041957,0.3041958041958042
18,MAP Dataset,10.277310924369749,SUPERPOINT,3.142857142857143,0.30580539656582173,0.6941946034341783,0.30580539656582173
19,MAP Dataset,10.07563025210084,SUPERPOINT,3.630252100840336,0.3603002502085071,0.6396997497914929,0.3603002502085071
20,MAP Dataset,9.428571428571429,SUPERPOINT,3.8151260504201683,0.40463458110516937,0.5953654188948306,0.40463458110516937
21,MAP Dataset,9.15126050420168,SUPERPOINT,3.3445378151260505,0.36547291092745643,0.6345270890725435,0.36547291092745643
22,MAP Dataset,9.512605042016807,SUPERPOINT,2.689075630252101,0.2826855123674912,0.7173144876325088,0.2826855123674912
23,MAP Dataset,8.983193277310924,SUPERPOINT,2.697478991596639,0.30028063610851263,0.6997193638914874,0.30028063610851263
