,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,MAP Dataset,2889.0338983050847,SURF,340.2881355932203,0.11778613459428698,0.882213865405713,0.11778613459428698
1,MAP Dataset,2967.2203389830506,SURF,347.1525423728813,0.11699587584111135,0.8830041241588886,0.11699587584111136
2,MAP Dataset,2938.508474576271,SURF,362.49152542372883,0.12335901991094296,0.876640980089057,0.12335901991094299
3,MAP Dataset,2963.6949152542375,SURF,345.79661016949154,0.11667753262647405,0.8833224673735259,0.11667753262647405
4,MAP Dataset,3028.762711864407,SURF,357.33898305084745,0.11798183517350598,0.882018164826494,0.11798183517350602
5,MAP Dataset,3015.64406779661,SURF,313.0,0.10379208983661471,0.8962079101633853,0.10379208983661471
6,MAP Dataset,3024.0338983050847,SURF,341.864406779661,0.11304913181405464,0.8869508681859454,0.11304913181405464
7,MAP Dataset,3111.0,SURF,311.5762711864407,0.10015309263466432,0.8998469073653357,0.10015309263466432
8,MAP Dataset,3075.728813559322,SURF,269.728813559322,0.08769590230784491,0.912304097692155,0.08769590230784494
9,MAP Dataset,3349.406779661017,SURF,3.2542372881355934,0.0009715861650178378,0.9990284138349821,0.0009715861650178751
10,MAP Dataset,3241.5254237288136,SURF,0.11864406779661017,3.6601307189542484e-05,0.9999633986928105,3.6601307189531764e-05
11,MAP Dataset,3096.7118644067796,SURF,670.3898305084746,0.21648440664236535,0.7835155933576347,0.21648440664236535
12,MAP Dataset,3037.271186440678,SURF,264.3728813559322,0.08704289644473462,0.9129571035552653,0.08704289644473467
13,MAP Dataset,2999.186440677966,SURF,307.6271186440678,0.1025701885257019,0.8974298114742981,0.10257018852570189
14,MAP Dataset,2946.5423728813557,SURF,348.91525423728814,0.11841514903995491,0.8815848509600451,0.11841514903995488
15,MAP Dataset,2968.169491525424,SURF,323.1525423728813,0.10887267162321124,0.8911273283767888,0.10887267162321124
16,MAP Dataset,2963.0338983050847,SURF,274.47457627118644,0.09263295179585743,0.9073670482041426,0.09263295179585743
17,MAP Dataset,2986.1525423728813,SURF,289.1186440677966,0.0968197839746173,0.9031802160253827,0.09681978397461731
18,MAP Dataset,2972.5593220338983,SURF,256.2881355932203,0.08621800537116335,0.9137819946288366,0.08621800537116338
