,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,MAP Dataset,823.7088607594936,SURF+SIFT,126.92405063291139,0.15408848523965393,0.845911514760346,0.154088485239654
1,MAP Dataset,825.7848101265823,SURF+SIFT,126.18987341772151,0.1528120545089443,0.8471879454910557,0.1528120545089443
2,MAP Dataset,802.7848101265823,SURF+SIFT,111.0506329113924,0.13833175654367705,0.8616682434563229,0.1383317565436771
3,MAP Dataset,847.367088607595,SURF+SIFT,100.78481012658227,0.11893878282692479,0.8810612171730753,0.11893878282692476
4,MAP Dataset,878.9493670886076,SURF+SIFT,4.531645569620253,0.005155752696689085,0.9948442473033109,0.0051557526966890975
5,MAP Dataset,881.6835443037975,SURF+SIFT,327.7974683544304,0.37178585272709,0.6282141472729099,0.37178585272709
6,MAP Dataset,843.3417721518987,SURF+SIFT,156.81012658227849,0.1859390009606148,0.8140609990393852,0.1859390009606148
7,MAP Dataset,852.3291139240506,SURF+SIFT,126.72151898734177,0.1486767457747943,0.8513232542252057,0.1486767457747943
8,MAP Dataset,874.873417721519,SURF+SIFT,145.39240506329114,0.16618679013238805,0.833813209867612,0.16618679013238805
9,MAP Dataset,866.0253164556962,SURF+SIFT,152.9873417721519,0.17665458372310572,0.8233454162768943,0.17665458372310572
10,MAP Dataset,860.873417721519,SURF+SIFT,148.72151898734177,0.17275654692761253,0.8272434530723874,0.17275654692761253
11,MAP Dataset,898.3291139240506,SURF+SIFT,150.67088607594937,0.16772348100552362,0.8322765189944763,0.16772348100552367
12,MAP Dataset,896.367088607595,SURF+SIFT,164.7594936708861,0.18380805784248655,0.8161919421575135,0.18380805784248655
13,MAP Dataset,913.8101265822785,SURF+SIFT,152.39240506329114,0.16676594035267553,0.8332340596473244,0.16676594035267553
14,MAP Dataset,936.8101265822785,SURF+SIFT,150.30379746835442,0.16044211436601447,0.8395578856339855,0.1604421143660145
15,MAP Dataset,944.1139240506329,SURF+SIFT,134.62025316455697,0.1425889924247503,0.8574110075752497,0.1425889924247503
16,MAP Dataset,951.4430379746835,SURF+SIFT,133.65822784810126,0.1404794848597733,0.8595205151402266,0.14047948485977332
17,MAP Dataset,986.3164556962025,SURF+SIFT,120.35443037974683,0.12202415328738818,0.8779758467126118,0.1220241532873882
18,MAP Dataset,980.2784810126582,SURF+SIFT,114.31645569620254,0.11661630639704554,0.8833836936029544,0.11661630639704555
19,MAP Dataset,1058.9746835443038,SURF+SIFT,107.16455696202532,0.10119652398426947,0.8988034760157305,0.10119652398426947
20,MAP Dataset,1013.0,SURF+SIFT,2.5063291139240507,0.0024741649693228534,0.9975258350306772,0.002474164969322849
21,MAP Dataset,972.0632911392405,SURF+SIFT,268.0506329113924,0.275754300522183,0.7242456994778169,0.275754300522183
22,MAP Dataset,948.6835443037975,SURF+SIFT,148.37974683544303,0.15640594561417553,0.8435940543858245,0.15640594561417553
23,MAP Dataset,933.1518987341772,SURF+SIFT,167.34177215189874,0.17932961651677318,0.8206703834832267,0.17932961651677323
24,MAP Dataset,911.9873417721519,SURF+SIFT,159.45569620253164,0.17484419892570127,0.8251558010742988,0.17484419892570127
25,MAP Dataset,912.632911392405,SURF+SIFT,187.84810126582278,0.2058309523149047,0.7941690476850952,0.20583095231490472
26,MAP Dataset,920.4303797468355,SURF+SIFT,183.43037974683546,0.1992876199906483,0.8007123800093517,0.19928761999064828
27,MAP Dataset,934.2405063291139,SURF+SIFT,163.45569620253164,0.17496104599959353,0.8250389540004065,0.17496104599959353
28,MAP Dataset,921.620253164557,SURF+SIFT,145.20253164556962,0.15755136798154049,0.8424486320184595,0.15755136798154049
29,MAP Dataset,922.0126582278481,SURF+SIFT,153.27848101265823,0.16624335864028886,0.8337566413597112,0.16624335864028886
30,MAP Dataset,990.6708860759494,SURF+SIFT,121.0126582278481,0.12215223030039737,0.8778477696996027,0.12215223030039736
31,MAP Dataset,959.253164556962,SURF+SIFT,10.556962025316455,0.01100539713120703,0.9889946028687929,0.01100539713120705
32,MAP Dataset,957.620253164557,SURF+SIFT,398.5822784810127,0.41622164648654364,0.5837783535134563,0.41622164648654364
