,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,MAP Dataset,308.4646464646465,SURF+SIFT,44.03030303030303,0.14274019254699064,0.8572598074530092,0.1427401925469907
1,MAP Dataset,309.2020202020202,SURF+SIFT,38.18181818181818,0.12348502172421677,0.8765149782757832,0.1234850217242168
2,MAP Dataset,302.73737373737373,SURF+SIFT,39.515151515151516,0.1305261753027927,0.8694738246972074,0.13052617530279267
3,MAP Dataset,296.19191919191917,SURF+SIFT,48.19191919191919,0.16270504382225556,0.8372949561777444,0.16270504382225556
4,MAP Dataset,284.8484848484849,SURF+SIFT,50.464646464646464,0.17716312056737588,0.8228368794326241,0.1771631205673759
5,MAP Dataset,276.3838383838384,SURF+SIFT,50.35353535353536,0.182186974636357,0.817813025363643,0.182186974636357
6,MAP Dataset,265.42424242424244,SURF+SIFT,45.666666666666664,0.1720516040643909,0.8279483959356091,0.1720516040643909
7,MAP Dataset,262.80808080808083,SURF+SIFT,42.111111111111114,0.16023522176954416,0.8397647782304558,0.16023522176954416
8,MAP Dataset,255.8080808080808,SURF+SIFT,45.85858585858586,0.1792694965449161,0.8207305034550839,0.1792694965449161
9,MAP Dataset,259.55555555555554,SURF+SIFT,45.97979797979798,0.17714819427148196,0.822851805728518,0.17714819427148193
10,MAP Dataset,257.34343434343435,SURF+SIFT,43.535353535353536,0.16917219452839816,0.8308278054716018,0.16917219452839816
11,MAP Dataset,255.78787878787878,SURF+SIFT,44.41414141414141,0.1736366149350393,0.8263633850649607,0.17363661493503932
12,MAP Dataset,247.40404040404042,SURF+SIFT,36.45454545454545,0.14734822194096273,0.8526517780590374,0.14734822194096267
13,MAP Dataset,261.3939393939394,SURF+SIFT,33.22222222222222,0.1270963752994822,0.8729036247005177,0.12709637529948223
14,MAP Dataset,266.5353535353535,SURF+SIFT,2.01010101010101,0.007541592450828059,0.992458407549172,0.007541592450828015
15,MAP Dataset,267.77777777777777,SURF+SIFT,105.34343434343434,0.3933987174651075,0.6066012825348924,0.3933987174651075
16,MAP Dataset,258.62626262626264,SURF+SIFT,53.464646464646464,0.20672551163880643,0.7932744883611935,0.20672551163880645
17,MAP Dataset,257.95959595959596,SURF+SIFT,46.94949494949495,0.18200328921607017,0.8179967107839299,0.18200328921607015
18,MAP Dataset,266.09090909090907,SURF+SIFT,51.111111111111114,0.19208138784496834,0.8079186121550317,0.19208138784496834
19,MAP Dataset,263.34343434343435,SURF+SIFT,44.25252525252525,0.16804111848413947,0.8319588815158605,0.16804111848413947
20,MAP Dataset,267.4949494949495,SURF+SIFT,52.94949494949495,0.1979457744883317,0.8020542255116683,0.19794577448833167
21,MAP Dataset,280.85858585858585,SURF+SIFT,51.17171717171717,0.1821974465024276,0.8178025534975724,0.1821974465024276
22,MAP Dataset,284.1010101010101,SURF+SIFT,51.676767676767675,0.18189575481760648,0.8181042451823936,0.1818957548176065
23,MAP Dataset,290.2929292929293,SURF+SIFT,57.22222222222222,0.19711889766519364,0.8028811023348064,0.19711889766519364
24,MAP Dataset,298.1818181818182,SURF+SIFT,53.04040404040404,0.17787940379403794,0.822120596205962,0.17787940379403797
25,MAP Dataset,298.47474747474746,SURF+SIFT,48.35353535353536,0.1620020982097533,0.8379979017902467,0.1620020982097533
26,MAP Dataset,304.19191919191917,SURF+SIFT,43.686868686868685,0.14361613813714097,0.856383861862859,0.143616138137141
27,MAP Dataset,314.7979797979798,SURF+SIFT,50.888888888888886,0.16165570351355688,0.838344296486443,0.16165570351355693
28,MAP Dataset,314.3939393939394,SURF+SIFT,45.24242424242424,0.14390361445783134,0.8560963855421686,0.14390361445783137
29,MAP Dataset,337.95959595959596,SURF+SIFT,40.27272727272727,0.11916432542291829,0.8808356745770818,0.11916432542291826
30,MAP Dataset,329.37373737373736,SURF+SIFT,1.7373737373737375,0.0052747791952895,0.9947252208047105,0.005274779195289507
