,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,MAP Dataset,4097.0,FAST+SIFT,1641.949152542373,0.40076864841161164,0.5992313515883884,0.40076864841161164
1,MAP Dataset,4602.016949152542,FAST+SIFT,1796.8305084745762,0.3904441309816256,0.6095558690183744,0.39044413098162567
2,MAP Dataset,4665.3050847457625,FAST+SIFT,2156.7796610169494,0.4623019549287384,0.5376980450712616,0.4623019549287384
3,MAP Dataset,5005.28813559322,FAST+SIFT,1850.4915254237287,0.3697072926261039,0.6302927073738962,0.36970729262610386
4,MAP Dataset,5414.135593220339,FAST+SIFT,2033.1694915254238,0.3755298434105324,0.6244701565894676,0.3755298434105324
5,MAP Dataset,5502.0847457627115,FAST+SIFT,2112.2033898305085,0.3838914679489747,0.6161085320510253,0.38389146794897466
6,MAP Dataset,5611.796610169492,FAST+SIFT,2303.4745762711864,0.41047007514436895,0.589529924855631,0.41047007514436895
7,MAP Dataset,6053.796610169492,FAST+SIFT,2472.1525423728813,0.4083639906600144,0.5916360093399856,0.4083639906600144
8,MAP Dataset,5796.966101694915,FAST+SIFT,2312.508474576271,0.3989170255627578,0.6010829744372421,0.3989170255627578
9,MAP Dataset,6973.64406779661,FAST+SIFT,1442.9661016949153,0.20691708490806793,0.7930829150919322,0.20691708490806787
10,MAP Dataset,6641.983050847458,FAST+SIFT,0.15254237288135594,2.296638996419795e-05,0.9999770336100358,2.2966389964219336e-05
11,MAP Dataset,6022.067796610169,FAST+SIFT,4291.949152542373,0.7127035592256729,0.2872964407743272,0.7127035592256729
12,MAP Dataset,5717.881355932203,FAST+SIFT,2545.5423728813557,0.4451897852410665,0.5548102147589336,0.4451897852410665
13,MAP Dataset,5458.5084745762715,FAST+SIFT,2679.237288135593,0.4908368834846546,0.5091631165153454,0.4908368834846546
14,MAP Dataset,5132.271186440678,FAST+SIFT,2313.8813559322034,0.4508493943276839,0.5491506056723161,0.4508493943276839
15,MAP Dataset,5140.779661016949,FAST+SIFT,2139.508474576271,0.4161836561096714,0.5838163438903285,0.4161836561096714
16,MAP Dataset,5120.203389830508,FAST+SIFT,2050.7457627118642,0.400520371277624,0.5994796287223759,0.4005203712776241
17,MAP Dataset,5214.4915254237285,FAST+SIFT,2033.5593220338983,0.38998228535209895,0.610017714647901,0.38998228535209895
18,MAP Dataset,5033.64406779661,FAST+SIFT,2216.830508474576,0.44040271394178154,0.5595972860582185,0.44040271394178154
19,MAP Dataset,5061.3050847457625,FAST+SIFT,1754.9830508474577,0.3467451618628544,0.6532548381371455,0.3467451618628545
20,MAP Dataset,5893.322033898305,FAST+SIFT,1005.6101694915254,0.17063553691912134,0.8293644630808787,0.17063553691912128
21,MAP Dataset,5587.135593220339,FAST+SIFT,0.13559322033898305,2.4268825783200513e-05,0.9999757311742169,2.4268825783151517e-05
22,MAP Dataset,5570.016949152542,FAST+SIFT,4354.35593220339,0.7817491350481239,0.2182508649518761,0.7817491350481239
23,MAP Dataset,4475.135593220339,FAST+SIFT,2273.0508474576272,0.5079289331257836,0.4920710668742164,0.5079289331257836
24,MAP Dataset,4748.610169491525,FAST+SIFT,2067.830508474576,0.43546015247994063,0.5645398475200594,0.43546015247994063
25,MAP Dataset,4631.169491525424,FAST+SIFT,2143.6610169491523,0.46287682212275694,0.5371231778772431,0.46287682212275694
26,MAP Dataset,4825.271186440678,FAST+SIFT,1989.3728813559321,0.4122820882992437,0.5877179117007564,0.4122820882992437
27,MAP Dataset,5714.762711864407,FAST+SIFT,1008.5593220338983,0.1764831494998087,0.8235168505001914,0.17648314949980864
28,MAP Dataset,5140.169491525424,FAST+SIFT,0.13559322033898305,2.6379134104923004e-05,0.9999736208658951,2.6379134104891074e-05
