,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,MAP Dataset,30.630252100840337,SUPERPOINT,6.100840336134453,0.19917695473251026,0.8008230452674897,0.19917695473251026
1,MAP Dataset,33.99159663865546,SUPERPOINT,6.38655462184874,0.18788627935723118,0.8121137206427689,0.18788627935723112
2,MAP Dataset,38.18487394957983,SUPERPOINT,6.378151260504202,0.16703345070422537,0.8329665492957746,0.16703345070422537
3,MAP Dataset,41.90756302521008,SUPERPOINT,6.151260504201681,0.14678163224383398,0.853218367756166,0.14678163224383398
4,MAP Dataset,25.45378151260504,SUPERPOINT,0.04201680672268908,0.0016507098052162433,0.9983492901947838,0.0016507098052162214
5,MAP Dataset,21.630252100840337,SUPERPOINT,7.3277310924369745,0.33877233877233875,0.6612276612276613,0.33877233877233875
6,MAP Dataset,18.30252100840336,SUPERPOINT,4.647058823529412,0.2539026629935721,0.7460973370064279,0.2539026629935721
7,MAP Dataset,17.42016806722689,SUPERPOINT,3.596638655462185,0.20646406174626147,0.7935359382537386,0.20646406174626145
8,MAP Dataset,16.10924369747899,SUPERPOINT,4.907563025210084,0.30464267083985397,0.695357329160146,0.30464267083985397
9,MAP Dataset,14.857142857142858,SUPERPOINT,5.067226890756302,0.34106334841628955,0.6589366515837104,0.34106334841628955
10,MAP Dataset,13.302521008403362,SUPERPOINT,4.46218487394958,0.33543903979785217,0.6645609602021478,0.33543903979785217
11,MAP Dataset,13.184873949579831,SUPERPOINT,3.7815126050420167,0.28680688336520077,0.7131931166347991,0.2868068833652008
12,MAP Dataset,13.840336134453782,SUPERPOINT,2.722689075630252,0.19672131147540983,0.8032786885245901,0.19672131147540992
13,MAP Dataset,13.907563025210084,SUPERPOINT,3.8907563025210083,0.2797583081570997,0.7202416918429003,0.2797583081570997
14,MAP Dataset,13.302521008403362,SUPERPOINT,3.3445378151260505,0.2514213518635502,0.7485786481364497,0.25142135186355025
15,MAP Dataset,14.344537815126051,SUPERPOINT,3.2100840336134455,0.22378441710603397,0.776215582893966,0.223784417106034
16,MAP Dataset,14.042016806722689,SUPERPOINT,3.6470588235294117,0.2597247157390784,0.7402752842609216,0.2597247157390784
17,MAP Dataset,14.890756302521009,SUPERPOINT,3.9747899159663866,0.26693002257336346,0.7330699774266366,0.26693002257336346
18,MAP Dataset,15.966386554621849,SUPERPOINT,4.647058823529412,0.2910526315789474,0.7089473684210525,0.2910526315789474
19,MAP Dataset,15.016806722689076,SUPERPOINT,5.630252100840337,0.37493005036373817,0.6250699496362618,0.3749300503637381
20,MAP Dataset,14.470588235294118,SUPERPOINT,5.151260504201681,0.35598141695702673,0.6440185830429732,0.35598141695702673
21,MAP Dataset,14.369747899159664,SUPERPOINT,5.1344537815126055,0.35730994152046786,0.6426900584795321,0.35730994152046786
22,MAP Dataset,15.025210084033613,SUPERPOINT,4.899159663865547,0.3260626398210291,0.6739373601789709,0.3260626398210291
23,MAP Dataset,15.327731092436975,SUPERPOINT,4.07563025210084,0.2658991228070175,0.7341008771929824,0.2658991228070175
24,MAP Dataset,14.084033613445378,SUPERPOINT,0.058823529411764705,0.004176610978520286,0.9958233890214797,0.004176610978520288
25,MAP Dataset,13.731092436974789,SUPERPOINT,7.689075630252101,0.5599755201958385,0.44002447980416154,0.5599755201958385
26,MAP Dataset,13.932773109243698,SUPERPOINT,4.739495798319328,0.3401688781664656,0.6598311218335343,0.3401688781664656
27,MAP Dataset,14.974789915966387,SUPERPOINT,5.773109243697479,0.3855218855218855,0.6144781144781144,0.38552188552188554
28,MAP Dataset,15.436974789915967,SUPERPOINT,5.53781512605042,0.3587370713119216,0.6412629286880784,0.3587370713119216
29,MAP Dataset,14.336134453781513,SUPERPOINT,4.042016806722689,0.2819460726846424,0.7180539273153576,0.2819460726846424
30,MAP Dataset,13.252100840336135,SUPERPOINT,4.470588235294118,0.3373493975903614,0.6626506024096386,0.3373493975903614
31,MAP Dataset,13.22689075630252,SUPERPOINT,2.9747899159663866,0.22490470139771285,0.7750952986022871,0.22490470139771288
32,MAP Dataset,12.352941176470589,SUPERPOINT,3.991596638655462,0.32312925170068024,0.6768707482993197,0.32312925170068024
33,MAP Dataset,11.731092436974789,SUPERPOINT,2.966386554621849,0.25286532951289403,0.747134670487106,0.25286532951289403
34,MAP Dataset,10.873949579831933,SUPERPOINT,2.80672268907563,0.25811437403400306,0.7418856259659968,0.2581143740340031
35,MAP Dataset,10.77310924369748,SUPERPOINT,2.6218487394957983,0.24336973478939156,0.7566302652106085,0.24336973478939153
36,MAP Dataset,10.672268907563025,SUPERPOINT,3.4453781512605044,0.3228346456692914,0.6771653543307087,0.3228346456692914
37,MAP Dataset,11.008403361344538,SUPERPOINT,3.361344537815126,0.3053435114503817,0.6946564885496183,0.3053435114503817
38,MAP Dataset,11.428571428571429,SUPERPOINT,3.1092436974789917,0.27205882352941174,0.7279411764705883,0.27205882352941174
39,MAP Dataset,10.873949579831933,SUPERPOINT,2.226890756302521,0.20479134466769705,0.795208655332303,0.20479134466769702
40,MAP Dataset,12.53781512605042,SUPERPOINT,0.04201680672268908,0.0033512064343163544,0.9966487935656837,0.0033512064343163275
41,MAP Dataset,12.621848739495798,SUPERPOINT,6.235294117647059,0.49400798934753665,0.5059920106524634,0.49400798934753665
42,MAP Dataset,12.739495798319327,SUPERPOINT,3.6470588235294117,0.28627968337730875,0.7137203166226913,0.28627968337730875
43,MAP Dataset,11.890756302521009,SUPERPOINT,3.9159663865546217,0.3293286219081272,0.6706713780918728,0.3293286219081272
44,MAP Dataset,12.22689075630252,SUPERPOINT,3.411764705882353,0.27903780068728523,0.7209621993127148,0.27903780068728523
45,MAP Dataset,12.016806722689076,SUPERPOINT,3.773109243697479,0.313986013986014,0.686013986013986,0.313986013986014
46,MAP Dataset,11.512605042016807,SUPERPOINT,3.9243697478991595,0.3408759124087591,0.6591240875912409,0.3408759124087591
47,MAP Dataset,11.277310924369749,SUPERPOINT,3.2857142857142856,0.2913561847988077,0.7086438152011922,0.2913561847988077
48,MAP Dataset,12.453781512605042,SUPERPOINT,3.310924369747899,0.26585695006747634,0.7341430499325236,0.2658569500674764
49,MAP Dataset,12.319327731092438,SUPERPOINT,3.3445378151260505,0.27148703956343795,0.728512960436562,0.27148703956343795
50,MAP Dataset,12.07563025210084,SUPERPOINT,2.823529411764706,0.2338204592901879,0.7661795407098121,0.2338204592901879
51,MAP Dataset,12.394957983193278,SUPERPOINT,0.04201680672268908,0.0033898305084745766,0.9966101694915255,0.0033898305084745497
52,MAP Dataset,11.747899159663865,SUPERPOINT,6.621848739495798,0.5636623748211731,0.4363376251788269,0.5636623748211731
53,MAP Dataset,12.033613445378151,SUPERPOINT,3.6554621848739495,0.30377094972067037,0.6962290502793297,0.30377094972067037
54,MAP Dataset,13.184873949579831,SUPERPOINT,3.411764705882353,0.2587635436583811,0.7412364563416188,0.2587635436583811
55,MAP Dataset,13.084033613445378,SUPERPOINT,4.529411764705882,0.34617854849068724,0.6538214515093128,0.34617854849068724
56,MAP Dataset,14.319327731092438,SUPERPOINT,5.420168067226891,0.3785211267605634,0.6214788732394366,0.3785211267605634
57,MAP Dataset,15.3109243697479,SUPERPOINT,4.033613445378151,0.26344676180021953,0.7365532381997805,0.26344676180021953
58,MAP Dataset,14.974789915966387,SUPERPOINT,0.04201680672268908,0.0028058361391694727,0.9971941638608305,0.002805836139169494
59,MAP Dataset,14.899159663865547,SUPERPOINT,7.3277310924369745,0.49182177100958824,0.5081782289904118,0.49182177100958824
60,MAP Dataset,30.630252100840337,SUPERPOINT,5.6722689075630255,0.18518518518518517,0.8148148148148148,0.1851851851851852
61,MAP Dataset,33.99159663865546,SUPERPOINT,6.487394957983193,0.1908529048207664,0.8091470951792337,0.1908529048207664
62,MAP Dataset,38.18487394957983,SUPERPOINT,6.722689075630252,0.17605633802816903,0.823943661971831,0.17605633802816903
63,MAP Dataset,41.90756302521008,SUPERPOINT,6.277310924369748,0.14978945257669943,0.8502105474233005,0.14978945257669948
64,MAP Dataset,25.45378151260504,SUPERPOINT,0.05042016806722689,0.0019808517662594917,0.9980191482337405,0.0019808517662594986
65,MAP Dataset,21.630252100840337,SUPERPOINT,7.428571428571429,0.3434343434343434,0.6565656565656566,0.3434343434343434
66,MAP Dataset,18.30252100840336,SUPERPOINT,4.352941176470588,0.23783287419651056,0.7621671258034894,0.23783287419651056
67,MAP Dataset,17.42016806722689,SUPERPOINT,4.445378151260504,0.25518572117703814,0.7448142788229618,0.25518572117703814
68,MAP Dataset,16.10924369747899,SUPERPOINT,4.428571428571429,0.2749087115284299,0.7250912884715701,0.2749087115284299
69,MAP Dataset,14.857142857142858,SUPERPOINT,4.184873949579832,0.2816742081447964,0.7183257918552036,0.2816742081447964
70,MAP Dataset,13.302521008403362,SUPERPOINT,3.563025210084034,0.26784586228679724,0.7321541377132028,0.26784586228679724
71,MAP Dataset,13.184873949579831,SUPERPOINT,2.8739495798319328,0.2179732313575526,0.7820267686424474,0.21797323135755262
72,MAP Dataset,13.840336134453782,SUPERPOINT,3.4873949579831933,0.25197328476017,0.74802671523983,0.25197328476017
73,MAP Dataset,13.907563025210084,SUPERPOINT,3.3865546218487395,0.24350453172205438,0.7564954682779456,0.2435045317220544
74,MAP Dataset,13.302521008403362,SUPERPOINT,3.1176470588235294,0.23436512950094757,0.7656348704990524,0.23436512950094757
75,MAP Dataset,14.344537815126051,SUPERPOINT,3.7899159663865545,0.26420620972466313,0.735793790275337,0.2642062097246631
76,MAP Dataset,14.042016806722689,SUPERPOINT,3.9495798319327733,0.2812687013764213,0.7187312986235787,0.2812687013764213
77,MAP Dataset,14.890756302521009,SUPERPOINT,3.5294117647058822,0.23702031602708803,0.7629796839729119,0.23702031602708803
78,MAP Dataset,15.966386554621849,SUPERPOINT,4.46218487394958,0.2794736842105263,0.7205263157894737,0.2794736842105263
79,MAP Dataset,15.016806722689076,SUPERPOINT,5.067226890756302,0.3374370453273643,0.6625629546726357,0.3374370453273643
80,MAP Dataset,14.470588235294118,SUPERPOINT,4.932773109243698,0.34088269454123116,0.6591173054587689,0.34088269454123116
81,MAP Dataset,14.369747899159664,SUPERPOINT,5.563025210084033,0.38713450292397655,0.6128654970760234,0.38713450292397655
82,MAP Dataset,15.025210084033613,SUPERPOINT,4.831932773109243,0.3215883668903803,0.6784116331096196,0.32158836689038034
83,MAP Dataset,15.327731092436975,SUPERPOINT,4.3277310924369745,0.28234649122807015,0.7176535087719298,0.28234649122807015
84,MAP Dataset,14.084033613445378,SUPERPOINT,0.058823529411764705,0.004176610978520286,0.9958233890214797,0.004176610978520288
85,MAP Dataset,13.731092436974789,SUPERPOINT,7.714285714285714,0.561811505507956,0.438188494492044,0.561811505507956
