,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Small Village Dataset,547.030303030303,SURF+SIFT,12.383838383838384,0.02263830415835734,0.9773616958416428,0.022638304158357277
1,Small Village Dataset,612.4444444444445,SURF+SIFT,14.202020202020202,0.023189075075867528,0.9768109249241325,0.02318907507586753
2,Small Village Dataset,666.10101010101,SURF+SIFT,4.7272727272727275,0.007096930729103483,0.9929030692708964,0.007096930729103519
3,Small Village Dataset,674.8888888888889,SURF+SIFT,4.1313131313131315,0.006121471547879187,0.9938785284521208,0.00612147154787921
4,Small Village Dataset,615.959595959596,SURF+SIFT,7.070707070707071,0.011479173499508036,0.988520826500492,0.011479173499508019
5,Small Village Dataset,573.10101010101,SURF+SIFT,15.04040404040404,0.026243897280434286,0.9737561027195657,0.026243897280434293
6,Small Village Dataset,557.8080808080808,SURF+SIFT,12.98989898989899,0.0232873983666226,0.9767126016333775,0.023287398366622566
7,Small Village Dataset,494.6969696969697,SURF+SIFT,10.131313131313131,0.020479836651352733,0.9795201633486473,0.0204798366513527
8,Small Village Dataset,530.1515151515151,SURF+SIFT,9.909090909090908,0.018691054587024865,0.9813089454129752,0.018691054587024834
9,Small Village Dataset,491.949494949495,SURF+SIFT,7.232323232323233,0.014701353099398394,0.9852986469006016,0.014701353099398374
10,Small Village Dataset,528.1212121212121,SURF+SIFT,23.555555555555557,0.04460255527503634,0.9553974447249637,0.04460255527503633
11,Small Village Dataset,611.2020202020202,SURF+SIFT,63.717171717171716,0.10424895470095358,0.8957510452990465,0.10424895470095355
12,Small Village Dataset,516.4848484848485,SURF+SIFT,32.05050505050505,0.0620550731440194,0.9379449268559805,0.062055073144019444
13,Small Village Dataset,491.04040404040404,SURF+SIFT,9.727272727272727,0.019809515973093616,0.9801904840269063,0.019809515973093637
14,Small Village Dataset,468.19191919191917,SURF+SIFT,11.303030303030303,0.024141873961726824,0.9758581260382732,0.024141873961726838
15,Small Village Dataset,567.3535353535353,SURF+SIFT,4.8686868686868685,0.00858139866115938,0.9914186013388406,0.008581398661159373
16,Small Village Dataset,515.3030303030303,SURF+SIFT,9.212121212121213,0.01787709497206704,0.982122905027933,0.01787709497206703
17,Small Village Dataset,587.2323232323232,SURF+SIFT,6.626262626262626,0.011283886060272466,0.9887161139397276,0.011283886060272441
18,Small Village Dataset,576.7777777777778,SURF+SIFT,5.454545454545454,0.009456927199173393,0.9905430728008265,0.009456927199173426
19,Small Village Dataset,632.7171717171717,SURF+SIFT,13.555555555555555,0.021424352240616867,0.9785756477593831,0.02142435224061688
20,Small Village Dataset,568.010101010101,SURF+SIFT,11.292929292929292,0.019881564206071164,0.9801184357939288,0.0198815642060712
21,Small Village Dataset,490.3939393939394,SURF+SIFT,9.545454545454545,0.019464870543162576,0.9805351294568374,0.019464870543162583
22,Small Village Dataset,512.010101010101,SURF+SIFT,13.272727272727273,0.02592278403598414,0.9740772159640159,0.02592278403598414
23,Small Village Dataset,491.3333333333333,SURF+SIFT,14.666666666666666,0.029850746268656716,0.9701492537313432,0.029850746268656757
24,Small Village Dataset,492.989898989899,SURF+SIFT,15.646464646464647,0.031737901077736344,0.9682620989222637,0.03173790107773634
25,Small Village Dataset,561.8484848484849,SURF+SIFT,22.181818181818183,0.039480071193571005,0.9605199288064291,0.03948007119357095
26,Small Village Dataset,700.2929292929293,SURF+SIFT,30.77777777777778,0.04394986225100607,0.9560501377489938,0.04394986225100612
27,Small Village Dataset,593.3737373737374,SURF+SIFT,35.16161616161616,0.059257115620318664,0.9407428843796813,0.059257115620318664
28,Small Village Dataset,507.95959595959596,SURF+SIFT,19.04040404040404,0.03748409163219854,0.9625159083678014,0.037484091632198555
29,Small Village Dataset,422.4040404040404,SURF+SIFT,18.747474747474747,0.044382801664355064,0.9556171983356448,0.0443828016643551
30,Small Village Dataset,423.26262626262627,SURF+SIFT,11.868686868686869,0.028040951721833757,0.9719590482781661,0.028040951721833806
31,Small Village Dataset,560.2020202020202,SURF+SIFT,7.575757575757576,0.013523260007212407,0.9864767399927875,0.013523260007212448
32,Small Village Dataset,559.8080808080808,SURF+SIFT,8.202020202020202,0.014651485898847008,0.985348514101153,0.014651485898847011
33,Small Village Dataset,596.3030303030303,SURF+SIFT,4.1313131313131315,0.00692821086153742,0.9930717891384625,0.006928210861537459
34,Small Village Dataset,683.4141414141415,SURF+SIFT,2.888888888888889,0.004227142392621714,0.9957728576073782,0.00422714239262175
35,Small Village Dataset,634.7272727272727,SURF+SIFT,2.686868686868687,0.004233107355421878,0.9957668926445781,0.004233107355421903
36,Small Village Dataset,635.8787878787879,SURF+SIFT,6.626262626262626,0.010420637946371838,0.9895793620536282,0.010420637946371832
37,Small Village Dataset,580.8282828282828,SURF+SIFT,10.555555555555555,0.01817328092935898,0.981826719070641,0.018173280929358986
38,Small Village Dataset,489.24242424242425,SURF+SIFT,8.313131313131313,0.016991844740373695,0.9830081552596264,0.01699184474037366
39,Small Village Dataset,525.5858585858585,SURF+SIFT,18.494949494949495,0.03518920684949936,0.9648107931505007,0.035189206849499347
40,Small Village Dataset,526.1515151515151,SURF+SIFT,28.474747474747474,0.054118911862389374,0.9458810881376106,0.054118911862389374
41,Small Village Dataset,612.6565656565657,SURF+SIFT,35.7979797979798,0.05843074538769723,0.9415692546123028,0.05843074538769722
42,Small Village Dataset,698.7070707070707,SURF+SIFT,19.949494949494948,0.02855201526629272,0.9714479847337073,0.02855201526629271
43,Small Village Dataset,671.4848484848485,SURF+SIFT,48.93939393939394,0.07288235028656527,0.9271176497134347,0.0728823502865653
44,Small Village Dataset,603.5454545454545,SURF+SIFT,25.8989898989899,0.04291141570852371,0.9570885842914763,0.04291141570852373
45,Small Village Dataset,562.10101010101,SURF+SIFT,16.08080808080808,0.028608395629672226,0.9713916043703278,0.02860839562967222
46,Small Village Dataset,518.3131313131313,SURF+SIFT,9.585858585858587,0.0184943386666147,0.9815056613333852,0.01849433866661473
47,Small Village Dataset,539.9494949494949,SURF+SIFT,5.888888888888889,0.010906369843793846,0.9890936301562061,0.01090636984379387
48,Small Village Dataset,643.7070707070707,SURF+SIFT,11.212121212121213,0.017418048864688437,0.9825819511353115,0.017418048864688444
49,Small Village Dataset,670.9494949494949,SURF+SIFT,5.454545454545454,0.00812959171383837,0.9918704082861616,0.008129591713838398
50,Small Village Dataset,538.4848484848485,SURF+SIFT,28.494949494949495,0.05291690114425061,0.9470830988557494,0.05291690114425062
51,Small Village Dataset,483.85858585858585,SURF+SIFT,35.13131313131313,0.07260657175065759,0.9273934282493425,0.07260657175065756
52,Small Village Dataset,495.5353535353535,SURF+SIFT,48.707070707070706,0.09829181784826124,0.9017081821517388,0.09829181784826124
53,Small Village Dataset,509.8686868686869,SURF+SIFT,67.45454545454545,0.13229787824157535,0.8677021217584246,0.13229787824157535
54,Small Village Dataset,466.92929292929296,SURF+SIFT,33.18181818181818,0.07106390343096958,0.9289360965690304,0.07106390343096958
55,Small Village Dataset,507.17171717171715,SURF+SIFT,18.02020202020202,0.03553077076279626,0.9644692292372038,0.03553077076279623
56,Small Village Dataset,488.6666666666667,SURF+SIFT,30.363636363636363,0.06213568150812353,0.9378643184918765,0.062135681508123534
57,Small Village Dataset,526.0505050505051,SURF+SIFT,20.565656565656564,0.039094452658461176,0.9609055473415388,0.039094452658461204
58,Small Village Dataset,528.0909090909091,SURF+SIFT,22.90909090909091,0.04338096057841281,0.9566190394215871,0.04338096057841285
59,Small Village Dataset,564.3030303030303,SURF+SIFT,19.757575757575758,0.03501235098270863,0.9649876490172914,0.035012350982708614
60,Small Village Dataset,638.7070707070707,SURF+SIFT,18.232323232323232,0.028545673076923076,0.971454326923077,0.02854567307692305
61,Small Village Dataset,650.5050505050505,SURF+SIFT,8.777777777777779,0.013493788819875778,0.9865062111801242,0.01349378881987581
62,Small Village Dataset,626.6363636363636,SURF+SIFT,5.494949494949495,0.008768960459080872,0.9912310395409191,0.008768960459080903
63,Small Village Dataset,635.3737373737374,SURF+SIFT,7.282828282828283,0.011462274649454707,0.9885377253505453,0.011462274649454707
64,Small Village Dataset,599.989898989899,SURF+SIFT,16.737373737373737,0.027896092526810218,0.9721039074731898,0.02789609252681023
65,Small Village Dataset,561.4545454545455,SURF+SIFT,17.2020202020202,0.030638313183649967,0.96936168681635,0.03063831318364996
66,Small Village Dataset,536.4343434343434,SURF+SIFT,26.636363636363637,0.049654471161993716,0.9503455288380063,0.04965447116199372
67,Small Village Dataset,481.8787878787879,SURF+SIFT,33.313131313131315,0.0691317653963862,0.9308682346036138,0.0691317653963862
68,Small Village Dataset,395.16161616161617,SURF+SIFT,34.303030303030305,0.08680759694281844,0.9131924030571815,0.08680759694281846
69,Small Village Dataset,327.2929292929293,SURF+SIFT,42.15151515151515,0.12878834639837047,0.8712116536016296,0.12878834639837047
70,Small Village Dataset,354.45454545454544,SURF+SIFT,28.393939393939394,0.08010601008805678,0.9198939899119433,0.08010601008805675
71,Small Village Dataset,449.83838383838383,SURF+SIFT,24.12121212121212,0.05362195176718911,0.9463780482328109,0.053621951767189105
72,Small Village Dataset,490.19191919191917,SURF+SIFT,30.86868686868687,0.06297265552556204,0.9370273444744379,0.06297265552556207
73,Small Village Dataset,498.050505050505,SURF+SIFT,26.77777777777778,0.05376518547062284,0.9462348145293772,0.053765185470622825
74,Small Village Dataset,486.6666666666667,SURF+SIFT,16.67676767676768,0.03426733084267331,0.9657326691573267,0.03426733084267331
75,Small Village Dataset,531.6464646464647,SURF+SIFT,19.2020202020202,0.036118024813330034,0.96388197518667,0.036118024813330034
76,Small Village Dataset,589.4646464646464,SURF+SIFT,21.272727272727273,0.036088215638226784,0.9639117843617733,0.036088215638226756
77,Small Village Dataset,565.2424242424242,SURF+SIFT,17.88888888888889,0.03164817098232635,0.9683518290176736,0.03164817098232638
78,Small Village Dataset,594.6060606060606,SURF+SIFT,10.0,0.016817857506880033,0.98318214249312,0.016817857506880033
79,Small Village Dataset,571.7171717171717,SURF+SIFT,9.585858585858587,0.01676678445229682,0.9832332155477033,0.01676678445229678
80,Small Village Dataset,637.5858585858585,SURF+SIFT,20.282828282828284,0.03181191679472759,0.9681880832052724,0.031811916794727606
81,Small Village Dataset,534.7171717171717,SURF+SIFT,21.444444444444443,0.040104274892797095,0.9598957251072029,0.0401042748927971
82,Small Village Dataset,472.32323232323233,SURF+SIFT,31.21212121212121,0.06608212147134303,0.933917878528657,0.066082121471343
83,Small Village Dataset,417.0,SURF+SIFT,45.898989898989896,0.11006952014146258,0.8899304798585375,0.11006952014146257
84,Small Village Dataset,305.5353535353535,SURF+SIFT,55.22222222222222,0.1807392224279291,0.8192607775720708,0.18073922242792914
85,Small Village Dataset,184.7171717171717,SURF+SIFT,30.060606060606062,0.16273855744517965,0.8372614425548204,0.16273855744517965
86,Small Village Dataset,237.53535353535352,SURF+SIFT,13.656565656565656,0.05749277087940126,0.9425072291205988,0.057492770879401224
87,Small Village Dataset,418.3636363636364,SURF+SIFT,38.07070707070707,0.09099908252450625,0.9090009174754938,0.09099908252450621
88,Small Village Dataset,519.2626262626262,SURF+SIFT,33.56565656565657,0.06464100219814423,0.9353589978018557,0.06464100219814425
89,Small Village Dataset,516.1313131313132,SURF+SIFT,27.151515151515152,0.05260582813081002,0.9473941718691901,0.05260582813080998
90,Small Village Dataset,500.95959595959596,SURF+SIFT,20.141414141414142,0.04020566589373929,0.9597943341062607,0.0402056658937393
91,Small Village Dataset,535.5555555555555,SURF+SIFT,27.585858585858585,0.051508864579404,0.9484911354205959,0.05150886457940404
92,Small Village Dataset,533.5252525252525,SURF+SIFT,29.515151515151516,0.055321001912190686,0.9446789980878093,0.055321001912190686
93,Small Village Dataset,626.5252525252525,SURF+SIFT,14.292929292929292,0.022813013897397864,0.9771869861026021,0.02281301389739787
94,Small Village Dataset,595.2727272727273,SURF+SIFT,9.262626262626263,0.015560306794271365,0.9844396932057288,0.015560306794271296
95,Small Village Dataset,575.969696969697,SURF+SIFT,10.787878787878787,0.018729941600462985,0.9812700583995371,0.018729941600462957
96,Small Village Dataset,589.7575757575758,SURF+SIFT,22.747474747474747,0.038570890281916896,0.9614291097180832,0.03857089028191687
97,Small Village Dataset,550.4040404040404,SURF+SIFT,17.414141414141415,0.03163883281336025,0.9683611671866397,0.031638832813360294
98,Small Village Dataset,479.57575757575756,SURF+SIFT,31.151515151515152,0.06495640085934538,0.9350435991406547,0.06495640085934533
