,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,MAP Dataset,2197.717171717172,AGAST+SIFT,29.575757575757574,0.013457490325130758,0.9865425096748692,0.013457490325130765
1,MAP Dataset,1869.5757575757575,AGAST+SIFT,31.292929292929294,0.016737984094052562,0.9832620159059474,0.016737984094052572
2,MAP Dataset,1561.989898989899,AGAST+SIFT,0.08080808080808081,5.1734061059125566e-05,0.9999482659389409,5.173406105909888e-05
3,MAP Dataset,2422.8282828282827,AGAST+SIFT,27.424242424242426,0.011319102809972486,0.9886808971900275,0.011319102809972495
4,MAP Dataset,1751.8181818181818,AGAST+SIFT,14.151515151515152,0.008078187164850372,0.9919218128351496,0.0080781871648504
5,MAP Dataset,1262.878787878788,AGAST+SIFT,41.86868686868687,0.033153369326134774,0.9668466306738652,0.033153369326134774
6,MAP Dataset,1237.8383838383838,AGAST+SIFT,29.707070707070706,0.023999151339088993,0.9760008486609111,0.023999151339088958
7,MAP Dataset,1375.8484848484848,AGAST+SIFT,111.41414141414141,0.08097849628144983,0.9190215037185502,0.08097849628144983
8,MAP Dataset,1348.4545454545455,AGAST+SIFT,22.88888888888889,0.016974164213428018,0.983025835786572,0.016974164213428015
9,MAP Dataset,1139.5252525252524,AGAST+SIFT,88.62626262626263,0.07777472454415715,0.9222252754558429,0.07777472454415714
10,MAP Dataset,1291.949494949495,AGAST+SIFT,119.13131313131314,0.09221050327201083,0.9077894967279891,0.09221050327201084
11,MAP Dataset,1164.8989898989898,AGAST+SIFT,98.58585858585859,0.08463039236939086,0.915369607630609,0.08463039236939092
12,MAP Dataset,1621.020202020202,AGAST+SIFT,42.35353535353536,0.02612770359107932,0.9738722964089207,0.02612770359107931
13,MAP Dataset,2574.4949494949497,AGAST+SIFT,4.232323232323233,0.001643943109367337,0.9983560568906327,0.0016439431093673335
14,MAP Dataset,2017.030303030303,AGAST+SIFT,1.494949494949495,0.000741163626894224,0.9992588363731059,0.0007411636268941804
15,MAP Dataset,2450.5353535353534,AGAST+SIFT,0.08080808080808081,3.297568455460156e-05,0.9999670243154455,3.297568455455819e-05
16,MAP Dataset,2062.2929292929293,AGAST+SIFT,9.414141414141413,0.004564890506301214,0.9954351094936988,0.004564890506301184
17,MAP Dataset,2246.373737373737,AGAST+SIFT,32.81818181818182,0.014609404157542348,0.9853905958424576,0.014609404157542383
18,MAP Dataset,1544.6464646464647,AGAST+SIFT,73.18181818181819,0.04737771383730055,0.9526222861626994,0.04737771383730058
19,MAP Dataset,1462.6969696969697,AGAST+SIFT,68.63636363636364,0.04692452712921337,0.9530754728707865,0.04692452712921342
20,MAP Dataset,1475.4444444444443,AGAST+SIFT,68.42424242424242,0.046375343159739575,0.9536246568402603,0.046375343159739624
21,MAP Dataset,1668.4545454545455,AGAST+SIFT,55.484848484848484,0.03325523529304927,0.9667447647069507,0.03325523529304929
22,MAP Dataset,1673.4747474747476,AGAST+SIFT,57.86868686868687,0.03457995823122518,0.9654200417687748,0.03457995823122518
23,MAP Dataset,1528.8989898989898,AGAST+SIFT,39.16161616161616,0.025614259948071167,0.9743857400519288,0.025614259948071188
24,MAP Dataset,1946.1010101010102,AGAST+SIFT,32.80808080808081,0.016858364821658433,0.9831416351783415,0.016858364821658454
25,MAP Dataset,2459.89898989899,AGAST+SIFT,9.292929292929292,0.003777768652732723,0.9962222313472673,0.0037777686527327194
26,MAP Dataset,2718.070707070707,AGAST+SIFT,3.2525252525252526,0.0011966301112271405,0.9988033698887729,0.0011966301112271
27,MAP Dataset,1957.2424242424242,AGAST+SIFT,3.686868686868687,0.0018837056877590095,0.998116294312241,0.0018837056877589917
28,MAP Dataset,1719.8181818181818,AGAST+SIFT,0.0707070707070707,4.111310803350131e-05,0.9999588868919664,4.1113108033532455e-05
29,MAP Dataset,2668.1717171717173,AGAST+SIFT,12.05050505050505,0.004516390370586297,0.9954836096294137,0.004516390370586282
30,MAP Dataset,2645.7979797979797,AGAST+SIFT,18.383838383838384,0.0069483152244458534,0.9930516847755542,0.006948315224445843
31,MAP Dataset,2509.777777777778,AGAST+SIFT,15.757575757575758,0.006278474491685046,0.9937215255083148,0.006278474491685108
32,MAP Dataset,2149.919191919192,AGAST+SIFT,12.696969696969697,0.0059057892709145745,0.9940942107290855,0.005905789270914514
33,MAP Dataset,1758.050505050505,AGAST+SIFT,11.757575757575758,0.006687848684550725,0.9933121513154493,0.006687848684550735
34,MAP Dataset,1526.1919191919192,AGAST+SIFT,29.01010101010101,0.019008160536887878,0.9809918394631122,0.019008160536887843
35,MAP Dataset,1229.2424242424242,AGAST+SIFT,23.414141414141415,0.01904761904761905,0.980952380952381,0.019047619047619015
36,MAP Dataset,1375.949494949495,AGAST+SIFT,30.90909090909091,0.022463826632114464,0.9775361733678855,0.022463826632114502
37,MAP Dataset,1622.111111111111,AGAST+SIFT,17.383838383838384,0.010716798784474653,0.9892832012155254,0.01071679878447464
38,MAP Dataset,1831.878787878788,AGAST+SIFT,4.8686868686868685,0.0026577560157921435,0.9973422439842079,0.0026577560157921222
39,MAP Dataset,2057.5252525252527,AGAST+SIFT,4.0606060606060606,0.0019735388693880554,0.998026461130612,0.0019735388693880294
40,MAP Dataset,1307.8484848484848,AGAST+SIFT,1.4141414141414141,0.0010812731218672043,0.9989187268781329,0.0010812731218671626
41,MAP Dataset,2382.050505050505,AGAST+SIFT,0.09090909090909091,3.816421638262596e-05,0.9999618357836174,3.816421638260583e-05
42,MAP Dataset,2280.717171717172,AGAST+SIFT,4.363636363636363,0.001913273779734356,0.9980867262202656,0.0019132737797343685
43,MAP Dataset,1990.7171717171718,AGAST+SIFT,5.252525252525253,0.0026385090394304878,0.9973614909605696,0.0026385090394304513
44,MAP Dataset,2275.969696969697,AGAST+SIFT,3.898989898989899,0.001713111516458741,0.9982868884835413,0.0017131115164587198
45,MAP Dataset,1833.5454545454545,AGAST+SIFT,8.545454545454545,0.004660617779761019,0.995339382220239,0.004660617779761016
46,MAP Dataset,2131.252525252525,AGAST+SIFT,19.515151515151516,0.009156658483179618,0.9908433415168204,0.009156658483179604
47,MAP Dataset,2264.3030303030305,AGAST+SIFT,18.454545454545453,0.008150210112149031,0.991849789887851,0.008150210112149017
48,MAP Dataset,1509.3737373737374,AGAST+SIFT,5.484848484848484,0.0036338571084401847,0.9963661428915598,0.003633857108440202
49,MAP Dataset,2656.161616161616,AGAST+SIFT,8.1010101010101,0.003049893519926985,0.996950106480073,0.0030498935199270005
50,MAP Dataset,1484.060606060606,AGAST+SIFT,30.303030303030305,0.02041899783558623,0.9795810021644138,0.020418997835586216
51,MAP Dataset,1107.6868686868686,AGAST+SIFT,33.494949494949495,0.030238644550022346,0.9697613554499778,0.03023864455002229
52,MAP Dataset,1079.3030303030303,AGAST+SIFT,45.45454545454545,0.04211472049863829,0.9578852795013617,0.04211472049863829
53,MAP Dataset,1087.828282828283,AGAST+SIFT,41.02020202020202,0.03770834300571057,0.9622916569942894,0.03770834300571057
54,MAP Dataset,1206.8080808080808,AGAST+SIFT,79.75757575757575,0.06608969315499606,0.933910306845004,0.06608969315499603
55,MAP Dataset,1324.4747474747476,AGAST+SIFT,68.58585858585859,0.05178343997620555,0.9482165600237944,0.05178343997620557
56,MAP Dataset,1603.8080808080808,AGAST+SIFT,112.55555555555556,0.07018018982598236,0.9298198101740176,0.07018018982598238
57,MAP Dataset,1826.141414141414,AGAST+SIFT,91.5959595959596,0.050158196340465075,0.949841803659535,0.050158196340465054
58,MAP Dataset,1621.2323232323233,AGAST+SIFT,17.96969696969697,0.011083974031476242,0.9889160259685238,0.011083974031476224
59,MAP Dataset,2144.7070707070707,AGAST+SIFT,16.181818181818183,0.007545001554213804,0.9924549984457862,0.007545001554213793
60,MAP Dataset,1471.5050505050506,AGAST+SIFT,0.0707070707070707,4.8050851529733176e-05,0.9999519491484702,4.805085152977299e-05
61,MAP Dataset,1959.060606060606,AGAST+SIFT,16.02020202020202,0.008177491788993902,0.991822508211006,0.008177491788993933
62,MAP Dataset,1682.080808080808,AGAST+SIFT,17.282828282828284,0.010274671823018628,0.9897253281769814,0.010274671823018592
63,MAP Dataset,1263.7676767676767,AGAST+SIFT,11.02020202020202,0.008720117014219146,0.9912798829857808,0.00872011701421915
64,MAP Dataset,1148.4949494949494,AGAST+SIFT,7.101010101010101,0.006182883176049463,0.9938171168239505,0.0061828831760495
