,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Gravel Quarry Dataset,1519.5555555555557,AKAZE,5.595959595959596,0.003682629157914329,0.9963173708420857,0.0036826291579143073
1,Gravel Quarry Dataset,1451.8484848484848,AKAZE,3.888888888888889,0.0026785776404861794,0.9973214223595138,0.0026785776404861794
2,Gravel Quarry Dataset,1563.1919191919192,AKAZE,0.42424242424242425,0.0002713949701465533,0.9997286050298534,0.0002713949701465817
3,Gravel Quarry Dataset,1695.3737373737374,AKAZE,2.0202020202020203,0.00119159685895068,0.9988084031410492,0.0011915968589507203
4,Gravel Quarry Dataset,1439.7777777777778,AKAZE,2.474747474747475,0.0017188398883104857,0.9982811601116894,0.0017188398883105247
5,Gravel Quarry Dataset,1175.3737373737374,AKAZE,7.828282828282828,0.006660249909764356,0.9933397500902356,0.006660249909764397
6,Gravel Quarry Dataset,1142.6363636363637,AKAZE,11.444444444444445,0.010015823763934194,0.9899841762360659,0.010015823763934128
7,Gravel Quarry Dataset,1198.4242424242425,AKAZE,19.575757575757574,0.016334580762617578,0.9836654192373825,0.016334580762617543
8,Gravel Quarry Dataset,1184.979797979798,AKAZE,21.424242424242426,0.018079837699146728,0.9819201623008532,0.018079837699146756
9,Gravel Quarry Dataset,1079.2424242424242,AKAZE,18.727272727272727,0.017352239225045626,0.9826477607749543,0.01735223922504566
10,Gravel Quarry Dataset,1076.4343434343434,AKAZE,25.19191919191919,0.023403117287715706,0.9765968827122843,0.023403117287715706
11,Gravel Quarry Dataset,1151.979797979798,AKAZE,11.393939393939394,0.009890745839398139,0.9901092541606018,0.009890745839398167
12,Gravel Quarry Dataset,1391.959595959596,AKAZE,3.6363636363636362,0.0026124060259498996,0.9973875939740501,0.00261240602594991
13,Gravel Quarry Dataset,1865.4040404040404,AKAZE,2.1515151515151514,0.0011533775551644781,0.9988466224448355,0.0011533775551645072
14,Gravel Quarry Dataset,1590.4141414141413,AKAZE,0.06060606060606061,3.810709363548025e-05,0.9999618929063645,3.810709363548897e-05
15,Gravel Quarry Dataset,1899.3939393939395,AKAZE,0.050505050505050504,2.6590087215486065e-05,0.9999734099127845,2.6590087215495826e-05
16,Gravel Quarry Dataset,1671.7171717171718,AKAZE,1.7575757575757576,0.0010513595166163142,0.9989486404833837,0.0010513595166162968
17,Gravel Quarry Dataset,1646.5858585858587,AKAZE,8.06060606060606,0.004895345127966039,0.995104654872034,0.004895345127966003
18,Gravel Quarry Dataset,1352.3737373737374,AKAZE,14.676767676767676,0.010852597378347088,0.9891474026216529,0.010852597378347092
19,Gravel Quarry Dataset,1371.4242424242425,AKAZE,26.353535353535353,0.019216180185753953,0.9807838198142461,0.01921618018575392
20,Gravel Quarry Dataset,1312.3030303030303,AKAZE,18.565656565656564,0.014147385273788081,0.9858526147262119,0.014147385273788097
21,Gravel Quarry Dataset,1423.2323232323233,AKAZE,19.575757575757574,0.01375443577004968,0.9862455642299504,0.013754435770049662
22,Gravel Quarry Dataset,1413.1616161616162,AKAZE,14.696969696969697,0.010400062900724073,0.9895999370992759,0.010400062900724111
23,Gravel Quarry Dataset,1392.7070707070707,AKAZE,15.252525252525253,0.010951710932853683,0.9890482890671464,0.010951710932853657
24,Gravel Quarry Dataset,1586.4545454545455,AKAZE,10.11111111111111,0.006373401078575567,0.9936265989214245,0.006373401078575551
25,Gravel Quarry Dataset,1814.2323232323233,AKAZE,4.878787878787879,0.00268917481863381,0.9973108251813662,0.002689174818633827
26,Gravel Quarry Dataset,1934.8686868686868,AKAZE,1.0606060606060606,0.0005481540260608085,0.9994518459739392,0.0005481540260607981
27,Gravel Quarry Dataset,1604.171717171717,AKAZE,0.06060606060606061,3.7780282470578606e-05,0.9999622197175294,3.778028247058417e-05
28,Gravel Quarry Dataset,1747.6565656565656,AKAZE,0.3333333333333333,0.00019073160018032804,0.9998092683998198,0.0001907316001802832
29,Gravel Quarry Dataset,2035.888888888889,AKAZE,0.48484848484848486,0.00023815075935361914,0.9997618492406464,0.0002381507593536236
30,Gravel Quarry Dataset,1981.1919191919192,AKAZE,0.494949494949495,0.00024982410343737574,0.9997501758965627,0.00024982410343734983
31,Gravel Quarry Dataset,1898.4848484848485,AKAZE,2.2323232323232323,0.0011758446395317903,0.9988241553604682,0.0011758446395317942
32,Gravel Quarry Dataset,1759.5555555555557,AKAZE,5.505050505050505,0.0031286596707157453,0.9968713403292843,0.003128659670715742
33,Gravel Quarry Dataset,1549.8989898989898,AKAZE,3.6464646464646466,0.002352711157455683,0.9976472888425443,0.002352711157455703
34,Gravel Quarry Dataset,1391.3232323232323,AKAZE,11.616161616161616,0.008349002838660965,0.991650997161339,0.008349002838660994
35,Gravel Quarry Dataset,1325.5656565656566,AKAZE,14.767676767676768,0.011140660362261965,0.9888593396377381,0.011140660362261938
36,Gravel Quarry Dataset,1348.3737373737374,AKAZE,13.090909090909092,0.00970866513345669,0.9902913348665434,0.009708665133456638
37,Gravel Quarry Dataset,1456.858585858586,AKAZE,6.3232323232323235,0.004340319907924204,0.9956596800920758,0.004340319907924183
38,Gravel Quarry Dataset,1610.989898989899,AKAZE,7.636363636363637,0.004740168539325843,0.9952598314606741,0.004740168539325874
39,Gravel Quarry Dataset,1741.2626262626263,AKAZE,1.1515151515151516,0.0006613104388432868,0.9993386895611567,0.000661310438843304
40,Gravel Quarry Dataset,1504.5353535353536,AKAZE,0.35353535353535354,0.00023497975817226029,0.9997650202418278,0.00023497975817223798
41,Gravel Quarry Dataset,1786.5454545454545,AKAZE,0.06060606060606061,3.3923604043693604e-05,0.9999660763959564,3.392360404366665e-05
42,Gravel Quarry Dataset,1780.3838383838383,AKAZE,0.06060606060606061,3.404100806771891e-05,0.9999659589919323,3.404100806770837e-05
43,Gravel Quarry Dataset,1699.8686868686868,AKAZE,0.25252525252525254,0.00014855574108516999,0.9998514442589149,0.00014855574108512342
44,Gravel Quarry Dataset,1717.0707070707072,AKAZE,0.5656565656565656,0.0003294311430084122,0.9996705688569916,0.0003294311430084209
45,Gravel Quarry Dataset,1570.4141414141413,AKAZE,1.2525252525252526,0.0007975763968843065,0.9992024236031157,0.0007975763968842881
46,Gravel Quarry Dataset,1694.1313131313132,AKAZE,6.070707070707071,0.0035833745729464163,0.9964166254270536,0.0035833745729464284
47,Gravel Quarry Dataset,1767.3535353535353,AKAZE,4.212121212121212,0.0023832929449956563,0.9976167070550043,0.0023832929449956928
48,Gravel Quarry Dataset,1695.4444444444443,AKAZE,6.818181818181818,0.00402147167990277,0.9959785283200973,0.004021471679902757
49,Gravel Quarry Dataset,2046.2323232323233,AKAZE,0.06060606060606061,2.96183673368645e-05,0.9999703816326632,2.9618367336850574e-05
50,Gravel Quarry Dataset,1246.3434343434344,AKAZE,7.232323232323233,0.005802833338736344,0.9941971666612636,0.00580283333873639
