,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Gravel Quarry Dataset,20.2020202020202,DAISY+SIFT,0.13131313131313133,0.0065000000000000014,0.9934999999999999,0.006500000000000031
1,Gravel Quarry Dataset,20.2020202020202,DAISY+SIFT,0.1111111111111111,0.0055,0.9945,0.0054999999999999745
2,Gravel Quarry Dataset,20.2020202020202,DAISY+SIFT,0.13131313131313133,0.0065000000000000014,0.9934999999999999,0.006500000000000031
3,Gravel Quarry Dataset,20.2020202020202,DAISY+SIFT,0.12121212121212122,0.006000000000000001,0.994,0.006000000000000002
4,Gravel Quarry Dataset,20.2020202020202,DAISY+SIFT,0.16161616161616163,0.008000000000000002,0.992,0.008000000000000005
5,Gravel Quarry Dataset,20.2020202020202,DAISY+SIFT,0.12121212121212122,0.006000000000000001,0.994,0.006000000000000002
6,Gravel Quarry Dataset,20.2020202020202,DAISY+SIFT,0.25252525252525254,0.012500000000000002,0.9875,0.01249999999999998
7,Gravel Quarry Dataset,20.2020202020202,DAISY+SIFT,0.3434343434343434,0.017,0.9830000000000001,0.016999999999999953
8,Gravel Quarry Dataset,20.2020202020202,DAISY+SIFT,1.0303030303030303,0.051000000000000004,0.949,0.051000000000000024
9,Gravel Quarry Dataset,20.2020202020202,DAISY+SIFT,0.45454545454545453,0.0225,0.9775,0.022499999999999982
10,Gravel Quarry Dataset,20.2020202020202,DAISY+SIFT,1.6666666666666667,0.0825,0.9175,0.0825
11,Gravel Quarry Dataset,20.2020202020202,DAISY+SIFT,0.7676767676767676,0.038,0.962,0.03800000000000001
12,Gravel Quarry Dataset,20.2020202020202,DAISY+SIFT,0.1111111111111111,0.0055,0.9945,0.0054999999999999745
13,Gravel Quarry Dataset,20.2020202020202,DAISY+SIFT,0.10101010101010101,0.005,0.995,0.005000000000000002
14,Gravel Quarry Dataset,20.2020202020202,DAISY+SIFT,0.1717171717171717,0.0085,0.9914999999999999,0.008500000000000032
