,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Gravel Quarry Dataset,1642.7474747474748,SURF,3.9696969696969697,0.002416498598061882,0.9975835014019381,0.002416498598061902
1,Gravel Quarry Dataset,1600.5050505050506,SURF,7.222222222222222,0.004512464499842221,0.9954875355001578,0.00451246449984222
2,Gravel Quarry Dataset,1543.2121212121212,SURF,0.10101010101010101,6.545445024807236e-05,0.9999345455497519,6.545445024807687e-05
3,Gravel Quarry Dataset,1677.8181818181818,SURF,4.343434343434343,0.0025887395848384147,0.9974112604151616,0.0025887395848384104
4,Gravel Quarry Dataset,1646.969696969697,SURF,8.282828282828282,0.005029132168046611,0.9949708678319534,0.00502913216804659
5,Gravel Quarry Dataset,1623.3333333333333,SURF,25.7979797979798,0.015891979341671334,0.9841080206583286,0.015891979341671376
6,Gravel Quarry Dataset,1660.8181818181818,SURF,4.818181818181818,0.0029010892769171823,0.9970989107230829,0.0029010892769171528
7,Gravel Quarry Dataset,1697.8181818181818,SURF,39.36363636363637,0.023184836153351897,0.9768151638466481,0.023184836153351884
8,Gravel Quarry Dataset,1712.3030303030303,SURF,0.6868686868686869,0.0004011373423471254,0.999598862657653,0.0004011373423470804
9,Gravel Quarry Dataset,1665.4848484848485,SURF,16.96969696969697,0.010189043139680864,0.9898109568603192,0.010189043139680847
10,Gravel Quarry Dataset,1690.2727272727273,SURF,28.171717171717173,0.016666965464900173,0.9833330345350999,0.016666965464900135
11,Gravel Quarry Dataset,1658.3232323232323,SURF,30.696969696969695,0.01851084824637275,0.9814891517536272,0.01851084824637279
12,Gravel Quarry Dataset,1640.989898989899,SURF,12.11111111111111,0.007380369080008371,0.9926196309199916,0.007380369080008379
13,Gravel Quarry Dataset,1726.8080808080808,SURF,3.505050505050505,0.0020297857903295623,0.9979702142096704,0.0020297857903296018
14,Gravel Quarry Dataset,1627.050505050505,SURF,0.10101010101010101,6.208172438197643e-05,0.999937918275618,6.208172438201119e-05
15,Gravel Quarry Dataset,1664.878787878788,SURF,0.0707070707070707,4.2469800937975884e-05,0.999957530199062,4.2469800938001715e-05
16,Gravel Quarry Dataset,1644.3636363636363,SURF,4.303030303030303,0.0026168362081674776,0.9973831637918326,0.0026168362081674585
17,Gravel Quarry Dataset,1714.919191919192,SURF,9.090909090909092,0.005301071405431831,0.9946989285945682,0.005301071405431811
18,Gravel Quarry Dataset,1676.5656565656566,SURF,19.02020202020202,0.011344740330160261,0.9886552596698397,0.011344740330160284
19,Gravel Quarry Dataset,1668.2525252525252,SURF,14.393939393939394,0.008628153817276895,0.991371846182723,0.008628153817276945
20,Gravel Quarry Dataset,1669.040404040404,SURF,34.74747474747475,0.020818833782189006,0.9791811662178109,0.02081883378218904
21,Gravel Quarry Dataset,1653.6767676767677,SURF,19.31313131313131,0.011678903453583687,0.9883210965464162,0.011678903453583743
22,Gravel Quarry Dataset,1663.7272727272727,SURF,17.95959595959596,0.010794795669939104,0.9892052043300609,0.010794795669939116
23,Gravel Quarry Dataset,1650.6363636363637,SURF,4.5353535353535355,0.0027476394166926744,0.9972523605833074,0.0027476394166926613
24,Gravel Quarry Dataset,1660.949494949495,SURF,24.303030303030305,0.014632010411472081,0.985367989588528,0.01463201041147204
25,Gravel Quarry Dataset,1667.2424242424242,SURF,10.595959595959595,0.006355380262575958,0.993644619737424,0.006355380262575971
26,Gravel Quarry Dataset,1662.3636363636363,SURF,1.2222222222222223,0.0007352315675623125,0.9992647684324377,0.0007352315675622952
27,Gravel Quarry Dataset,1593.2626262626263,SURF,0.24242424242424243,0.0001521558583175366,0.9998478441416825,0.00015215585831752598
28,Gravel Quarry Dataset,1567.5252525252524,SURF,0.10101010101010101,6.443921770789702e-05,0.9999355607822921,6.443921770791575e-05
29,Gravel Quarry Dataset,1677.050505050505,SURF,1.3636363636363635,0.0008131158599754257,0.9991868841400247,0.000813115859975385
30,Gravel Quarry Dataset,1681.080808080808,SURF,1.606060606060606,0.0009553738275640371,0.9990446261724361,0.0009553738275639902
31,Gravel Quarry Dataset,1705.7272727272727,SURF,8.030303030303031,0.004707847003855106,0.9952921529961449,0.004707847003855088
32,Gravel Quarry Dataset,1702.7575757575758,SURF,18.09090909090909,0.010624477229449555,0.9893755227705505,0.010624477229449517
33,Gravel Quarry Dataset,1664.6464646464647,SURF,19.727272727272727,0.011850728155339805,0.9881492718446602,0.011850728155339815
34,Gravel Quarry Dataset,1663.171717171717,SURF,28.949494949494948,0.017406197237844208,0.9825938027621558,0.017406197237844204
35,Gravel Quarry Dataset,1633.9292929292928,SURF,39.02020202020202,0.023881205991629524,0.9761187940083704,0.02388120599162955
36,Gravel Quarry Dataset,1672.6363636363637,SURF,39.7979797979798,0.02379356365986074,0.9762064363401391,0.023793563659860795
37,Gravel Quarry Dataset,1700.3434343434344,SURF,2.9292929292929295,0.0017227654543942401,0.9982772345456058,0.001722765454394222
38,Gravel Quarry Dataset,1680.5656565656566,SURF,12.616161616161616,0.0075070923690916955,0.9924929076309082,0.007507092369091723
39,Gravel Quarry Dataset,1671.3232323232323,SURF,1.4141414141414141,0.0008461208381431274,0.9991538791618569,0.000846120838143094
40,Gravel Quarry Dataset,1577.090909090909,SURF,1.6666666666666667,0.001056798093920529,0.9989432019060794,0.0010567980939205463
41,Gravel Quarry Dataset,1636.6565656565656,SURF,0.09090909090909091,5.554561220522253e-05,0.9999444543877948,5.554561220522184e-05
42,Gravel Quarry Dataset,1616.040404040404,SURF,1.6262626262626263,0.0010063254744105809,0.9989936745255894,0.0010063254744105887
