,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Small Village Dataset,713.0840336134454,AGAST+SIFT,43.97478991596638,0.06166845398729627,0.9383315460127036,0.06166845398729632
1,Small Village Dataset,695.8403361344538,AGAST+SIFT,55.61344537815126,0.07992270998128133,0.9200772900187186,0.07992270998128136
2,Small Village Dataset,571.781512605042,AGAST+SIFT,39.39495798319328,0.068898621439699,0.931101378560301,0.06889862143969903
3,Small Village Dataset,625.9915966386554,AGAST+SIFT,35.50420168067227,0.05671673848549528,0.9432832615145047,0.05671673848549529
4,Small Village Dataset,877.4621848739496,AGAST+SIFT,15.134453781512605,0.01724798406405026,0.9827520159359499,0.017247984064050204
5,Small Village Dataset,1407.8487394957983,AGAST+SIFT,0.47058823529411764,0.0003342605083147301,0.9996657394916852,0.0003342605083147422
6,Small Village Dataset,1137.1176470588234,AGAST+SIFT,290.9075630252101,0.25582890545903325,0.7441710945409667,0.25582890545903325
7,Small Village Dataset,732.0588235294117,AGAST+SIFT,128.92436974789916,0.17611203581472767,0.8238879641852723,0.17611203581472767
8,Small Village Dataset,581.8571428571429,AGAST+SIFT,62.64705882352941,0.10766742248090004,0.8923325775191,0.10766742248090001
9,Small Village Dataset,606.563025210084,AGAST+SIFT,42.84873949579832,0.07064185866086643,0.9293581413391335,0.07064185866086646
10,Small Village Dataset,715.2352941176471,AGAST+SIFT,20.764705882352942,0.02903199276256271,0.9709680072374373,0.029031992762562724
11,Small Village Dataset,889.453781512605,AGAST+SIFT,19.159663865546218,0.021540932495630404,0.9784590675043696,0.021540932495630393
12,Small Village Dataset,1909.0588235294117,AGAST+SIFT,10.100840336134453,0.005291005291005291,0.9947089947089947,0.0052910052910053185
13,Small Village Dataset,2888.0084033613443,AGAST+SIFT,0.06722689075630252,2.3277941531630358e-05,0.9999767220584683,2.3277941531652266e-05
14,Small Village Dataset,1714.2436974789916,AGAST+SIFT,127.43697478991596,0.07434005735434691,0.9256599426456531,0.07434005735434691
15,Small Village Dataset,1210.0420168067226,AGAST+SIFT,36.20168067226891,0.02991770547588458,0.9700822945241155,0.02991770547588452
16,Small Village Dataset,794.8991596638656,AGAST+SIFT,0.7563025210084033,0.0009514446100662839,0.9990485553899338,0.0009514446100662635
17,Small Village Dataset,749.5798319327731,AGAST+SIFT,0.20168067226890757,0.0002690582959641256,0.9997309417040359,0.0002690582959641282
18,Small Village Dataset,639.9243697478992,AGAST+SIFT,0.2857142857142857,0.0004464813331407335,0.9995535186668592,0.00044648133314079016
19,Small Village Dataset,977.5126050420168,AGAST+SIFT,0.11764705882352941,0.00012035349540937381,0.9998796465045906,0.00012035349540938573
