,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Small Village Dataset,674.5126050420168,FAST+SIFT,62.78991596638655,0.09308931441314612,0.906910685586854,0.09308931441314611
1,Small Village Dataset,656.6470588235294,FAST+SIFT,65.90756302521008,0.10036984425589639,0.8996301557441037,0.10036984425589636
2,Small Village Dataset,539.5042016806723,FAST+SIFT,50.890756302521005,0.09432874877338358,0.9056712512266164,0.09432874877338358
3,Small Village Dataset,592.0,FAST+SIFT,55.66386554621849,0.09402679990915286,0.9059732000908471,0.09402679990915286
4,Small Village Dataset,825.781512605042,FAST+SIFT,30.80672268907563,0.037306142386127734,0.9626938576138723,0.037306142386127734
5,Small Village Dataset,1308.5042016806722,FAST+SIFT,0.31932773109243695,0.00024404027949034114,0.9997559597205097,0.00024404027949033092
6,Small Village Dataset,1059.4957983193278,FAST+SIFT,289.6890756302521,0.27342163705583755,0.7265783629441624,0.27342163705583755
7,Small Village Dataset,689.7647058823529,FAST+SIFT,161.7058823529412,0.2344362954119052,0.7655637045880948,0.23443629541190522
8,Small Village Dataset,552.9747899159664,FAST+SIFT,73.10084033613445,0.13219561120904502,0.8678043887909549,0.13219561120904508
9,Small Village Dataset,577.1512605042017,FAST+SIFT,53.18487394957983,0.09215066757909757,0.9078493324209025,0.09215066757909754
10,Small Village Dataset,679.6218487394958,FAST+SIFT,32.57142857142857,0.0479258114374034,0.9520741885625966,0.04792581143740339
11,Small Village Dataset,844.0756302521008,FAST+SIFT,28.941176470588236,0.03428742097665389,0.9657125790233461,0.034287420976653916
12,Small Village Dataset,1779.5210084033613,FAST+SIFT,19.11764705882353,0.010743142097533563,0.9892568579024665,0.010743142097533515
13,Small Village Dataset,2666.218487394958,FAST+SIFT,0.058823529411764705,2.2062531517902167e-05,0.9999779374684821,2.2062531517916157e-05
14,Small Village Dataset,1585.9327731092437,FAST+SIFT,138.1764705882353,0.08712631010035714,0.9128736898996428,0.08712631010035717
15,Small Village Dataset,1130.563025210084,FAST+SIFT,48.49579831932773,0.0428952630131488,0.9571047369868512,0.04289526301314881
16,Small Village Dataset,752.8403361344538,FAST+SIFT,1.1512605042016806,0.0015292226637496093,0.9984707773362504,0.0015292226637495807
17,Small Village Dataset,698.9159663865546,FAST+SIFT,0.13445378151260504,0.00019237474600521817,0.9998076252539947,0.00019237474600526322
18,Small Village Dataset,606.1344537815127,FAST+SIFT,0.3277310924369748,0.0005406904200748648,0.9994593095799252,0.0005406904200748139
19,Small Village Dataset,914.2689075630252,FAST+SIFT,0.42857142857142855,0.0004687586168863398,0.9995312413831137,0.00046875861688633656
20,Small Village Dataset,1316.126050420168,FAST+SIFT,0.8487394957983193,0.0006448770583390266,0.999355122941661,0.0006448770583390353
21,Small Village Dataset,1848.1512605042017,FAST+SIFT,0.5882352941176471,0.0003182830900741145,0.9996817169099259,0.00031828309007410203
22,Small Village Dataset,1391.3949579831933,FAST+SIFT,7.38655462184874,0.005308740397159009,0.994691259602841,0.005308740397159007
23,Small Village Dataset,858.4033613445379,FAST+SIFT,0.23529411764705882,0.0002741067058247675,0.9997258932941753,0.00027410670582474786
24,Small Village Dataset,695.0588235294117,FAST+SIFT,0.2857142857142857,0.00041106489989360673,0.9995889351001063,0.0004110648998936691
25,Small Village Dataset,867.6722689075631,FAST+SIFT,0.3277310924369748,0.00037771299623255494,0.9996222870037675,0.00037771299623250745
26,Small Village Dataset,999.3613445378152,FAST+SIFT,2.5294117647058822,0.0025310282197033396,0.9974689717802967,0.0025310282197033205
27,Small Village Dataset,1487.5042016806722,FAST+SIFT,0.5462184873949579,0.00036720466858366336,0.9996327953314164,0.00036720466858365306
28,Small Village Dataset,1852.7142857142858,FAST+SIFT,0.06722689075630252,3.628562227574351e-05,0.9999637143777242,3.628562227574961e-05
29,Small Village Dataset,1829.1680672268908,FAST+SIFT,90.6890756302521,0.04957941112964061,0.9504205888703594,0.0495794111296406
30,Small Village Dataset,1121.0840336134454,FAST+SIFT,28.521008403361346,0.025440562480792153,0.9745594375192079,0.02544056248079211
31,Small Village Dataset,593.436974789916,FAST+SIFT,6.722689075630252,0.011328396040725584,0.9886716039592744,0.011328396040725566
32,Small Village Dataset,721.3361344537815,FAST+SIFT,25.26050420168067,0.03501904728619858,0.9649809527138015,0.035019047286198556
33,Small Village Dataset,994.6050420168067,FAST+SIFT,59.252100840336134,0.05957349735548083,0.9404265026445192,0.05957349735548081
34,Small Village Dataset,1305.8487394957983,FAST+SIFT,123.65546218487395,0.09469355710571702,0.9053064428942829,0.09469355710571707
35,Small Village Dataset,1661.3949579831933,FAST+SIFT,185.8235294117647,0.11184789535977663,0.8881521046402234,0.1118478953597766
36,Small Village Dataset,2261.8991596638657,FAST+SIFT,0.47058823529411764,0.00020805005089795885,0.999791949949102,0.00020805005089796327
37,Small Village Dataset,1764.9915966386554,FAST+SIFT,161.94957983193277,0.09175657274536503,0.9082434272546349,0.09175657274536506
38,Small Village Dataset,1406.3865546218487,FAST+SIFT,22.722689075630253,0.01615678776290631,0.9838432122370936,0.01615678776290636
39,Small Village Dataset,851.7310924369748,FAST+SIFT,148.47058823529412,0.1743162713603536,0.8256837286396463,0.17431627136035363
40,Small Village Dataset,667.90756302521,FAST+SIFT,23.016806722689076,0.034461066166756836,0.9655389338332431,0.03446106616675688
41,Small Village Dataset,921.0672268907563,FAST+SIFT,4.6722689075630255,0.005072668716414098,0.9949273312835858,0.0050726687164141535
42,Small Village Dataset,1364.126050420168,FAST+SIFT,30.899159663865547,0.022651249607283885,0.9773487503927162,0.022651249607283847
43,Small Village Dataset,1819.142857142857,FAST+SIFT,29.084033613445378,0.01598776781012389,0.9840122321898761,0.015987767810123895
44,Small Village Dataset,2716.1008403361343,FAST+SIFT,0.40336134453781514,0.00014850749962873127,0.9998514925003713,0.00014850749962871148
45,Small Village Dataset,2122.453781512605,FAST+SIFT,0.06722689075630252,3.167413648385411e-05,0.999968325863516,3.167413648391322e-05
46,Small Village Dataset,1572.9411764705883,FAST+SIFT,88.59663865546219,0.05632546212202158,0.9436745378779785,0.05632546212202154
47,Small Village Dataset,1077.6638655462184,FAST+SIFT,138.30252100840337,0.128335490712871,0.871664509287129,0.128335490712871
48,Small Village Dataset,690.563025210084,FAST+SIFT,41.12605042016807,0.05955437652871242,0.9404456234712876,0.05955437652871242
49,Small Village Dataset,1487.0420168067226,FAST+SIFT,166.88235294117646,0.11222436962443066,0.8877756303755693,0.11222436962443069
50,Small Village Dataset,1640.9411764705883,FAST+SIFT,349.47899159663865,0.2129747224384448,0.7870252775615552,0.2129747224384448
51,Small Village Dataset,2001.6974789915967,FAST+SIFT,470.5966386554622,0.2350987817062829,0.7649012182937172,0.23509878170628287
52,Small Village Dataset,2377.6890756302523,FAST+SIFT,1.1260504201680672,0.00047359027372810965,0.9995264097262718,0.0004735902737281423
53,Small Village Dataset,2481.0672268907565,FAST+SIFT,640.8487394957983,0.25829559656829704,0.741704403431703,0.25829559656829704
54,Small Village Dataset,2092.218487394958,FAST+SIFT,158.57142857142858,0.07579104645464989,0.92420895354535,0.07579104645464992
55,Small Village Dataset,1750.2100840336134,FAST+SIFT,31.873949579831933,0.01821149921978154,0.9817885007802184,0.01821149921978157
