,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Small Village Dataset,118.12605042016807,SUPERPOINT,8.117647058823529,0.06872021057124564,0.9312797894287543,0.06872021057124565
1,Small Village Dataset,130.6890756302521,SUPERPOINT,9.46218487394958,0.0724022633744856,0.9275977366255144,0.07240226337448562
2,Small Village Dataset,119.3529411764706,SUPERPOINT,8.957983193277311,0.07505456593677391,0.924945434063226,0.07505456593677394
3,Small Village Dataset,120.0672268907563,SUPERPOINT,15.857142857142858,0.13206886898096304,0.867931131019037,0.13206886898096304
4,Small Village Dataset,93.1344537815126,SUPERPOINT,8.907563025210084,0.09564197419471263,0.9043580258052875,0.09564197419471258
5,Small Village Dataset,72.41176470588235,SUPERPOINT,0.1092436974789916,0.001508645700359754,0.9984913542996403,0.001508645700359722
6,Small Village Dataset,86.53781512605042,SUPERPOINT,17.210084033613445,0.19887356768304526,0.8011264323169548,0.19887356768304523
7,Small Village Dataset,99.84873949579831,SUPERPOINT,13.915966386554622,0.1393704763507827,0.8606295236492174,0.13937047635078265
8,Small Village Dataset,119.10924369747899,SUPERPOINT,16.88235294117647,0.14173839424298013,0.8582616057570198,0.14173839424298015
9,Small Village Dataset,120.8655462184874,SUPERPOINT,11.823529411764707,0.09782381978724884,0.9021761802127511,0.09782381978724884
10,Small Village Dataset,114.47899159663865,SUPERPOINT,7.26890756302521,0.06349555898113485,0.9365044410188652,0.06349555898113482
11,Small Village Dataset,99.04201680672269,SUPERPOINT,5.80672268907563,0.058628881724079415,0.9413711182759206,0.05862888172407942
12,Small Village Dataset,54.53781512605042,SUPERPOINT,2.1176470588235294,0.03882896764252697,0.961171032357473,0.03882896764252697
13,Small Village Dataset,32.18487394957983,SUPERPOINT,0.05042016806722689,0.001566579634464752,0.9984334203655353,0.0015665796344647338
14,Small Village Dataset,49.9327731092437,SUPERPOINT,0.7478991596638656,0.014978121844496803,0.9850218781555031,0.014978121844496838
15,Small Village Dataset,68.3109243697479,SUPERPOINT,3.596638655462185,0.05265100258334359,0.9473489974166563,0.05265100258334362
16,Small Village Dataset,101.69747899159664,SUPERPOINT,4.008403361344538,0.03941497273177987,0.9605850272682201,0.03941497273177986
17,Small Village Dataset,109.54621848739495,SUPERPOINT,1.2773109243697478,0.011660018410555384,0.9883399815894447,0.011660018410555346
18,Small Village Dataset,119.80672268907563,SUPERPOINT,1.8991596638655461,0.01585186224310865,0.9841481377568914,0.015851862243108642
19,Small Village Dataset,87.91596638655462,SUPERPOINT,1.1932773109243697,0.013572930606002677,0.9864270693939973,0.013572930606002705
20,Small Village Dataset,70.47058823529412,SUPERPOINT,1.5378151260504203,0.021822084426424995,0.978177915573575,0.02182208442642498
21,Small Village Dataset,46.72268907563025,SUPERPOINT,0.13445378151260504,0.0028776978417266188,0.9971223021582734,0.0028776978417266318
22,Small Village Dataset,50.52100840336134,SUPERPOINT,4.823529411764706,0.09547571523619428,0.9045242847638058,0.09547571523619426
23,Small Village Dataset,83.32773109243698,SUPERPOINT,3.1512605042016806,0.037817668414683335,0.9621823315853166,0.03781766841468335
24,Small Village Dataset,85.53781512605042,SUPERPOINT,3.2100840336134455,0.03752824442479615,0.9624717555752039,0.03752824442479611
25,Small Village Dataset,97.61344537815125,SUPERPOINT,1.7563025210084033,0.017992424242424244,0.9820075757575757,0.01799242424242428
26,Small Village Dataset,80.5126050420168,SUPERPOINT,1.0420168067226891,0.01294228159899802,0.987057718401002,0.01294228159899802
27,Small Village Dataset,51.69747899159664,SUPERPOINT,0.8739495798319328,0.016905071521456438,0.9830949284785436,0.016905071521456403
28,Small Village Dataset,53.924369747899156,SUPERPOINT,0.04201680672268908,0.0007791803023219574,0.999220819697678,0.000779180302322002
29,Small Village Dataset,54.72268907563025,SUPERPOINT,0.957983193277311,0.01750614250614251,0.9824938574938575,0.017506142506142488
30,Small Village Dataset,71.52941176470588,SUPERPOINT,2.764705882352941,0.03865131578947368,0.9613486842105263,0.03865131578947368
31,Small Village Dataset,85.30252100840336,SUPERPOINT,3.9243697478991595,0.046005319672938624,0.9539946803270614,0.04600531967293864
32,Small Village Dataset,88.53781512605042,SUPERPOINT,6.084033613445378,0.06871678056188306,0.931283219438117,0.06871678056188303
33,Small Village Dataset,79.3109243697479,SUPERPOINT,6.19327731092437,0.0780885780885781,0.9219114219114218,0.07808857808857812
34,Small Village Dataset,57.72268907563025,SUPERPOINT,6.5966386554621845,0.11428155481147183,0.8857184451885282,0.11428155481147183
35,Small Village Dataset,37.554621848739494,SUPERPOINT,5.310924369747899,0.14141866189304095,0.858581338106959,0.14141866189304095
