,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Small Village Dataset,73.66386554621849,SUPERPOINT,6.823529411764706,0.09263061829796942,0.9073693817020305,0.09263061829796945
1,Small Village Dataset,80.46218487394958,SUPERPOINT,9.697478991596638,0.12052219321148824,0.8794778067885117,0.12052219321148826
2,Small Village Dataset,73.63865546218487,SUPERPOINT,7.882352941176471,0.10704096770512382,0.892959032294876,0.10704096770512388
3,Small Village Dataset,74.4453781512605,SUPERPOINT,11.697478991596638,0.1571283440568913,0.8428716559431086,0.15712834405689133
4,Small Village Dataset,53.075630252100844,SUPERPOINT,5.680672268907563,0.10702976567447751,0.8929702343255225,0.10702976567447751
5,Small Village Dataset,41.739495798319325,SUPERPOINT,0.06722689075630252,0.0016106301590497283,0.9983893698409503,0.001610630159049724
6,Small Village Dataset,52.49579831932773,SUPERPOINT,10.84873949579832,0.20665919641427885,0.7933408035857211,0.20665919641427882
7,Small Village Dataset,64.32773109243698,SUPERPOINT,10.260504201680673,0.1595035924232528,0.8404964075767472,0.15950359242325282
8,Small Village Dataset,82.12605042016807,SUPERPOINT,13.630252100840336,0.16596746137317098,0.834032538626829,0.16596746137317098
9,Small Village Dataset,84.39495798319328,SUPERPOINT,12.521008403361344,0.14836204321417903,0.8516379567858209,0.1483620432141791
10,Small Village Dataset,77.3109243697479,SUPERPOINT,6.19327731092437,0.08010869565217392,0.9198913043478261,0.08010869565217392
11,Small Village Dataset,65.14285714285714,SUPERPOINT,5.546218487394958,0.08513931888544891,0.9148606811145511,0.08513931888544891
12,Small Village Dataset,33.15126050420168,SUPERPOINT,1.7478991596638656,0.05272496831432193,0.9472750316856781,0.052724968314321934
13,Small Village Dataset,14.042016806722689,SUPERPOINT,0.04201680672268908,0.0029922202274087375,0.9970077797725913,0.0029922202274087427
14,Small Village Dataset,31.19327731092437,SUPERPOINT,0.6218487394957983,0.01993534482758621,0.9800646551724137,0.019935344827586254
15,Small Village Dataset,43.09243697478992,SUPERPOINT,2.7983193277310923,0.06493759750390014,0.9350624024960998,0.06493759750390014
16,Small Village Dataset,66.81512605042016,SUPERPOINT,3.3529411764705883,0.05018236699786191,0.9498176330021381,0.050182366997861924
17,Small Village Dataset,69.70588235294117,SUPERPOINT,1.0672268907563025,0.015310427968655817,0.9846895720313442,0.0153104279686558
18,Small Village Dataset,80.25210084033614,SUPERPOINT,1.2521008403361344,0.015602094240837696,0.9843979057591622,0.015602094240837751
19,Small Village Dataset,56.621848739495796,SUPERPOINT,0.8067226890756303,0.014247551202137134,0.985752448797863,0.014247551202137094
20,Small Village Dataset,44.69747899159664,SUPERPOINT,0.8151260504201681,0.018236510622297423,0.9817634893777025,0.01823651062229745
21,Small Village Dataset,33.26890756302521,SUPERPOINT,0.13445378151260504,0.004041424602172265,0.9959585753978277,0.004041424602172269
22,Small Village Dataset,33.319327731092436,SUPERPOINT,2.7142857142857144,0.0814627994955864,0.9185372005044136,0.08146279949558642
23,Small Village Dataset,54.38655462184874,SUPERPOINT,2.1596638655462184,0.03970951792336217,0.9602904820766378,0.039709517923362185
24,Small Village Dataset,56.79831932773109,SUPERPOINT,2.142857142857143,0.03772747447847315,0.9622725255215268,0.037727474478473196
25,Small Village Dataset,63.142857142857146,SUPERPOINT,1.1092436974789917,0.017567207878626565,0.9824327921213734,0.017567207878626607
26,Small Village Dataset,52.05042016806723,SUPERPOINT,0.7226890756302521,0.013884404262189216,0.9861155957378108,0.013884404262189195
27,Small Village Dataset,30.30252100840336,SUPERPOINT,0.5378151260504201,0.01774819744869662,0.9822518025513033,0.017748197448696667
28,Small Village Dataset,28.840336134453782,SUPERPOINT,0.05042016806722689,0.0017482517482517483,0.9982517482517482,0.0017482517482517606
29,Small Village Dataset,31.008403361344538,SUPERPOINT,0.9159663865546218,0.02953929539295393,0.970460704607046,0.02953929539295395
30,Small Village Dataset,45.26890756302521,SUPERPOINT,2.3865546218487395,0.05271950993131613,0.9472804900686839,0.05271950993131613
31,Small Village Dataset,57.08403361344538,SUPERPOINT,3.0252100840336134,0.05299573089945532,0.9470042691005447,0.052995730899455314
32,Small Village Dataset,60.075630252100844,SUPERPOINT,4.411764705882353,0.07343684431389005,0.9265631556861099,0.07343684431389007
33,Small Village Dataset,53.36134453781513,SUPERPOINT,5.016806722689076,0.09401574803149605,0.905984251968504,0.09401574803149605
34,Small Village Dataset,38.19327731092437,SUPERPOINT,4.411764705882353,0.11551155115511551,0.8844884488448844,0.11551155115511554
35,Small Village Dataset,27.126050420168067,SUPERPOINT,4.100840336134453,0.15117719950433703,0.8488228004956629,0.15117719950433703
36,Small Village Dataset,25.07563025210084,SUPERPOINT,0.058823529411764705,0.0023458445040214475,0.9976541554959786,0.0023458445040214345
37,Small Village Dataset,20.470588235294116,SUPERPOINT,4.428571428571429,0.21633825944170776,0.7836617405582922,0.2163382594417078
38,Small Village Dataset,19.025210084033613,SUPERPOINT,2.722689075630252,0.14310954063604242,0.8568904593639576,0.14310954063604242
39,Small Village Dataset,29.638655462184875,SUPERPOINT,2.19327731092437,0.07400056705415367,0.9259994329458463,0.07400056705415368
40,Small Village Dataset,35.18487394957983,SUPERPOINT,3.327731092436975,0.09457845712920947,0.9054215428707906,0.09457845712920944
41,Small Village Dataset,40.983193277310924,SUPERPOINT,2.546218487394958,0.06212835759688332,0.9378716424031166,0.062128357596883364
42,Small Village Dataset,34.78151260504202,SUPERPOINT,2.1596638655462184,0.062092292824353704,0.9379077071756462,0.06209229282435375
43,Small Village Dataset,20.781512605042018,SUPERPOINT,0.8907563025210085,0.04286291953093409,0.9571370804690659,0.04286291953093411
44,Small Village Dataset,19.18487394957983,SUPERPOINT,0.04201680672268908,0.0021901007446342535,0.9978098992553658,0.0021901007446342344
45,Small Village Dataset,18.445378151260503,SUPERPOINT,0.17647058823529413,0.009567198177676539,0.9904328018223235,0.009567198177676511
46,Small Village Dataset,28.100840336134453,SUPERPOINT,0.4369747899159664,0.01555023923444976,0.9844497607655502,0.01555023923444976
47,Small Village Dataset,36.7563025210084,SUPERPOINT,1.5798319327731092,0.04298125285779607,0.9570187471422039,0.042981252857796075
48,Small Village Dataset,36.54621848739496,SUPERPOINT,3.9327731092436973,0.10761094504483788,0.8923890549551621,0.10761094504483791
49,Small Village Dataset,22.134453781512605,SUPERPOINT,3.8403361344537816,0.17350037965072135,0.8264996203492786,0.17350037965072138
50,Small Village Dataset,15.126050420168067,SUPERPOINT,2.0588235294117645,0.1361111111111111,0.8638888888888889,0.1361111111111111
51,Small Village Dataset,16.45378151260504,SUPERPOINT,2.092436974789916,0.12717058222676203,0.872829417773238,0.12717058222676203
52,Small Village Dataset,20.554621848739497,SUPERPOINT,0.05042016806722689,0.0024529844644317253,0.9975470155355682,0.0024529844644317436
53,Small Village Dataset,14.176470588235293,SUPERPOINT,3.563025210084034,0.2513337285121518,0.7486662714878483,0.2513337285121518
54,Small Village Dataset,8.722689075630251,SUPERPOINT,1.6134453781512605,0.18497109826589597,0.815028901734104,0.18497109826589597
55,Small Village Dataset,14.521008403361344,SUPERPOINT,1.546218487394958,0.10648148148148148,0.8935185185185185,0.1064814814814815
56,Small Village Dataset,19.48739495798319,SUPERPOINT,1.4873949579831933,0.07632600258732213,0.923673997412678,0.07632600258732207
57,Small Village Dataset,20.705882352941178,SUPERPOINT,1.5714285714285714,0.07589285714285714,0.9241071428571428,0.07589285714285716
58,Small Village Dataset,9.873949579831933,SUPERPOINT,0.7563025210084033,0.07659574468085106,0.9234042553191488,0.07659574468085112
59,Small Village Dataset,5.781512605042017,SUPERPOINT,0.37815126050420167,0.06540697674418605,0.9345930232558141,0.065406976744186
60,Small Village Dataset,73.66386554621849,SUPERPOINT,6.823529411764706,0.09263061829796942,0.9073693817020305,0.09263061829796945
61,Small Village Dataset,80.46218487394958,SUPERPOINT,8.327731092436975,0.10349869451697129,0.8965013054830286,0.10349869451697132
62,Small Village Dataset,73.63865546218487,SUPERPOINT,7.689075630252101,0.10441629578911332,0.8955837042108866,0.10441629578911335
63,Small Village Dataset,74.4453781512605,SUPERPOINT,13.193277310924369,0.17722090529405124,0.8227790947059487,0.1772209052940513
64,Small Village Dataset,53.075630252100844,SUPERPOINT,6.470588235294118,0.12191260291323622,0.8780873970867639,0.12191260291323618
65,Small Village Dataset,41.739495798319325,SUPERPOINT,0.05042016806722689,0.0012079726192872962,0.9987920273807127,0.001207972619287293
66,Small Village Dataset,52.49579831932773,SUPERPOINT,9.521008403361344,0.18136705618696974,0.8186329438130303,0.1813670561869697
67,Small Village Dataset,64.32773109243698,SUPERPOINT,9.840336134453782,0.15297191378184194,0.8470280862181582,0.15297191378184188
68,Small Village Dataset,82.12605042016807,SUPERPOINT,12.605042016806722,0.15348408881612605,0.8465159111838739,0.15348408881612605
69,Small Village Dataset,84.39495798319328,SUPERPOINT,10.478991596638656,0.12416608583092702,0.8758339141690731,0.12416608583092696
70,Small Village Dataset,77.3109243697479,SUPERPOINT,6.34453781512605,0.08206521739130435,0.9179347826086957,0.08206521739130435
71,Small Village Dataset,65.14285714285714,SUPERPOINT,5.546218487394958,0.08513931888544891,0.9148606811145511,0.08513931888544891
72,Small Village Dataset,33.15126050420168,SUPERPOINT,2.1176470588235294,0.06387832699619772,0.9361216730038023,0.06387832699619769
