,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Small Village Dataset,54.0672268907563,SUPERPOINT,5.773109243697479,0.10677649984457568,0.8932235001554244,0.10677649984457564
1,Small Village Dataset,58.89915966386555,SUPERPOINT,7.117647058823529,0.12084462833499786,0.8791553716650021,0.12084462833499786
2,Small Village Dataset,55.36134453781513,SUPERPOINT,7.033613445378151,0.12704918032786885,0.8729508196721312,0.12704918032786885
3,Small Village Dataset,53.78151260504202,SUPERPOINT,10.117647058823529,0.188125,0.811875,0.188125
4,Small Village Dataset,37.563025210084035,SUPERPOINT,5.815126050420168,0.15480984340044743,0.8451901565995525,0.15480984340044743
5,Small Village Dataset,28.563025210084035,SUPERPOINT,0.05042016806722689,0.0017652250661959398,0.9982347749338041,0.0017652250661959294
6,Small Village Dataset,36.588235294117645,SUPERPOINT,8.61344537815126,0.23541570969223702,0.7645842903077629,0.23541570969223707
7,Small Village Dataset,46.134453781512605,SUPERPOINT,8.38655462184874,0.18178506375227688,0.8182149362477231,0.18178506375227688
8,Small Village Dataset,58.72268907563025,SUPERPOINT,10.77310924369748,0.18345735546651404,0.8165426445334859,0.18345735546651407
9,Small Village Dataset,60.6890756302521,SUPERPOINT,8.294117647058824,0.13666574356134037,0.8633342564386596,0.1366657435613404
10,Small Village Dataset,55.00840336134454,SUPERPOINT,5.697478991596639,0.10357470210815765,0.8964252978918423,0.10357470210815764
11,Small Village Dataset,45.19327731092437,SUPERPOINT,4.1344537815126055,0.09148382298252139,0.9085161770174787,0.09148382298252136
12,Small Village Dataset,22.03361344537815,SUPERPOINT,1.8235294117647058,0.08276125095347063,0.9172387490465294,0.08276125095347063
13,Small Village Dataset,8.46218487394958,SUPERPOINT,0.03361344537815126,0.003972194637537239,0.9960278053624628,0.003972194637537206
14,Small Village Dataset,20.563025210084035,SUPERPOINT,0.3025210084033613,0.014711892112791171,0.9852881078872089,0.014711892112791142
15,Small Village Dataset,30.436974789915965,SUPERPOINT,2.3445378151260505,0.07702926559911652,0.9229707344008835,0.0770292655991165
16,Small Village Dataset,47.32773109243698,SUPERPOINT,2.907563025210084,0.06143465909090909,0.9385653409090909,0.061434659090909075
17,Small Village Dataset,51.97478991596638,SUPERPOINT,1.1092436974789917,0.021341956345998385,0.9786580436540016,0.021341956345998416
18,Small Village Dataset,57.90756302521008,SUPERPOINT,1.1260504201680672,0.019445653751269772,0.9805543462487302,0.0194456537512698
19,Small Village Dataset,41.8235294117647,SUPERPOINT,0.907563025210084,0.0216998191681736,0.9783001808318265,0.02169981916817357
20,Small Village Dataset,31.605042016806724,SUPERPOINT,0.6974789915966386,0.02206859877692103,0.977931401223079,0.022068598776921026
21,Small Village Dataset,22.51260504201681,SUPERPOINT,0.1092436974789916,0.004852556924225457,0.9951474430757745,0.004852556924225469
22,Small Village Dataset,23.050420168067227,SUPERPOINT,2.7394957983193278,0.11884797666788188,0.8811520233321181,0.11884797666788191
23,Small Village Dataset,39.134453781512605,SUPERPOINT,2.0840336134453783,0.05325316727506979,0.9467468327249302,0.05325316727506979
24,Small Village Dataset,41.94117647058823,SUPERPOINT,2.134453781512605,0.050891604888799846,0.9491083951112002,0.050891604888799846
25,Small Village Dataset,44.69747899159664,SUPERPOINT,1.1008403361344539,0.024628689603308895,0.9753713103966911,0.024628689603308888
26,Small Village Dataset,37.596638655462186,SUPERPOINT,0.680672268907563,0.018104604380867233,0.9818953956191327,0.01810460438086724
27,Small Village Dataset,19.974789915966387,SUPERPOINT,0.48739495798319327,0.02440050483803113,0.975599495161969,0.024400504838031075
28,Small Village Dataset,18.81512605042017,SUPERPOINT,0.04201680672268908,0.002233139794551139,0.9977668602054489,0.002233139794551113
29,Small Village Dataset,20.478991596638654,SUPERPOINT,0.6722689075630253,0.0328272466146902,0.9671727533853097,0.03282724661469024
30,Small Village Dataset,31.218487394957982,SUPERPOINT,1.9579831932773109,0.06271870794078062,0.9372812920592194,0.06271870794078062
31,Small Village Dataset,40.285714285714285,SUPERPOINT,2.6638655462184873,0.06612432206925323,0.9338756779307468,0.06612432206925323
32,Small Village Dataset,42.865546218487395,SUPERPOINT,4.033613445378151,0.09409919623603215,0.9059008037639679,0.09409919623603216
33,Small Village Dataset,38.61344537815126,SUPERPOINT,4.470588235294118,0.11577801958650707,0.884221980413493,0.11577801958650705
34,Small Village Dataset,26.80672268907563,SUPERPOINT,3.823529411764706,0.1426332288401254,0.8573667711598746,0.1426332288401254
35,Small Village Dataset,18.327731092436974,SUPERPOINT,3.5210084033613445,0.19211370930765703,0.807886290692343,0.19211370930765703
36,Small Village Dataset,15.983193277310924,SUPERPOINT,0.05042016806722689,0.0031545741324921135,0.9968454258675079,0.003154574132492104
37,Small Village Dataset,13.294117647058824,SUPERPOINT,2.9411764705882355,0.22123893805309736,0.7787610619469026,0.22123893805309736
38,Small Village Dataset,12.605042016806722,SUPERPOINT,1.9915966386554622,0.158,0.842,0.158
39,Small Village Dataset,21.462184873949578,SUPERPOINT,1.6974789915966386,0.07909162098668755,0.9209083790133124,0.07909162098668761
40,Small Village Dataset,25.69747899159664,SUPERPOINT,2.5210084033613445,0.09810333551340746,0.9018966644865927,0.09810333551340741
