,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Small Village Dataset,1164.8487394957983,SURF,13.823529411764707,0.011867231291977176,0.9881327687080229,0.01186723129197713
1,Small Village Dataset,1199.3529411764705,SURF,14.394957983193278,0.012002270131653624,0.9879977298683463,0.012002270131653647
2,Small Village Dataset,1106.3949579831933,SURF,11.22689075630252,0.01014727216108035,0.9898527278389196,0.010147272161080353
3,Small Village Dataset,1151.1512605042017,SURF,8.647058823529411,0.0075116616905253775,0.9924883383094746,0.0075116616905253975
4,Small Village Dataset,1096.2521008403362,SURF,0.5210084033613446,0.0004752633112054824,0.9995247366887946,0.00047526331120544034
5,Small Village Dataset,1221.546218487395,SURF,0.24369747899159663,0.0001994991882446823,0.9998005008117553,0.00019949918824468585
6,Small Village Dataset,1158.8067226890757,SURF,30.04201680672269,0.025924959027687128,0.974075040972313,0.02592495902768706
7,Small Village Dataset,1154.4789915966387,SURF,23.26050420168067,0.020148053252585833,0.979851946747414,0.020148053252585892
8,Small Village Dataset,1192.361344537815,SURF,27.96638655462185,0.023454623619538942,0.9765453763804611,0.023454623619538907
9,Small Village Dataset,1138.7563025210084,SURF,21.403361344537814,0.018795383434677373,0.9812046165653225,0.018795383434677414
10,Small Village Dataset,1153.689075630252,SURF,1.0084033613445378,0.0008740685706793697,0.9991259314293206,0.000874068570679384
11,Small Village Dataset,1245.2773109243697,SURF,1.361344537815126,0.0010932059276054743,0.9989067940723946,0.0010932059276054487
12,Small Village Dataset,1309.546218487395,SURF,0.48739495798319327,0.00037218614440822403,0.9996278138555917,0.00037218614440824187
13,Small Village Dataset,1322.0,SURF,0.07563025210084033,5.720896528051462e-05,0.9999427910347195,5.7208965280506045e-05
14,Small Village Dataset,1212.8235294117646,SURF,5.823529411764706,0.004801629644000388,0.9951983703559997,0.004801629644000357
15,Small Village Dataset,1247.7226890756303,SURF,0.5966386554621849,0.0004781820998255645,0.9995218179001745,0.00047818209982554747
16,Small Village Dataset,1202.2689075630253,SURF,0.7142857142857143,0.0005941147689941986,0.9994058852310057,0.0005941147689942451
17,Small Village Dataset,1112.3949579831933,SURF,0.18487394957983194,0.00016619452313503306,0.9998338054768648,0.00016619452313509388
18,Small Village Dataset,1175.579831932773,SURF,0.19327731092436976,0.00016441019629147784,0.9998355898037086,0.00016441019629145456
19,Small Village Dataset,1135.9915966386554,SURF,0.12605042016806722,0.00011096069772086727,0.9998890393022792,0.00011096069772081531
20,Small Village Dataset,1198.4033613445379,SURF,0.16806722689075632,0.0001402426197321366,0.9998597573802678,0.0001402426197321796
21,Small Village Dataset,1322.4705882352941,SURF,0.14285714285714285,0.00010802292627752996,0.9998919770737225,0.00010802292627753501
22,Small Village Dataset,1301.3697478991596,SURF,0.23529411764705882,0.0001808049695537346,0.9998191950304463,0.00018080496955374202
23,Small Village Dataset,1267.3193277310925,SURF,0.20168067226890757,0.00015913958530876395,0.9998408604146913,0.0001591395853087146
24,Small Village Dataset,1181.1764705882354,SURF,0.16806722689075632,0.0001422879908935686,0.9998577120091064,0.0001422879908935606
25,Small Village Dataset,1266.0084033613446,SURF,0.2605042016806723,0.0002057681457634994,0.9997942318542364,0.00020576814576353115
26,Small Village Dataset,1128.3529411764705,SURF,0.1092436974789916,9.681695637278998e-05,0.9999031830436271,9.681695637282966e-05
27,Small Village Dataset,1185.9915966386554,SURF,0.18487394957983194,0.00015588133179341473,0.9998441186682065,0.00015588133179343257
28,Small Village Dataset,1139.1764705882354,SURF,0.09243697478991597,8.114368333308744e-05,0.9999188563166669,8.114368333310275e-05
29,Small Village Dataset,1333.579831932773,SURF,0.21008403361344538,0.00015753390129555881,0.9998424660987045,0.0001575339012955145
30,Small Village Dataset,1243.5294117647059,SURF,0.4957983193277311,0.00039870252736856333,0.9996012974726314,0.0003987025273685926
31,Small Village Dataset,1117.9495798319329,SURF,0.6218487394957983,0.0005562404161279654,0.999443759583872,0.000556240416127986
32,Small Village Dataset,1237.857142857143,SURF,0.2605042016806723,0.0002104477105325685,0.9997895522894673,0.00021044771053262964
33,Small Village Dataset,1291.4117647058824,SURF,0.9663865546218487,0.0007483179114772446,0.9992516820885229,0.0007483179114771795
34,Small Village Dataset,1358.2521008403362,SURF,2.0756302521008405,0.001528162740051475,0.9984718372599485,0.0015281627400514973
35,Small Village Dataset,1301.8235294117646,SURF,12.277310924369749,0.009430856523170474,0.9905691434768296,0.009430856523170456
36,Small Village Dataset,1487.7899159663866,SURF,0.19327731092436976,0.00012990900721277402,0.9998700909927873,0.00012990900721271628
37,Small Village Dataset,1414.638655462185,SURF,1.2521008403361344,0.0008851029451949008,0.999114897054805,0.0008851029451949248
38,Small Village Dataset,1378.8067226890757,SURF,0.09243697478991597,6.704128524238472e-05,0.9999329587147576,6.704128524237995e-05
39,Small Village Dataset,1280.361344537815,SURF,8.932773109243698,0.006976759449472641,0.9930232405505274,0.006976759449472633
40,Small Village Dataset,1232.0588235294117,SURF,0.25210084033613445,0.00020461753572281145,0.9997953824642771,0.00020461753572284224
41,Small Village Dataset,1348.6470588235295,SURF,0.35294117647058826,0.00026170017882845553,0.9997382998211716,0.0002617001788284417
42,Small Village Dataset,1246.5966386554621,SURF,0.9747899159663865,0.0007819609693619603,0.9992180390306381,0.0007819609693619273
43,Small Village Dataset,1217.857142857143,SURF,0.1092436974789916,8.970156977747111e-05,0.9999102984302225,8.970156977748583e-05
44,Small Village Dataset,1285.7394957983192,SURF,0.058823529411764705,4.575073691365529e-05,0.9999542492630864,4.575073691362603e-05
45,Small Village Dataset,1295.1176470588234,SURF,0.2773109243697479,0.0002141202577229284,0.9997858797422772,0.00021412025772287789
46,Small Village Dataset,1399.8067226890757,SURF,1.1932773109243697,0.0008524586227390335,0.999147541377261,0.0008524586227390027
47,Small Village Dataset,1357.3529411764705,SURF,4.873949579831932,0.0035907754217613373,0.9964092245782386,0.0035907754217613936
48,Small Village Dataset,1292.2436974789916,SURF,4.176470588235294,0.0032319527627668637,0.9967680472372331,0.003231952762766876
49,Small Village Dataset,1484.2016806722688,SURF,12.798319327731093,0.00862303249915072,0.9913769675008492,0.008623032499150736
50,Small Village Dataset,1424.142857142857,SURF,17.899159663865547,0.012568373723247952,0.9874316262767521,0.01256837372324794
51,Small Village Dataset,1453.4705882352941,SURF,19.11764705882353,0.013153102108543445,0.9868468978914566,0.013153102108543407
52,Small Village Dataset,1477.5966386554621,SURF,1.0756302521008403,0.0007279593252727004,0.9992720406747273,0.0007279593252726991
53,Small Village Dataset,1570.1512605042017,SURF,19.92436974789916,0.012689458811440315,0.9873105411885597,0.01268945881144033
54,Small Village Dataset,1555.8991596638655,SURF,0.42016806722689076,0.00027004839267196683,0.9997299516073279,0.00027004839267202554
