,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Small Village Dataset,73.67226890756302,SUPERPOINT,6.092436974789916,0.08269647541918558,0.9173035245808143,0.08269647541918564
1,Small Village Dataset,80.47058823529412,SUPERPOINT,9.327731092436975,0.11591478696741855,0.8840852130325815,0.11591478696741854
2,Small Village Dataset,73.65546218487395,SUPERPOINT,7.983193277310924,0.10838562464346833,0.8916143753565315,0.10838562464346839
3,Small Village Dataset,74.43697478991596,SUPERPOINT,12.680672268907562,0.17035448182433957,0.8296455181756603,0.17035448182433963
4,Small Village Dataset,53.08403361344538,SUPERPOINT,7.65546218487395,0.1442140256450847,0.8557859743549153,0.1442140256450847
5,Small Village Dataset,41.680672268907564,SUPERPOINT,0.07563025210084033,0.001814516129032258,0.9981854838709676,0.001814516129032321
6,Small Village Dataset,52.48739495798319,SUPERPOINT,9.420168067226891,0.17947486391290426,0.8205251360870958,0.1794748639129043
7,Small Village Dataset,64.3109243697479,SUPERPOINT,9.092436974789916,0.1413824643930485,0.8586175356069514,0.14138246439304855
8,Small Village Dataset,82.10924369747899,SUPERPOINT,13.596638655462185,0.1655920581312046,0.8344079418687954,0.1655920581312046
9,Small Village Dataset,84.36134453781513,SUPERPOINT,11.159663865546218,0.13228409204103994,0.86771590795896,0.13228409204103994
10,Small Village Dataset,77.34453781512605,SUPERPOINT,6.025210084033613,0.07790091264667537,0.9220990873533246,0.0779009126466754
11,Small Village Dataset,65.1344537815126,SUPERPOINT,5.218487394957983,0.08011869436201781,0.9198813056379822,0.08011869436201781
12,Small Village Dataset,33.168067226890756,SUPERPOINT,2.1176470588235294,0.06384595895616925,0.9361540410438308,0.06384595895616922
13,Small Village Dataset,14.042016806722689,SUPERPOINT,0.058823529411764705,0.004189108318372232,0.9958108916816277,0.004189108318372251
14,Small Village Dataset,31.19327731092437,SUPERPOINT,0.5546218487394958,0.017780172413793104,0.9822198275862069,0.017780172413793125
15,Small Village Dataset,43.08403361344538,SUPERPOINT,3.0,0.06963136337039204,0.930368636629608,0.06963136337039201
16,Small Village Dataset,66.82352941176471,SUPERPOINT,3.2436974789915967,0.048541247484909456,0.9514587525150905,0.04854124748490948
17,Small Village Dataset,69.72268907563026,SUPERPOINT,1.1680672268907564,0.01675304326865132,0.9832469567313487,0.016753043268651333
18,Small Village Dataset,80.25210084033614,SUPERPOINT,1.2521008403361344,0.015602094240837696,0.9843979057591622,0.015602094240837751
19,Small Village Dataset,56.60504201680672,SUPERPOINT,0.8571428571428571,0.015142517814726841,0.9848574821852732,0.015142517814726796
20,Small Village Dataset,44.69747899159664,SUPERPOINT,0.7647058823529411,0.017108479037413048,0.9828915209625869,0.017108479037413065
21,Small Village Dataset,33.27731092436975,SUPERPOINT,0.12605042016806722,0.0037878787878787876,0.9962121212121211,0.0037878787878788413
22,Small Village Dataset,33.319327731092436,SUPERPOINT,2.9411764705882355,0.08827238335435057,0.9117276166456494,0.0882723833543506
23,Small Village Dataset,54.403361344537814,SUPERPOINT,2.226890756302521,0.04093296261970961,0.9590670373802903,0.040932962619709655
24,Small Village Dataset,56.81512605042017,SUPERPOINT,2.1512605042016806,0.03786422126904304,0.962135778730957,0.037864221269043014
25,Small Village Dataset,63.142857142857146,SUPERPOINT,1.1764705882352942,0.01863188714399787,0.9813681128560021,0.018631887143997876
26,Small Village Dataset,52.04201680672269,SUPERPOINT,0.6386554621848739,0.012271919909575326,0.9877280800904247,0.012271919909575326
27,Small Village Dataset,30.319327731092436,SUPERPOINT,0.5882352941176471,0.019401330376940133,0.9805986696230599,0.019401330376940137
28,Small Village Dataset,28.831932773109244,SUPERPOINT,0.04201680672268908,0.0014573010784027982,0.9985426989215972,0.001457301078402802
29,Small Village Dataset,31.008403361344538,SUPERPOINT,0.8487394957983193,0.027371273712737128,0.9726287262872628,0.027371273712737152
30,Small Village Dataset,45.26890756302521,SUPERPOINT,2.26890756302521,0.05012066085019491,0.9498793391498052,0.050120660850194884
31,Small Village Dataset,57.0672268907563,SUPERPOINT,3.4873949579831933,0.061110293034899135,0.9388897069651009,0.06111029303489913
32,Small Village Dataset,60.05882352941177,SUPERPOINT,5.428571428571429,0.0903875752063803,0.9096124247936197,0.09038757520638029
33,Small Village Dataset,53.32773109243698,SUPERPOINT,5.226890756302521,0.09801449732114717,0.9019855026788528,0.09801449732114718
34,Small Village Dataset,38.18487394957983,SUPERPOINT,5.529411764705882,0.144806338028169,0.8551936619718309,0.14480633802816906
35,Small Village Dataset,27.100840336134453,SUPERPOINT,3.7142857142857144,0.13705426356589148,0.8629457364341084,0.13705426356589154
36,Small Village Dataset,25.067226890756302,SUPERPOINT,0.058823529411764705,0.0023466309084813944,0.9976533690915186,0.0023466309084814057
37,Small Village Dataset,20.51260504201681,SUPERPOINT,4.554621848739496,0.22204014748054074,0.7779598525194593,0.2220401474805407
38,Small Village Dataset,19.008403361344538,SUPERPOINT,2.823529411764706,0.14854111405835546,0.8514588859416445,0.14854111405835546
39,Small Village Dataset,29.638655462184875,SUPERPOINT,2.134453781512605,0.0720158775163028,0.9279841224836972,0.0720158775163028
40,Small Village Dataset,35.1764705882353,SUPERPOINT,3.033613445378151,0.08623984710941232,0.9137601528905877,0.08623984710941233
41,Small Village Dataset,40.983193277310924,SUPERPOINT,2.6050420168067228,0.06356366618823048,0.9364363338117696,0.06356366618823044
42,Small Village Dataset,34.78991596638655,SUPERPOINT,2.092436974789916,0.06014492753623189,0.939855072463768,0.060144927536231955
43,Small Village Dataset,20.798319327731093,SUPERPOINT,0.7142857142857143,0.03434343434343434,0.9656565656565657,0.03434343434343434
44,Small Village Dataset,19.201680672268907,SUPERPOINT,0.04201680672268908,0.0021881838074398253,0.9978118161925602,0.002188183807439809
45,Small Village Dataset,18.45378151260504,SUPERPOINT,0.19327731092436976,0.010473588342440802,0.9895264116575593,0.01047358834244076
46,Small Village Dataset,28.092436974789916,SUPERPOINT,0.47058823529411764,0.016751420879449596,0.9832485791205504,0.01675142087944959
47,Small Village Dataset,36.773109243697476,SUPERPOINT,1.5714285714285714,0.04273308957952468,0.9572669104204754,0.04273308957952464
