,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,MAP Dataset,8.403361344537815,GFTT+SIFT,0.8571428571428571,0.102,0.898,0.102
1,MAP Dataset,8.403361344537815,GFTT+SIFT,0.9915966386554622,0.118,0.882,0.118
2,MAP Dataset,8.403361344537815,GFTT+SIFT,0.8235294117647058,0.09799999999999999,0.902,0.09799999999999999
3,MAP Dataset,8.403361344537815,GFTT+SIFT,0.6974789915966386,0.08299999999999999,0.9169999999999999,0.08300000000000003
4,MAP Dataset,8.403361344537815,GFTT+SIFT,0.04201680672268908,0.005,0.995,0.005000000000000002
5,MAP Dataset,8.403361344537815,GFTT+SIFT,2.4705882352941178,0.294,0.706,0.294
6,MAP Dataset,8.403361344537815,GFTT+SIFT,0.680672268907563,0.081,0.9189999999999999,0.08100000000000003
7,MAP Dataset,8.403361344537815,GFTT+SIFT,1.0168067226890756,0.12099999999999998,0.879,0.12099999999999998
8,MAP Dataset,8.403361344537815,GFTT+SIFT,1.4873949579831933,0.177,0.823,0.17700000000000005
9,MAP Dataset,8.403361344537815,GFTT+SIFT,1.7563025210084033,0.209,0.791,0.209
10,MAP Dataset,8.403361344537815,GFTT+SIFT,2.176470588235294,0.25899999999999995,0.7410000000000001,0.25899999999999995
11,MAP Dataset,8.403361344537815,GFTT+SIFT,2.2605042016806722,0.26899999999999996,0.731,0.26899999999999996
12,MAP Dataset,8.403361344537815,GFTT+SIFT,1.7983193277310925,0.214,0.786,0.214
13,MAP Dataset,8.403361344537815,GFTT+SIFT,1.680672268907563,0.19999999999999998,0.7999999999999999,0.20000000000000004
14,MAP Dataset,8.403361344537815,GFTT+SIFT,1.588235294117647,0.18899999999999997,0.811,0.18899999999999995
15,MAP Dataset,8.403361344537815,GFTT+SIFT,1.6974789915966386,0.20199999999999999,0.7979999999999999,0.20200000000000007
16,MAP Dataset,8.403361344537815,GFTT+SIFT,1.403361344537815,0.16699999999999998,0.833,0.167
17,MAP Dataset,8.403361344537815,GFTT+SIFT,2.033613445378151,0.24199999999999997,0.758,0.24199999999999997
18,MAP Dataset,8.403361344537815,GFTT+SIFT,2.2521008403361344,0.26799999999999996,0.732,0.26799999999999996
19,MAP Dataset,8.403361344537815,GFTT+SIFT,2.6134453781512605,0.311,0.6890000000000001,0.311
20,MAP Dataset,8.403361344537815,GFTT+SIFT,2.0756302521008405,0.247,0.753,0.247
21,MAP Dataset,8.403361344537815,GFTT+SIFT,1.588235294117647,0.18899999999999997,0.811,0.18899999999999995
22,MAP Dataset,8.403361344537815,GFTT+SIFT,1.3529411764705883,0.161,0.839,0.161
23,MAP Dataset,8.403361344537815,GFTT+SIFT,0.8403361344537815,0.09999999999999999,0.9,0.09999999999999999
24,MAP Dataset,8.403361344537815,GFTT+SIFT,0.05042016806722689,0.006,0.994,0.006000000000000003
25,MAP Dataset,8.403361344537815,GFTT+SIFT,4.26890756302521,0.508,0.49200000000000005,0.508
26,MAP Dataset,8.403361344537815,GFTT+SIFT,1.7983193277310925,0.214,0.786,0.214
27,MAP Dataset,8.403361344537815,GFTT+SIFT,2.2100840336134455,0.263,0.737,0.263
28,MAP Dataset,8.403361344537815,GFTT+SIFT,2.7142857142857144,0.323,0.677,0.323
29,MAP Dataset,8.403361344537815,GFTT+SIFT,2.310924369747899,0.27499999999999997,0.7250000000000001,0.27499999999999997
