,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Gravel Quarry Dataset,230.1919191919192,MSER+SIFT,0.8181818181818182,0.003554346395190662,0.9964456536048094,0.0035543463951906253
1,Gravel Quarry Dataset,222.06060606060606,MSER+SIFT,0.98989898989899,0.00445778748180495,0.9955422125181951,0.004457787481804935
2,Gravel Quarry Dataset,261.5050505050505,MSER+SIFT,0.5454545454545454,0.0020858279578199234,0.99791417204218,0.002085827957819949
3,Gravel Quarry Dataset,239.6969696969697,MSER+SIFT,1.2828282828282829,0.005351875263379689,0.9946481247366202,0.0053518752633797285
4,Gravel Quarry Dataset,215.27272727272728,MSER+SIFT,1.3333333333333333,0.006193693693693693,0.9938063063063063,0.006193693693693704
5,Gravel Quarry Dataset,199.88888888888889,MSER+SIFT,2.1515151515151514,0.010763555510637223,0.9892364444893628,0.01076355551063723
6,Gravel Quarry Dataset,214.2020202020202,MSER+SIFT,2.191919191919192,0.010232952937847779,0.9897670470621522,0.01023295293784777
7,Gravel Quarry Dataset,199.08080808080808,MSER+SIFT,5.686868686868687,0.028565629915267135,0.9714343700847329,0.028565629915267128
8,Gravel Quarry Dataset,193.5252525252525,MSER+SIFT,3.303030303030303,0.017067696643874943,0.982932303356125,0.017067696643874957
9,Gravel Quarry Dataset,203.56565656565655,MSER+SIFT,7.616161616161616,0.03741378454820622,0.9625862154517938,0.037413784548206215
10,Gravel Quarry Dataset,197.1818181818182,MSER+SIFT,12.262626262626263,0.062189437016546285,0.9378105629834537,0.06218943701654631
11,Gravel Quarry Dataset,227.63636363636363,MSER+SIFT,9.88888888888889,0.04344160454384097,0.9565583954561591,0.04344160454384095
12,Gravel Quarry Dataset,231.84848484848484,MSER+SIFT,3.595959595959596,0.015509955125691631,0.9844900448743085,0.015509955125691583
13,Gravel Quarry Dataset,257.85858585858585,MSER+SIFT,1.5757575757575757,0.0061109370103415855,0.9938890629896585,0.006110937010341538
