,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Gravel Quarry Dataset,10.1010101010101,ROOTSIFT,0.0707070707070707,0.007,0.993,0.007000000000000004
1,Gravel Quarry Dataset,10.1010101010101,ROOTSIFT,0.06060606060606061,0.006000000000000001,0.994,0.006000000000000002
2,Gravel Quarry Dataset,10.11111111111111,ROOTSIFT,0.06060606060606061,0.005994005994005994,0.994005994005994,0.0059940059940060035
3,Gravel Quarry Dataset,10.1010101010101,ROOTSIFT,0.0707070707070707,0.007,0.993,0.007000000000000004
4,Gravel Quarry Dataset,10.1010101010101,ROOTSIFT,0.06060606060606061,0.006000000000000001,0.994,0.006000000000000002
5,Gravel Quarry Dataset,10.1010101010101,ROOTSIFT,0.09090909090909091,0.009000000000000001,0.9909999999999999,0.00900000000000006
6,Gravel Quarry Dataset,10.1010101010101,ROOTSIFT,0.25252525252525254,0.025000000000000005,0.975,0.025000000000000012
7,Gravel Quarry Dataset,10.1010101010101,ROOTSIFT,0.41414141414141414,0.041,0.9590000000000001,0.04099999999999996
8,Gravel Quarry Dataset,10.1010101010101,ROOTSIFT,1.1616161616161615,0.115,0.8850000000000001,0.11499999999999995
9,Gravel Quarry Dataset,10.1010101010101,ROOTSIFT,0.43434343434343436,0.043000000000000003,0.957,0.04300000000000002
10,Gravel Quarry Dataset,10.1010101010101,ROOTSIFT,1.0505050505050506,0.10400000000000002,0.896,0.104
11,Gravel Quarry Dataset,10.1010101010101,ROOTSIFT,0.48484848484848486,0.04800000000000001,0.9520000000000001,0.047999999999999966
12,Gravel Quarry Dataset,10.1010101010101,ROOTSIFT,0.06060606060606061,0.006000000000000001,0.994,0.006000000000000002
13,Gravel Quarry Dataset,10.1010101010101,ROOTSIFT,0.08080808080808081,0.008000000000000002,0.992,0.008000000000000005
14,Gravel Quarry Dataset,10.1010101010101,ROOTSIFT,0.0707070707070707,0.007,0.993,0.007000000000000004
15,Gravel Quarry Dataset,10.1010101010101,ROOTSIFT,0.06060606060606061,0.006000000000000001,0.994,0.006000000000000002
16,Gravel Quarry Dataset,10.1010101010101,ROOTSIFT,0.0707070707070707,0.007,0.993,0.007000000000000004
