,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Small Village Dataset,185.74789915966386,FAST+SIFT,15.277310924369749,0.08224755700325734,0.9177524429967427,0.0822475570032573
1,Small Village Dataset,193.76470588235293,FAST+SIFT,20.48739495798319,0.10573336802845,0.8942666319715501,0.10573336802844994
2,Small Village Dataset,154.07563025210084,FAST+SIFT,15.193277310924369,0.09860921734387783,0.9013907826561222,0.09860921734387783
3,Small Village Dataset,154.64705882352942,FAST+SIFT,17.857142857142858,0.11547030375482258,0.8845296962451774,0.11547030375482258
4,Small Village Dataset,177.47058823529412,FAST+SIFT,9.050420168067227,0.050996732799848475,0.9490032672001515,0.05099673279984849
5,Small Village Dataset,296.00840336134456,FAST+SIFT,0.21008403361344538,0.0007097232079488998,0.9992902767920511,0.0007097232079489156
6,Small Village Dataset,252.9075630252101,FAST+SIFT,74.7983193277311,0.2957535885167464,0.7042464114832536,0.2957535885167464
7,Small Village Dataset,162.2941176470588,FAST+SIFT,36.109243697478995,0.22249262155025115,0.7775073784497488,0.22249262155025115
8,Small Village Dataset,155.08403361344537,FAST+SIFT,21.974789915966387,0.1416960173394744,0.8583039826605255,0.14169601733947443
9,Small Village Dataset,160.58823529411765,FAST+SIFT,17.596638655462186,0.10957613814756673,0.8904238618524333,0.10957613814756673
10,Small Village Dataset,179.57142857142858,FAST+SIFT,11.630252100840336,0.06476671814310449,0.9352332818568956,0.06476671814310446
11,Small Village Dataset,181.05042016806723,FAST+SIFT,10.663865546218487,0.05889997679275934,0.9411000232072406,0.05889997679275936
12,Small Village Dataset,449.9495798319328,FAST+SIFT,5.084033613445378,0.011299118481996114,0.9887008815180038,0.011299118481996138
13,Small Village Dataset,781.8151260504202,FAST+SIFT,0.058823529411764705,7.523969216217378e-05,0.999924760307838,7.523969216211421e-05
14,Small Village Dataset,342.14285714285717,FAST+SIFT,30.991596638655462,0.09058086700233328,0.9094191329976667,0.09058086700233327
15,Small Village Dataset,217.9579831932773,FAST+SIFT,11.38655462184874,0.052241970929560094,0.9477580290704399,0.05224197092956009
16,Small Village Dataset,185.28571428571428,FAST+SIFT,1.0672268907563025,0.00575989840809107,0.9942401015919089,0.005759898408091085
17,Small Village Dataset,203.00840336134453,FAST+SIFT,0.15966386554621848,0.0007864889477605762,0.9992135110522394,0.0007864889477605712
18,Small Village Dataset,178.3109243697479,FAST+SIFT,0.12605042016806722,0.0007069136151562278,0.9992930863848437,0.0007069136151562593
19,Small Village Dataset,214.3361344537815,FAST+SIFT,0.2184873949579832,0.0010193679918450561,0.998980632008155,0.0010193679918450223
20,Small Village Dataset,328.5042016806723,FAST+SIFT,0.47058823529411764,0.001432518162283843,0.998567481837716,0.0014325181622839003
21,Small Village Dataset,483.890756302521,FAST+SIFT,0.31092436974789917,0.0006425507528263549,0.9993574492471736,0.0006425507528263656
22,Small Village Dataset,323.8655462184874,FAST+SIFT,4.126050420168068,0.012740010378827193,0.9872599896211729,0.01274001037882715
23,Small Village Dataset,177.92436974789916,FAST+SIFT,0.07563025210084033,0.00042506966419496523,0.999574930335805,0.0004250696641949711
24,Small Village Dataset,149.81512605042016,FAST+SIFT,0.2689075630252101,0.0017949293246578416,0.9982050706753421,0.0017949293246578492
25,Small Village Dataset,219.63025210084032,FAST+SIFT,0.11764705882352941,0.0005356596265687176,0.9994643403734312,0.0005356596265687403
26,Small Village Dataset,215.7563025210084,FAST+SIFT,0.2689075630252101,0.00124634858812074,0.9987536514118792,0.0012463485881207613
27,Small Village Dataset,312.34453781512605,FAST+SIFT,0.06722689075630252,0.00021523312437784174,0.9997847668756221,0.00021523312437785998
28,Small Village Dataset,457.39495798319325,FAST+SIFT,0.2184873949579832,0.000477677751240125,0.9995223222487598,0.00047767775124015795
29,Small Village Dataset,440.4033613445378,FAST+SIFT,18.319327731092436,0.041596702793466646,0.9584032972065334,0.04159670279346663
30,Small Village Dataset,238.8655462184874,FAST+SIFT,6.7478991596638656,0.028249780123131046,0.9717502198768689,0.028249780123131053
31,Small Village Dataset,126.72268907563026,FAST+SIFT,2.403361344537815,0.01896551724137931,0.9810344827586207,0.018965517241379303
32,Small Village Dataset,150.43697478991598,FAST+SIFT,5.781512605042017,0.038431460172047814,0.9615685398279521,0.038431460172047856
