,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,MAP Dataset,33.91525423728814,DAISY+SIFT,4.203389830508475,0.12393803098450774,0.8760619690154923,0.12393803098450774
1,MAP Dataset,33.898305084745765,DAISY+SIFT,3.6440677966101696,0.1075,0.8925,0.10750000000000003
2,MAP Dataset,33.91525423728814,DAISY+SIFT,3.7966101694915255,0.11194402798600699,0.888055972013993,0.11194402798600699
3,MAP Dataset,33.898305084745765,DAISY+SIFT,4.694915254237288,0.13849999999999998,0.8615,0.13849999999999998
4,MAP Dataset,33.898305084745765,DAISY+SIFT,5.067796610169491,0.1495,0.8505,0.1495
5,MAP Dataset,33.91525423728814,DAISY+SIFT,4.830508474576271,0.14242878560719638,0.8575712143928037,0.14242878560719632
6,MAP Dataset,33.898305084745765,DAISY+SIFT,5.288135593220339,0.156,0.844,0.156
7,MAP Dataset,33.898305084745765,DAISY+SIFT,4.406779661016949,0.12999999999999998,0.87,0.12999999999999998
8,MAP Dataset,33.898305084745765,DAISY+SIFT,6.016949152542373,0.1775,0.8225,0.17750000000000002
9,MAP Dataset,33.898305084745765,DAISY+SIFT,3.694915254237288,0.10899999999999999,0.891,0.10899999999999999
10,MAP Dataset,33.91525423728814,DAISY+SIFT,0.1694915254237288,0.004997501249375312,0.9950024987506246,0.00499750124937534
11,MAP Dataset,33.898305084745765,DAISY+SIFT,7.4576271186440675,0.21999999999999997,0.7799999999999999,0.22000000000000003
12,MAP Dataset,33.898305084745765,DAISY+SIFT,4.864406779661017,0.1435,0.8565,0.1435
13,MAP Dataset,33.898305084745765,DAISY+SIFT,5.271186440677966,0.1555,0.8445,0.1555
14,MAP Dataset,33.898305084745765,DAISY+SIFT,5.084745762711864,0.15,0.85,0.15
15,MAP Dataset,33.898305084745765,DAISY+SIFT,4.406779661016949,0.12999999999999998,0.87,0.12999999999999998
16,MAP Dataset,33.91525423728814,DAISY+SIFT,4.372881355932203,0.12893553223388304,0.8710644677661169,0.12893553223388307
17,MAP Dataset,33.898305084745765,DAISY+SIFT,4.033898305084746,0.119,0.881,0.119
18,MAP Dataset,33.898305084745765,DAISY+SIFT,3.3559322033898304,0.09899999999999999,0.901,0.09899999999999999
19,MAP Dataset,33.898305084745765,DAISY+SIFT,4.084745762711864,0.12049999999999998,0.8795,0.12050000000000001
20,MAP Dataset,33.898305084745765,DAISY+SIFT,2.5762711864406778,0.07599999999999998,0.924,0.07599999999999997
21,MAP Dataset,33.898305084745765,DAISY+SIFT,0.23728813559322035,0.007,0.9930000000000001,0.006999999999999948
22,MAP Dataset,33.898305084745765,DAISY+SIFT,9.186440677966102,0.271,0.729,0.271
23,MAP Dataset,33.898305084745765,DAISY+SIFT,3.830508474576271,0.11299999999999999,0.887,0.11299999999999999
24,MAP Dataset,33.898305084745765,DAISY+SIFT,3.9661016949152543,0.11699999999999999,0.883,0.11699999999999999
25,MAP Dataset,33.898305084745765,DAISY+SIFT,4.101694915254237,0.12099999999999998,0.8790000000000001,0.12099999999999993
26,MAP Dataset,33.898305084745765,DAISY+SIFT,4.186440677966102,0.1235,0.8765,0.12350000000000003
27,MAP Dataset,33.898305084745765,DAISY+SIFT,3.6440677966101696,0.1075,0.8925,0.10750000000000003
28,MAP Dataset,33.898305084745765,DAISY+SIFT,0.15254237288135594,0.0045,0.9954999999999999,0.004500000000000029
29,MAP Dataset,33.898305084745765,DAISY+SIFT,6.694915254237288,0.19749999999999998,0.8025,0.19749999999999998
30,MAP Dataset,33.898305084745765,DAISY+SIFT,4.186440677966102,0.1235,0.8765,0.12350000000000003
31,MAP Dataset,33.932203389830505,DAISY+SIFT,4.135593220338983,0.12187812187812187,0.8781218781218781,0.12187812187812187
32,MAP Dataset,33.898305084745765,DAISY+SIFT,4.322033898305085,0.1275,0.8724999999999999,0.12750000000000003
33,MAP Dataset,33.898305084745765,DAISY+SIFT,4.067796610169491,0.11999999999999998,0.88,0.11999999999999998
34,MAP Dataset,33.898305084745765,DAISY+SIFT,10.152542372881356,0.2995,0.7005,0.2995
35,MAP Dataset,33.898305084745765,DAISY+SIFT,0.2033898305084746,0.006,0.9939999999999999,0.006000000000000058
36,MAP Dataset,33.898305084745765,DAISY+SIFT,2.016949152542373,0.0595,0.9405,0.0595
37,MAP Dataset,33.898305084745765,DAISY+SIFT,2.305084745762712,0.068,0.9319999999999999,0.06800000000000003
38,MAP Dataset,33.91525423728814,DAISY+SIFT,3.1016949152542375,0.09145427286356822,0.9085457271364318,0.09145427286356822
39,MAP Dataset,33.898305084745765,DAISY+SIFT,3.830508474576271,0.11299999999999999,0.887,0.11299999999999999
40,MAP Dataset,33.898305084745765,DAISY+SIFT,4.3559322033898304,0.1285,0.8715,0.12849999999999998
41,MAP Dataset,33.898305084745765,DAISY+SIFT,4.762711864406779,0.14049999999999999,0.8595,0.14049999999999999
42,MAP Dataset,33.898305084745765,DAISY+SIFT,3.4745762711864407,0.1025,0.8975000000000001,0.10249999999999997
43,MAP Dataset,33.898305084745765,DAISY+SIFT,3.4237288135593222,0.101,0.899,0.10099999999999999
44,MAP Dataset,33.898305084745765,DAISY+SIFT,3.152542372881356,0.093,0.907,0.09299999999999999
45,MAP Dataset,33.898305084745765,DAISY+SIFT,3.3728813559322033,0.09949999999999999,0.9005,0.09950000000000002
46,MAP Dataset,33.898305084745765,DAISY+SIFT,4.440677966101695,0.13099999999999998,0.869,0.13099999999999998
47,MAP Dataset,33.91525423728814,DAISY+SIFT,3.711864406779661,0.10944527736131933,0.8905547226386806,0.10944527736131934
48,MAP Dataset,33.898305084745765,DAISY+SIFT,4.864406779661017,0.1435,0.8565,0.1435
49,MAP Dataset,33.898305084745765,DAISY+SIFT,4.6440677966101696,0.13699999999999998,0.863,0.13699999999999998
50,MAP Dataset,33.91525423728814,DAISY+SIFT,4.084745762711864,0.12043978010994501,0.879560219890055,0.12043978010994504
51,MAP Dataset,33.898305084745765,DAISY+SIFT,3.23728813559322,0.09549999999999999,0.9045,0.09550000000000002
52,MAP Dataset,33.898305084745765,DAISY+SIFT,2.8983050847457625,0.08549999999999999,0.9145000000000001,0.08549999999999995
53,MAP Dataset,33.898305084745765,DAISY+SIFT,1.7627118644067796,0.052,0.948,0.052000000000000025
54,MAP Dataset,33.91525423728814,DAISY+SIFT,3.4745762711864407,0.1024487756121939,0.8975512243878061,0.1024487756121939
55,MAP Dataset,33.898305084745765,DAISY+SIFT,0.1694915254237288,0.004999999999999999,0.995,0.005000000000000002
56,MAP Dataset,33.898305084745765,DAISY+SIFT,1.3389830508474576,0.0395,0.9604999999999999,0.03950000000000004
57,MAP Dataset,33.932203389830505,DAISY+SIFT,1.4745762711864407,0.04345654345654346,0.9565434565434565,0.04345654345654348
58,MAP Dataset,33.898305084745765,DAISY+SIFT,1.847457627118644,0.05449999999999999,0.9455,0.05449999999999999
59,MAP Dataset,16.949152542372882,ROOTSIFT,1.2542372881355932,0.074,0.926,0.07399999999999997
60,MAP Dataset,16.949152542372882,ROOTSIFT,0.5932203389830508,0.034999999999999996,0.965,0.03500000000000001
61,MAP Dataset,16.966101694915253,ROOTSIFT,1.1864406779661016,0.06993006993006994,0.93006993006993,0.06993006993006996
62,MAP Dataset,16.949152542372882,ROOTSIFT,1.4406779661016949,0.08499999999999999,0.9149999999999999,0.08500000000000003
63,MAP Dataset,16.949152542372882,ROOTSIFT,1.4915254237288136,0.088,0.912,0.08799999999999998
64,MAP Dataset,16.949152542372882,ROOTSIFT,1.9152542372881356,0.11299999999999999,0.887,0.11299999999999999
65,MAP Dataset,16.949152542372882,ROOTSIFT,2.0,0.118,0.882,0.118
66,MAP Dataset,16.966101694915253,ROOTSIFT,2.3389830508474576,0.13786213786213788,0.8621378621378621,0.13786213786213788
67,MAP Dataset,16.949152542372882,ROOTSIFT,2.288135593220339,0.135,0.865,0.135
68,MAP Dataset,16.949152542372882,ROOTSIFT,2.3559322033898304,0.13899999999999998,0.861,0.13899999999999998
69,MAP Dataset,16.949152542372882,ROOTSIFT,0.1864406779661017,0.011,0.9890000000000001,0.010999999999999949
70,MAP Dataset,16.966101694915253,ROOTSIFT,4.237288135593221,0.2497502497502498,0.7502497502497502,0.24975024975024981
71,MAP Dataset,16.949152542372882,ROOTSIFT,2.389830508474576,0.141,0.859,0.141
72,MAP Dataset,16.949152542372882,ROOTSIFT,2.6440677966101696,0.156,0.844,0.156
73,MAP Dataset,16.949152542372882,ROOTSIFT,2.440677966101695,0.144,0.856,0.144
74,MAP Dataset,16.949152542372882,ROOTSIFT,1.7627118644067796,0.104,0.896,0.104
75,MAP Dataset,16.949152542372882,ROOTSIFT,1.7796610169491525,0.10499999999999998,0.895,0.10499999999999998
76,MAP Dataset,16.949152542372882,ROOTSIFT,1.3728813559322033,0.08099999999999999,0.9189999999999999,0.08100000000000003
77,MAP Dataset,16.949152542372882,ROOTSIFT,1.0508474576271187,0.062,0.938,0.06200000000000003
78,MAP Dataset,16.949152542372882,ROOTSIFT,1.5084745762711864,0.089,0.911,0.089
79,MAP Dataset,16.949152542372882,ROOTSIFT,1.2542372881355932,0.074,0.926,0.07399999999999997
80,MAP Dataset,16.966101694915253,ROOTSIFT,0.2711864406779661,0.015984015984015984,0.984015984015984,0.01598401598401599
81,MAP Dataset,16.949152542372882,ROOTSIFT,6.677966101694915,0.39399999999999996,0.606,0.39399999999999996
82,MAP Dataset,16.949152542372882,ROOTSIFT,2.0338983050847457,0.11999999999999998,0.88,0.11999999999999998
83,MAP Dataset,16.949152542372882,ROOTSIFT,1.7796610169491525,0.10499999999999998,0.895,0.10499999999999998
84,MAP Dataset,16.949152542372882,ROOTSIFT,2.23728813559322,0.13199999999999998,0.868,0.13199999999999998
85,MAP Dataset,16.949152542372882,ROOTSIFT,2.152542372881356,0.127,0.873,0.127
86,MAP Dataset,16.949152542372882,ROOTSIFT,2.288135593220339,0.135,0.865,0.135
87,MAP Dataset,16.949152542372882,ROOTSIFT,0.3728813559322034,0.022,0.978,0.02200000000000001
88,MAP Dataset,16.949152542372882,ROOTSIFT,3.6779661016949152,0.217,0.783,0.217
89,MAP Dataset,16.966101694915253,ROOTSIFT,1.4576271186440677,0.08591408591408592,0.9140859140859141,0.0859140859140859
90,MAP Dataset,16.949152542372882,ROOTSIFT,1.4067796610169492,0.08299999999999999,0.9169999999999999,0.08300000000000003
91,MAP Dataset,16.949152542372882,ROOTSIFT,0.9491525423728814,0.056,0.944,0.05600000000000003
92,MAP Dataset,16.949152542372882,ROOTSIFT,1.0169491525423728,0.05999999999999999,0.94,0.06000000000000002
93,MAP Dataset,16.949152542372882,ROOTSIFT,5.440677966101695,0.32099999999999995,0.6789999999999999,0.321
94,MAP Dataset,16.949152542372882,ROOTSIFT,0.0847457627118644,0.004999999999999999,0.995,0.005000000000000002
95,MAP Dataset,16.949152542372882,ROOTSIFT,0.711864406779661,0.041999999999999996,0.958,0.042000000000000016
96,MAP Dataset,16.949152542372882,ROOTSIFT,0.8983050847457628,0.053,0.9470000000000001,0.05299999999999997
97,MAP Dataset,16.949152542372882,ROOTSIFT,0.9661016949152542,0.056999999999999995,0.943,0.05700000000000002
98,MAP Dataset,16.949152542372882,ROOTSIFT,1.423728813559322,0.08399999999999999,0.916,0.08399999999999998
99,MAP Dataset,16.966101694915253,ROOTSIFT,1.4067796610169492,0.08291708291708293,0.917082917082917,0.08291708291708295
100,MAP Dataset,16.966101694915253,ROOTSIFT,1.5423728813559323,0.09090909090909093,0.9090909090909091,0.09090909090909093
101,MAP Dataset,16.949152542372882,ROOTSIFT,1.2372881355932204,0.073,0.927,0.07299999999999997
102,MAP Dataset,16.949152542372882,ROOTSIFT,0.8983050847457628,0.053,0.9470000000000001,0.05299999999999997
103,MAP Dataset,16.966101694915253,ROOTSIFT,0.9152542372881356,0.05394605394605395,0.9460539460539461,0.05394605394605392
104,MAP Dataset,16.949152542372882,ROOTSIFT,1.3898305084745763,0.082,0.918,0.08199999999999998
105,MAP Dataset,16.949152542372882,ROOTSIFT,1.5084745762711864,0.089,0.911,0.089
106,MAP Dataset,16.949152542372882,ROOTSIFT,1.6779661016949152,0.09899999999999999,0.901,0.09899999999999999
107,MAP Dataset,16.949152542372882,ROOTSIFT,2.0677966101694913,0.12199999999999998,0.878,0.12199999999999998
108,MAP Dataset,16.949152542372882,ROOTSIFT,2.0508474576271185,0.12099999999999998,0.8790000000000001,0.12099999999999993
109,MAP Dataset,16.949152542372882,ROOTSIFT,1.5932203389830508,0.09399999999999999,0.906,0.09399999999999999
110,MAP Dataset,16.949152542372882,ROOTSIFT,1.2372881355932204,0.073,0.927,0.07299999999999997
111,MAP Dataset,16.949152542372882,ROOTSIFT,1.0,0.059,0.9410000000000001,0.05899999999999997
112,MAP Dataset,16.949152542372882,ROOTSIFT,0.8983050847457628,0.053,0.9470000000000001,0.05299999999999997
113,MAP Dataset,16.983050847457626,ROOTSIFT,1.0338983050847457,0.06087824351297405,0.939121756487026,0.06087824351297402
114,MAP Dataset,16.949152542372882,ROOTSIFT,0.11864406779661017,0.007,0.9930000000000001,0.006999999999999948
115,MAP Dataset,16.949152542372882,ROOTSIFT,0.4576271186440678,0.027,0.9729999999999999,0.02700000000000007
116,MAP Dataset,16.949152542372882,ROOTSIFT,0.5254237288135594,0.031,0.969,0.031000000000000014
117,MAP Dataset,16.949152542372882,ROOTSIFT,0.423728813559322,0.024999999999999998,0.975,0.025000000000000015
118,MAP Dataset,16.949152542372882,SIFT,1.7118644067796611,0.101,0.899,0.10099999999999999
119,MAP Dataset,16.949152542372882,SIFT,0.7627118644067796,0.045,0.9550000000000001,0.044999999999999964
