,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,MAP Dataset,8.403361344537815,DAISY,0.4369747899159664,0.052,0.948,0.052000000000000025
1,MAP Dataset,8.403361344537815,DAISY,0.5126050420168067,0.06099999999999999,0.9390000000000001,0.060999999999999964
2,MAP Dataset,8.403361344537815,DAISY,0.3697478991596639,0.044,0.956,0.04400000000000002
3,MAP Dataset,8.403361344537815,DAISY,0.33613445378151263,0.04,0.96,0.040000000000000015
4,MAP Dataset,8.403361344537815,DAISY,0.04201680672268908,0.005,0.995,0.005000000000000002
5,MAP Dataset,8.403361344537815,DAISY,1.0756302521008403,0.128,0.872,0.128
6,MAP Dataset,8.403361344537815,DAISY,0.35294117647058826,0.042,0.958,0.042000000000000016
7,MAP Dataset,8.403361344537815,DAISY,0.7394957983193278,0.088,0.912,0.08799999999999998
8,MAP Dataset,8.411764705882353,DAISY,1.0924369747899159,0.12987012987012986,0.8701298701298702,0.12987012987012983
9,MAP Dataset,8.403361344537815,DAISY,1.2100840336134453,0.144,0.856,0.144
10,MAP Dataset,8.403361344537815,DAISY,1.2857142857142858,0.153,0.847,0.153
11,MAP Dataset,8.403361344537815,DAISY,1.4789915966386555,0.176,0.824,0.17600000000000002
12,MAP Dataset,8.403361344537815,DAISY,1.2773109243697478,0.15199999999999997,0.848,0.152
13,MAP Dataset,8.403361344537815,DAISY,1.3949579831932772,0.16599999999999998,0.834,0.166
14,MAP Dataset,8.420168067226891,DAISY,1.2605042016806722,0.1497005988023952,0.8502994011976048,0.1497005988023952
15,MAP Dataset,8.403361344537815,DAISY,1.050420168067227,0.125,0.875,0.125
16,MAP Dataset,8.403361344537815,DAISY,0.8487394957983193,0.10099999999999999,0.899,0.10099999999999999
17,MAP Dataset,8.403361344537815,DAISY,1.4873949579831933,0.177,0.823,0.17700000000000005
18,MAP Dataset,8.403361344537815,DAISY,1.6302521008403361,0.19399999999999998,0.806,0.194
19,MAP Dataset,8.411764705882353,DAISY,1.815126050420168,0.21578421578421578,0.7842157842157843,0.21578421578421572
20,MAP Dataset,8.420168067226891,DAISY,1.7226890756302522,0.20459081836327345,0.7954091816367266,0.20459081836327345
21,MAP Dataset,8.403361344537815,DAISY,1.5630252100840336,0.186,0.8140000000000001,0.18599999999999997
22,MAP Dataset,8.403361344537815,DAISY,1.2016806722689075,0.143,0.857,0.143
23,MAP Dataset,8.403361344537815,DAISY,1.1260504201680672,0.13399999999999998,0.8660000000000001,0.13399999999999992
24,MAP Dataset,8.403361344537815,DAISY,0.15126050420168066,0.018,0.9820000000000001,0.01799999999999995
25,MAP Dataset,8.403361344537815,DAISY,3.722689075630252,0.443,0.557,0.443
26,MAP Dataset,8.411764705882353,DAISY,1.6638655462184875,0.1978021978021978,0.8021978021978021,0.19780219780219785
27,MAP Dataset,8.403361344537815,DAISY,1.8907563025210083,0.22499999999999998,0.7749999999999999,0.22500000000000003
28,MAP Dataset,8.403361344537815,DAISY,1.8571428571428572,0.221,0.7789999999999999,0.22100000000000006
29,MAP Dataset,8.403361344537815,DAISY,1.8907563025210083,0.22499999999999998,0.7749999999999999,0.22500000000000003
30,MAP Dataset,8.403361344537815,DAISY,1.4453781512605042,0.172,0.828,0.17200000000000001
31,MAP Dataset,8.403361344537815,DAISY,1.084033613445378,0.12899999999999998,0.871,0.12899999999999998
32,MAP Dataset,8.403361344537815,DAISY,1.495798319327731,0.178,0.822,0.178
33,MAP Dataset,8.403361344537815,DAISY,1.6134453781512605,0.192,0.808,0.192
34,MAP Dataset,8.403361344537815,DAISY,1.4789915966386555,0.176,0.824,0.17600000000000002
35,MAP Dataset,8.403361344537815,DAISY,1.5798319327731092,0.18799999999999997,0.812,0.18799999999999997
36,MAP Dataset,8.403361344537815,DAISY,1.781512605042017,0.212,0.788,0.212
37,MAP Dataset,8.403361344537815,DAISY,1.7478991596638656,0.208,0.792,0.208
38,MAP Dataset,8.403361344537815,DAISY,1.9747899159663866,0.23500000000000001,0.765,0.23500000000000001
39,MAP Dataset,8.403361344537815,DAISY,1.7563025210084033,0.209,0.791,0.209
40,MAP Dataset,8.403361344537815,DAISY,0.23529411764705882,0.027999999999999997,0.9720000000000001,0.027999999999999955
41,MAP Dataset,8.403361344537815,DAISY,3.2436974789915967,0.386,0.614,0.386
42,MAP Dataset,8.403361344537815,DAISY,1.9747899159663866,0.23500000000000001,0.765,0.23500000000000001
