,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Small Village Dataset,92.71428571428571,MSER+SIFT,0.6722689075630253,0.007250974349678239,0.9927490256503217,0.007250974349678246
1,Small Village Dataset,81.39495798319328,MSER+SIFT,0.7815126050420168,0.009601486681808796,0.9903985133181913,0.009601486681808755
2,Small Village Dataset,85.11764705882354,MSER+SIFT,0.5966386554621849,0.0070095764636193105,0.9929904235363807,0.007009576463619319
3,Small Village Dataset,90.65546218487395,MSER+SIFT,0.8739495798319328,0.009640341119762698,0.9903596588802374,0.00964034111976267
4,Small Village Dataset,115.63025210084034,MSER+SIFT,0.226890756302521,0.001962209302325581,0.9980377906976744,0.0019622093023255916
5,Small Village Dataset,112.19327731092437,MSER+SIFT,0.04201680672268908,0.00037450378248820313,0.9996254962175118,0.0003745037824881795
6,Small Village Dataset,108.40336134453781,MSER+SIFT,1.361344537815126,0.012558139534883722,0.9874418604651163,0.012558139534883718
7,Small Village Dataset,97.5546218487395,MSER+SIFT,0.7899159663865546,0.008097165991902834,0.9919028340080971,0.008097165991902872
8,Small Village Dataset,83.5798319327731,MSER+SIFT,0.8403361344537815,0.010054293183189223,0.9899457068168108,0.0100542931831892
9,Small Village Dataset,92.97478991596638,MSER+SIFT,0.773109243697479,0.008315256688358641,0.9916847433116414,0.008315256688358641
10,Small Village Dataset,100.4873949579832,MSER+SIFT,0.4117647058823529,0.004097675196521157,0.9959023248034788,0.004097675196521156
11,Small Village Dataset,110.34453781512605,MSER+SIFT,0.5630252100840336,0.005102429365623334,0.9948975706343767,0.005102429365623331
12,Small Village Dataset,126.34453781512605,MSER+SIFT,0.09243697478991597,0.0007316262055204523,0.9992683737944795,0.0007316262055204636
13,Small Village Dataset,157.47058823529412,MSER+SIFT,0.04201680672268908,0.00026682320294572816,0.9997331767970542,0.0002668232029457633
14,Small Village Dataset,130.18487394957984,MSER+SIFT,0.08403361344537816,0.0006454944487477408,0.9993545055512523,0.0006454944487477354
15,Small Village Dataset,121.99159663865547,MSER+SIFT,0.3865546218487395,0.003168698766962871,0.9968313012330371,0.003168698766962889
16,Small Village Dataset,101.92436974789916,MSER+SIFT,0.04201680672268908,0.00041223513892324183,0.9995877648610768,0.0004122351389232156
17,Small Village Dataset,94.6218487394958,MSER+SIFT,0.05042016806722689,0.0005328596802841918,0.9994671403197157,0.0005328596802842309
18,Small Village Dataset,83.40336134453781,MSER+SIFT,0.058823529411764705,0.0007052896725440807,0.9992947103274559,0.000705289672544105
19,Small Village Dataset,112.95798319327731,MSER+SIFT,0.058823529411764705,0.0005207558399047761,0.9994792441600951,0.0005207558399048139
20,Small Village Dataset,108.17647058823529,MSER+SIFT,0.04201680672268908,0.0003884098500737979,0.9996115901499263,0.000388409850073755
21,Small Village Dataset,111.19327731092437,MSER+SIFT,0.04201680672268908,0.00037787182587666263,0.9996221281741233,0.00037787182587666854
22,Small Village Dataset,119.6218487394958,MSER+SIFT,0.17647058823529413,0.001475237091675448,0.9985247629083246,0.0014752370916754278
23,Small Village Dataset,106.25210084033614,MSER+SIFT,0.05042016806722689,0.0004745333755140778,0.9995254666244858,0.00047453337551412616
24,Small Village Dataset,97.73949579831933,MSER+SIFT,0.08403361344537816,0.0008597713008339782,0.999140228699166,0.0008597713008340059
25,Small Village Dataset,102.65546218487395,MSER+SIFT,0.07563025210084033,0.000736738703339882,0.9992632612966602,0.0007367387033398359
26,Small Village Dataset,106.89075630252101,MSER+SIFT,0.05042016806722689,0.0004716981132075472,0.9995283018867924,0.000471698113207561
27,Small Village Dataset,124.22689075630252,MSER+SIFT,0.07563025210084033,0.0006088074139213961,0.9993911925860787,0.0006088074139213634
28,Small Village Dataset,142.2268907563025,MSER+SIFT,0.04201680672268908,0.00029542097488921716,0.9997045790251107,0.0002954209748892719
29,Small Village Dataset,122.85714285714286,MSER+SIFT,0.13445378151260504,0.001094391244870041,0.99890560875513,0.0010943912448700133
30,Small Village Dataset,110.85714285714286,MSER+SIFT,0.23529411764705882,0.002122498483929654,0.9978775015160704,0.0021224984839296507
31,Small Village Dataset,107.03361344537815,MSER+SIFT,0.13445378151260504,0.0012561827745937034,0.9987438172254063,0.0012561827745937104
32,Small Village Dataset,106.08403361344538,MSER+SIFT,0.33613445378151263,0.0031685678073510772,0.9968314321926489,0.0031685678073510816
33,Small Village Dataset,105.12605042016807,MSER+SIFT,0.42857142857142855,0.00407673860911271,0.9959232613908873,0.004076738609112719
34,Small Village Dataset,122.98319327731092,MSER+SIFT,0.7142857142857143,0.005807994533652204,0.9941920054663479,0.005807994533652155
35,Small Village Dataset,122.94117647058823,MSER+SIFT,0.5462184873949579,0.004442925495557074,0.995557074504443,0.00444292549555705
36,Small Village Dataset,134.67226890756302,MSER+SIFT,0.04201680672268908,0.00031199301135654563,0.9996880069886434,0.0003119930113565969
37,Small Village Dataset,138.98319327731093,MSER+SIFT,0.8319327731092437,0.005985851623435516,0.9940141483765645,0.005985851623435487
