,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Small Village Dataset,8.403361344537815,SIFT,0.2605042016806723,0.031,0.9689999999999999,0.03100000000000007
1,Small Village Dataset,8.403361344537815,SIFT,0.3697478991596639,0.044,0.956,0.04400000000000002
2,Small Village Dataset,8.403361344537815,SIFT,0.29411764705882354,0.034999999999999996,0.965,0.03500000000000001
3,Small Village Dataset,8.403361344537815,SIFT,0.3865546218487395,0.046,0.954,0.04600000000000002
4,Small Village Dataset,8.411764705882353,SIFT,0.3445378151260504,0.04095904095904096,0.959040959040959,0.04095904095904099
5,Small Village Dataset,8.403361344537815,SIFT,0.35294117647058826,0.042,0.958,0.042000000000000016
6,Small Village Dataset,8.403361344537815,SIFT,0.7815126050420168,0.093,0.907,0.09299999999999999
7,Small Village Dataset,8.411764705882353,SIFT,0.37815126050420167,0.04495504495504495,0.955044955044955,0.044955044955044966
8,Small Village Dataset,8.403361344537815,SIFT,0.48739495798319327,0.057999999999999996,0.942,0.058000000000000024
9,Small Village Dataset,8.403361344537815,SIFT,0.37815126050420167,0.045,0.955,0.04500000000000002
10,Small Village Dataset,8.403361344537815,SIFT,0.25210084033613445,0.03,0.9699999999999999,0.03000000000000007
11,Small Village Dataset,8.403361344537815,SIFT,0.37815126050420167,0.045,0.955,0.04500000000000002
12,Small Village Dataset,8.403361344537815,SIFT,0.226890756302521,0.027,0.9730000000000001,0.026999999999999958
13,Small Village Dataset,8.403361344537815,SIFT,0.058823529411764705,0.006999999999999999,0.993,0.007000000000000003
14,Small Village Dataset,8.403361344537815,SIFT,0.10084033613445378,0.012,0.988,0.012000000000000005
15,Small Village Dataset,8.403361344537815,SIFT,0.37815126050420167,0.045,0.955,0.04500000000000002
16,Small Village Dataset,8.403361344537815,SIFT,0.24369747899159663,0.028999999999999998,0.9710000000000001,0.028999999999999956
17,Small Village Dataset,8.411764705882353,SIFT,0.226890756302521,0.026973026973026972,0.9730269730269732,0.026973026973026903
18,Small Village Dataset,8.403361344537815,SIFT,0.21008403361344538,0.024999999999999998,0.9750000000000001,0.024999999999999956
19,Small Village Dataset,8.403361344537815,SIFT,0.29411764705882354,0.034999999999999996,0.965,0.03500000000000001
20,Small Village Dataset,8.403361344537815,SIFT,0.3949579831932773,0.04699999999999999,0.953,0.04700000000000002
21,Small Village Dataset,8.403361344537815,SIFT,0.8403361344537815,0.09999999999999999,0.9,0.09999999999999999
22,Small Village Dataset,8.411764705882353,SIFT,0.680672268907563,0.08091908091908091,0.919080919080919,0.08091908091908094
23,Small Village Dataset,8.403361344537815,SIFT,0.25210084033613445,0.03,0.9699999999999999,0.03000000000000007
24,Small Village Dataset,8.403361344537815,SIFT,0.21008403361344538,0.024999999999999998,0.9750000000000001,0.024999999999999956
25,Small Village Dataset,8.403361344537815,SIFT,0.07563025210084033,0.009,0.991,0.009000000000000003
26,Small Village Dataset,8.403361344537815,SIFT,0.2184873949579832,0.026,0.9740000000000001,0.025999999999999957
27,Small Village Dataset,8.403361344537815,SIFT,0.1092436974789916,0.013,0.9870000000000001,0.012999999999999949
28,Small Village Dataset,8.403361344537815,SIFT,0.05042016806722689,0.006,0.994,0.006000000000000003
29,Small Village Dataset,8.403361344537815,SIFT,0.10084033613445378,0.012,0.988,0.012000000000000005
30,Small Village Dataset,8.403361344537815,SIFT,0.18487394957983194,0.022,0.9780000000000001,0.021999999999999954
31,Small Village Dataset,8.403361344537815,SIFT,0.3025210084033613,0.036,0.964,0.03600000000000001
32,Small Village Dataset,8.403361344537815,SIFT,0.2605042016806723,0.031,0.9689999999999999,0.03100000000000007
33,Small Village Dataset,8.403361344537815,SIFT,0.2773109243697479,0.033,0.9669999999999999,0.03300000000000007
34,Small Village Dataset,8.403361344537815,SIFT,0.3025210084033613,0.036,0.964,0.03600000000000001
35,Small Village Dataset,8.403361344537815,SIFT,0.29411764705882354,0.034999999999999996,0.965,0.03500000000000001
36,Small Village Dataset,8.403361344537815,SIFT,0.5210084033613446,0.062,0.9380000000000001,0.06199999999999997
37,Small Village Dataset,8.403361344537815,SIFT,0.5378151260504201,0.064,0.936,0.06399999999999997
38,Small Village Dataset,8.403361344537815,SIFT,0.8067226890756303,0.096,0.904,0.096
39,Small Village Dataset,8.403361344537815,SIFT,0.17647058823529413,0.021,0.9790000000000001,0.020999999999999953
40,Small Village Dataset,8.403361344537815,SIFT,0.23529411764705882,0.027999999999999997,0.9720000000000001,0.027999999999999955
41,Small Village Dataset,8.411764705882353,SIFT,0.17647058823529413,0.02097902097902098,0.9790209790209791,0.02097902097902096
42,Small Village Dataset,8.403361344537815,SIFT,0.21008403361344538,0.024999999999999998,0.9750000000000001,0.024999999999999956
43,Small Village Dataset,8.403361344537815,SIFT,0.10084033613445378,0.012,0.988,0.012000000000000005
44,Small Village Dataset,8.403361344537815,SIFT,0.058823529411764705,0.006999999999999999,0.993,0.007000000000000003
45,Small Village Dataset,8.403361344537815,SIFT,0.06722689075630252,0.008,0.992,0.008000000000000004
46,Small Village Dataset,8.403361344537815,SIFT,0.21008403361344538,0.024999999999999998,0.9750000000000001,0.024999999999999956
47,Small Village Dataset,8.403361344537815,SIFT,0.3865546218487395,0.046,0.954,0.04600000000000002
48,Small Village Dataset,8.403361344537815,SIFT,0.1092436974789916,0.013,0.9870000000000001,0.012999999999999949
49,Small Village Dataset,8.420168067226891,SIFT,0.2605042016806723,0.030938123752495012,0.9690618762475048,0.03093812375249509
50,Small Village Dataset,8.403361344537815,SIFT,0.31932773109243695,0.03799999999999999,0.962,0.03800000000000001
51,Small Village Dataset,8.403361344537815,SIFT,0.36134453781512604,0.043,0.957,0.04300000000000002
52,Small Village Dataset,8.403361344537815,SIFT,0.42857142857142855,0.051,0.949,0.051000000000000024
53,Small Village Dataset,8.403361344537815,SIFT,0.5966386554621849,0.071,0.929,0.07099999999999997
54,Small Village Dataset,8.403361344537815,SIFT,0.5126050420168067,0.06099999999999999,0.9390000000000001,0.060999999999999964
55,Small Village Dataset,8.403361344537815,SIFT,0.5630252100840336,0.06699999999999999,0.933,0.06699999999999996
56,Small Village Dataset,8.411764705882353,SIFT,0.2605042016806723,0.03096903096903097,0.969030969030969,0.030969030969031
57,Small Village Dataset,8.403361344537815,SIFT,0.25210084033613445,0.03,0.9699999999999999,0.03000000000000007
58,Small Village Dataset,8.403361344537815,SIFT,0.3025210084033613,0.036,0.964,0.03600000000000001
59,Small Village Dataset,8.403361344537815,SIFT,0.11764705882352941,0.013999999999999999,0.9860000000000001,0.01399999999999995
60,Small Village Dataset,8.411764705882353,SIFT,0.2605042016806723,0.03096903096903097,0.969030969030969,0.030969030969031
61,Small Village Dataset,8.403361344537815,SIFT,0.21008403361344538,0.024999999999999998,0.9750000000000001,0.024999999999999956
62,Small Village Dataset,8.403361344537815,SIFT,0.226890756302521,0.027,0.9730000000000001,0.026999999999999958
63,Small Village Dataset,8.403361344537815,SIFT,0.20168067226890757,0.024,0.9760000000000001,0.023999999999999955
64,Small Village Dataset,8.403361344537815,SIFT,0.42857142857142855,0.051,0.949,0.051000000000000024
65,Small Village Dataset,8.403361344537815,SIFT,0.3277310924369748,0.039,0.961,0.039000000000000014
66,Small Village Dataset,8.403361344537815,SIFT,0.3697478991596639,0.044,0.956,0.04400000000000002
67,Small Village Dataset,8.403361344537815,SIFT,0.47058823529411764,0.055999999999999994,0.944,0.05600000000000002
68,Small Village Dataset,8.403361344537815,SIFT,0.5378151260504201,0.064,0.936,0.06399999999999997
69,Small Village Dataset,8.403361344537815,SIFT,0.4957983193277311,0.059,0.941,0.059000000000000025
70,Small Village Dataset,8.403361344537815,SIFT,0.7226890756302521,0.086,0.914,0.08599999999999998
71,Small Village Dataset,8.403361344537815,SIFT,0.29411764705882354,0.034999999999999996,0.965,0.03500000000000001
72,Small Village Dataset,8.403361344537815,SIFT,0.6302521008403361,0.075,0.925,0.07499999999999997
73,Small Village Dataset,8.411764705882353,SIFT,0.31932773109243695,0.03796203796203796,0.962037962037962,0.03796203796203799
74,Small Village Dataset,8.403361344537815,SIFT,0.2773109243697479,0.033,0.9669999999999999,0.03300000000000007
75,Small Village Dataset,8.403361344537815,SIFT,0.2605042016806723,0.031,0.9689999999999999,0.03100000000000007
76,Small Village Dataset,8.403361344537815,SIFT,0.2773109243697479,0.033,0.9669999999999999,0.03300000000000007
77,Small Village Dataset,8.403361344537815,SIFT,0.40336134453781514,0.048,0.952,0.04800000000000002
78,Small Village Dataset,8.403361344537815,SIFT,0.20168067226890757,0.024,0.9760000000000001,0.023999999999999955
79,Small Village Dataset,8.403361344537815,SIFT,0.31092436974789917,0.037,0.963,0.03700000000000001
80,Small Village Dataset,8.411764705882353,SIFT,0.37815126050420167,0.04495504495504495,0.955044955044955,0.044955044955044966
81,Small Village Dataset,8.403361344537815,SIFT,0.3949579831932773,0.04699999999999999,0.953,0.04700000000000002
82,Small Village Dataset,8.411764705882353,SIFT,0.4117647058823529,0.048951048951048945,0.951048951048951,0.04895104895104895
83,Small Village Dataset,8.403361344537815,SIFT,0.5546218487394958,0.066,0.934,0.06599999999999998
84,Small Village Dataset,8.411764705882353,SIFT,0.5966386554621849,0.07092907092907093,0.9290709290709291,0.0709290709290709
85,Small Village Dataset,8.403361344537815,SIFT,0.4957983193277311,0.059,0.941,0.059000000000000025
86,Small Village Dataset,8.403361344537815,SIFT,0.6722689075630253,0.08,0.9199999999999999,0.08000000000000003
87,Small Village Dataset,8.403361344537815,SIFT,0.21008403361344538,0.024999999999999998,0.9750000000000001,0.024999999999999956
88,Small Village Dataset,8.403361344537815,SIFT,0.42016806722689076,0.049999999999999996,0.95,0.05000000000000003
89,Small Village Dataset,8.403361344537815,SIFT,0.42857142857142855,0.051,0.949,0.051000000000000024
90,Small Village Dataset,8.403361344537815,SIFT,0.31932773109243695,0.03799999999999999,0.962,0.03800000000000001
91,Small Village Dataset,8.403361344537815,SIFT,0.29411764705882354,0.034999999999999996,0.965,0.03500000000000001
92,Small Village Dataset,8.403361344537815,SIFT,0.453781512605042,0.054,0.946,0.05400000000000002
