,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,MAP Dataset,1812.6440677966102,BRISK,81.22033898305085,0.044807659940530736,0.9551923400594693,0.044807659940530715
1,MAP Dataset,2097.7118644067796,BRISK,76.0677966101695,0.036262271239849715,0.9637377287601503,0.036262271239849715
2,MAP Dataset,2125.135593220339,BRISK,75.05084745762711,0.035315792412049477,0.9646842075879505,0.0353157924120495
3,MAP Dataset,2332.9491525423728,BRISK,101.45762711864407,0.04348900061026997,0.9565109993897299,0.043489000610270015
4,MAP Dataset,2589.9830508474574,BRISK,123.59322033898304,0.0477197023735513,0.9522802976264487,0.04771970237355128
5,MAP Dataset,2645.2542372881358,BRISK,109.03389830508475,0.04121868392388031,0.9587813160761197,0.0412186839238803
6,MAP Dataset,2723.3728813559323,BRISK,134.91525423728814,0.0495397656196516,0.9504602343803484,0.04953976561965159
7,MAP Dataset,3038.0169491525426,BRISK,109.38983050847457,0.036006984931071226,0.9639930150689288,0.03600698493107123
8,MAP Dataset,2840.135593220339,BRISK,110.45762711864407,0.038891673827938504,0.9611083261720614,0.03889167382793853
9,MAP Dataset,3648.3728813559323,BRISK,120.01694915254237,0.032896020515298205,0.9671039794847017,0.03289602051529824
10,MAP Dataset,3607.64406779661,BRISK,1.9152542372881356,0.0005308878041446833,0.9994691121958553,0.0005308878041446792
11,MAP Dataset,3173.2881355932204,BRISK,317.22033898305085,0.0999658163483314,0.9000341836516685,0.09996581634833143
12,MAP Dataset,2969.6949152542375,BRISK,120.0,0.04040819121977946,0.9595918087802205,0.04040819121977946
13,MAP Dataset,2790.2542372881358,BRISK,114.55932203389831,0.04105694760820046,0.9589430523917996,0.04105694760820045
14,MAP Dataset,2552.864406779661,BRISK,81.23728813559322,0.031822014486884126,0.9681779855131158,0.03182201448688414
15,MAP Dataset,2514.8813559322034,BRISK,91.91525423728814,0.03654854493253717,0.9634514550674629,0.03654854493253714
16,MAP Dataset,2488.9661016949153,BRISK,93.28813559322033,0.03748067743055792,0.9625193225694421,0.037480677430557933
17,MAP Dataset,2582.2881355932204,BRISK,91.11864406779661,0.03528600964851826,0.9647139903514818,0.03528600964851825
18,MAP Dataset,2437.0,BRISK,65.8135593220339,0.027005974280686868,0.972994025719313,0.027005974280686917
19,MAP Dataset,2409.5423728813557,BRISK,66.71186440677967,0.027686528843651307,0.9723134711563487,0.027686528843651304
20,MAP Dataset,2945.0338983050847,BRISK,52.96610169491525,0.01798488693980674,0.9820151130601933,0.017984886939806728
21,MAP Dataset,2689.4576271186443,BRISK,2.3559322033898304,0.0008759878496073809,0.9991240121503926,0.0008759878496073939
22,MAP Dataset,2673.3898305084745,BRISK,335.10169491525426,0.12534711215368036,0.8746528878463198,0.1253471121536803
23,MAP Dataset,1996.864406779661,BRISK,87.59322033898304,0.043865382166956665,0.9561346178330433,0.04386538216695667
24,MAP Dataset,2239.491525423729,BRISK,69.40677966101696,0.030992204646938623,0.9690077953530614,0.03099220464693863
25,MAP Dataset,2235.9491525423728,BRISK,73.77966101694915,0.03299702094435306,0.967002979055647,0.03299702094435302
26,MAP Dataset,2400.9830508474574,BRISK,75.86440677966101,0.03159722712448291,0.9684027728755171,0.031597227124482895
27,MAP Dataset,2932.7966101694915,BRISK,81.1864406779661,0.02768226081428613,0.972317739185714,0.027682260814286087
28,MAP Dataset,2607.4576271186443,BRISK,6.932203389830509,0.00265860634425377,0.9973413936557461,0.0026586063442538125
29,MAP Dataset,2492.3728813559323,BRISK,172.16949152542372,0.06907854471268275,0.9309214552873172,0.06907854471268278
30,MAP Dataset,1974.1864406779662,BRISK,62.355932203389834,0.03158563493221838,0.9684143650677817,0.03158563493221835
31,MAP Dataset,1785.2881355932204,BRISK,58.389830508474574,0.03270611020392663,0.9672938897960734,0.03270611020392659
32,MAP Dataset,1776.9830508474577,BRISK,52.440677966101696,0.029511073806299002,0.970488926193701,0.029511073806299016
33,MAP Dataset,2215.0169491525426,BRISK,86.10169491525424,0.038871799580674285,0.9611282004193258,0.03887179958067425
34,MAP Dataset,2216.135593220339,BRISK,351.6779661016949,0.15868973323543806,0.8413102667645619,0.15868973323543809
35,MAP Dataset,2106.169491525424,BRISK,2.3559322033898304,0.001118586235756132,0.9988814137642439,0.001118586235756123
36,MAP Dataset,1794.5762711864406,BRISK,53.69491525423729,0.029920664903664525,0.9700793350963355,0.02992066490366452
