,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,MAP Dataset,1497.3050847457628,AKAZE,63.33898305084746,0.042301988883983656,0.9576980111160164,0.04230198888398364
1,MAP Dataset,1596.0338983050847,AKAZE,60.32203389830509,0.03779495784040949,0.9622050421595905,0.03779495784040952
2,MAP Dataset,1626.9830508474577,AKAZE,68.44067796610169,0.042066005500458366,0.9579339944995416,0.042066005500458366
3,MAP Dataset,1714.8135593220338,AKAZE,64.05084745762711,0.03735149346670093,0.9626485065332991,0.03735149346670089
4,MAP Dataset,1780.949152542373,AKAZE,52.54237288135593,0.029502455365640105,0.9704975446343599,0.02950245536564011
5,MAP Dataset,1835.5762711864406,AKAZE,60.94915254237288,0.03320436938475886,0.9667956306152411,0.03320436938475888
6,MAP Dataset,1903.0169491525423,AKAZE,56.45762711864407,0.02966743262259748,0.9703325673774025,0.029667432622597502
7,MAP Dataset,1938.7118644067796,AKAZE,48.94915254237288,0.025248286473632676,0.9747517135263672,0.02524828647363271
8,MAP Dataset,1927.7457627118645,AKAZE,56.05084745762712,0.02907585042686197,0.9709241495731381,0.02907585042686193
9,MAP Dataset,2015.7627118644068,AKAZE,49.067796610169495,0.024342049945346004,0.9756579500546539,0.02434204994534603
10,MAP Dataset,2002.3728813559321,AKAZE,1.4067796610169492,0.000702556289148468,0.9992974437108515,0.0007025562891484859
11,MAP Dataset,1959.1694915254238,AKAZE,106.37288135593221,0.05429488454983519,0.9457051154501649,0.05429488454983515
12,MAP Dataset,1908.2372881355932,AKAZE,56.6271186440678,0.029675092817934737,0.9703249071820652,0.029675092817934765
13,MAP Dataset,1851.2033898305085,AKAZE,73.28813559322033,0.039589456240100344,0.9604105437598996,0.039589456240100344
14,MAP Dataset,1807.7288135593221,AKAZE,68.49152542372882,0.03788816381638164,0.9621118361836184,0.037888163816381625
15,MAP Dataset,1778.7288135593221,AKAZE,68.32203389830508,0.03841059602649006,0.9615894039735099,0.038410596026490086
16,MAP Dataset,1806.1186440677966,AKAZE,74.1864406779661,0.041075064986252005,0.958924935013748,0.04107506498625201
17,MAP Dataset,1820.3050847457628,AKAZE,65.98305084745763,0.03624834726903667,0.9637516527309633,0.03624834726903668
18,MAP Dataset,1757.135593220339,AKAZE,51.91525423728814,0.029545388777961052,0.970454611222039,0.029545388777961017
19,MAP Dataset,1665.1864406779662,AKAZE,61.3728813559322,0.03685646234961219,0.9631435376503878,0.03685646234961217
20,MAP Dataset,1706.2203389830509,AKAZE,24.203389830508474,0.014185383492107642,0.9858146165078924,0.014185383492107635
21,MAP Dataset,1548.3559322033898,AKAZE,1.0,0.0006458463323590906,0.9993541536676409,0.0006458463323590904
22,MAP Dataset,1543.7288135593221,AKAZE,123.59322033898304,0.08006148440931049,0.9199385155906895,0.08006148440931049
23,MAP Dataset,1496.2542372881355,AKAZE,79.2542372881356,0.052968429637852726,0.9470315703621474,0.052968429637852685
24,MAP Dataset,1581.4915254237287,AKAZE,68.84745762711864,0.04353324473785742,0.9564667552621425,0.04353324473785745
25,MAP Dataset,1655.2881355932204,AKAZE,61.16949152542373,0.03695398414941328,0.9630460158505867,0.036953984149413296
26,MAP Dataset,1763.4915254237287,AKAZE,64.33898305084746,0.03648386290679123,0.9635161370932088,0.036483862906791203
27,MAP Dataset,1837.4406779661017,AKAZE,41.32203389830509,0.02248890774751174,0.9775110922524882,0.022488907747511763
28,MAP Dataset,1640.0677966101696,AKAZE,1.0338983050847457,0.0006303997354387995,0.9993696002645612,0.0006303997354387843
29,MAP Dataset,1565.2203389830509,AKAZE,81.37288135593221,0.05198813184909257,0.9480118681509075,0.05198813184909251
30,MAP Dataset,1491.542372881356,AKAZE,60.86440677966102,0.04080635447324462,0.9591936455267553,0.040806354473244634
31,MAP Dataset,1456.1694915254238,AKAZE,65.71186440677967,0.04512652187070792,0.9548734781292921,0.0451265218707079
32,MAP Dataset,1449.5254237288136,AKAZE,44.220338983050844,0.030506770187787934,0.9694932298122121,0.030506770187787923
33,MAP Dataset,1477.9322033898304,AKAZE,51.40677966101695,0.03478290786485929,0.9652170921351406,0.03478290786485933
34,MAP Dataset,1476.1016949152543,AKAZE,104.77966101694915,0.07098403949936846,0.9290159605006315,0.07098403949936848
35,MAP Dataset,1395.6440677966102,AKAZE,0.6440677966101694,0.0004614842791737002,0.9995385157208263,0.00046148427917369817
36,MAP Dataset,1408.0338983050847,AKAZE,33.74576271186441,0.02396658400943737,0.9760334159905626,0.02396658400943739
37,MAP Dataset,1515.1525423728813,AKAZE,46.779661016949156,0.03087455533928452,0.9691254446607155,0.03087455533928452
38,MAP Dataset,1513.864406779661,AKAZE,55.57627118644068,0.036711525112519315,0.9632884748874807,0.0367115251125193
39,MAP Dataset,1498.4237288135594,AKAZE,48.83050847457627,0.03258791724637189,0.9674120827536282,0.032587917246371834
40,MAP Dataset,1459.6271186440679,AKAZE,56.983050847457626,0.039039457488562204,0.9609605425114378,0.0390394574885622
41,MAP Dataset,1500.3389830508474,AKAZE,56.152542372881356,0.03742657026660642,0.9625734297333937,0.037426570266606375
42,MAP Dataset,1526.7796610169491,AKAZE,58.74576271186441,0.03847690941385435,0.9615230905861456,0.03847690941385438
43,MAP Dataset,1593.8474576271187,AKAZE,59.28813559322034,0.03719812414262471,0.9628018758573752,0.03719812414262475
44,MAP Dataset,1727.8305084745762,AKAZE,50.152542372881356,0.02902630907771086,0.9709736909222892,0.029026309077710807
45,MAP Dataset,1783.2711864406779,AKAZE,70.98305084745763,0.03980496706680734,0.9601950329331926,0.039804967066807355
46,MAP Dataset,1855.2881355932204,AKAZE,57.32203389830509,0.0308965668451152,0.9691034331548848,0.030896566845115207
47,MAP Dataset,1905.9830508474577,AKAZE,49.40677966101695,0.025921940721901595,0.9740780592780983,0.025921940721901637
48,MAP Dataset,1926.3050847457628,AKAZE,52.0,0.026994685531270896,0.9730053144687291,0.026994685531270917
49,MAP Dataset,1969.084745762712,AKAZE,50.983050847457626,0.02589175044759675,0.9741082495524033,0.02589175044759674
50,MAP Dataset,2035.8135593220338,AKAZE,54.440677966101696,0.026741485101529395,0.9732585148984706,0.026741485101529402
51,MAP Dataset,2120.1525423728813,AKAZE,45.49152542372882,0.021456722813356893,0.978543277186643,0.021456722813356935
52,MAP Dataset,2222.0338983050847,AKAZE,48.16949152542373,0.021678108314263922,0.978321891685736,0.02167810831426395
53,MAP Dataset,2312.762711864407,AKAZE,42.59322033898305,0.01841659765633588,0.9815834023436641,0.018416597656335867
54,MAP Dataset,2429.728813559322,AKAZE,77.0677966101695,0.03171868242253442,0.9682813175774656,0.03171868242253441
55,MAP Dataset,2281.322033898305,AKAZE,0.4745762711864407,0.0002080268651837323,0.9997919731348163,0.00020802686518373123
56,MAP Dataset,2396.2542372881358,AKAZE,23.71186440677966,0.009895387575241018,0.990104612424759,0.009895387575241008
