,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Small Village Dataset,451.70588235294116,BRISK,1.8907563025210083,0.0041858128848622405,0.9958141871151377,0.004185812884862273
1,Small Village Dataset,465.25210084033614,BRISK,2.19327731092437,0.004714169601733948,0.995285830398266,0.004714169601733967
2,Small Village Dataset,382.52100840336135,BRISK,1.773109243697479,0.004635325131810193,0.9953646748681898,0.004635325131810195
3,Small Village Dataset,388.109243697479,BRISK,3.168067226890756,0.008162823427519757,0.9918371765724803,0.008162823427519743
4,Small Village Dataset,452.672268907563,BRISK,1.9747899159663866,0.004362515779312393,0.9956374842206877,0.004362515779312371
5,Small Village Dataset,663.9495798319327,BRISK,14.563025210084033,0.02193393241361853,0.9780660675863815,0.021933932413618525
6,Small Village Dataset,571.9411764705883,BRISK,19.80672268907563,0.03463069893184055,0.9653693010681594,0.03463069893184056
7,Small Village Dataset,401.15966386554624,BRISK,9.6890756302521,0.024152666638736435,0.9758473333612636,0.02415266663873641
8,Small Village Dataset,385.15966386554624,BRISK,3.80672268907563,0.009883492603743944,0.990116507396256,0.009883492603743969
9,Small Village Dataset,409.29411764705884,BRISK,2.9243697478991595,0.007144910277994497,0.9928550897220055,0.007144910277994482
10,Small Village Dataset,437.6302521008403,BRISK,1.6554621848739495,0.0037827873574254,0.9962172126425746,0.003782787357425416
11,Small Village Dataset,447.4033613445378,BRISK,1.6470588235294117,0.0036813733776600737,0.9963186266223399,0.003681373377660066
12,Small Village Dataset,947.218487394958,BRISK,0.8571428571428571,0.0009049051180368882,0.9990950948819631,0.0009049051180368789
13,Small Village Dataset,1565.7226890756303,BRISK,1.1428571428571428,0.0007299230897215021,0.9992700769102785,0.0007299230897215156
14,Small Village Dataset,778.6806722689075,BRISK,2.831932773109244,0.0036368345510074144,0.9963631654489926,0.0036368345510073992
15,Small Village Dataset,520.8151260504202,BRISK,2.9243697478991595,0.005614986204559755,0.9943850137954402,0.0056149862045597795
16,Small Village Dataset,442.57142857142856,BRISK,2.176470588235294,0.004917783769414802,0.9950822162305851,0.0049177837694148385
17,Small Village Dataset,483.3529411764706,BRISK,1.495798319327731,0.003094629600653697,0.9969053703993463,0.0030946296006536755
18,Small Village Dataset,425.34453781512605,BRISK,1.9411764705882353,0.0045637743006164055,0.9954362256993836,0.004563774300616395
19,Small Village Dataset,514.7310924369748,BRISK,1.134453781512605,0.002203973682921653,0.9977960263170782,0.0022039736829217267
20,Small Village Dataset,709.9915966386554,BRISK,14.605042016806722,0.020570725183159937,0.9794292748168401,0.02057072518315994
21,Small Village Dataset,991.1260504201681,BRISK,28.218487394957982,0.02847113884555382,0.9715288611544463,0.028471138845553783
22,Small Village Dataset,687.9747899159664,BRISK,19.0,0.027617291038121876,0.9723827089618782,0.02761729103812185
23,Small Village Dataset,415.00840336134456,BRISK,2.361344537815126,0.0056898716235370345,0.994310128376463,0.005689871623536996
24,Small Village Dataset,378.47058823529414,BRISK,1.3445378151260505,0.003552555619698921,0.9964474443803011,0.0035525556196989187
25,Small Village Dataset,501.85714285714283,BRISK,0.5210084033613446,0.00103816078096482,0.9989618392190351,0.0010381607809648392
26,Small Village Dataset,513.9243697478992,BRISK,1.4705882352941178,0.002861487646549046,0.9971385123534509,0.0028614876465490944
27,Small Village Dataset,721.1932773109244,BRISK,0.7983193277310925,0.0011069422758733193,0.9988930577241267,0.0011069422758732937
