,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
1,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
2,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
3,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
4,MAP Dataset,16.81512605042017,AGAST+SIFT,16.81512605042017,1.0,0.0,1.0
5,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
6,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
7,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
8,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
9,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
10,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
11,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
12,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
13,MAP Dataset,16.81512605042017,AGAST+SIFT,16.81512605042017,1.0,0.0,1.0
14,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
15,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
16,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
17,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
18,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
19,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
20,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
21,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
22,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
23,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
24,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
25,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
26,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
27,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
28,MAP Dataset,16.823529411764707,AGAST+SIFT,16.823529411764707,1.0,0.0,1.0
29,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
30,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
31,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
32,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
33,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
34,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
35,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
36,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
37,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
38,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
39,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
40,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
41,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
42,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
43,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
44,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
45,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
46,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
47,MAP Dataset,16.80672268907563,AGAST+SIFT,16.80672268907563,1.0,0.0,1.0
