,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,MAP Dataset,8.403361344537815,AGAST+SIFT,325.97478991596637,38.791,-37.791,38.791
1,MAP Dataset,8.411764705882353,AGAST+SIFT,345.03361344537814,41.017982017982014,-40.017982017982014,41.017982017982014
2,MAP Dataset,8.403361344537815,AGAST+SIFT,310.327731092437,36.929,-35.929,36.929
3,MAP Dataset,8.403361344537815,AGAST+SIFT,83.76470588235294,9.968,-8.968,9.968
4,MAP Dataset,8.411764705882353,AGAST+SIFT,0.07563025210084033,0.00899100899100899,0.9910089910089911,0.008991008991008949
5,MAP Dataset,8.428571428571429,AGAST+SIFT,584.218487394958,69.31405782652043,-68.31405782652043,69.31405782652043
6,MAP Dataset,8.403361344537815,AGAST+SIFT,408.3193277310924,48.589999999999996,-47.589999999999996,48.589999999999996
7,MAP Dataset,8.403361344537815,AGAST+SIFT,351.70588235294116,41.852999999999994,-40.852999999999994,41.852999999999994
8,MAP Dataset,8.403361344537815,AGAST+SIFT,436.52941176470586,51.946999999999996,-50.946999999999996,51.946999999999996
9,MAP Dataset,8.403361344537815,AGAST+SIFT,384.66386554621846,45.77499999999999,-44.775,45.775
10,MAP Dataset,8.403361344537815,AGAST+SIFT,434.10084033613447,51.658,-50.658,51.658
11,MAP Dataset,8.403361344537815,AGAST+SIFT,440.8151260504202,52.457,-51.457,52.457
12,MAP Dataset,8.403361344537815,AGAST+SIFT,414.8487394957983,49.367,-48.367,49.367
13,MAP Dataset,8.403361344537815,AGAST+SIFT,405.672268907563,48.275,-47.275,48.275000000000006
14,MAP Dataset,8.403361344537815,AGAST+SIFT,388.79831932773106,46.266999999999996,-45.266999999999996,46.267
15,MAP Dataset,8.403361344537815,AGAST+SIFT,362.546218487395,43.143,-42.143,43.143
16,MAP Dataset,8.403361344537815,AGAST+SIFT,354.7310924369748,42.213,-41.213,42.213
17,MAP Dataset,8.411764705882353,AGAST+SIFT,345.14285714285717,41.03096903096903,-40.03096903096903,41.03096903096903
18,MAP Dataset,8.403361344537815,AGAST+SIFT,326.9495798319328,38.907000000000004,-37.907000000000004,38.907000000000004
19,MAP Dataset,8.403361344537815,AGAST+SIFT,328.6218487394958,39.106,-38.106,39.106
20,MAP Dataset,8.403361344537815,AGAST+SIFT,341.5798319327731,40.647999999999996,-39.647999999999996,40.647999999999996
21,MAP Dataset,8.403361344537815,AGAST+SIFT,342.47058823529414,40.754000000000005,-39.754000000000005,40.754000000000005
22,MAP Dataset,8.403361344537815,AGAST+SIFT,311.4201680672269,37.059,-36.059,37.059
23,MAP Dataset,8.403361344537815,AGAST+SIFT,133.3361344537815,15.866999999999999,-14.866999999999999,15.866999999999999
24,MAP Dataset,8.403361344537815,AGAST+SIFT,0.06722689075630252,0.008,0.992,0.008000000000000004
25,MAP Dataset,8.403361344537815,AGAST+SIFT,535.5882352941177,63.735,-62.73499999999999,63.73499999999999
26,MAP Dataset,8.403361344537815,AGAST+SIFT,358.1512605042017,42.62,-41.62,42.62
27,MAP Dataset,8.411764705882353,AGAST+SIFT,291.99159663865544,34.71228771228771,-33.712287712287704,34.71228771228771
28,MAP Dataset,8.403361344537815,AGAST+SIFT,354.03361344537814,42.129999999999995,-41.129999999999995,42.129999999999995
29,MAP Dataset,8.403361344537815,AGAST+SIFT,284.218487394958,33.822,-32.822,33.822
30,MAP Dataset,8.403361344537815,AGAST+SIFT,344.14285714285717,40.953,-39.953,40.953
31,MAP Dataset,8.403361344537815,AGAST+SIFT,299.57142857142856,35.648999999999994,-34.648999999999994,35.648999999999994
32,MAP Dataset,8.403361344537815,AGAST+SIFT,405.2352941176471,48.223,-47.223,48.223
33,MAP Dataset,8.420168067226891,AGAST+SIFT,385.26050420168065,45.754491017964064,-44.75449101796407,45.754491017964064
34,MAP Dataset,8.420168067226891,AGAST+SIFT,431.85714285714283,51.28842315369261,-50.28842315369261,51.28842315369261
35,MAP Dataset,8.403361344537815,AGAST+SIFT,456.4117647058824,54.313,-53.313,54.31300000000001
36,MAP Dataset,8.403361344537815,AGAST+SIFT,409.1932773109244,48.693999999999996,-47.693999999999996,48.694
37,MAP Dataset,8.403361344537815,AGAST+SIFT,400.85714285714283,47.702,-46.702,47.702
38,MAP Dataset,8.403361344537815,AGAST+SIFT,450.66386554621846,53.629,-52.629,53.629
39,MAP Dataset,8.403361344537815,AGAST+SIFT,170.11764705882354,20.244,-19.244,20.244
40,MAP Dataset,8.403361344537815,AGAST+SIFT,0.05042016806722689,0.006,0.994,0.006000000000000003
41,MAP Dataset,8.403361344537815,AGAST+SIFT,674.4957983193277,80.265,-79.26499999999999,80.265
42,MAP Dataset,8.403361344537815,AGAST+SIFT,483.85714285714283,57.57899999999999,-56.57899999999999,57.57899999999999
43,MAP Dataset,8.403361344537815,AGAST+SIFT,423.6386554621849,50.413,-49.413,50.413
44,MAP Dataset,8.403361344537815,AGAST+SIFT,448.2773109243698,53.345,-52.345,53.34499999999999
45,MAP Dataset,8.403361344537815,AGAST+SIFT,461.7310924369748,54.946,-53.946,54.946
46,MAP Dataset,8.403361344537815,AGAST+SIFT,461.8067226890756,54.955,-53.955,54.955
47,MAP Dataset,8.403361344537815,AGAST+SIFT,446.79831932773106,53.169,-52.169,53.169
48,MAP Dataset,8.403361344537815,AGAST+SIFT,407.92436974789916,48.543,-47.543,48.543
49,MAP Dataset,8.403361344537815,AGAST+SIFT,390.70588235294116,46.49399999999999,-45.494,46.493999999999986
50,MAP Dataset,8.403361344537815,AGAST+SIFT,144.6386554621849,17.212,-16.212,17.212
51,MAP Dataset,8.403361344537815,AGAST+SIFT,0.058823529411764705,0.006999999999999999,0.993,0.007000000000000003
52,MAP Dataset,8.403361344537815,AGAST+SIFT,635.3361344537815,75.60499999999999,-74.60499999999999,75.60499999999999
53,MAP Dataset,8.403361344537815,AGAST+SIFT,357.4957983193277,42.541999999999994,-41.541999999999994,42.541999999999994
54,MAP Dataset,8.403361344537815,AGAST+SIFT,412.3109243697479,49.065,-48.065,49.06499999999999
55,MAP Dataset,8.403361344537815,AGAST+SIFT,418.3109243697479,49.778999999999996,-48.778999999999996,49.77899999999999
56,MAP Dataset,8.403361344537815,AGAST+SIFT,402.9579831932773,47.952,-46.952,47.952
57,MAP Dataset,8.403361344537815,AGAST+SIFT,160.6890756302521,19.121999999999996,-18.122,19.121999999999996
58,MAP Dataset,8.403361344537815,AGAST+SIFT,0.06722689075630252,0.008,0.992,0.008000000000000004
59,MAP Dataset,8.403361344537815,AGAST+SIFT,430.6890756302521,51.251999999999995,-50.251999999999995,51.251999999999995
60,MAP Dataset,8.403361344537815,AGAST+SIFT,377.26050420168065,44.894,-43.894,44.894
