,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,MAP Dataset,8.403361344537815,AGAST+SIFT,0.25210084033613445,0.03,0.9699999999999999,0.03000000000000007
1,MAP Dataset,8.411764705882353,AGAST+SIFT,0.3697478991596639,0.04395604395604396,0.956043956043956,0.04395604395604399
2,MAP Dataset,8.403361344537815,AGAST+SIFT,0.31932773109243695,0.03799999999999999,0.962,0.03800000000000001
3,MAP Dataset,8.420168067226891,AGAST+SIFT,0.226890756302521,0.026946107784431135,0.9730538922155689,0.026946107784431104
4,MAP Dataset,8.411764705882353,AGAST+SIFT,0.05042016806722689,0.005994005994005994,0.994005994005994,0.0059940059940060035
5,MAP Dataset,8.411764705882353,AGAST+SIFT,0.9327731092436975,0.11088911088911088,0.8891108891108891,0.1108891108891109
6,MAP Dataset,8.403361344537815,AGAST+SIFT,0.2773109243697479,0.033,0.9669999999999999,0.03300000000000007
7,MAP Dataset,8.403361344537815,AGAST+SIFT,0.6386554621848739,0.07599999999999998,0.924,0.07599999999999997
8,MAP Dataset,8.403361344537815,AGAST+SIFT,0.7983193277310925,0.095,0.905,0.095
9,MAP Dataset,8.403361344537815,AGAST+SIFT,1.1176470588235294,0.133,0.8670000000000001,0.13299999999999995
10,MAP Dataset,8.403361344537815,AGAST+SIFT,1.2100840336134453,0.144,0.856,0.144
11,MAP Dataset,8.411764705882353,AGAST+SIFT,1.319327731092437,0.15684315684315683,0.8431568431568431,0.15684315684315683
12,MAP Dataset,8.403361344537815,AGAST+SIFT,0.9495798319327731,0.11299999999999999,0.887,0.11299999999999999
13,MAP Dataset,8.403361344537815,AGAST+SIFT,1.0756302521008403,0.128,0.872,0.128
14,MAP Dataset,8.403361344537815,AGAST+SIFT,0.957983193277311,0.114,0.886,0.114
15,MAP Dataset,8.403361344537815,AGAST+SIFT,0.8319327731092437,0.099,0.901,0.099
16,MAP Dataset,8.403361344537815,AGAST+SIFT,0.6638655462184874,0.07899999999999999,0.9209999999999999,0.07900000000000003
17,MAP Dataset,8.403361344537815,AGAST+SIFT,1.184873949579832,0.141,0.859,0.141
18,MAP Dataset,8.403361344537815,AGAST+SIFT,1.5126050420168067,0.18,0.8200000000000001,0.17999999999999994
19,MAP Dataset,8.403361344537815,AGAST+SIFT,1.680672268907563,0.19999999999999998,0.7999999999999999,0.20000000000000004
20,MAP Dataset,8.403361344537815,AGAST+SIFT,1.5378151260504203,0.183,0.8170000000000001,0.183
21,MAP Dataset,8.403361344537815,AGAST+SIFT,1.3697478991596639,0.163,0.837,0.163
