,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,MAP Dataset,16.80672268907563,AGAST+SIFT,378.97478991596637,22.549,-21.549,22.549
1,MAP Dataset,16.80672268907563,AGAST+SIFT,296.890756302521,17.665,-16.665,17.665
2,MAP Dataset,16.80672268907563,AGAST+SIFT,298.5798319327731,17.7655,-16.7655,17.7655
3,MAP Dataset,16.80672268907563,AGAST+SIFT,68.92436974789916,4.101,-3.1010000000000004,4.101
4,MAP Dataset,16.81512605042017,AGAST+SIFT,0.09243697478991597,0.005497251374312844,0.9945027486256872,0.005497251374312814
5,MAP Dataset,16.80672268907563,AGAST+SIFT,584.5126050420168,34.7785,-33.7785,34.7785
6,MAP Dataset,16.80672268907563,AGAST+SIFT,339.52941176470586,20.201999999999998,-19.201999999999998,20.201999999999998
7,MAP Dataset,16.80672268907563,AGAST+SIFT,387.07563025210084,23.031,-22.031,23.030999999999995
8,MAP Dataset,16.80672268907563,AGAST+SIFT,432.5882352941176,25.738999999999997,-24.738999999999997,25.739
9,MAP Dataset,16.80672268907563,AGAST+SIFT,431.05882352941177,25.648,-24.648,25.648
10,MAP Dataset,16.80672268907563,AGAST+SIFT,438.96638655462186,26.1185,-25.1185,26.1185
11,MAP Dataset,16.80672268907563,AGAST+SIFT,415.01680672268907,24.6935,-23.6935,24.6935
12,MAP Dataset,16.80672268907563,AGAST+SIFT,413.39495798319325,24.596999999999998,-23.596999999999998,24.597
13,MAP Dataset,16.81512605042017,AGAST+SIFT,421.61344537815125,25.073463268365817,-24.073463268365813,25.073463268365817
14,MAP Dataset,16.80672268907563,AGAST+SIFT,326.2689075630252,19.413,-18.413,19.413
15,MAP Dataset,16.80672268907563,AGAST+SIFT,393.25210084033614,23.3985,-22.3985,23.3985
16,MAP Dataset,16.80672268907563,AGAST+SIFT,329.20168067226894,19.587500000000002,-18.587500000000002,19.587500000000002
17,MAP Dataset,16.80672268907563,AGAST+SIFT,337.0420168067227,20.054,-19.054,20.054
18,MAP Dataset,16.80672268907563,AGAST+SIFT,277.78991596638656,16.5285,-15.5285,16.5285
19,MAP Dataset,16.80672268907563,AGAST+SIFT,337.05882352941177,20.055,-19.055,20.055
20,MAP Dataset,16.80672268907563,AGAST+SIFT,255.0420168067227,15.175,-14.175,15.175
21,MAP Dataset,16.80672268907563,AGAST+SIFT,327.7310924369748,19.5,-18.5,19.5
22,MAP Dataset,16.80672268907563,AGAST+SIFT,313.25210084033614,18.6385,-17.6385,18.6385
23,MAP Dataset,16.80672268907563,AGAST+SIFT,128.3361344537815,7.635999999999999,-6.636,7.636
24,MAP Dataset,16.80672268907563,AGAST+SIFT,0.08403361344537816,0.005,0.995,0.005000000000000002
25,MAP Dataset,16.80672268907563,AGAST+SIFT,567.0168067226891,33.737500000000004,-32.737500000000004,33.737500000000004
26,MAP Dataset,16.80672268907563,AGAST+SIFT,332.38655462184875,19.777,-18.777,19.777
27,MAP Dataset,16.80672268907563,AGAST+SIFT,320.97478991596637,19.098,-18.098,19.098
28,MAP Dataset,16.823529411764707,AGAST+SIFT,309.38655462184875,18.39010989010989,-17.39010989010989,18.39010989010989
29,MAP Dataset,16.80672268907563,AGAST+SIFT,348.546218487395,20.738500000000002,-19.738500000000002,20.738500000000002
30,MAP Dataset,16.80672268907563,AGAST+SIFT,293.3613445378151,17.455,-16.455,17.455
31,MAP Dataset,16.80672268907563,AGAST+SIFT,368.79831932773106,21.943499999999997,-20.943499999999997,21.943499999999997
32,MAP Dataset,16.80672268907563,AGAST+SIFT,401.52100840336135,23.8905,-22.8905,23.8905
33,MAP Dataset,16.80672268907563,AGAST+SIFT,436.6218487394958,25.979,-24.979,25.979
34,MAP Dataset,16.80672268907563,AGAST+SIFT,464.25210084033614,27.622999999999998,-26.623,27.623
35,MAP Dataset,16.80672268907563,AGAST+SIFT,459.5126050420168,27.340999999999998,-26.340999999999998,27.340999999999998
36,MAP Dataset,16.80672268907563,AGAST+SIFT,474.2857142857143,28.22,-27.22,28.22
37,MAP Dataset,16.80672268907563,AGAST+SIFT,436.9075630252101,25.996,-24.996,25.995999999999995
38,MAP Dataset,16.80672268907563,AGAST+SIFT,427.0504201680672,25.409499999999998,-24.409499999999998,25.409499999999998
39,MAP Dataset,16.80672268907563,AGAST+SIFT,173.4453781512605,10.32,-9.32,10.32
40,MAP Dataset,16.80672268907563,AGAST+SIFT,0.06722689075630252,0.004,0.996,0.004000000000000002
41,MAP Dataset,16.80672268907563,AGAST+SIFT,614.655462184874,36.571999999999996,-35.571999999999996,36.571999999999996
42,MAP Dataset,16.80672268907563,AGAST+SIFT,399.4621848739496,23.768,-22.768,23.768
43,MAP Dataset,16.80672268907563,AGAST+SIFT,472.56302521008405,28.1175,-27.1175,28.1175
44,MAP Dataset,16.80672268907563,AGAST+SIFT,384.01680672268907,22.849,-21.849,22.849
45,MAP Dataset,16.80672268907563,AGAST+SIFT,397.1512605042017,23.630499999999998,-22.630499999999998,23.630499999999998
46,MAP Dataset,16.80672268907563,AGAST+SIFT,459.74789915966386,27.354999999999997,-26.355,27.354999999999997
47,MAP Dataset,16.80672268907563,AGAST+SIFT,460.52941176470586,27.4015,-26.4015,27.4015
48,MAP Dataset,16.80672268907563,AGAST+SIFT,399.4957983193277,23.77,-22.77,23.77
49,MAP Dataset,16.80672268907563,AGAST+SIFT,348.5882352941176,20.740999999999996,-19.741,20.740999999999996
50,MAP Dataset,16.80672268907563,AGAST+SIFT,138.890756302521,8.264,-7.263999999999999,8.264
51,MAP Dataset,16.81512605042017,AGAST+SIFT,0.07563025210084033,0.004497751124437781,0.9955022488755623,0.0044977511244377565
52,MAP Dataset,16.80672268907563,AGAST+SIFT,504.52941176470586,30.019499999999997,-29.019499999999997,30.019499999999997
53,MAP Dataset,16.80672268907563,AGAST+SIFT,403.14285714285717,23.987000000000002,-22.987000000000002,23.987000000000002
54,MAP Dataset,16.81512605042017,AGAST+SIFT,370.11764705882354,22.010994502748627,-21.010994502748623,22.010994502748627
55,MAP Dataset,16.80672268907563,AGAST+SIFT,420.05882352941177,24.9935,-23.9935,24.9935
56,MAP Dataset,16.80672268907563,AGAST+SIFT,422.66386554621846,25.1485,-24.1485,25.1485
57,MAP Dataset,16.80672268907563,AGAST+SIFT,161.01680672268907,9.580499999999999,-8.580499999999999,9.580499999999999
58,MAP Dataset,16.80672268907563,AGAST+SIFT,0.058823529411764705,0.0034999999999999996,0.9965,0.0034999999999999736
59,MAP Dataset,16.80672268907563,AGAST+SIFT,438.4453781512605,26.0875,-25.0875,26.0875
60,MAP Dataset,16.80672268907563,AGAST+SIFT,370.03361344537814,22.017,-21.017,22.017
61,MAP Dataset,16.80672268907563,AGAST+SIFT,390.1512605042017,23.214,-22.214,23.214
62,MAP Dataset,16.80672268907563,AGAST+SIFT,381.20168067226894,22.6815,-21.6815,22.681500000000003
63,MAP Dataset,16.81512605042017,AGAST+SIFT,369.96638655462186,22.00199900049975,-21.001999000499747,22.001999000499747
64,MAP Dataset,16.80672268907563,AGAST+SIFT,359.0420168067227,21.363,-20.363,21.363
65,MAP Dataset,16.80672268907563,AGAST+SIFT,394.4033613445378,23.467,-22.467,23.467
66,MAP Dataset,16.81512605042017,AGAST+SIFT,374.88235294117646,22.294352823588206,-21.294352823588202,22.294352823588202
67,MAP Dataset,16.80672268907563,AGAST+SIFT,338.10084033613447,20.117,-19.117,20.117
68,MAP Dataset,16.80672268907563,AGAST+SIFT,340.1848739495798,20.240999999999996,-19.241,20.240999999999996
69,MAP Dataset,16.80672268907563,AGAST+SIFT,368.3613445378151,21.917499999999997,-20.917499999999997,21.917499999999997
70,MAP Dataset,16.80672268907563,AGAST+SIFT,344.6806722689076,20.5085,-19.5085,20.5085
71,MAP Dataset,16.80672268907563,AGAST+SIFT,327.2352941176471,19.4705,-18.4705,19.4705
72,MAP Dataset,16.80672268907563,AGAST+SIFT,317.6890756302521,18.9025,-17.9025,18.9025
73,MAP Dataset,16.80672268907563,AGAST+SIFT,321.69747899159665,19.141000000000002,-18.141000000000002,19.141000000000002
74,MAP Dataset,16.80672268907563,AGAST+SIFT,305.672268907563,18.1875,-17.1875,18.1875
75,MAP Dataset,16.80672268907563,AGAST+SIFT,305.4957983193277,18.177,-17.177,18.177
76,MAP Dataset,16.80672268907563,AGAST+SIFT,307.73949579831935,18.3105,-17.3105,18.3105
77,MAP Dataset,16.80672268907563,AGAST+SIFT,261.93277310924367,15.584999999999997,-14.584999999999997,15.584999999999997
78,MAP Dataset,16.80672268907563,AGAST+SIFT,335.5126050420168,19.962999999999997,-18.962999999999997,19.962999999999997
79,MAP Dataset,16.80672268907563,AGAST+SIFT,390.546218487395,23.2375,-22.2375,23.237500000000004
80,MAP Dataset,16.80672268907563,AGAST+SIFT,0.07563025210084033,0.0045,0.9955,0.004499999999999974
81,MAP Dataset,16.80672268907563,AGAST+SIFT,115.2016806722689,6.8545,-5.8545,6.8545
82,MAP Dataset,16.80672268907563,AGAST+SIFT,289.4453781512605,17.222,-16.222,17.222
83,MAP Dataset,16.80672268907563,AGAST+SIFT,330.5546218487395,19.668,-18.668,19.668
84,MAP Dataset,16.80672268907563,AGAST+SIFT,322.70588235294116,19.200999999999997,-18.200999999999997,19.200999999999997
85,MAP Dataset,16.80672268907563,AGAST+SIFT,319.70588235294116,19.022499999999997,-18.022499999999997,19.022499999999997
86,MAP Dataset,16.80672268907563,AGAST+SIFT,304.6218487394958,18.125,-17.125,18.125
87,MAP Dataset,16.80672268907563,AGAST+SIFT,312.30252100840335,18.581999999999997,-17.581999999999997,18.581999999999997
88,MAP Dataset,16.80672268907563,AGAST+SIFT,320.5378151260504,19.072,-18.072,19.072
89,MAP Dataset,16.80672268907563,AGAST+SIFT,326.38655462184875,19.419999999999998,-18.419999999999998,19.419999999999998
90,MAP Dataset,16.81512605042017,AGAST+SIFT,362.65546218487395,21.5672163918041,-20.567216391804095,21.5672163918041
91,MAP Dataset,16.80672268907563,AGAST+SIFT,394.2689075630252,23.459,-22.459,23.459
92,MAP Dataset,16.80672268907563,AGAST+SIFT,340.5882352941176,20.264999999999997,-19.264999999999997,20.264999999999997
93,MAP Dataset,16.80672268907563,AGAST+SIFT,371.5882352941176,22.109499999999997,-21.109499999999997,22.109499999999997
94,MAP Dataset,16.80672268907563,AGAST+SIFT,373.2689075630252,22.2095,-21.2095,22.2095
95,MAP Dataset,16.81512605042017,AGAST+SIFT,354.4201680672269,21.077461269365315,-20.077461269365315,21.077461269365315
96,MAP Dataset,16.80672268907563,AGAST+SIFT,410.57142857142856,24.429,-23.429,24.429
97,MAP Dataset,16.80672268907563,AGAST+SIFT,394.6386554621849,23.480999999999998,-22.481,23.480999999999998
98,MAP Dataset,16.81512605042017,AGAST+SIFT,386.52941176470586,22.987006496751622,-21.987006496751622,22.987006496751622
99,MAP Dataset,16.80672268907563,AGAST+SIFT,391.03361344537814,23.266499999999997,-22.266499999999997,23.266499999999997
100,MAP Dataset,16.80672268907563,AGAST+SIFT,402.73949579831935,23.963,-22.963,23.962999999999997
101,MAP Dataset,16.80672268907563,AGAST+SIFT,380.2436974789916,22.624499999999998,-21.624499999999998,22.624499999999998
102,MAP Dataset,16.823529411764707,AGAST+SIFT,321.5882352941176,19.115384615384613,-18.115384615384613,19.115384615384613
103,MAP Dataset,16.80672268907563,AGAST+SIFT,264.47058823529414,15.736,-14.736,15.736
104,MAP Dataset,16.80672268907563,AGAST+SIFT,225.11764705882354,13.394499999999999,-12.3945,13.394499999999999
105,MAP Dataset,16.80672268907563,AGAST+SIFT,210.00840336134453,12.4955,-11.4955,12.4955
106,MAP Dataset,16.81512605042017,AGAST+SIFT,168.2689075630252,10.006996501749125,-9.006996501749125,10.006996501749125
107,MAP Dataset,16.80672268907563,AGAST+SIFT,150.92436974789916,8.98,-7.98,8.98
108,MAP Dataset,16.81512605042017,AGAST+SIFT,230.05882352941177,13.681659170414791,-12.681659170414793,13.681659170414791
109,MAP Dataset,16.80672268907563,AGAST+SIFT,0.13445378151260504,0.008,0.992,0.008000000000000004
110,MAP Dataset,16.80672268907563,AGAST+SIFT,41.78151260504202,2.4859999999999998,-1.486,2.4859999999999998
111,MAP Dataset,16.81512605042017,AGAST+SIFT,192.98319327731093,11.476761619190405,-10.476761619190405,11.476761619190405
112,MAP Dataset,16.80672268907563,AGAST+SIFT,228.47058823529412,13.594,-12.594,13.594
113,MAP Dataset,16.80672268907563,AGAST+SIFT,165.2941176470588,9.834999999999999,-8.834999999999999,9.834999999999999
114,MAP Dataset,16.80672268907563,AGAST+SIFT,172.87394957983193,10.286,-9.286,10.286
115,MAP Dataset,16.80672268907563,AGAST+SIFT,156.9075630252101,9.336,-8.336,9.336
116,MAP Dataset,16.80672268907563,AGAST+SIFT,178.73949579831933,10.635,-9.635,10.635
117,MAP Dataset,16.80672268907563,AGAST+SIFT,206.03361344537817,12.259,-11.259,12.259
118,MAP Dataset,16.80672268907563,AGAST+SIFT,276.52100840336135,16.453,-15.453,16.453
119,MAP Dataset,373.3613445378151,SIFT,276.4201680672269,0.7403556155750619,0.2596443844249381,0.7403556155750619
120,MAP Dataset,370.6302521008403,SIFT,202.0252100840336,0.5450855912028114,0.45491440879718853,0.5450855912028114
121,MAP Dataset,368.66386554621846,SIFT,249.91596638655463,0.6778965603701763,0.32210343962982374,0.6778965603701763
122,MAP Dataset,374.70588235294116,SIFT,103.69747899159664,0.27674366449876653,0.7232563355012334,0.2767436644987666
123,MAP Dataset,404.98319327731093,SIFT,0.07563025210084033,0.00018674911294171351,0.9998132508870583,0.00018674911294170552
124,MAP Dataset,385.7731092436975,SIFT,328.327731092437,0.8510902476746466,0.14890975232535344,0.8510902476746466
125,MAP Dataset,393.218487394958,SIFT,256.6218487394958,0.6526189814715877,0.34738101852841236,0.6526189814715877
126,MAP Dataset,385.20168067226894,SIFT,280.3109243697479,0.7276991208359693,0.2723008791640307,0.7276991208359693
127,MAP Dataset,382.0840336134454,SIFT,278.21008403361344,0.7281384710125802,0.2718615289874198,0.7281384710125802
128,MAP Dataset,389.3529411764706,SIFT,298.10084033613447,0.7656314074201973,0.23436859257980275,0.7656314074201973
129,MAP Dataset,378.9579831932773,SIFT,275.6890756302521,0.72749246052865,0.27250753947135004,0.72749246052865
130,MAP Dataset,379.00840336134456,SIFT,258.97478991596637,0.6832956409915302,0.31670435900846977,0.6832956409915302
