,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,MAP Dataset,16.80672268907563,AGAST+SIFT,1.504201680672269,0.0895,0.9105,0.08950000000000001
1,MAP Dataset,16.80672268907563,AGAST+SIFT,1.3277310924369747,0.07899999999999999,0.9209999999999999,0.07900000000000003
2,MAP Dataset,16.80672268907563,AGAST+SIFT,1.0336134453781514,0.061500000000000006,0.9385,0.061500000000000006
3,MAP Dataset,16.80672268907563,AGAST+SIFT,0.6302521008403361,0.0375,0.9624999999999999,0.03750000000000004
4,MAP Dataset,16.81512605042017,AGAST+SIFT,0.10084033613445378,0.005997001499250375,0.9940029985007497,0.0059970014992503425
5,MAP Dataset,16.80672268907563,AGAST+SIFT,2.697478991596639,0.1605,0.8394999999999999,0.16050000000000006
6,MAP Dataset,16.80672268907563,AGAST+SIFT,2.033613445378151,0.12099999999999998,0.879,0.12099999999999998
7,MAP Dataset,16.80672268907563,AGAST+SIFT,2.8739495798319328,0.17099999999999999,0.829,0.171
8,MAP Dataset,16.80672268907563,AGAST+SIFT,3.2605042016806722,0.19399999999999998,0.806,0.194
9,MAP Dataset,16.80672268907563,AGAST+SIFT,3.53781512605042,0.2105,0.7895,0.2105
10,MAP Dataset,16.80672268907563,AGAST+SIFT,3.831932773109244,0.228,0.772,0.228
11,MAP Dataset,16.80672268907563,AGAST+SIFT,3.865546218487395,0.22999999999999998,0.77,0.22999999999999998
12,MAP Dataset,16.80672268907563,AGAST+SIFT,3.5294117647058822,0.21,0.79,0.21
13,MAP Dataset,16.81512605042017,AGAST+SIFT,3.7815126050420167,0.22488755622188905,0.775112443778111,0.22488755622188905
14,MAP Dataset,16.80672268907563,AGAST+SIFT,3.7142857142857144,0.221,0.7789999999999999,0.22100000000000006
15,MAP Dataset,16.80672268907563,AGAST+SIFT,3.546218487394958,0.211,0.789,0.211
16,MAP Dataset,16.80672268907563,AGAST+SIFT,2.773109243697479,0.16499999999999998,0.835,0.165
17,MAP Dataset,16.80672268907563,AGAST+SIFT,3.0588235294117645,0.18199999999999997,0.8180000000000001,0.18199999999999994
18,MAP Dataset,16.80672268907563,AGAST+SIFT,3.142857142857143,0.187,0.8130000000000001,0.18699999999999994
