,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,MAP Dataset,16.80672268907563,AGAST+SIFT,161.5966386554622,9.615,-8.615,9.615
1,MAP Dataset,16.80672268907563,AGAST+SIFT,146.6638655462185,8.7265,-7.7265,8.7265
2,MAP Dataset,16.80672268907563,AGAST+SIFT,129.21848739495798,7.6884999999999994,-6.6884999999999994,7.6884999999999994
3,MAP Dataset,16.80672268907563,AGAST+SIFT,59.252100840336134,3.5254999999999996,-2.5254999999999996,3.5254999999999996
4,MAP Dataset,16.81512605042017,AGAST+SIFT,0.12605042016806722,0.007496251874062968,0.9925037481259371,0.007496251874062928
5,MAP Dataset,16.80672268907563,AGAST+SIFT,226.30252100840337,13.465,-12.465,13.464999999999998
6,MAP Dataset,16.80672268907563,AGAST+SIFT,173.6218487394958,10.330499999999999,-9.330499999999999,10.330499999999999
7,MAP Dataset,16.80672268907563,AGAST+SIFT,158.25210084033614,9.416,-8.416,9.416
8,MAP Dataset,16.80672268907563,AGAST+SIFT,165.38655462184875,9.8405,-8.8405,9.8405
9,MAP Dataset,16.80672268907563,AGAST+SIFT,158.68067226890756,9.4415,-8.4415,9.4415
10,MAP Dataset,16.80672268907563,AGAST+SIFT,146.80672268907563,8.735,-7.734999999999999,8.735
11,MAP Dataset,16.80672268907563,AGAST+SIFT,158.14285714285714,9.4095,-8.4095,9.4095
12,MAP Dataset,16.80672268907563,AGAST+SIFT,140.2268907563025,8.343499999999999,-7.343499999999999,8.343499999999999
13,MAP Dataset,16.81512605042017,AGAST+SIFT,145.42016806722688,8.648175912043977,-7.648175912043977,8.648175912043977
14,MAP Dataset,16.80672268907563,AGAST+SIFT,132.32773109243698,7.8735,-6.8735,7.8735
15,MAP Dataset,16.80672268907563,AGAST+SIFT,119.71428571428571,7.122999999999999,-6.122999999999999,7.122999999999999
16,MAP Dataset,16.80672268907563,AGAST+SIFT,106.32773109243698,6.3265,-5.3265,6.3265
17,MAP Dataset,16.80672268907563,AGAST+SIFT,105.70588235294117,6.289499999999999,-5.289499999999999,6.2895
18,MAP Dataset,16.80672268907563,AGAST+SIFT,94.87394957983193,5.645,-4.645,5.645
19,MAP Dataset,16.80672268907563,AGAST+SIFT,97.31932773109244,5.7905,-4.790500000000001,5.790500000000001
20,MAP Dataset,16.80672268907563,AGAST+SIFT,93.5798319327731,5.568,-4.568,5.568
21,MAP Dataset,16.80672268907563,AGAST+SIFT,95.38655462184875,5.6755,-4.6755,5.675500000000001
22,MAP Dataset,16.80672268907563,AGAST+SIFT,83.8655462184874,4.99,-3.99,4.99
23,MAP Dataset,16.80672268907563,AGAST+SIFT,52.91596638655462,3.1485,-2.1485,3.1485000000000003
24,MAP Dataset,16.80672268907563,AGAST+SIFT,0.05042016806722689,0.003,0.997,0.0030000000000000014
25,MAP Dataset,16.80672268907563,AGAST+SIFT,171.85714285714286,10.2255,-9.2255,10.2255
26,MAP Dataset,16.80672268907563,AGAST+SIFT,94.08403361344538,5.598,-4.598000000000001,5.598
27,MAP Dataset,16.80672268907563,AGAST+SIFT,86.94957983193277,5.1735,-4.1735,5.1735
28,MAP Dataset,16.823529411764707,AGAST+SIFT,104.22689075630252,6.195304695304695,-5.195304695304695,6.195304695304695
29,MAP Dataset,16.80672268907563,AGAST+SIFT,96.75630252100841,5.757,-4.757000000000001,5.7570000000000014
30,MAP Dataset,16.80672268907563,AGAST+SIFT,91.8655462184874,5.466,-4.466,5.466
31,MAP Dataset,16.80672268907563,AGAST+SIFT,87.31932773109244,5.1955,-4.1955,5.1955
32,MAP Dataset,16.80672268907563,AGAST+SIFT,109.14285714285714,6.494,-5.494,6.494
33,MAP Dataset,16.80672268907563,AGAST+SIFT,131.3613445378151,7.815999999999999,-6.815999999999999,7.815999999999999
34,MAP Dataset,16.80672268907563,AGAST+SIFT,149.8403361344538,8.9155,-7.915500000000001,8.9155
35,MAP Dataset,16.80672268907563,AGAST+SIFT,153.0420168067227,9.106,-8.106,9.106
36,MAP Dataset,16.80672268907563,AGAST+SIFT,137.26050420168067,8.167,-7.167,8.167
37,MAP Dataset,16.80672268907563,AGAST+SIFT,161.92436974789916,9.6345,-8.6345,9.6345
38,MAP Dataset,16.80672268907563,AGAST+SIFT,150.16806722689077,8.935,-7.9350000000000005,8.935
39,MAP Dataset,16.80672268907563,AGAST+SIFT,101.73109243697479,6.053,-5.053,6.053000000000001
40,MAP Dataset,16.80672268907563,AGAST+SIFT,0.07563025210084033,0.0045,0.9955,0.004499999999999974
41,MAP Dataset,16.80672268907563,AGAST+SIFT,221.96638655462183,13.206999999999999,-12.206999999999999,13.206999999999999
42,MAP Dataset,16.80672268907563,AGAST+SIFT,156.57983193277312,9.3165,-8.3165,9.3165
43,MAP Dataset,16.80672268907563,AGAST+SIFT,177.7563025210084,10.5765,-9.5765,10.5765
44,MAP Dataset,16.80672268907563,AGAST+SIFT,128.51260504201682,7.6465000000000005,-6.6465000000000005,7.6465000000000005
45,MAP Dataset,16.80672268907563,AGAST+SIFT,153.3613445378151,9.124999999999998,-8.125,9.124999999999998
46,MAP Dataset,16.80672268907563,AGAST+SIFT,136.92436974789916,8.147,-7.147,8.147
47,MAP Dataset,16.80672268907563,AGAST+SIFT,156.41176470588235,9.3065,-8.3065,9.3065
48,MAP Dataset,16.80672268907563,AGAST+SIFT,108.85714285714286,6.477,-5.477,6.476999999999999
49,MAP Dataset,16.80672268907563,AGAST+SIFT,126.21848739495799,7.51,-6.510000000000001,7.510000000000001
50,MAP Dataset,16.80672268907563,AGAST+SIFT,57.57142857142857,3.4254999999999995,-2.4255,3.4255000000000004
51,MAP Dataset,16.81512605042017,AGAST+SIFT,0.058823529411764705,0.0034982508745627183,0.9965017491254373,0.0034982508745626992
52,MAP Dataset,16.80672268907563,AGAST+SIFT,186.6218487394958,11.104,-10.104,11.104
53,MAP Dataset,16.80672268907563,AGAST+SIFT,113.41176470588235,6.747999999999999,-5.747999999999999,6.747999999999999
54,MAP Dataset,16.81512605042017,AGAST+SIFT,121.42857142857143,7.221389305347326,-6.2213893053473255,7.2213893053473255
55,MAP Dataset,16.80672268907563,AGAST+SIFT,122.00840336134453,7.259499999999999,-6.2595,7.2595
56,MAP Dataset,16.80672268907563,AGAST+SIFT,133.6218487394958,7.950499999999999,-6.950499999999999,7.950499999999999
57,MAP Dataset,16.80672268907563,AGAST+SIFT,92.61344537815125,5.5104999999999995,-4.5104999999999995,5.5104999999999995
58,MAP Dataset,16.80672268907563,AGAST+SIFT,0.08403361344537816,0.005,0.995,0.005000000000000002
59,MAP Dataset,16.80672268907563,AGAST+SIFT,150.2689075630252,8.940999999999999,-7.941,8.940999999999999
