,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,MAP Dataset,33.898305084745765,AGAST+SIFT,2.711864406779661,0.07999999999999999,0.92,0.07999999999999997
1,MAP Dataset,33.898305084745765,AGAST+SIFT,1.7627118644067796,0.052,0.948,0.052000000000000025
2,MAP Dataset,33.91525423728814,AGAST+SIFT,2.8813559322033897,0.0849575212393803,0.9150424787606196,0.08495752123938034
3,MAP Dataset,33.898305084745765,AGAST+SIFT,3.169491525423729,0.0935,0.9065,0.0935
4,MAP Dataset,33.898305084745765,AGAST+SIFT,3.3559322033898304,0.09899999999999999,0.901,0.09899999999999999
5,MAP Dataset,33.898305084745765,AGAST+SIFT,3.9491525423728815,0.11649999999999999,0.8835,0.11650000000000002
6,MAP Dataset,33.898305084745765,AGAST+SIFT,5.067796610169491,0.1495,0.8505,0.1495
7,MAP Dataset,33.898305084745765,AGAST+SIFT,4.915254237288136,0.145,0.855,0.145
8,MAP Dataset,33.898305084745765,AGAST+SIFT,5.11864406779661,0.151,0.8490000000000001,0.15099999999999994
9,MAP Dataset,33.898305084745765,AGAST+SIFT,3.8983050847457625,0.11499999999999999,0.885,0.11499999999999999
10,MAP Dataset,33.898305084745765,AGAST+SIFT,0.3728813559322034,0.011,0.9890000000000001,0.010999999999999949
11,MAP Dataset,33.898305084745765,AGAST+SIFT,9.491525423728813,0.27999999999999997,0.7200000000000001,0.27999999999999997
12,MAP Dataset,33.91525423728814,AGAST+SIFT,4.728813559322034,0.1394302848575712,0.8605697151424287,0.13943028485757122
13,MAP Dataset,33.898305084745765,AGAST+SIFT,5.338983050847458,0.1575,0.8425,0.1575
14,MAP Dataset,33.898305084745765,AGAST+SIFT,3.983050847457627,0.1175,0.8825000000000001,0.11749999999999997
15,MAP Dataset,33.91525423728814,AGAST+SIFT,3.0508474576271185,0.08995502248875561,0.9100449775112445,0.08995502248875557
16,MAP Dataset,33.898305084745765,AGAST+SIFT,3.4915254237288136,0.103,0.897,0.103
17,MAP Dataset,33.898305084745765,AGAST+SIFT,2.8813559322033897,0.08499999999999999,0.9149999999999999,0.08500000000000003
18,MAP Dataset,33.898305084745765,AGAST+SIFT,2.2711864406779663,0.067,0.933,0.06699999999999998
19,MAP Dataset,33.898305084745765,AGAST+SIFT,2.7966101694915255,0.0825,0.9175,0.0825
20,MAP Dataset,33.898305084745765,AGAST+SIFT,2.4915254237288136,0.0735,0.9265,0.0735
21,MAP Dataset,33.91525423728814,AGAST+SIFT,0.4406779661016949,0.012993503248375811,0.9870064967516242,0.012993503248375797
22,MAP Dataset,33.91525423728814,AGAST+SIFT,12.796610169491526,0.3773113443278361,0.6226886556721639,0.3773113443278361
23,MAP Dataset,33.91525423728814,AGAST+SIFT,3.2203389830508473,0.09495252373813093,0.9050474762618691,0.09495252373813091
24,MAP Dataset,33.898305084745765,AGAST+SIFT,3.711864406779661,0.10949999999999999,0.8905,0.10950000000000001
25,MAP Dataset,33.932203389830505,AGAST+SIFT,4.101694915254237,0.12087912087912088,0.8791208791208792,0.12087912087912082
26,MAP Dataset,33.898305084745765,AGAST+SIFT,4.016949152542373,0.1185,0.8815,0.11850000000000001
27,MAP Dataset,33.898305084745765,AGAST+SIFT,4.3559322033898304,0.1285,0.8715,0.12849999999999998
28,MAP Dataset,33.898305084745765,AGAST+SIFT,0.6271186440677966,0.0185,0.9814999999999999,0.018500000000000034
29,MAP Dataset,33.898305084745765,AGAST+SIFT,6.677966101694915,0.19699999999999998,0.803,0.19699999999999998
30,MAP Dataset,33.91525423728814,AGAST+SIFT,3.2033898305084745,0.09445277361319339,0.9055472263868066,0.09445277361319339
31,MAP Dataset,33.898305084745765,AGAST+SIFT,3.288135593220339,0.097,0.903,0.09699999999999999
32,MAP Dataset,33.898305084745765,AGAST+SIFT,2.6779661016949152,0.079,0.921,0.07899999999999997
33,MAP Dataset,33.91525423728814,AGAST+SIFT,2.864406779661017,0.08445777111444278,0.9155422288855573,0.08445777111444276
34,MAP Dataset,33.898305084745765,AGAST+SIFT,11.576271186440678,0.34149999999999997,0.6585,0.34149999999999997
35,MAP Dataset,33.898305084745765,AGAST+SIFT,0.1016949152542373,0.003,0.9970000000000001,0.002999999999999946
36,MAP Dataset,33.91525423728814,AGAST+SIFT,1.5423728813559323,0.04547726136931534,0.9545227386306847,0.04547726136931531
37,MAP Dataset,33.898305084745765,AGAST+SIFT,1.4915254237288136,0.044,0.956,0.04400000000000002
38,MAP Dataset,33.898305084745765,AGAST+SIFT,2.4745762711864407,0.073,0.927,0.07299999999999997
39,MAP Dataset,33.898305084745765,AGAST+SIFT,3.1864406779661016,0.09399999999999999,0.906,0.09399999999999999
40,MAP Dataset,33.898305084745765,AGAST+SIFT,2.983050847457627,0.088,0.912,0.08799999999999998
41,MAP Dataset,33.898305084745765,AGAST+SIFT,2.7288135593220337,0.08049999999999999,0.9195,0.0805
42,MAP Dataset,33.898305084745765,AGAST+SIFT,2.4237288135593222,0.07150000000000001,0.9285,0.07150000000000001
43,MAP Dataset,33.898305084745765,AGAST+SIFT,1.694915254237288,0.049999999999999996,0.9500000000000001,0.04999999999999997
44,MAP Dataset,33.91525423728814,AGAST+SIFT,2.389830508474576,0.07046476761619189,0.9295352323838082,0.07046476761619185
45,MAP Dataset,33.898305084745765,AGAST+SIFT,2.830508474576271,0.08349999999999999,0.9165000000000001,0.08349999999999995
