,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,MAP Dataset,33.898305084745765,AGAST+SIFT,2.610169491525424,0.077,0.9229999999999999,0.07700000000000003
1,MAP Dataset,33.898305084745765,AGAST+SIFT,1.7966101694915255,0.053,0.9470000000000001,0.05299999999999997
2,MAP Dataset,33.91525423728814,AGAST+SIFT,2.830508474576271,0.08345827086456771,0.9165417291354323,0.08345827086456771
3,MAP Dataset,33.898305084745765,AGAST+SIFT,2.593220338983051,0.0765,0.9235,0.0765
4,MAP Dataset,33.898305084745765,AGAST+SIFT,3.305084745762712,0.09749999999999999,0.9025,0.09750000000000002
5,MAP Dataset,33.898305084745765,AGAST+SIFT,3.9661016949152543,0.11699999999999999,0.883,0.11699999999999999
6,MAP Dataset,33.898305084745765,AGAST+SIFT,5.0,0.1475,0.8525,0.1475
7,MAP Dataset,33.898305084745765,AGAST+SIFT,4.915254237288136,0.145,0.855,0.145
8,MAP Dataset,33.898305084745765,AGAST+SIFT,4.796610169491525,0.1415,0.8585,0.1415
9,MAP Dataset,33.898305084745765,AGAST+SIFT,4.779661016949152,0.141,0.859,0.141
10,MAP Dataset,33.898305084745765,AGAST+SIFT,0.3559322033898305,0.010499999999999999,0.9894999999999999,0.010500000000000032
11,MAP Dataset,33.898305084745765,AGAST+SIFT,9.101694915254237,0.26849999999999996,0.7315,0.26849999999999996
12,MAP Dataset,33.91525423728814,AGAST+SIFT,4.576271186440678,0.13493253373313344,0.8650674662668666,0.13493253373313344
13,MAP Dataset,33.898305084745765,AGAST+SIFT,5.372881355932203,0.15849999999999997,0.8415,0.15849999999999997
14,MAP Dataset,33.898305084745765,AGAST+SIFT,4.288135593220339,0.1265,0.8735,0.12649999999999997
15,MAP Dataset,33.91525423728814,AGAST+SIFT,3.0508474576271185,0.08995502248875561,0.9100449775112445,0.08995502248875557
16,MAP Dataset,33.898305084745765,AGAST+SIFT,3.4237288135593222,0.101,0.899,0.10099999999999999
17,MAP Dataset,33.898305084745765,AGAST+SIFT,2.7288135593220337,0.08049999999999999,0.9195,0.0805
