,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,MAP Dataset,16.81512605042017,AGAST+SIFT,0.6722689075630253,0.0399800099950025,0.9600199900049974,0.039980009995002556
1,MAP Dataset,16.80672268907563,AGAST+SIFT,0.8487394957983193,0.050499999999999996,0.9495,0.050499999999999996
2,MAP Dataset,16.80672268907563,AGAST+SIFT,0.4789915966386555,0.0285,0.9715000000000001,0.02849999999999993
3,MAP Dataset,16.80672268907563,AGAST+SIFT,0.3949579831932773,0.023499999999999997,0.9765,0.023499999999999983
4,MAP Dataset,16.80672268907563,AGAST+SIFT,0.05042016806722689,0.003,0.997,0.0030000000000000014
5,MAP Dataset,16.80672268907563,AGAST+SIFT,1.638655462184874,0.09749999999999999,0.9025000000000001,0.09749999999999995
6,MAP Dataset,16.80672268907563,AGAST+SIFT,0.8571428571428571,0.051,0.949,0.051000000000000024
7,MAP Dataset,16.80672268907563,AGAST+SIFT,1.4201680672268908,0.0845,0.9155,0.0845
8,MAP Dataset,16.80672268907563,AGAST+SIFT,2.1512605042016806,0.128,0.872,0.128
9,MAP Dataset,16.80672268907563,AGAST+SIFT,2.6470588235294117,0.1575,0.8425,0.1575
10,MAP Dataset,16.80672268907563,AGAST+SIFT,2.6470588235294117,0.1575,0.8425,0.1575
11,MAP Dataset,16.80672268907563,AGAST+SIFT,2.9243697478991595,0.174,0.826,0.17400000000000002
12,MAP Dataset,16.80672268907563,AGAST+SIFT,2.5126050420168067,0.1495,0.8505,0.1495
13,MAP Dataset,16.823529411764707,AGAST+SIFT,2.5294117647058822,0.15034965034965034,0.8496503496503497,0.15034965034965034
14,MAP Dataset,16.80672268907563,AGAST+SIFT,2.3949579831932772,0.1425,0.8574999999999999,0.14250000000000004
15,MAP Dataset,16.80672268907563,AGAST+SIFT,2.0588235294117645,0.12249999999999998,0.8775000000000001,0.12249999999999997
16,MAP Dataset,16.80672268907563,AGAST+SIFT,1.7647058823529411,0.105,0.8949999999999999,0.10500000000000005
17,MAP Dataset,16.80672268907563,AGAST+SIFT,2.2521008403361344,0.13399999999999998,0.8660000000000001,0.13399999999999992
18,MAP Dataset,16.80672268907563,AGAST+SIFT,2.7899159663865545,0.16599999999999998,0.834,0.166
19,MAP Dataset,16.80672268907563,AGAST+SIFT,3.1596638655462184,0.18799999999999997,0.812,0.18799999999999997
20,MAP Dataset,16.81512605042017,AGAST+SIFT,3.100840336134454,0.18440779610194902,0.815592203898051,0.18440779610194902
21,MAP Dataset,16.81512605042017,AGAST+SIFT,2.5210084033613445,0.14992503748125935,0.8500749625187406,0.14992503748125938
22,MAP Dataset,16.80672268907563,AGAST+SIFT,1.9663865546218486,0.11699999999999999,0.883,0.11699999999999999
