,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.40336134453781514,0.048,0.952,0.04800000000000002
1,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.5042016806722689,0.06,0.9400000000000001,0.05999999999999997
2,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.6470588235294118,0.077,0.9229999999999999,0.07700000000000003
3,Small Village Dataset,8.403361344537815,AGAST+SIFT,1.0084033613445378,0.12,0.88,0.12
4,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.6302521008403361,0.075,0.925,0.07499999999999997
5,Small Village Dataset,8.403361344537815,AGAST+SIFT,1.1092436974789917,0.132,0.8680000000000001,0.13199999999999995
6,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.6302521008403361,0.075,0.925,0.07499999999999997
7,Small Village Dataset,8.403361344537815,AGAST+SIFT,1.0588235294117647,0.126,0.874,0.126
8,Small Village Dataset,8.403361344537815,AGAST+SIFT,1.2016806722689075,0.143,0.857,0.143
9,Small Village Dataset,8.411764705882353,AGAST+SIFT,0.7142857142857143,0.08491508491508491,0.9150849150849151,0.08491508491508491
10,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.4117647058823529,0.048999999999999995,0.951,0.04900000000000003
11,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.5546218487394958,0.066,0.934,0.06599999999999998
12,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.24369747899159663,0.028999999999999998,0.9710000000000001,0.028999999999999956
13,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.23529411764705882,0.027999999999999997,0.9720000000000001,0.027999999999999955
14,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.2689075630252101,0.032,0.9679999999999999,0.03200000000000007
15,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.5294117647058824,0.063,0.937,0.06299999999999997
16,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.6134453781512605,0.073,0.927,0.07299999999999997
17,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.3697478991596639,0.044,0.956,0.04400000000000002
18,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.4369747899159664,0.052,0.948,0.052000000000000025
19,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.5630252100840336,0.06699999999999999,0.933,0.06699999999999996
20,Small Village Dataset,8.411764705882353,AGAST+SIFT,0.6050420168067226,0.07192807192807192,0.9280719280719281,0.07192807192807192
21,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.9495798319327731,0.11299999999999999,0.887,0.11299999999999999
22,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.9411764705882353,0.11199999999999999,0.888,0.11199999999999999
23,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.42857142857142855,0.051,0.949,0.051000000000000024
24,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.5798319327731093,0.069,0.931,0.06899999999999998
25,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.226890756302521,0.027,0.9730000000000001,0.026999999999999958
26,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.5126050420168067,0.06099999999999999,0.9390000000000001,0.060999999999999964
27,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.24369747899159663,0.028999999999999998,0.9710000000000001,0.028999999999999956
28,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.09243697478991597,0.011,0.989,0.011000000000000005
29,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.16806722689075632,0.02,0.9800000000000001,0.019999999999999952
30,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.25210084033613445,0.03,0.9699999999999999,0.03000000000000007
31,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.4369747899159664,0.052,0.948,0.052000000000000025
32,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.44537815126050423,0.053,0.947,0.053000000000000026
33,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.4957983193277311,0.059,0.941,0.059000000000000025
34,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.6638655462184874,0.07899999999999999,0.9209999999999999,0.07900000000000003
35,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.7142857142857143,0.08499999999999999,0.915,0.08499999999999998
36,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.5882352941176471,0.06999999999999999,0.93,0.06999999999999997
37,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.8067226890756303,0.096,0.904,0.096
38,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.957983193277311,0.114,0.886,0.114
39,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.3277310924369748,0.039,0.961,0.039000000000000014
40,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.6134453781512605,0.073,0.927,0.07299999999999997
