,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.4117647058823529,0.048999999999999995,0.951,0.04900000000000003
1,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.5210084033613446,0.062,0.9380000000000001,0.06199999999999997
2,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.6050420168067226,0.072,0.928,0.07199999999999997
3,Small Village Dataset,8.403361344537815,AGAST+SIFT,1.0756302521008403,0.128,0.872,0.128
4,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.6050420168067226,0.072,0.928,0.07199999999999997
5,Small Village Dataset,8.411764705882353,AGAST+SIFT,0.9327731092436975,0.11088911088911088,0.8891108891108891,0.1108891108891109
6,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.7142857142857143,0.08499999999999999,0.915,0.08499999999999998
7,Small Village Dataset,8.411764705882353,AGAST+SIFT,0.865546218487395,0.1028971028971029,0.897102897102897,0.10289710289710294
8,Small Village Dataset,8.403361344537815,AGAST+SIFT,1.2352941176470589,0.147,0.853,0.147
9,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.773109243697479,0.092,0.908,0.09199999999999998
10,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.4117647058823529,0.048999999999999995,0.951,0.04900000000000003
11,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.5966386554621849,0.071,0.929,0.07099999999999997
12,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.23529411764705882,0.027999999999999997,0.9720000000000001,0.027999999999999955
13,Small Village Dataset,8.411764705882353,AGAST+SIFT,0.24369747899159663,0.02897102897102897,0.9710289710289711,0.028971028971028923
14,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.226890756302521,0.027,0.9730000000000001,0.026999999999999958
15,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.5378151260504201,0.064,0.936,0.06399999999999997
16,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.5798319327731093,0.069,0.931,0.06899999999999998
17,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.3949579831932773,0.04699999999999999,0.953,0.04700000000000002
18,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.40336134453781514,0.048,0.952,0.04800000000000002
19,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.5294117647058824,0.063,0.937,0.06299999999999997
20,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.7142857142857143,0.08499999999999999,0.915,0.08499999999999998
21,Small Village Dataset,8.403361344537815,AGAST+SIFT,1.0336134453781514,0.12300000000000001,0.877,0.12300000000000001
22,Small Village Dataset,8.411764705882353,AGAST+SIFT,0.9747899159663865,0.11588411588411587,0.8841158841158842,0.11588411588411586
23,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.48739495798319327,0.057999999999999996,0.942,0.058000000000000024
24,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.5966386554621849,0.071,0.929,0.07099999999999997
25,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.2773109243697479,0.033,0.9669999999999999,0.03300000000000007
26,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.4957983193277311,0.059,0.941,0.059000000000000025
27,Small Village Dataset,8.411764705882353,AGAST+SIFT,0.29411764705882354,0.03496503496503497,0.965034965034965,0.03496503496503498
28,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.1092436974789916,0.013,0.9870000000000001,0.012999999999999949
29,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.17647058823529413,0.021,0.9790000000000001,0.020999999999999953
30,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.31092436974789917,0.037,0.963,0.03700000000000001
31,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.4117647058823529,0.048999999999999995,0.951,0.04900000000000003
32,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.5210084033613446,0.062,0.9380000000000001,0.06199999999999997
33,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.5294117647058824,0.063,0.937,0.06299999999999997
34,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.6470588235294118,0.077,0.9229999999999999,0.07700000000000003
35,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.680672268907563,0.081,0.9189999999999999,0.08100000000000003
36,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.7142857142857143,0.08499999999999999,0.915,0.08499999999999998
37,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.8823529411764706,0.105,0.8949999999999999,0.10500000000000005
38,Small Village Dataset,8.403361344537815,AGAST+SIFT,1.084033613445378,0.12899999999999998,0.871,0.12899999999999998
39,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.3445378151260504,0.040999999999999995,0.959,0.041000000000000016
40,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.6050420168067226,0.072,0.928,0.07199999999999997
41,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.5966386554621849,0.071,0.929,0.07099999999999997
42,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.44537815126050423,0.053,0.947,0.053000000000000026
43,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.058823529411764705,0.006999999999999999,0.993,0.007000000000000003
44,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.05042016806722689,0.006,0.994,0.006000000000000003
45,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.07563025210084033,0.009,0.991,0.009000000000000003
46,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.07563025210084033,0.009,0.991,0.009000000000000003
