,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.3865546218487395,0.046,0.954,0.04600000000000002
1,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.35294117647058826,0.042,0.958,0.042000000000000016
2,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.3865546218487395,0.046,0.954,0.04600000000000002
3,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.7310924369747899,0.087,0.913,0.08699999999999998
4,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.42016806722689076,0.049999999999999996,0.95,0.05000000000000003
5,Small Village Dataset,8.411764705882353,AGAST+SIFT,0.8907563025210085,0.1058941058941059,0.894105894105894,0.10589410589410593
6,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.7815126050420168,0.093,0.907,0.09299999999999999
7,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.7226890756302521,0.086,0.914,0.08599999999999998
8,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.8235294117647058,0.09799999999999999,0.902,0.09799999999999999
9,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.4789915966386555,0.057,0.943,0.05700000000000003
10,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.33613445378151263,0.04,0.96,0.040000000000000015
11,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.4117647058823529,0.048999999999999995,0.951,0.04900000000000003
12,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.2184873949579832,0.026,0.9740000000000001,0.025999999999999957
13,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.13445378151260504,0.016,0.9840000000000001,0.015999999999999952
14,Small Village Dataset,8.411764705882353,AGAST+SIFT,0.18487394957983194,0.02197802197802198,0.9780219780219781,0.021978021978021938
15,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.40336134453781514,0.048,0.952,0.04800000000000002
16,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.48739495798319327,0.057999999999999996,0.942,0.058000000000000024
17,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.36134453781512604,0.043,0.957,0.04300000000000002
18,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.3865546218487395,0.046,0.954,0.04600000000000002
19,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.5042016806722689,0.06,0.9400000000000001,0.05999999999999997
20,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.7647058823529411,0.09099999999999998,0.909,0.09099999999999997
21,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.9159663865546218,0.10899999999999999,0.891,0.10899999999999999
22,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.9663865546218487,0.11499999999999999,0.885,0.11499999999999999
23,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.35294117647058826,0.042,0.958,0.042000000000000016
24,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.42016806722689076,0.049999999999999996,0.95,0.05000000000000003
25,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.13445378151260504,0.016,0.9840000000000001,0.015999999999999952
26,Small Village Dataset,8.411764705882353,AGAST+SIFT,0.37815126050420167,0.04495504495504495,0.955044955044955,0.044955044955044966
27,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.226890756302521,0.027,0.9730000000000001,0.026999999999999958
28,Small Village Dataset,8.411764705882353,AGAST+SIFT,0.09243697478991597,0.01098901098901099,0.989010989010989,0.010989010989010969
29,Small Village Dataset,8.420168067226891,AGAST+SIFT,0.10084033613445378,0.011976047904191617,0.9880239520958084,0.011976047904191609
30,Small Village Dataset,8.411764705882353,AGAST+SIFT,0.2857142857142857,0.03396603396603396,0.966033966033966,0.033966033966034
31,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.3697478991596639,0.044,0.956,0.04400000000000002
32,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.46218487394957986,0.055,0.945,0.05500000000000003
33,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.42857142857142855,0.051,0.949,0.051000000000000024
34,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.453781512605042,0.054,0.946,0.05400000000000002
35,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.4957983193277311,0.059,0.941,0.059000000000000025
36,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.6218487394957983,0.074,0.926,0.07399999999999997
37,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.8823529411764706,0.105,0.8949999999999999,0.10500000000000005
38,Small Village Dataset,8.403361344537815,AGAST+SIFT,1.050420168067227,0.125,0.875,0.125
39,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.2184873949579832,0.026,0.9740000000000001,0.025999999999999957
40,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.2857142857142857,0.033999999999999996,0.9659999999999999,0.034000000000000065
41,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.6134453781512605,0.073,0.927,0.07299999999999997
42,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.2773109243697479,0.033,0.9669999999999999,0.03300000000000007
43,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.058823529411764705,0.006999999999999999,0.993,0.007000000000000003
44,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.058823529411764705,0.006999999999999999,0.993,0.007000000000000003
45,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.07563025210084033,0.009,0.991,0.009000000000000003
46,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.07563025210084033,0.009,0.991,0.009000000000000003
47,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.23529411764705882,0.027999999999999997,0.9720000000000001,0.027999999999999955
48,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.35294117647058826,0.042,0.958,0.042000000000000016
49,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.3445378151260504,0.040999999999999995,0.959,0.041000000000000016
50,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.35294117647058826,0.042,0.958,0.042000000000000016
51,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.8151260504201681,0.09699999999999999,0.903,0.097
52,Small Village Dataset,8.411764705882353,AGAST+SIFT,1.26890756302521,0.15084915084915085,0.8491508491508492,0.15084915084915085
53,Small Village Dataset,8.411764705882353,AGAST+SIFT,1.7058823529411764,0.20279720279720279,0.7972027972027972,0.20279720279720279
54,Small Village Dataset,8.403361344537815,AGAST+SIFT,1.453781512605042,0.173,0.827,0.17300000000000001
55,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.6050420168067226,0.072,0.928,0.07199999999999997
56,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.44537815126050423,0.053,0.947,0.053000000000000026
57,Small Village Dataset,8.411764705882353,AGAST+SIFT,0.453781512605042,0.053946053946053944,0.946053946053946,0.05394605394605397
58,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.40336134453781514,0.048,0.952,0.04800000000000002
59,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.20168067226890757,0.024,0.9760000000000001,0.023999999999999955
60,Small Village Dataset,8.420168067226891,AGAST+SIFT,0.4117647058823529,0.04890219560878243,0.9510978043912175,0.048902195608782464
61,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.31932773109243695,0.03799999999999999,0.962,0.03800000000000001
62,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.2689075630252101,0.032,0.9679999999999999,0.03200000000000007
63,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.3865546218487395,0.046,0.954,0.04600000000000002
64,Small Village Dataset,8.403361344537815,AGAST+SIFT,0.5042016806722689,0.06,0.9400000000000001,0.05999999999999997
