,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Small Village Dataset,185.74789915966386,FAST+SIFT,14.731092436974789,0.07930691277596814,0.9206930872240319,0.07930691277596814
1,Small Village Dataset,193.76470588235293,FAST+SIFT,20.747899159663866,0.10707780379911529,0.8929221962008848,0.10707780379911526
2,Small Village Dataset,154.07563025210084,FAST+SIFT,15.941176470588236,0.1034633215162258,0.8965366784837743,0.10346332151622577
3,Small Village Dataset,154.64705882352942,FAST+SIFT,17.899159663865547,0.11574199858718687,0.8842580014128131,0.1157419985871869
4,Small Village Dataset,177.47058823529412,FAST+SIFT,8.731092436974789,0.04919740518016951,0.9508025948198304,0.04919740518016953
5,Small Village Dataset,296.00840336134456,FAST+SIFT,0.07563025210084033,0.00025550035486160395,0.9997444996451385,0.0002555003548615763
6,Small Village Dataset,252.9075630252101,FAST+SIFT,81.96638655462185,0.3240962254120149,0.6759037745879851,0.3240962254120149
7,Small Village Dataset,162.2941176470588,FAST+SIFT,33.109243697478995,0.2040076632320199,0.7959923367679801,0.2040076632320199
8,Small Village Dataset,155.08403361344537,FAST+SIFT,22.521008403361346,0.14521809807640207,0.8547819019235979,0.14521809807640207
9,Small Village Dataset,160.58823529411765,FAST+SIFT,17.537815126050422,0.10920983778126636,0.8907901622187336,0.10920983778126636
10,Small Village Dataset,179.57142857142858,FAST+SIFT,10.857142857142858,0.060461416070007955,0.939538583929992,0.06046141607000797
11,Small Village Dataset,181.05042016806723,FAST+SIFT,10.605042016806722,0.05857507542353214,0.9414249245764679,0.05857507542353214
12,Small Village Dataset,449.9495798319328,FAST+SIFT,3.9159663865546217,0.008703122665471387,0.9912968773345286,0.00870312266547137
13,Small Village Dataset,781.8151260504202,FAST+SIFT,0.06722689075630252,8.598821961391289e-05,0.9999140117803861,8.598821961391617e-05
14,Small Village Dataset,342.14285714285717,FAST+SIFT,30.672268907563026,0.0896475500429817,0.9103524499570184,0.08964755004298167
15,Small Village Dataset,217.9579831932773,FAST+SIFT,12.487394957983193,0.057292670702085824,0.9427073292979142,0.057292670702085796
16,Small Village Dataset,185.28571428571428,FAST+SIFT,1.0336134453781514,0.005578484285001588,0.9944215157149984,0.005578484285001608
17,Small Village Dataset,203.00840336134453,FAST+SIFT,0.10084033613445378,0.0004967298617435218,0.9995032701382565,0.0004967298617435304
18,Small Village Dataset,178.3109243697479,FAST+SIFT,0.14285714285714285,0.0008011687638437249,0.9991988312361563,0.0008011687638437271
19,Small Village Dataset,214.3361344537815,FAST+SIFT,0.3277310924369748,0.0015290519877675841,0.9984709480122324,0.0015290519877676164
20,Small Village Dataset,328.5042016806723,FAST+SIFT,0.47058823529411764,0.001432518162283843,0.998567481837716,0.0014325181622839003
21,Small Village Dataset,483.890756302521,FAST+SIFT,0.42857142857142855,0.0008856780647065974,0.9991143219352934,0.0008856780647066136
22,Small Village Dataset,323.8655462184874,FAST+SIFT,4.487394957983193,0.013855734302023871,0.9861442656979761,0.013855734302023892
23,Small Village Dataset,177.92436974789916,FAST+SIFT,0.07563025210084033,0.00042506966419496523,0.999574930335805,0.0004250696641949711
24,Small Village Dataset,149.81512605042016,FAST+SIFT,0.35294117647058826,0.0023558447386134176,0.9976441552613866,0.002355844738613403
25,Small Village Dataset,219.63025210084032,FAST+SIFT,0.1092436974789916,0.000497398224670952,0.999502601775329,0.0004973982246709691
