,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,MAP Dataset,460.5378151260504,AKAZE,79.4873949579832,0.17259689073790235,0.8274031092620976,0.17259689073790238
1,MAP Dataset,470.9579831932773,AKAZE,75.08403361344538,0.15942830633074015,0.8405716936692598,0.1594283063307402
2,MAP Dataset,476.0924369747899,AKAZE,66.5798319327731,0.13984643897272966,0.8601535610272703,0.13984643897272972
3,MAP Dataset,453.16806722689074,AKAZE,65.90756302521008,0.14543735049233222,0.8545626495076677,0.14543735049233228
4,MAP Dataset,466.1848739495798,AKAZE,7.168067226890757,0.015376018458432476,0.9846239815415676,0.015376018458432434
5,MAP Dataset,452.1764705882353,AKAZE,149.42016806722688,0.3304465795684737,0.6695534204315263,0.3304465795684737
6,MAP Dataset,428.3529411764706,AKAZE,88.73949579831933,0.2071644367716875,0.7928355632283124,0.20716443677168755
7,MAP Dataset,415.7310924369748,AKAZE,100.78991596638656,0.24244016817593791,0.7575598318240621,0.24244016817593791
8,MAP Dataset,401.5966386554622,AKAZE,95.5798319327731,0.23799958150240635,0.7620004184975936,0.23799958150240638
9,MAP Dataset,383.78991596638656,AKAZE,98.41176470588235,0.25642092356199775,0.7435790764380021,0.2564209235619978
10,MAP Dataset,380.43697478991595,AKAZE,90.77310924369748,0.23860222654179183,0.7613977734582081,0.23860222654179183
11,MAP Dataset,376.25210084033614,AKAZE,93.52100840336135,0.24855943181310583,0.7514405681868942,0.24855943181310583
12,MAP Dataset,370.01680672268907,AKAZE,85.26050420168067,0.2304233284883721,0.7695766715116278,0.23042332848837216
13,MAP Dataset,358.0504201680672,AKAZE,88.46218487394958,0.24706627863312056,0.7529337213668794,0.24706627863312056
14,MAP Dataset,348.78991596638656,AKAZE,82.77310924369748,0.23731508697537704,0.7626849130246229,0.23731508697537704
15,MAP Dataset,320.2773109243698,AKAZE,75.24369747899159,0.23493296250623144,0.7650670374937686,0.23493296250623144
16,MAP Dataset,309.672268907563,AKAZE,65.94957983193277,0.21296572684594717,0.7870342731540528,0.2129657268459472
17,MAP Dataset,300.6218487394958,AKAZE,53.411764705882355,0.1776709341980209,0.8223290658019791,0.1776709341980209
18,MAP Dataset,295.5966386554622,AKAZE,58.57983193277311,0.19817489197179897,0.8018251080282011,0.19817489197179897
19,MAP Dataset,302.5798319327731,AKAZE,61.20168067226891,0.20226622601160885,0.7977337739883912,0.20226622601160885
20,MAP Dataset,306.61344537815125,AKAZE,58.84033613445378,0.19190396579603694,0.8080960342039631,0.19190396579603688
21,MAP Dataset,308.3697478991597,AKAZE,59.78991596638655,0.1938903422716372,0.8061096577283627,0.1938903422716372
22,MAP Dataset,288.84033613445376,AKAZE,56.57983193277311,0.1958861864308158,0.8041138135691842,0.1958861864308158
23,MAP Dataset,282.52100840336135,AKAZE,45.33613445378151,0.16046995835812017,0.8395300416418798,0.16046995835812017
24,MAP Dataset,292.78991596638656,AKAZE,3.5714285714285716,0.012197922048102865,0.9878020779518972,0.012197922048102819
25,MAP Dataset,292.5126050420168,AKAZE,139.21008403361344,0.4759114022235629,0.5240885977764371,0.4759114022235629
26,MAP Dataset,291.9579831932773,AKAZE,60.36974789915966,0.20677546556140805,0.7932245344385919,0.20677546556140808
27,MAP Dataset,292.5126050420168,AKAZE,53.32773109243698,0.18230917291505072,0.8176908270849492,0.18230917291505075
28,MAP Dataset,296.8235294117647,AKAZE,62.99159663865546,0.2122190136458864,0.7877809863541135,0.21221901364588644
29,MAP Dataset,300.69747899159665,AKAZE,65.7983193277311,0.21881899225889387,0.7811810077411061,0.21881899225889387
30,MAP Dataset,305.05882352941177,AKAZE,64.57142857142857,0.21166877857969257,0.7883312214203074,0.21166877857969257
31,MAP Dataset,321.6302521008403,AKAZE,69.19327731092437,0.21513298845169046,0.7848670115483095,0.21513298845169046
32,MAP Dataset,330.5966386554622,AKAZE,80.30252100840336,0.2429018072748532,0.7570981927251469,0.24290180727485314
33,MAP Dataset,344.6218487394958,AKAZE,79.94117647058823,0.23196781272860276,0.7680321872713972,0.23196781272860276
34,MAP Dataset,355.453781512605,AKAZE,92.00840336134453,0.25884772689661695,0.7411522731033829,0.258847726896617
35,MAP Dataset,368.5042016806723,AKAZE,91.69747899159664,0.24883699717230684,0.7511630028276931,0.24883699717230687
36,MAP Dataset,374.84033613445376,AKAZE,100.24369747899159,0.2674303905304219,0.7325696094695782,0.2674303905304219
37,MAP Dataset,377.2352941176471,AKAZE,88.67226890756302,0.23505825221091087,0.7649417477890892,0.23505825221091084
38,MAP Dataset,377.1512605042017,AKAZE,89.81512605042016,0.23814086138900648,0.7618591386109934,0.23814086138900653
39,MAP Dataset,382.546218487395,AKAZE,88.46218487394958,0.23124574390967204,0.768754256090328,0.23124574390967204
40,MAP Dataset,393.69747899159665,AKAZE,5.815126050420168,0.014770544290288153,0.9852294557097118,0.014770544290288195
41,MAP Dataset,388.3697478991597,AKAZE,174.14285714285714,0.448394495412844,0.551605504587156,0.448394495412844
42,MAP Dataset,381.84033613445376,AKAZE,100.59663865546219,0.2634521006184115,0.7365478993815885,0.2634521006184115
43,MAP Dataset,374.5378151260504,AKAZE,85.22689075630252,0.22755216513349788,0.7724478348665021,0.22755216513349788
44,MAP Dataset,369.7310924369748,AKAZE,92.50420168067227,0.2501931905995727,0.7498068094004272,0.25019319059957273
45,MAP Dataset,361.38655462184875,AKAZE,90.52100840336135,0.25048250203464717,0.7495174979653528,0.25048250203464717
46,MAP Dataset,361.57142857142856,AKAZE,89.75630252100841,0.24823947753736028,0.7517605224626397,0.24823947753736028
47,MAP Dataset,358.3781512605042,AKAZE,83.69747899159664,0.23354514971744791,0.7664548502825521,0.23354514971744791
48,MAP Dataset,345.01680672268907,AKAZE,69.36974789915966,0.20106193828092653,0.7989380617190734,0.20106193828092653
49,MAP Dataset,325.3193277310924,AKAZE,65.5798319327731,0.2015860305323793,0.7984139694676207,0.2015860305323793
50,MAP Dataset,323.3697478991597,AKAZE,53.65546218487395,0.16592604142303993,0.8340739585769601,0.16592604142303993
51,MAP Dataset,295.42857142857144,AKAZE,4.235294117647059,0.014336101945613834,0.9856638980543861,0.014336101945613845
52,MAP Dataset,293.8487394957983,AKAZE,146.01680672268907,0.49691146190803015,0.5030885380919699,0.49691146190803015
53,MAP Dataset,300.66386554621846,AKAZE,76.6470588235294,0.25492607395399536,0.7450739260460046,0.25492607395399536
54,MAP Dataset,318.61344537815125,AKAZE,72.87394957983193,0.22872214163259924,0.7712778583674008,0.2287221416325992
55,MAP Dataset,339.8067226890756,AKAZE,74.53781512605042,0.21935356233152806,0.780646437668472,0.21935356233152806
56,MAP Dataset,362.61344537815125,AKAZE,76.88235294117646,0.21202289634075686,0.7879771036592431,0.21202289634075688
57,MAP Dataset,369.11764705882354,AKAZE,81.91596638655462,0.22192373363688103,0.778076266363119,0.22192373363688103
58,MAP Dataset,330.47899159663865,AKAZE,11.411764705882353,0.03453098380247667,0.9654690161975232,0.03453098380247672
59,MAP Dataset,312.57142857142856,AKAZE,112.52100840336135,0.35998494461770086,0.6400150553822992,0.35998494461770086
60,MAP Dataset,451.74789915966386,AKAZE,95.0,0.21029428178131626,0.7897057182186837,0.21029428178131626
61,MAP Dataset,437.4201680672269,AKAZE,80.65546218487395,0.18438898814669666,0.8156110118533033,0.18438898814669666
62,MAP Dataset,428.2352941176471,AKAZE,90.92436974789916,0.21232339089481947,0.7876766091051806,0.21232339089481947
63,MAP Dataset,418.84033613445376,AKAZE,95.23529411764706,0.22737851611091048,0.7726214838890895,0.2273785161109105
64,MAP Dataset,402.9495798319328,AKAZE,85.36134453781513,0.2118412546140852,0.7881587453859148,0.2118412546140852
65,MAP Dataset,387.2352941176471,AKAZE,85.75630252100841,0.22145786766780234,0.7785421323321976,0.22145786766780237
