,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Small Village Dataset,287.38655462184875,BRISK,1.4873949579831933,0.0051755899295301035,0.9948244100704698,0.0051755899295301295
1,Small Village Dataset,294.1344537815126,BRISK,2.1092436974789917,0.007171018798925776,0.9928289812010743,0.007171018798925726
2,Small Village Dataset,253.57983193277312,BRISK,1.504201680672269,0.00593186638388123,0.9940681336161187,0.005931866383881277
3,Small Village Dataset,252.88235294117646,BRISK,3.277310924369748,0.012959824543913867,0.9870401754560861,0.012959824543913867
4,Small Village Dataset,272.7563025210084,BRISK,1.9075630252100841,0.006993653336619631,0.9930063466633803,0.006993653336619676
5,Small Village Dataset,337.5126050420168,BRISK,9.697478991596638,0.028732197988248182,0.9712678020117518,0.028732197988248203
6,Small Village Dataset,313.0420168067227,BRISK,9.53781512605042,0.03046816278320627,0.9695318372167937,0.030468162783206285
7,Small Village Dataset,249.9747899159664,BRISK,5.26890756302521,0.021077755740074627,0.9789222442599254,0.021077755740074634
8,Small Village Dataset,256.78991596638656,BRISK,3.9411764705882355,0.015347863080044506,0.9846521369199555,0.015347863080044525
9,Small Village Dataset,269.3529411764706,BRISK,2.6134453781512605,0.00970267993635541,0.9902973200636446,0.00970267993635542
10,Small Village Dataset,272.109243697479,BRISK,1.3697478991596639,0.00503381612674099,0.994966183873259,0.005033816126741011
11,Small Village Dataset,273.07563025210084,BRISK,1.2016806722689075,0.00440054160512063,0.9955994583948793,0.004400541605120671
12,Small Village Dataset,459.3109243697479,BRISK,0.6050420168067226,0.001317282008123239,0.9986827179918767,0.0013172820081232748
13,Small Village Dataset,729.7563025210084,BRISK,1.0420168067226891,0.0014278969611128385,0.9985721030388871,0.001427896961112867
14,Small Village Dataset,386.29411764705884,BRISK,1.9747899159663866,0.005112140790532751,0.9948878592094673,0.005112140790532716
15,Small Village Dataset,280.2689075630252,BRISK,2.0756302521008405,0.007405852722475415,0.9925941472775246,0.0074058527224754095
16,Small Village Dataset,271.03361344537814,BRISK,1.6638655462184875,0.00613896381731932,0.9938610361826807,0.006138963817319292
17,Small Village Dataset,308.890756302521,BRISK,1.2436974789915967,0.004026334403395179,0.9959736655966048,0.004026334403395175
18,Small Village Dataset,273.0420168067227,BRISK,1.2352941176470589,0.004524190569986458,0.9954758094300135,0.0045241905699865
19,Small Village Dataset,305.8151260504202,BRISK,1.1260504201680672,0.0036821279402066386,0.9963178720597935,0.003682127940206571
20,Small Village Dataset,359.43697478991595,BRISK,5.882352941176471,0.016365464194702268,0.9836345358052978,0.016365464194702233
21,Small Village Dataset,447.9579831932773,BRISK,10.100840336134453,0.022548633387735193,0.9774513666122647,0.022548633387735235
22,Small Village Dataset,324.57142857142856,BRISK,6.5210084033613445,0.020091135045567525,0.9799088649544324,0.020091135045567556
23,Small Village Dataset,235.2436974789916,BRISK,1.1008403361344539,0.0046795741944702434,0.9953204258055297,0.004679574194470268
24,Small Village Dataset,233.7310924369748,BRISK,1.0168067226890756,0.00435032717336593,0.9956496728266341,0.004350327173365925
25,Small Village Dataset,292.4453781512605,BRISK,0.46218487394957986,0.001580414355909313,0.9984195856440907,0.0015804143559092947
26,Small Village Dataset,291.3529411764706,BRISK,1.1428571428571428,0.0039225865997519534,0.9960774134002479,0.00392258659975202
27,Small Village Dataset,370.109243697479,BRISK,0.8571428571428571,0.0023159185341597986,0.9976840814658403,0.002315918534159744
28,Small Village Dataset,552.6302521008404,BRISK,0.6470588235294118,0.001170871158554202,0.9988291288414458,0.0011708711585541947
29,Small Village Dataset,433.453781512605,BRISK,1.0588235294117647,0.0024427599309823386,0.9975572400690177,0.002442759930982323
30,Small Village Dataset,293.10084033613447,BRISK,0.7899159663865546,0.002695031394248688,0.9973049686057514,0.002695031394248668
31,Small Village Dataset,206.3109243697479,BRISK,1.134453781512605,0.0054987576880778785,0.9945012423119222,0.005498757688077858
32,Small Village Dataset,221.10084033613447,BRISK,1.184873949579832,0.005358975333510698,0.9946410246664893,0.005358975333510703
33,Small Village Dataset,234.48739495798318,BRISK,1.1008403361344539,0.004694667431192661,0.9953053325688073,0.0046946674311926975
34,Small Village Dataset,272.92436974789916,BRISK,1.453781512605042,0.005326682677504772,0.9946733173224953,0.005326682677504731
35,Small Village Dataset,365.92436974789916,BRISK,4.050420168067227,0.011069009071075898,0.9889309909289241,0.011069009071075891
36,Small Village Dataset,457.6386554621849,BRISK,6.890756302521009,0.015057198993738408,0.9849428010062615,0.015057198993738441
37,Small Village Dataset,318.3781512605042,BRISK,6.680672268907563,0.02098345078786919,0.9790165492121308,0.02098345078786921
38,Small Village Dataset,227.0252100840336,BRISK,3.7478991596638656,0.016508735564110158,0.9834912644358899,0.01650873556411015
39,Small Village Dataset,129.36974789915968,BRISK,1.1428571428571428,0.008834037025008118,0.9911659629749919,0.008834037025008094
40,Small Village Dataset,155.31932773109244,BRISK,0.9243697478991597,0.0059514148136125085,0.9940485851863875,0.005951414813612502
41,Small Village Dataset,210.6386554621849,BRISK,1.1176470588235294,0.005305992180643102,0.9946940078193569,0.0053059921806430975
42,Small Village Dataset,336.01680672268907,BRISK,0.7983193277310925,0.002375831541039364,0.9976241684589607,0.0023758315410393137
43,Small Village Dataset,519.6134453781513,BRISK,0.6638655462184874,0.0012776142575282206,0.9987223857424717,0.0012776142575282397
44,Small Village Dataset,800.3109243697479,BRISK,1.2100840336134453,0.0015120173881999642,0.9984879826117999,0.001512017388200012
45,Small Village Dataset,511.16806722689074,BRISK,0.9243697478991597,0.0018083479919117527,0.9981916520080882,0.0018083479919117579
46,Small Village Dataset,311.60504201680675,BRISK,0.9411764705882353,0.0030204147676707745,0.9969795852323292,0.00302041476767078
47,Small Village Dataset,229.51260504201682,BRISK,0.907563025210084,0.003954305799648506,0.9960456942003515,0.003954305799648506
48,Small Village Dataset,132.2436974789916,BRISK,0.7142857142857143,0.005401283599161212,0.9945987164008387,0.005401283599161233
49,Small Village Dataset,207.9075630252101,BRISK,0.9915966386554622,0.004769411098985489,0.9952305889010145,0.004769411098985516
50,Small Village Dataset,272.890756302521,BRISK,2.7142857142857144,0.009946418673400258,0.9900535813265997,0.009946418673400275
51,Small Village Dataset,390.43697478991595,BRISK,5.638655462184874,0.014441909517455127,0.9855580904825448,0.014441909517455146
52,Small Village Dataset,484.10084033613447,BRISK,7.218487394957983,0.014911123455075684,0.9850888765449243,0.014911123455075703
53,Small Village Dataset,472.93277310924367,BRISK,7.436974789915967,0.015725226105652197,0.9842747738943478,0.015725226105652194
54,Small Village Dataset,335.5126050420168,BRISK,3.8739495798319328,0.011546360767419727,0.9884536392325802,0.01154636076741975
55,Small Village Dataset,257.02521008403363,BRISK,1.8991596638655461,0.0073890015039560575,0.992610998496044,0.007389001503956054
56,Small Village Dataset,214.5546218487395,BRISK,0.8991596638655462,0.004190819363935454,0.9958091806360646,0.0041908193639354245
57,Small Village Dataset,181.21848739495798,BRISK,0.6974789915966386,0.003848829121261303,0.9961511708787387,0.00384882912126129
58,Small Village Dataset,398.83193277310926,BRISK,0.8235294117647058,0.002064853247929879,0.9979351467520702,0.00206485324792985
59,Small Village Dataset,583.6386554621848,BRISK,1.0420168067226891,0.001785380041178927,0.9982146199588211,0.0017853800411789119
60,Small Village Dataset,362.01680672268907,BRISK,1.1764705882352942,0.0032497678737233057,0.9967502321262767,0.0032497678737233183
61,Small Village Dataset,508.5546218487395,BRISK,1.504201680672269,0.0029577976800290824,0.9970422023199709,0.0029577976800291054
62,Small Village Dataset,341.5546218487395,BRISK,0.5042016806722689,0.0014761963341124369,0.9985238036658876,0.001476196334112441
63,Small Village Dataset,292.57142857142856,BRISK,1.0252100840336134,0.0035041360294117644,0.9964958639705882,0.0035041360294117804
64,Small Village Dataset,284.92436974789916,BRISK,1.9915966386554622,0.006989913289683242,0.9930100867103169,0.006989913289683183
65,Small Village Dataset,288.2857142857143,BRISK,1.9075630252100841,0.006616918323325367,0.9933830816766746,0.006616918323325408
66,Small Village Dataset,257.5882352941176,BRISK,2.6134453781512605,0.010145825857175482,0.9898541741428245,0.01014582585717549
67,Small Village Dataset,221.96638655462183,BRISK,3.672268907563025,0.01654425683349739,0.9834557431665026,0.016544256833497376
68,Small Village Dataset,192.52100840336135,BRISK,3.310924369747899,0.01719773024879965,0.9828022697512003,0.01719773024879966
69,Small Village Dataset,191.9579831932773,BRISK,6.915966386554622,0.03602854266077136,0.9639714573392286,0.03602854266077137
70,Small Village Dataset,195.0924369747899,BRISK,5.9411764705882355,0.030453135768435564,0.9695468642315644,0.03045313576843556
71,Small Village Dataset,256.3697478991597,BRISK,4.739495798319328,0.018486954241510423,0.9815130457584896,0.018486954241510395
72,Small Village Dataset,277.87394957983196,BRISK,4.033613445378151,0.014515982701787278,0.9854840172982128,0.01451598270178725
73,Small Village Dataset,292.61344537815125,BRISK,2.9747899159663866,0.01016627896958732,0.9898337210304128,0.010166278969587267
74,Small Village Dataset,284.8067226890756,BRISK,1.8067226890756303,0.0063436799244659505,0.9936563200755341,0.006343679924465945
75,Small Village Dataset,234.69747899159663,BRISK,1.9663865546218486,0.00837838805542626,0.9916216119445738,0.008378388055426246
76,Small Village Dataset,284.4873949579832,BRISK,1.6050420168067228,0.005641873929225497,0.9943581260707745,0.005641873929225523
77,Small Village Dataset,345.7310924369748,BRISK,1.5294117647058822,0.004423703271595936,0.9955762967284041,0.004423703271595925
78,Small Village Dataset,277.781512605042,BRISK,0.8151260504201681,0.0029344143272023236,0.9970655856727976,0.0029344143272023756
79,Small Village Dataset,234.83193277310923,BRISK,1.184873949579832,0.005045625335480408,0.9949543746645195,0.005045625335480441
80,Small Village Dataset,330.0840336134454,BRISK,2.3361344537815127,0.007077393075356415,0.9929226069246435,0.0070773930753564515
81,Small Village Dataset,294.2857142857143,BRISK,2.689075630252101,0.009137635636778984,0.9908623643632211,0.009137635636778963
82,Small Village Dataset,253.6218487394958,BRISK,2.1848739495798317,0.008614691362115238,0.9913853086378848,0.008614691362115236
83,Small Village Dataset,233.28571428571428,BRISK,4.07563025210084,0.017470552213536977,0.982529447786463,0.017470552213536984
84,Small Village Dataset,171.7731092436975,BRISK,8.126050420168067,0.04730688322489114,0.9526931167751088,0.047306883224891155
85,Small Village Dataset,79.69747899159664,BRISK,5.042016806722689,0.06326444538169548,0.9367355546183046,0.06326444538169544
86,Small Village Dataset,131.67226890756302,BRISK,3.4789915966386555,0.026421596783457783,0.9735784032165422,0.026421596783457787
87,Small Village Dataset,286.6302521008403,BRISK,4.26890756302521,0.014893429886540209,0.9851065701134598,0.014893429886540199
88,Small Village Dataset,343.98319327731093,BRISK,5.378151260504202,0.01563492451263009,0.98436507548737,0.01563492451263007
89,Small Village Dataset,330.7310924369748,BRISK,2.453781512605042,0.007419264679726606,0.9925807353202735,0.007419264679726569
90,Small Village Dataset,324.83193277310926,BRISK,2.277310924369748,0.007010735997930409,0.9929892640020695,0.00701073599793043
91,Small Village Dataset,251.68067226890756,BRISK,2.53781512605042,0.01008347245409015,0.9899165275459099,0.010083472454090144
92,Small Village Dataset,213.68067226890756,BRISK,2.4453781512605044,0.011444077394997641,0.9885559226050024,0.011444077394997641
93,Small Village Dataset,398.83193277310926,BRISK,1.9243697478991597,0.004825014222203493,0.9951749857777965,0.004825014222203493
