,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Small Village Dataset,232.1764705882353,AKAZE,5.302521008403361,0.022838322052915413,0.9771616779470845,0.022838322052915444
1,Small Village Dataset,233.27731092436974,AKAZE,6.008403361344538,0.02575648414985591,0.9742435158501441,0.02575648414985589
2,Small Village Dataset,220.1344537815126,AKAZE,6.34453781512605,0.02882119407543136,0.9711788059245686,0.028821194075431367
3,Small Village Dataset,217.52100840336135,AKAZE,8.873949579831933,0.04079582769943983,0.9592041723005602,0.04079582769943981
4,Small Village Dataset,219.32773109243698,AKAZE,5.3277310924369745,0.0242911877394636,0.9757088122605364,0.024291187739463597
5,Small Village Dataset,207.7563025210084,AKAZE,24.873949579831933,0.11972657040003237,0.8802734295999677,0.11972657040003234
6,Small Village Dataset,209.7058823529412,AKAZE,23.932773109243698,0.11412542576637948,0.8858745742336205,0.1141254257663795
7,Small Village Dataset,205.0672268907563,AKAZE,11.983193277310924,0.058435438265786996,0.941564561734213,0.058435438265787
8,Small Village Dataset,215.96638655462183,AKAZE,9.857142857142858,0.04564202334630351,0.9543579766536965,0.04564202334630352
9,Small Village Dataset,232.4453781512605,AKAZE,8.159663865546218,0.035103575431112394,0.9648964245688877,0.03510357543111235
10,Small Village Dataset,229.76470588235293,AKAZE,4.26890756302521,0.018579474800672957,0.9814205251993271,0.01857947480067293
11,Small Village Dataset,226.69747899159663,AKAZE,3.9159663865546217,0.017273974126107424,0.9827260258738926,0.017273974126107424
12,Small Village Dataset,255.10084033613447,AKAZE,1.7478991596638656,0.0068517969496327035,0.9931482030503673,0.006851796949632688
13,Small Village Dataset,321.20168067226894,AKAZE,1.5378151260504203,0.004787693273683384,0.9952123067263167,0.00478769327368336
14,Small Village Dataset,238.7058823529412,AKAZE,4.394957983193278,0.01841160318242625,0.9815883968175737,0.01841160318242627
15,Small Village Dataset,205.87394957983193,AKAZE,6.890756302521009,0.03347075390832279,0.9665292460916772,0.03347075390832278
16,Small Village Dataset,212.30252100840337,AKAZE,5.2521008403361344,0.024738758708043065,0.9752612412919569,0.02473875870804308
17,Small Village Dataset,227.3361344537815,AKAZE,3.8151260504201683,0.016781872620411784,0.9832181273795882,0.01678187262041177
18,Small Village Dataset,222.890756302521,AKAZE,4.016806722689076,0.01802141456793847,0.9819785854320615,0.018021414567938477
19,Small Village Dataset,230.0420168067227,AKAZE,3.1092436974789917,0.013515981735159817,0.9864840182648401,0.013515981735159851
20,Small Village Dataset,226.21848739495798,AKAZE,14.0,0.06188707280832095,0.938112927191679,0.06188707280832095
21,Small Village Dataset,237.27731092436974,AKAZE,32.168067226890756,0.13557161070973225,0.8644283892902677,0.1355716107097323
22,Small Village Dataset,190.39495798319328,AKAZE,22.873949579831933,0.12013947124508982,0.8798605287549102,0.12013947124508982
23,Small Village Dataset,183.47058823529412,AKAZE,3.4705882352941178,0.018916319333119592,0.9810836806668805,0.01891631933311957
24,Small Village Dataset,184.92436974789916,AKAZE,3.7563025210084033,0.02031264200672544,0.9796873579932747,0.020312642006725386
25,Small Village Dataset,209.7983193277311,AKAZE,1.6974789915966386,0.008091003765120564,0.9919089962348795,0.008091003765120536
26,Small Village Dataset,210.3361344537815,AKAZE,2.957983193277311,0.014063124250898923,0.9859368757491012,0.014063124250898881
27,Small Village Dataset,231.51260504201682,AKAZE,2.4453781512605044,0.010562613430127042,0.9894373865698729,0.01056261343012707
28,Small Village Dataset,319.07563025210084,AKAZE,2.310924369747899,0.007242559915722938,0.992757440084277,0.007242559915722959
29,Small Village Dataset,221.890756302521,AKAZE,3.5126050420168067,0.015830335163794736,0.9841696648362053,0.015830335163794732
30,Small Village Dataset,200.05882352941177,AKAZE,3.5294117647058822,0.01764187003822405,0.982358129961776,0.017641870038224042
31,Small Village Dataset,189.1764705882353,AKAZE,4.0588235294117645,0.021455223880597014,0.9785447761194029,0.02145522388059704
32,Small Village Dataset,184.52941176470588,AKAZE,4.226890756302521,0.02290632542465504,0.977093674575345,0.022906325424655014
33,Small Village Dataset,173.30252100840337,AKAZE,3.9495798319327733,0.022790088735877418,0.9772099112641226,0.02279008873587741
34,Small Village Dataset,175.53781512605042,AKAZE,4.512605042016807,0.025707310067499642,0.9742926899325003,0.025707310067499677
35,Small Village Dataset,225.21848739495798,AKAZE,9.907563025210084,0.0439908958620947,0.9560091041379053,0.0439908958620947
36,Small Village Dataset,244.76470588235293,AKAZE,26.80672268907563,0.1095203762831737,0.8904796237168263,0.1095203762831737
37,Small Village Dataset,191.54621848739495,AKAZE,31.41176470588235,0.16399052382205842,0.8360094761779416,0.1639905238220584
38,Small Village Dataset,132.41176470588235,AKAZE,10.327731092436975,0.07799708066256268,0.9220029193374373,0.07799708066256271
39,Small Village Dataset,104.40336134453781,AKAZE,4.4789915966386555,0.042900837089504186,0.9570991629104959,0.042900837089504144
40,Small Village Dataset,124.19327731092437,AKAZE,3.0504201680672267,0.024561878340889097,0.9754381216591108,0.024561878340889142
41,Small Village Dataset,140.6890756302521,AKAZE,2.73109243697479,0.019412256600167245,0.9805877433998328,0.019412256600167228
42,Small Village Dataset,184.52100840336135,AKAZE,1.8571428571428572,0.01006466891338009,0.9899353310866199,0.010064668913380091
43,Small Village Dataset,288.4033613445378,AKAZE,1.3529411764705883,0.004691142191142191,0.9953088578088577,0.0046911421911422484
44,Small Village Dataset,375.6386554621849,AKAZE,2.2184873949579833,0.00590590814523165,0.9940940918547683,0.00590590814523169
45,Small Village Dataset,263.3613445378151,AKAZE,2.722689075630252,0.010338225909380983,0.9896617740906191,0.01033822590938096
46,Small Village Dataset,163.00840336134453,AKAZE,2.865546218487395,0.017579131869264873,0.9824208681307351,0.017579131869264863
47,Small Village Dataset,138.78991596638656,AKAZE,2.73109243697479,0.019677888108500848,0.9803221118914991,0.019677888108500876
48,Small Village Dataset,113.63025210084034,AKAZE,2.8739495798319328,0.025292116550806095,0.9747078834491939,0.025292116550806095
49,Small Village Dataset,101.52100840336135,AKAZE,3.6050420168067228,0.035510305438291534,0.9644896945617085,0.035510305438291506
50,Small Village Dataset,147.3781512605042,AKAZE,7.680672268907563,0.052115406545786294,0.9478845934542137,0.05211540654578629
51,Small Village Dataset,213.88235294117646,AKAZE,16.756302521008404,0.07834354864057835,0.9216564513594216,0.07834354864057835
52,Small Village Dataset,238.4033613445378,AKAZE,33.1764705882353,0.13916108565385973,0.8608389143461402,0.13916108565385973
53,Small Village Dataset,186.1344537815126,AKAZE,25.18487394957983,0.13530474040632054,0.8646952595936794,0.13530474040632054
54,Small Village Dataset,117.07563025210084,AKAZE,12.529411764705882,0.1070198105081826,0.8929801894918173,0.10701981050818263
55,Small Village Dataset,96.05882352941177,AKAZE,4.420168067226891,0.046015221765374856,0.9539847782346251,0.046015221765374856
56,Small Village Dataset,116.46218487394958,AKAZE,2.495798319327731,0.0214301176131034,0.9785698823868966,0.021430117613103414
57,Small Village Dataset,131.6218487394958,AKAZE,2.0672268907563027,0.01570580348592224,0.9842941965140778,0.015705803485922227
58,Small Village Dataset,161.87394957983193,AKAZE,1.7647058823529411,0.010901728702694284,0.9890982712973058,0.01090172870269426
59,Small Village Dataset,273.56302521008405,AKAZE,2.310924369747899,0.00844750261104626,0.9915524973889537,0.00844750261104629
60,Small Village Dataset,204.2689075630252,AKAZE,4.848739495798319,0.023737041303274642,0.9762629586967253,0.02373704130327467
61,Small Village Dataset,267.7647058823529,AKAZE,3.176470588235294,0.011862917398945518,0.9881370826010545,0.01186291739894552
62,Small Village Dataset,221.9327731092437,AKAZE,1.1596638655462186,0.005225293449450966,0.9947747065505491,0.005225293449450926
63,Small Village Dataset,220.7310924369748,AKAZE,2.907563025210084,0.013172421669775764,0.9868275783302242,0.0131724216697758
64,Small Village Dataset,235.8235294117647,AKAZE,4.722689075630252,0.020026369240637137,0.9799736307593628,0.02002636924063715
65,Small Village Dataset,239.7058823529412,AKAZE,5.159663865546219,0.02152497808939527,0.9784750219106048,0.021524978089395255
66,Small Village Dataset,223.7983193277311,AKAZE,9.134453781512605,0.040815560228296785,0.9591844397717032,0.04081556022829679
67,Small Village Dataset,211.03361344537817,AKAZE,12.016806722689076,0.05694261936049058,0.9430573806395095,0.05694261936049054
68,Small Village Dataset,191.7983193277311,AKAZE,10.436974789915967,0.05441640378548896,0.9455835962145109,0.05441640378548901
69,Small Village Dataset,164.07563025210084,AKAZE,17.57983193277311,0.10714468629961589,0.8928553137003841,0.10714468629961592
70,Small Village Dataset,168.38655462184875,AKAZE,16.11764705882353,0.0957181355424693,0.9042818644575307,0.09571813554246932
71,Small Village Dataset,210.64705882352942,AKAZE,13.319327731092438,0.06323054214704592,0.9367694578529541,0.06323054214704592
72,Small Village Dataset,232.4033613445378,AKAZE,12.823529411764707,0.05517789991321956,0.9448221000867805,0.055177899913219544
73,Small Village Dataset,244.38655462184875,AKAZE,9.109243697478991,0.03727391513651055,0.9627260848634894,0.037273915136510564
74,Small Village Dataset,245.25210084033614,AKAZE,6.848739495798319,0.027925304094569125,0.9720746959054308,0.027925304094569146
75,Small Village Dataset,199.5546218487395,AKAZE,6.4033613445378155,0.03208826378068809,0.9679117362193119,0.03208826378068808
76,Small Village Dataset,177.35294117647058,AKAZE,5.563025210084033,0.03136697465055674,0.9686330253494433,0.031366974650556725
77,Small Village Dataset,224.26050420168067,AKAZE,4.823529411764706,0.02150859969273429,0.9784914003072658,0.021508599692734255
78,Small Village Dataset,175.63025210084032,AKAZE,2.1260504201680672,0.012105263157894737,0.9878947368421053,0.012105263157894734
79,Small Village Dataset,201.73949579831933,AKAZE,3.831932773109244,0.01899445994918149,0.9810055400508185,0.01899445994918148
80,Small Village Dataset,255.9327731092437,AKAZE,7.815126050420168,0.03053585500394011,0.9694641449960599,0.03053585500394009
81,Small Village Dataset,241.3109243697479,AKAZE,6.92436974789916,0.028694804290291125,0.9713051957097089,0.028694804290291132
82,Small Village Dataset,215.49579831932772,AKAZE,6.689075630252101,0.031040399313679617,0.9689596006863205,0.031040399313679568
83,Small Village Dataset,186.00840336134453,AKAZE,10.739495798319327,0.05773661621865823,0.9422633837813418,0.05773661621865823
84,Small Village Dataset,144.92436974789916,AKAZE,17.54621848739496,0.12107155282384321,0.8789284471761568,0.1210715528238432
85,Small Village Dataset,85.74789915966386,AKAZE,11.243697478991596,0.131125049000392,0.868874950999608,0.131125049000392
86,Small Village Dataset,116.45378151260505,AKAZE,10.478991596638656,0.08998412469331793,0.9100158753066822,0.08998412469331789
87,Small Village Dataset,205.15126050420167,AKAZE,15.487394957983193,0.07549256543644779,0.9245074345635522,0.07549256543644779
88,Small Village Dataset,240.47058823529412,AKAZE,13.394957983193278,0.05570310315907185,0.9442968968409281,0.05570310315907188
