,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,MAP Dataset,205.7310924369748,AKAZE,30.680672268907564,0.1491299730414182,0.8508700269585818,0.1491299730414182
1,MAP Dataset,214.51260504201682,AKAZE,31.050420168067227,0.14474869745759392,0.855251302542406,0.14474869745759397
2,MAP Dataset,219.35294117647058,AKAZE,29.54621848739496,0.13469716124583384,0.8653028387541662,0.13469716124583378
3,MAP Dataset,209.1596638655462,AKAZE,27.285714285714285,0.13045399758939333,0.8695460024106068,0.13045399758939327
4,MAP Dataset,199.5546218487395,AKAZE,4.067226890756302,0.02038152187644755,0.9796184781235524,0.02038152187644757
5,MAP Dataset,192.88235294117646,AKAZE,51.42857142857143,0.26663181283492354,0.7333681871650763,0.2666318128349236
6,MAP Dataset,180.2016806722689,AKAZE,36.63865546218487,0.20332027606789776,0.7966797239321023,0.20332027606789774
7,MAP Dataset,175.26050420168067,AKAZE,36.78151260504202,0.20986766398158804,0.7901323360184119,0.20986766398158804
8,MAP Dataset,167.96638655462183,AKAZE,35.90756302521008,0.2137782669601761,0.786221733039824,0.21377826696017604
9,MAP Dataset,158.51260504201682,AKAZE,35.983193277310924,0.22700524836982452,0.7729947516301754,0.22700524836982458
10,MAP Dataset,157.01680672268907,AKAZE,34.67226890756302,0.22081883864062082,0.7791811613593792,0.22081883864062082
11,MAP Dataset,156.16806722689077,AKAZE,37.09243697478992,0.23751614291863968,0.7624838570813603,0.23751614291863968
12,MAP Dataset,155.34453781512605,AKAZE,30.04201680672269,0.19338959212376935,0.8066104078762307,0.1933895921237693
13,MAP Dataset,153.1764705882353,AKAZE,36.91596638655462,0.24100285275400482,0.7589971472459951,0.24100285275400488
14,MAP Dataset,150.11764705882354,AKAZE,34.252100840336134,0.22816838334079712,0.7718316166592029,0.22816838334079712
15,MAP Dataset,136.53781512605042,AKAZE,33.134453781512605,0.24267602166420482,0.7573239783357951,0.24267602166420485
16,MAP Dataset,129.80672268907563,AKAZE,27.529411764705884,0.21208001553699748,0.7879199844630025,0.21208001553699748
17,MAP Dataset,125.17647058823529,AKAZE,27.714285714285715,0.22140171858216973,0.7785982814178304,0.22140171858216967
18,MAP Dataset,123.60504201680672,AKAZE,28.168067226890756,0.22788768781018423,0.7721123121898158,0.22788768781018423
19,MAP Dataset,127.5546218487395,AKAZE,26.327731092436974,0.20640358389880756,0.7935964161011925,0.20640358389880756
20,MAP Dataset,131.11764705882354,AKAZE,28.831932773109244,0.21989361020316606,0.780106389796834,0.21989361020316603
21,MAP Dataset,130.65546218487395,AKAZE,30.100840336134453,0.2303833290455364,0.7696166709544636,0.2303833290455364
22,MAP Dataset,124.42857142857143,AKAZE,26.756302521008404,0.2150334301343959,0.7849665698656041,0.21503343013439588
23,MAP Dataset,120.25210084033614,AKAZE,23.529411764705884,0.19566736547868624,0.8043326345213138,0.1956673654786862
24,MAP Dataset,120.70588235294117,AKAZE,1.9663865546218486,0.016290726817042606,0.9837092731829574,0.01629072681704259
25,MAP Dataset,120.04201680672269,AKAZE,48.3109243697479,0.40245012250612533,0.5975498774938747,0.4024501225061254
26,MAP Dataset,120.77310924369748,AKAZE,30.478991596638654,0.2523657111049262,0.7476342888950738,0.2523657111049262
27,MAP Dataset,119.61344537815125,AKAZE,27.756302521008404,0.23205002107629621,0.7679499789237038,0.23205002107629621
28,MAP Dataset,121.2016806722689,AKAZE,28.22689075630252,0.2328919087568467,0.7671080912431533,0.2328919087568467
29,MAP Dataset,124.78151260504201,AKAZE,30.26050420168067,0.2425079129907738,0.7574920870092262,0.2425079129907738
30,MAP Dataset,128.85714285714286,AKAZE,30.865546218487395,0.23953306377983566,0.7604669362201644,0.23953306377983566
31,MAP Dataset,136.47899159663865,AKAZE,32.12605042016807,0.2353919093651869,0.764608090634813,0.23539190936518692
32,MAP Dataset,142.76470588235293,AKAZE,36.05882352941177,0.25257519571487436,0.7474248042851256,0.25257519571487436
33,MAP Dataset,149.7731092436975,AKAZE,34.64705882352941,0.23133030354036918,0.7686696964596308,0.23133030354036918
34,MAP Dataset,151.42016806722688,AKAZE,38.596638655462186,0.25489760808035966,0.7451023919196403,0.25489760808035966
35,MAP Dataset,155.52100840336135,AKAZE,33.57983193277311,0.21591830118333605,0.7840816988166639,0.21591830118333608
36,MAP Dataset,158.03361344537817,AKAZE,40.0,0.2531107093480804,0.7468892906519197,0.2531107093480804
37,MAP Dataset,156.42016806722688,AKAZE,34.76470588235294,0.22225206833566136,0.7777479316643386,0.22225206833566136
38,MAP Dataset,156.94117647058823,AKAZE,34.78991596638655,0.22167487684729062,0.7783251231527093,0.22167487684729067
39,MAP Dataset,156.73949579831933,AKAZE,29.596638655462186,0.18882693544928159,0.8111730645507184,0.1888269354492816
40,MAP Dataset,170.1344537815126,AKAZE,3.369747899159664,0.019806381507458264,0.9801936184925416,0.019806381507458327
41,MAP Dataset,169.28571428571428,AKAZE,60.016806722689076,0.35452965996525193,0.6454703400347481,0.35452965996525193
42,MAP Dataset,167.0420168067227,AKAZE,41.470588235294116,0.2482644129188047,0.7517355870811954,0.24826441291880466
43,MAP Dataset,165.35294117647058,AKAZE,41.924369747899156,0.25354474767495044,0.7464552523250495,0.25354474767495044
44,MAP Dataset,162.5546218487395,AKAZE,39.73109243697479,0.24441687344913154,0.7555831265508685,0.24441687344913154
45,MAP Dataset,157.7731092436975,AKAZE,39.79831932773109,0.2522503328894807,0.7477496671105193,0.2522503328894807
46,MAP Dataset,153.45378151260505,AKAZE,36.9327731092437,0.2406768523081978,0.7593231476918022,0.2406768523081978
47,MAP Dataset,149.16806722689077,AKAZE,35.6890756302521,0.2392541265280829,0.7607458734719171,0.2392541265280829
48,MAP Dataset,142.45378151260505,AKAZE,30.428571428571427,0.2136031146767343,0.7863968853232657,0.2136031146767343
49,MAP Dataset,133.25210084033614,AKAZE,29.831932773109244,0.22387589077379075,0.7761241092262092,0.22387589077379075
50,MAP Dataset,128.64705882352942,AKAZE,25.991596638655462,0.20203801685283165,0.7979619831471683,0.2020380168528317
