,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Small Village Dataset,196.31932773109244,BRISK,1.2605042016806722,0.006420683160688297,0.9935793168393117,0.006420683160688316
1,Small Village Dataset,199.76470588235293,BRISK,1.9075630252100841,0.00954904930169948,0.9904509506983005,0.009549049301699504
2,Small Village Dataset,172.51260504201682,BRISK,1.3781512605042017,0.007988698913731794,0.9920113010862681,0.007988698913731839
3,Small Village Dataset,169.96638655462183,BRISK,2.3865546218487395,0.014041332937802829,0.9859586670621971,0.01404133293780284
4,Small Village Dataset,170.38655462184875,BRISK,1.504201680672269,0.00882817123693036,0.9911718287630695,0.008828171236930415
5,Small Village Dataset,189.34453781512605,BRISK,4.4033613445378155,0.023255813953488375,0.9767441860465116,0.023255813953488396
6,Small Village Dataset,182.84873949579833,BRISK,4.319327731092437,0.023622409118066085,0.9763775908819339,0.023622409118066106
7,Small Village Dataset,161.85714285714286,BRISK,2.8907563025210083,0.01785992419915892,0.9821400758008412,0.017859924199158873
8,Small Village Dataset,178.7731092436975,BRISK,2.7394957983193278,0.015323869512080474,0.9846761304879196,0.01532386951208045
9,Small Village Dataset,188.32773109243698,BRISK,2.3445378151260505,0.012449243674981037,0.987550756325019,0.012449243674981026
10,Small Village Dataset,181.63025210084032,BRISK,1.2352941176470589,0.006801147404460073,0.9931988525955399,0.006801147404460106
11,Small Village Dataset,177.8235294117647,BRISK,0.9495798319327731,0.005340012286753934,0.9946599877132462,0.0053400122867538905
12,Small Village Dataset,245.60504201680672,BRISK,0.31092436974789917,0.0012659527149553496,0.9987340472850446,0.0012659527149553962
13,Small Village Dataset,360.70588235294116,BRISK,0.3277310924369748,0.0009085826111266425,0.9990914173888733,0.0009085826111266691
14,Small Village Dataset,207.10084033613447,BRISK,0.680672268907563,0.0032866707242848446,0.9967133292757152,0.0032866707242848177
15,Small Village Dataset,167.50420168067228,BRISK,1.1176470588235294,0.00667235238047459,0.9933276476195254,0.00667235238047459
16,Small Village Dataset,176.94957983193277,BRISK,1.1596638655462186,0.0065536401196751685,0.9934463598803249,0.006553640119675122
17,Small Village Dataset,205.94117647058823,BRISK,0.7394957983193278,0.0035908107887542336,0.9964091892112458,0.003590810788754231
18,Small Village Dataset,182.9327731092437,BRISK,0.8739495798319328,0.004777435803206395,0.9952225641967937,0.004777435803206363
19,Small Village Dataset,193.12605042016807,BRISK,0.7815126050420168,0.004046645200591768,0.9959533547994082,0.0040466452005918025
20,Small Village Dataset,199.7310924369748,BRISK,2.1176470588235294,0.010602490743857287,0.9893975092561427,0.010602490743857308
21,Small Village Dataset,237.49579831932772,BRISK,3.033613445378151,0.012773335220437337,0.9872266647795627,0.012773335220437334
22,Small Village Dataset,180.1596638655462,BRISK,2.672268907563025,0.014832781379728531,0.9851672186202715,0.01483278137972854
23,Small Village Dataset,154.0672268907563,BRISK,0.7226890756302521,0.004690738518599324,0.9953092614814006,0.004690738518599341
24,Small Village Dataset,158.05042016806723,BRISK,0.7394957983193278,0.004678860059549128,0.9953211399404509,0.004678860059549111
25,Small Village Dataset,187.5966386554622,BRISK,0.3697478991596639,0.001970972943916861,0.9980290270560831,0.0019709729439168827
26,Small Village Dataset,182.3361344537815,BRISK,0.865546218487395,0.004746981288598027,0.9952530187114019,0.00474698128859805
