,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,MAP Dataset,893.2372881355932,BRISK,40.76271186440678,0.045634807688658664,0.9543651923113413,0.04563480768865868
1,MAP Dataset,1014.8474576271186,BRISK,50.016949152542374,0.04928518939140891,0.9507148106085911,0.04928518939140891
2,MAP Dataset,1036.8135593220338,BRISK,56.355932203389834,0.05435493362976526,0.9456450663702348,0.05435493362976521
3,MAP Dataset,1125.2881355932204,BRISK,60.94915254237288,0.054163152187010476,0.9458368478129894,0.054163152187010545
4,MAP Dataset,1233.5593220338983,BRISK,60.13559322033898,0.048749656499038195,0.9512503435009618,0.04874965649903818
5,MAP Dataset,1260.8305084745762,BRISK,73.30508474576271,0.05814031644463564,0.9418596835553643,0.058140316444635666
6,MAP Dataset,1301.084745762712,BRISK,81.32203389830508,0.06250325673492782,0.9374967432650722,0.06250325673492783
7,MAP Dataset,1415.406779661017,BRISK,74.0677966101695,0.05232968901555521,0.9476703109844448,0.05232968901555522
8,MAP Dataset,1330.7118644067796,BRISK,64.30508474576271,0.04832382310984309,0.9516761768901568,0.04832382310984313
9,MAP Dataset,1624.4237288135594,BRISK,57.42372881355932,0.03535021546102399,0.964649784538976,0.035350215461024
10,MAP Dataset,1659.2881355932204,BRISK,2.0,0.0012053361662138144,0.9987946638337862,0.0012053361662137903
11,MAP Dataset,1488.7796610169491,BRISK,153.864406779661,0.10334934766274277,0.8966506523372572,0.1033493476627428
12,MAP Dataset,1408.7288135593221,BRISK,69.2542372881356,0.04916080129940444,0.9508391987005956,0.0491608012994044
13,MAP Dataset,1328.2542372881355,BRISK,68.98305084745763,0.051935125754462984,0.948064874245537,0.051935125754463
14,MAP Dataset,1242.0169491525423,BRISK,55.69491525423729,0.04484231498792287,0.9551576850120772,0.04484231498792282
15,MAP Dataset,1213.4237288135594,BRISK,62.355932203389834,0.05138842328751816,0.9486115767124819,0.05138842328751815
16,MAP Dataset,1201.4406779661017,BRISK,50.6271186440678,0.042138675319178955,0.957861324680821,0.042138675319178996
17,MAP Dataset,1236.050847457627,BRISK,54.66101694915254,0.0442223044962771,0.9557776955037229,0.044222304496277086
18,MAP Dataset,1172.2542372881355,BRISK,39.03389830508475,0.03329815074534072,0.9667018492546593,0.03329815074534071
19,MAP Dataset,1132.3389830508474,BRISK,38.03389830508475,0.033588791761465696,0.9664112082385343,0.03358879176146568
20,MAP Dataset,1337.3898305084747,BRISK,33.813559322033896,0.025283248422173214,0.9747167515778269,0.025283248422173162
21,MAP Dataset,1215.2372881355932,BRISK,1.9322033898305084,0.001589980334453758,0.9984100196655463,0.001589980334453718
22,MAP Dataset,1211.3050847457628,BRISK,119.86440677966101,0.09895476233786223,0.9010452376621377,0.09895476233786225
23,MAP Dataset,963.5254237288135,BRISK,46.28813559322034,0.048040388404165496,0.9519596115958345,0.04804038840416548
24,MAP Dataset,1082.7118644067796,BRISK,48.610169491525426,0.04489668127739512,0.9551033187226048,0.04489668127739516
25,MAP Dataset,1101.542372881356,BRISK,51.49152542372882,0.04674493391392655,0.9532550660860736,0.04674493391392648
26,MAP Dataset,1188.7118644067796,BRISK,52.610169491525426,0.04425813442837996,0.9557418655716199,0.04425813442838004
27,MAP Dataset,1381.322033898305,BRISK,54.47457627118644,0.03943655059019854,0.9605634494098015,0.039436550590198495
28,MAP Dataset,1238.3389830508474,BRISK,5.508474576271187,0.004448276806000384,0.9955517231939995,0.004448276806000423
29,MAP Dataset,1173.7627118644068,BRISK,93.0,0.07923236874025298,0.920767631259747,0.07923236874025298
30,MAP Dataset,953.1525423728814,BRISK,43.32203389830509,0.045451312326623514,0.9545486876733764,0.04545131232662355
31,MAP Dataset,881.9491525423729,BRISK,44.101694915254235,0.05000480445853752,0.9499951955414625,0.050004804458537506
32,MAP Dataset,875.6271186440678,BRISK,42.08474576271186,0.04806240563663815,0.9519375943633619,0.04806240563663813
33,MAP Dataset,1042.2203389830509,BRISK,52.0,0.04989348034671741,0.9501065196532826,0.04989348034671739
34,MAP Dataset,1037.135593220339,BRISK,144.71186440677965,0.13953032308672844,0.8604696769132716,0.13953032308672844
35,MAP Dataset,990.542372881356,BRISK,1.9322033898305084,0.0019506519284076518,0.9980493480715923,0.0019506519284076807
36,MAP Dataset,883.4067796610169,BRISK,32.610169491525426,0.036914103720189564,0.9630858962798104,0.03691410372018956
37,MAP Dataset,956.1694915254237,BRISK,31.084745762711865,0.03250966072251569,0.9674903392774843,0.0325096607225157
38,MAP Dataset,926.5932203389831,BRISK,43.6271186440678,0.04708335619821105,0.952916643801789,0.04708335619821104
39,MAP Dataset,922.6610169491526,BRISK,45.47457627118644,0.049286330988114704,0.9507136690118853,0.04928633098811472
40,MAP Dataset,896.7796610169491,BRISK,38.101694915254235,0.042487242487242484,0.9575127575127574,0.042487242487242526
41,MAP Dataset,969.3220338983051,BRISK,41.016949152542374,0.042315090050708166,0.9576849099492919,0.04231509005070814
42,MAP Dataset,967.9152542372881,BRISK,42.91525423728814,0.04433782198329452,0.9556621780167055,0.04433782198329451
43,MAP Dataset,1073.0338983050847,BRISK,46.05084745762712,0.04291648896681357,0.9570835110331866,0.0429164889668135
44,MAP Dataset,1157.864406779661,BRISK,57.355932203389834,0.04953596627338466,0.9504640337266154,0.04953596627338465
45,MAP Dataset,1204.4237288135594,BRISK,65.22033898305085,0.05415065929272034,0.9458493407072797,0.05415065929272034
46,MAP Dataset,1253.2881355932204,BRISK,66.55932203389831,0.053107757221681276,0.9468922427783187,0.05310775722168127
47,MAP Dataset,1342.7288135593221,BRISK,73.42372881355932,0.054682470557049265,0.9453175294429507,0.0546824705570493
48,MAP Dataset,1311.593220338983,BRISK,70.33898305084746,0.05362865708673628,0.9463713429132637,0.05362865708673627
49,MAP Dataset,1417.2372881355932,BRISK,72.71186440677967,0.051305356566248496,0.9486946434337515,0.05130535656624848
50,MAP Dataset,1434.5254237288136,BRISK,75.64406779661017,0.05273107506173423,0.9472689249382658,0.05273107506173424
51,MAP Dataset,1539.1694915254238,BRISK,78.91525423728814,0.05127132175617491,0.9487286782438251,0.051271321756174895
52,MAP Dataset,1696.6440677966102,BRISK,74.71186440677967,0.04403508421410162,0.9559649157858985,0.044035084214101565
53,MAP Dataset,1730.5762711864406,BRISK,71.01694915254237,0.04103659014338321,0.9589634098566168,0.04103659014338323
54,MAP Dataset,2047.5254237288136,BRISK,134.0677966101695,0.06547796430581769,0.9345220356941822,0.06547796430581772
55,MAP Dataset,1967.542372881356,BRISK,3.406779661016949,0.0017314898565706162,0.9982685101434293,0.0017314898565706472
56,MAP Dataset,1957.6610169491526,BRISK,39.847457627118644,0.020354625893923915,0.979645374106076,0.02035462589392396
57,MAP Dataset,1873.322033898305,BRISK,46.59322033898305,0.024871975824692832,0.9751280241753072,0.02487197582469282
58,MAP Dataset,1844.2711864406779,BRISK,53.779661016949156,0.02916038672205272,0.9708396132779473,0.0291603867220527
59,MAP Dataset,861.3728813559322,BRISK+FREAK,24.559322033898304,0.028511835658487632,0.9714881643415124,0.028511835658487607
60,MAP Dataset,976.8644067796611,BRISK+FREAK,26.847457627118644,0.027483300078077554,0.9725166999219225,0.027483300078077543
61,MAP Dataset,997.1016949152543,BRISK+FREAK,32.45762711864407,0.032551972666542014,0.967448027333458,0.032551972666541994
62,MAP Dataset,1078.1186440677966,BRISK+FREAK,34.40677966101695,0.03191372290084736,0.9680862770991525,0.03191372290084742
63,MAP Dataset,1186.4915254237287,BRISK+FREAK,38.30508474576271,0.032284330671542655,0.9677156693284573,0.03228433067154267
64,MAP Dataset,1211.1694915254238,BRISK+FREAK,36.86440677966102,0.03043703382359115,0.9695629661764088,0.030437033823591173
65,MAP Dataset,1244.7118644067796,BRISK+FREAK,41.11864406779661,0.033034668700128,0.966965331299872,0.03303466870012797
66,MAP Dataset,1358.5084745762713,BRISK+FREAK,35.067796610169495,0.025813454436570515,0.9741865455634294,0.025813454436570543
67,MAP Dataset,1279.864406779661,BRISK+FREAK,34.152542372881356,0.026684500476745417,0.9733154995232547,0.02668450047674536
68,MAP Dataset,1561.4745762711864,BRISK+FREAK,27.508474576271187,0.017616985248624182,0.9823830147513758,0.017616985248624196
69,MAP Dataset,1604.3728813559321,BRISK+FREAK,1.1016949152542372,0.00068668258361681,0.9993133174163832,0.0006866825836168128
70,MAP Dataset,1438.593220338983,BRISK+FREAK,75.91525423728814,0.05277047963523688,0.9472295203647632,0.052770479635236865
71,MAP Dataset,1357.406779661017,BRISK+FREAK,35.54237288135593,0.026184024872950663,0.9738159751270493,0.026184024872950674
72,MAP Dataset,1280.2542372881355,BRISK+FREAK,34.20338983050848,0.026716091877937383,0.9732839081220626,0.02671609187793741
73,MAP Dataset,1198.2542372881355,BRISK+FREAK,34.71186440677966,0.02896869739875808,0.971031302601242,0.028968697398758018
74,MAP Dataset,1173.7457627118645,BRISK+FREAK,32.83050847457627,0.02797071522432889,0.9720292847756712,0.02797071522432885
75,MAP Dataset,1157.4237288135594,BRISK+FREAK,28.779661016949152,0.024865276476101216,0.9751347235238987,0.02486527647610124
76,MAP Dataset,1192.5762711864406,BRISK+FREAK,26.796610169491526,0.02246951479491771,0.9775304852050823,0.022469514794917687
77,MAP Dataset,1129.2542372881355,BRISK+FREAK,22.71186440677966,0.020112268483775102,0.979887731516225,0.020112268483775054
78,MAP Dataset,1090.0169491525423,BRISK+FREAK,20.508474576271187,0.018814821725676792,0.9811851782743232,0.018814821725676813
79,MAP Dataset,1287.5084745762713,BRISK+FREAK,18.10169491525424,0.014059476323999842,0.9859405236760002,0.014059476323999842
80,MAP Dataset,1171.6440677966102,BRISK+FREAK,1.1694915254237288,0.0009981628017995863,0.9990018371982003,0.0009981628017996188
81,MAP Dataset,1167.4745762711864,BRISK+FREAK,71.9322033898305,0.061613507353261425,0.9383864926467387,0.061613507353261376
82,MAP Dataset,933.7966101694915,BRISK+FREAK,23.915254237288135,0.02561077431299234,0.9743892256870077,0.02561077431299232
83,MAP Dataset,1046.9661016949153,BRISK+FREAK,24.508474576271187,0.02340904307846724,0.9765909569215327,0.023409043078467244
