,Dataset,Number of Keypoints,Detector/Descriptor
0,MAP Dataset,1931.11,AGAST+SIFT
1,MAP Dataset,2175.74,AGAST+SIFT
2,MAP Dataset,1850.88,AGAST+SIFT
3,MAP Dataset,1546.37,AGAST+SIFT
4,MAP Dataset,2398.6,AGAST+SIFT
5,MAP Dataset,1734.3,AGAST+SIFT
6,MAP Dataset,1250.25,AGAST+SIFT
7,MAP Dataset,1225.46,AGAST+SIFT
8,MAP Dataset,1362.09,AGAST+SIFT
9,MAP Dataset,1334.97,AGAST+SIFT
10,MAP Dataset,1128.13,AGAST+SIFT
11,MAP Dataset,1279.03,AGAST+SIFT
12,MAP Dataset,1153.25,AGAST+SIFT
13,MAP Dataset,1604.81,AGAST+SIFT
14,MAP Dataset,2548.75,AGAST+SIFT
15,MAP Dataset,1996.86,AGAST+SIFT
16,MAP Dataset,2426.03,AGAST+SIFT
17,MAP Dataset,2041.67,AGAST+SIFT
18,MAP Dataset,2223.91,AGAST+SIFT
19,MAP Dataset,1529.2,AGAST+SIFT
20,MAP Dataset,1448.07,AGAST+SIFT
21,MAP Dataset,1460.69,AGAST+SIFT
22,MAP Dataset,1651.77,AGAST+SIFT
23,MAP Dataset,1656.74,AGAST+SIFT
24,MAP Dataset,1513.61,AGAST+SIFT
25,MAP Dataset,1926.64,AGAST+SIFT
26,MAP Dataset,2435.3,AGAST+SIFT
27,MAP Dataset,2690.89,AGAST+SIFT
28,MAP Dataset,1937.67,AGAST+SIFT
29,MAP Dataset,1702.62,AGAST+SIFT
30,MAP Dataset,2641.49,AGAST+SIFT
31,MAP Dataset,2619.34,AGAST+SIFT
32,MAP Dataset,2484.68,AGAST+SIFT
33,MAP Dataset,2128.42,AGAST+SIFT
34,MAP Dataset,1740.47,AGAST+SIFT
35,MAP Dataset,1510.93,AGAST+SIFT
36,MAP Dataset,1216.95,AGAST+SIFT
37,MAP Dataset,1362.19,AGAST+SIFT
38,MAP Dataset,1605.89,AGAST+SIFT
39,MAP Dataset,1813.56,AGAST+SIFT
40,MAP Dataset,2036.95,AGAST+SIFT
41,MAP Dataset,1294.77,AGAST+SIFT
42,MAP Dataset,2358.23,AGAST+SIFT
43,MAP Dataset,2257.91,AGAST+SIFT
44,MAP Dataset,1970.81,AGAST+SIFT
45,MAP Dataset,2253.21,AGAST+SIFT
46,MAP Dataset,1815.21,AGAST+SIFT
47,MAP Dataset,2109.94,AGAST+SIFT
48,MAP Dataset,2241.66,AGAST+SIFT
49,MAP Dataset,1494.28,AGAST+SIFT
50,MAP Dataset,2629.6,AGAST+SIFT
51,MAP Dataset,1469.22,AGAST+SIFT
52,MAP Dataset,1096.61,AGAST+SIFT
53,MAP Dataset,1068.51,AGAST+SIFT
54,MAP Dataset,1076.95,AGAST+SIFT
55,MAP Dataset,1194.74,AGAST+SIFT
56,MAP Dataset,1311.23,AGAST+SIFT
57,MAP Dataset,1587.77,AGAST+SIFT
58,MAP Dataset,1807.88,AGAST+SIFT
59,MAP Dataset,1605.02,AGAST+SIFT
60,MAP Dataset,2123.26,AGAST+SIFT
61,MAP Dataset,1456.79,AGAST+SIFT
62,MAP Dataset,1939.47,AGAST+SIFT
63,MAP Dataset,1665.26,AGAST+SIFT
64,MAP Dataset,1251.13,AGAST+SIFT
65,MAP Dataset,1137.01,AGAST+SIFT
66,MAP Dataset,1038.24,AGAST+SIFT
67,MAP Dataset,968.82,AGAST+SIFT
68,MAP Dataset,896.87,AGAST+SIFT
69,MAP Dataset,888.59,AGAST+SIFT
70,MAP Dataset,1320.36,AGAST+SIFT
71,MAP Dataset,1842.37,AGAST+SIFT
72,MAP Dataset,2010.46,AGAST+SIFT
73,MAP Dataset,1237.49,AGAST+SIFT
74,MAP Dataset,1466.38,AGAST+SIFT
75,MAP Dataset,2160.6,AGAST+SIFT
76,MAP Dataset,2977.78,AGAST+SIFT
77,MAP Dataset,1965.2,AGAST+SIFT
78,MAP Dataset,2981.04,AGAST+SIFT
79,MAP Dataset,2197.14,AGAST+SIFT
80,MAP Dataset,2077.67,AGAST+SIFT
81,MAP Dataset,2134.48,AGAST+SIFT
82,MAP Dataset,1739.64,AGAST+SIFT
83,MAP Dataset,1457.87,AGAST+SIFT
84,MAP Dataset,1086.31,AGAST+SIFT
85,MAP Dataset,1172.0,AGAST+SIFT
86,MAP Dataset,1420.45,AGAST+SIFT
87,MAP Dataset,952.03,AGAST+SIFT
88,MAP Dataset,1142.09,AGAST+SIFT
89,MAP Dataset,924.26,AGAST+SIFT
90,MAP Dataset,992.21,AGAST+SIFT
91,MAP Dataset,1481.33,AGAST+SIFT
92,MAP Dataset,1936.43,AGAST+SIFT
93,MAP Dataset,1986.38,AGAST+SIFT
94,MAP Dataset,3107.06,AGAST+SIFT
95,MAP Dataset,3053.12,AGAST+SIFT
96,MAP Dataset,2604.03,AGAST+SIFT
97,MAP Dataset,2683.19,AGAST+SIFT
98,MAP Dataset,2332.88,AGAST+SIFT
99,MAP Dataset,1617.73,AGAST+SIFT
