,Dataset,Number of Keypoints,Detector/Descriptor
0,Gravel Quarry Dataset,1421.49,AKAZE
1,Gravel Quarry Dataset,1504.36,AKAZE
2,Gravel Quarry Dataset,1437.33,AKAZE
3,Gravel Quarry Dataset,1547.56,AKAZE
4,Gravel Quarry Dataset,1678.42,AKAZE
5,Gravel Quarry Dataset,1425.38,AKAZE
6,Gravel Quarry Dataset,1163.62,AKAZE
7,Gravel Quarry Dataset,1131.21,AKAZE
8,Gravel Quarry Dataset,1186.44,AKAZE
9,Gravel Quarry Dataset,1173.13,AKAZE
10,Gravel Quarry Dataset,1068.45,AKAZE
11,Gravel Quarry Dataset,1065.67,AKAZE
12,Gravel Quarry Dataset,1140.46,AKAZE
13,Gravel Quarry Dataset,1378.04,AKAZE
14,Gravel Quarry Dataset,1846.75,AKAZE
15,Gravel Quarry Dataset,1574.51,AKAZE
16,Gravel Quarry Dataset,1880.4,AKAZE
17,Gravel Quarry Dataset,1655.0,AKAZE
18,Gravel Quarry Dataset,1630.12,AKAZE
19,Gravel Quarry Dataset,1338.85,AKAZE
20,Gravel Quarry Dataset,1357.71,AKAZE
21,Gravel Quarry Dataset,1299.18,AKAZE
22,Gravel Quarry Dataset,1409.0,AKAZE
23,Gravel Quarry Dataset,1399.03,AKAZE
24,Gravel Quarry Dataset,1378.78,AKAZE
25,Gravel Quarry Dataset,1570.59,AKAZE
26,Gravel Quarry Dataset,1796.09,AKAZE
27,Gravel Quarry Dataset,1915.52,AKAZE
28,Gravel Quarry Dataset,1588.13,AKAZE
29,Gravel Quarry Dataset,1730.18,AKAZE
30,Gravel Quarry Dataset,2015.53,AKAZE
31,Gravel Quarry Dataset,1961.38,AKAZE
32,Gravel Quarry Dataset,1879.5,AKAZE
33,Gravel Quarry Dataset,1741.96,AKAZE
34,Gravel Quarry Dataset,1534.4,AKAZE
35,Gravel Quarry Dataset,1377.41,AKAZE
36,Gravel Quarry Dataset,1312.31,AKAZE
37,Gravel Quarry Dataset,1334.89,AKAZE
38,Gravel Quarry Dataset,1442.29,AKAZE
39,Gravel Quarry Dataset,1594.88,AKAZE
40,Gravel Quarry Dataset,1723.85,AKAZE
41,Gravel Quarry Dataset,1489.49,AKAZE
42,Gravel Quarry Dataset,1768.68,AKAZE
43,Gravel Quarry Dataset,1762.58,AKAZE
44,Gravel Quarry Dataset,1682.87,AKAZE
45,Gravel Quarry Dataset,1699.9,AKAZE
46,Gravel Quarry Dataset,1554.71,AKAZE
47,Gravel Quarry Dataset,1677.19,AKAZE
48,Gravel Quarry Dataset,1749.68,AKAZE
49,Gravel Quarry Dataset,1678.49,AKAZE
50,Gravel Quarry Dataset,2025.77,AKAZE
51,Gravel Quarry Dataset,1233.88,AKAZE
52,Gravel Quarry Dataset,1032.15,AKAZE
53,Gravel Quarry Dataset,998.07,AKAZE
54,Gravel Quarry Dataset,1019.04,AKAZE
55,Gravel Quarry Dataset,1081.8,AKAZE
56,Gravel Quarry Dataset,1203.5,AKAZE
57,Gravel Quarry Dataset,1302.39,AKAZE
58,Gravel Quarry Dataset,1444.87,AKAZE
59,Gravel Quarry Dataset,1477.9,AKAZE
60,Gravel Quarry Dataset,1623.98,AKAZE
61,Gravel Quarry Dataset,1467.27,AKAZE
62,Gravel Quarry Dataset,1553.39,AKAZE
63,Gravel Quarry Dataset,1382.05,AKAZE
64,Gravel Quarry Dataset,1084.61,AKAZE
65,Gravel Quarry Dataset,1104.1,AKAZE
66,Gravel Quarry Dataset,1001.06,AKAZE
67,Gravel Quarry Dataset,944.34,AKAZE
68,Gravel Quarry Dataset,955.33,AKAZE
69,Gravel Quarry Dataset,1003.13,AKAZE
70,Gravel Quarry Dataset,1170.47,AKAZE
71,Gravel Quarry Dataset,1404.91,AKAZE
72,Gravel Quarry Dataset,1481.95,AKAZE
73,Gravel Quarry Dataset,1372.16,AKAZE
74,Gravel Quarry Dataset,1355.96,AKAZE
75,Gravel Quarry Dataset,1711.82,AKAZE
76,Gravel Quarry Dataset,2085.37,AKAZE
77,Gravel Quarry Dataset,1930.22,AKAZE
78,Gravel Quarry Dataset,2060.28,AKAZE
79,Gravel Quarry Dataset,1786.59,AKAZE
80,Gravel Quarry Dataset,1759.24,AKAZE
81,Gravel Quarry Dataset,1685.46,AKAZE
82,Gravel Quarry Dataset,1518.86,AKAZE
83,Gravel Quarry Dataset,1322.72,AKAZE
84,Gravel Quarry Dataset,1117.53,AKAZE
85,Gravel Quarry Dataset,1173.09,AKAZE
86,Gravel Quarry Dataset,1240.83,AKAZE
87,Gravel Quarry Dataset,1050.29,AKAZE
88,Gravel Quarry Dataset,1076.29,AKAZE
89,Gravel Quarry Dataset,1096.31,AKAZE
90,Gravel Quarry Dataset,1125.87,AKAZE
91,Gravel Quarry Dataset,1435.83,AKAZE
92,Gravel Quarry Dataset,1639.26,AKAZE
93,Gravel Quarry Dataset,1652.63,AKAZE
94,Gravel Quarry Dataset,2018.23,AKAZE
95,Gravel Quarry Dataset,2022.75,AKAZE
96,Gravel Quarry Dataset,1862.3,AKAZE
97,Gravel Quarry Dataset,1972.69,AKAZE
98,Gravel Quarry Dataset,1697.26,AKAZE
99,Gravel Quarry Dataset,1432.87,AKAZE
