,Dataset,Number of Keypoints,Detector/Descriptor
0,Gravel Quarry Dataset,20.01,DAISY+SIFT
1,Gravel Quarry Dataset,20.0,DAISY+SIFT
2,Gravel Quarry Dataset,20.0,DAISY+SIFT
3,Gravel Quarry Dataset,20.0,DAISY+SIFT
4,Gravel Quarry Dataset,20.0,DAISY+SIFT
5,Gravel Quarry Dataset,20.0,DAISY+SIFT
6,Gravel Quarry Dataset,20.0,DAISY+SIFT
7,Gravel Quarry Dataset,20.0,DAISY+SIFT
8,Gravel Quarry Dataset,20.0,DAISY+SIFT
9,Gravel Quarry Dataset,20.0,DAISY+SIFT
10,Gravel Quarry Dataset,20.0,DAISY+SIFT
11,Gravel Quarry Dataset,20.0,DAISY+SIFT
12,Gravel Quarry Dataset,20.0,DAISY+SIFT
13,Gravel Quarry Dataset,20.0,DAISY+SIFT
14,Gravel Quarry Dataset,20.0,DAISY+SIFT
15,Gravel Quarry Dataset,20.0,DAISY+SIFT
16,Gravel Quarry Dataset,20.0,DAISY+SIFT
17,Gravel Quarry Dataset,20.0,DAISY+SIFT
18,Gravel Quarry Dataset,20.0,DAISY+SIFT
19,Gravel Quarry Dataset,20.0,DAISY+SIFT
20,Gravel Quarry Dataset,20.0,DAISY+SIFT
21,Gravel Quarry Dataset,20.0,DAISY+SIFT
22,Gravel Quarry Dataset,20.01,DAISY+SIFT
23,Gravel Quarry Dataset,20.0,DAISY+SIFT
24,Gravel Quarry Dataset,20.0,DAISY+SIFT
25,Gravel Quarry Dataset,20.0,DAISY+SIFT
26,Gravel Quarry Dataset,20.0,DAISY+SIFT
27,Gravel Quarry Dataset,20.0,DAISY+SIFT
28,Gravel Quarry Dataset,20.0,DAISY+SIFT
29,Gravel Quarry Dataset,20.0,DAISY+SIFT
30,Gravel Quarry Dataset,20.0,DAISY+SIFT
31,Gravel Quarry Dataset,20.0,DAISY+SIFT
32,Gravel Quarry Dataset,20.01,DAISY+SIFT
33,Gravel Quarry Dataset,20.0,DAISY+SIFT
34,Gravel Quarry Dataset,20.0,DAISY+SIFT
35,Gravel Quarry Dataset,20.0,DAISY+SIFT
36,Gravel Quarry Dataset,20.0,DAISY+SIFT
37,Gravel Quarry Dataset,20.0,DAISY+SIFT
38,Gravel Quarry Dataset,20.01,DAISY+SIFT
39,Gravel Quarry Dataset,20.0,DAISY+SIFT
40,Gravel Quarry Dataset,20.0,DAISY+SIFT
41,Gravel Quarry Dataset,20.01,DAISY+SIFT
42,Gravel Quarry Dataset,20.0,DAISY+SIFT
43,Gravel Quarry Dataset,20.0,DAISY+SIFT
44,Gravel Quarry Dataset,20.0,DAISY+SIFT
45,Gravel Quarry Dataset,20.01,DAISY+SIFT
46,Gravel Quarry Dataset,20.0,DAISY+SIFT
47,Gravel Quarry Dataset,20.0,DAISY+SIFT
48,Gravel Quarry Dataset,20.0,DAISY+SIFT
49,Gravel Quarry Dataset,20.0,DAISY+SIFT
50,Gravel Quarry Dataset,20.0,DAISY+SIFT
51,Gravel Quarry Dataset,20.0,DAISY+SIFT
52,Gravel Quarry Dataset,20.0,DAISY+SIFT
53,Gravel Quarry Dataset,20.0,DAISY+SIFT
54,Gravel Quarry Dataset,20.0,DAISY+SIFT
55,Gravel Quarry Dataset,20.0,DAISY+SIFT
56,Gravel Quarry Dataset,20.0,DAISY+SIFT
57,Gravel Quarry Dataset,20.0,DAISY+SIFT
58,Gravel Quarry Dataset,20.0,DAISY+SIFT
59,Gravel Quarry Dataset,20.01,DAISY+SIFT
60,Gravel Quarry Dataset,20.01,DAISY+SIFT
61,Gravel Quarry Dataset,20.01,DAISY+SIFT
62,Gravel Quarry Dataset,20.0,DAISY+SIFT
63,Gravel Quarry Dataset,20.0,DAISY+SIFT
64,Gravel Quarry Dataset,20.0,DAISY+SIFT
65,Gravel Quarry Dataset,20.0,DAISY+SIFT
66,Gravel Quarry Dataset,20.0,DAISY+SIFT
67,Gravel Quarry Dataset,20.0,DAISY+SIFT
68,Gravel Quarry Dataset,20.0,DAISY+SIFT
69,Gravel Quarry Dataset,20.0,DAISY+SIFT
70,Gravel Quarry Dataset,20.0,DAISY+SIFT
71,Gravel Quarry Dataset,20.0,DAISY+SIFT
72,Gravel Quarry Dataset,20.0,DAISY+SIFT
73,Gravel Quarry Dataset,20.0,DAISY+SIFT
74,Gravel Quarry Dataset,20.0,DAISY+SIFT
75,Gravel Quarry Dataset,20.0,DAISY+SIFT
76,Gravel Quarry Dataset,20.02,DAISY+SIFT
77,Gravel Quarry Dataset,20.0,DAISY+SIFT
78,Gravel Quarry Dataset,20.0,DAISY+SIFT
79,Gravel Quarry Dataset,20.0,DAISY+SIFT
80,Gravel Quarry Dataset,20.0,DAISY+SIFT
81,Gravel Quarry Dataset,20.0,DAISY+SIFT
82,Gravel Quarry Dataset,20.0,DAISY+SIFT
83,Gravel Quarry Dataset,20.0,DAISY+SIFT
84,Gravel Quarry Dataset,20.0,DAISY+SIFT
85,Gravel Quarry Dataset,20.01,DAISY+SIFT
86,Gravel Quarry Dataset,20.0,DAISY+SIFT
87,Gravel Quarry Dataset,20.0,DAISY+SIFT
88,Gravel Quarry Dataset,20.0,DAISY+SIFT
89,Gravel Quarry Dataset,20.0,DAISY+SIFT
90,Gravel Quarry Dataset,20.02,DAISY+SIFT
91,Gravel Quarry Dataset,20.01,DAISY+SIFT
92,Gravel Quarry Dataset,20.0,DAISY+SIFT
93,Gravel Quarry Dataset,20.0,DAISY+SIFT
94,Gravel Quarry Dataset,20.0,DAISY+SIFT
95,Gravel Quarry Dataset,20.01,DAISY+SIFT
96,Gravel Quarry Dataset,20.01,DAISY+SIFT
97,Gravel Quarry Dataset,20.01,DAISY+SIFT
98,Gravel Quarry Dataset,20.0,DAISY+SIFT
99,Gravel Quarry Dataset,20.0,DAISY+SIFT
