,Dataset,Number of Keypoints,Detector/Descriptor
0,Gravel Quarry Dataset,1834.86,FAST+SIFT
1,Gravel Quarry Dataset,2074.09,FAST+SIFT
2,Gravel Quarry Dataset,1759.72,FAST+SIFT
3,Gravel Quarry Dataset,1487.66,FAST+SIFT
4,Gravel Quarry Dataset,2292.82,FAST+SIFT
5,Gravel Quarry Dataset,1648.91,FAST+SIFT
6,Gravel Quarry Dataset,1182.1,FAST+SIFT
7,Gravel Quarry Dataset,1157.58,FAST+SIFT
8,Gravel Quarry Dataset,1291.04,FAST+SIFT
9,Gravel Quarry Dataset,1263.75,FAST+SIFT
10,Gravel Quarry Dataset,1071.79,FAST+SIFT
11,Gravel Quarry Dataset,1209.2,FAST+SIFT
12,Gravel Quarry Dataset,1084.26,FAST+SIFT
13,Gravel Quarry Dataset,1525.26,FAST+SIFT
14,Gravel Quarry Dataset,2439.8,FAST+SIFT
15,Gravel Quarry Dataset,1898.3,FAST+SIFT
16,Gravel Quarry Dataset,2317.9,FAST+SIFT
17,Gravel Quarry Dataset,1939.39,FAST+SIFT
18,Gravel Quarry Dataset,2110.77,FAST+SIFT
19,Gravel Quarry Dataset,1447.42,FAST+SIFT
20,Gravel Quarry Dataset,1379.35,FAST+SIFT
21,Gravel Quarry Dataset,1383.91,FAST+SIFT
22,Gravel Quarry Dataset,1575.3,FAST+SIFT
23,Gravel Quarry Dataset,1569.69,FAST+SIFT
24,Gravel Quarry Dataset,1432.69,FAST+SIFT
25,Gravel Quarry Dataset,1834.04,FAST+SIFT
26,Gravel Quarry Dataset,2326.64,FAST+SIFT
27,Gravel Quarry Dataset,2568.32,FAST+SIFT
28,Gravel Quarry Dataset,1861.57,FAST+SIFT
29,Gravel Quarry Dataset,1649.68,FAST+SIFT
30,Gravel Quarry Dataset,2531.94,FAST+SIFT
31,Gravel Quarry Dataset,2503.3,FAST+SIFT
32,Gravel Quarry Dataset,2375.39,FAST+SIFT
33,Gravel Quarry Dataset,2034.06,FAST+SIFT
34,Gravel Quarry Dataset,1651.87,FAST+SIFT
35,Gravel Quarry Dataset,1431.67,FAST+SIFT
36,Gravel Quarry Dataset,1153.59,FAST+SIFT
37,Gravel Quarry Dataset,1286.92,FAST+SIFT
38,Gravel Quarry Dataset,1523.28,FAST+SIFT
39,Gravel Quarry Dataset,1732.41,FAST+SIFT
40,Gravel Quarry Dataset,1939.31,FAST+SIFT
41,Gravel Quarry Dataset,1223.19,FAST+SIFT
