,Dataset,Number of Keypoints,Detector/Descriptor
0,Gravel Quarry Dataset,1651.34,SURF
1,Gravel Quarry Dataset,1626.32,SURF
2,Gravel Quarry Dataset,1584.5,SURF
3,Gravel Quarry Dataset,1527.78,SURF
4,Gravel Quarry Dataset,1661.04,SURF
5,Gravel Quarry Dataset,1630.5,SURF
6,Gravel Quarry Dataset,1607.1,SURF
7,Gravel Quarry Dataset,1644.21,SURF
8,Gravel Quarry Dataset,1680.84,SURF
9,Gravel Quarry Dataset,1695.18,SURF
10,Gravel Quarry Dataset,1648.83,SURF
11,Gravel Quarry Dataset,1673.37,SURF
12,Gravel Quarry Dataset,1641.74,SURF
13,Gravel Quarry Dataset,1624.58,SURF
14,Gravel Quarry Dataset,1709.54,SURF
15,Gravel Quarry Dataset,1610.78,SURF
16,Gravel Quarry Dataset,1648.23,SURF
17,Gravel Quarry Dataset,1627.92,SURF
18,Gravel Quarry Dataset,1697.77,SURF
19,Gravel Quarry Dataset,1659.8,SURF
20,Gravel Quarry Dataset,1651.57,SURF
21,Gravel Quarry Dataset,1652.35,SURF
22,Gravel Quarry Dataset,1637.14,SURF
23,Gravel Quarry Dataset,1647.09,SURF
24,Gravel Quarry Dataset,1634.13,SURF
25,Gravel Quarry Dataset,1644.34,SURF
26,Gravel Quarry Dataset,1650.57,SURF
27,Gravel Quarry Dataset,1645.74,SURF
28,Gravel Quarry Dataset,1577.33,SURF
29,Gravel Quarry Dataset,1551.85,SURF
30,Gravel Quarry Dataset,1660.28,SURF
31,Gravel Quarry Dataset,1664.27,SURF
32,Gravel Quarry Dataset,1688.67,SURF
33,Gravel Quarry Dataset,1685.73,SURF
34,Gravel Quarry Dataset,1648.0,SURF
35,Gravel Quarry Dataset,1646.54,SURF
36,Gravel Quarry Dataset,1617.59,SURF
37,Gravel Quarry Dataset,1655.91,SURF
38,Gravel Quarry Dataset,1683.34,SURF
39,Gravel Quarry Dataset,1663.76,SURF
40,Gravel Quarry Dataset,1654.61,SURF
41,Gravel Quarry Dataset,1561.32,SURF
42,Gravel Quarry Dataset,1620.29,SURF
43,Gravel Quarry Dataset,1599.88,SURF
44,Gravel Quarry Dataset,1584.61,SURF
45,Gravel Quarry Dataset,1653.22,SURF
46,Gravel Quarry Dataset,1629.86,SURF
47,Gravel Quarry Dataset,1661.0,SURF
48,Gravel Quarry Dataset,1688.21,SURF
49,Gravel Quarry Dataset,1585.11,SURF
50,Gravel Quarry Dataset,1640.5,SURF
51,Gravel Quarry Dataset,1607.96,SURF
52,Gravel Quarry Dataset,1591.73,SURF
53,Gravel Quarry Dataset,1646.79,SURF
54,Gravel Quarry Dataset,1623.14,SURF
55,Gravel Quarry Dataset,1651.1,SURF
56,Gravel Quarry Dataset,1656.96,SURF
57,Gravel Quarry Dataset,1675.78,SURF
58,Gravel Quarry Dataset,1680.17,SURF
59,Gravel Quarry Dataset,1570.57,SURF
60,Gravel Quarry Dataset,1637.81,SURF
61,Gravel Quarry Dataset,1578.29,SURF
62,Gravel Quarry Dataset,1659.79,SURF
63,Gravel Quarry Dataset,1666.46,SURF
64,Gravel Quarry Dataset,1641.16,SURF
65,Gravel Quarry Dataset,1601.5,SURF
66,Gravel Quarry Dataset,1559.77,SURF
67,Gravel Quarry Dataset,1545.24,SURF
68,Gravel Quarry Dataset,1615.68,SURF
69,Gravel Quarry Dataset,1556.8,SURF
70,Gravel Quarry Dataset,1628.6,SURF
71,Gravel Quarry Dataset,1673.18,SURF
72,Gravel Quarry Dataset,1647.46,SURF
73,Gravel Quarry Dataset,1529.25,SURF
74,Gravel Quarry Dataset,1597.48,SURF
75,Gravel Quarry Dataset,1652.49,SURF
76,Gravel Quarry Dataset,1711.06,SURF
77,Gravel Quarry Dataset,1619.03,SURF
78,Gravel Quarry Dataset,1714.89,SURF
79,Gravel Quarry Dataset,1642.69,SURF
80,Gravel Quarry Dataset,1632.43,SURF
81,Gravel Quarry Dataset,1680.13,SURF
82,Gravel Quarry Dataset,1649.18,SURF
83,Gravel Quarry Dataset,1603.26,SURF
84,Gravel Quarry Dataset,1564.1,SURF
85,Gravel Quarry Dataset,1563.11,SURF
86,Gravel Quarry Dataset,1641.52,SURF
87,Gravel Quarry Dataset,1560.64,SURF
88,Gravel Quarry Dataset,1606.7,SURF
89,Gravel Quarry Dataset,1565.21,SURF
90,Gravel Quarry Dataset,1586.44,SURF
91,Gravel Quarry Dataset,1637.14,SURF
92,Gravel Quarry Dataset,1678.01,SURF
93,Gravel Quarry Dataset,1665.55,SURF
94,Gravel Quarry Dataset,1710.58,SURF
95,Gravel Quarry Dataset,1695.3,SURF
96,Gravel Quarry Dataset,1648.74,SURF
97,Gravel Quarry Dataset,1677.72,SURF
98,Gravel Quarry Dataset,1702.8,SURF
99,Gravel Quarry Dataset,1660.89,SURF
