,Dataset,Number of Keypoints,Detector/Descriptor
0,MAP Dataset,4304.2,AGAST+SIFT
1,MAP Dataset,4286.383333333333,AGAST+SIFT
2,MAP Dataset,4847.6,AGAST+SIFT
3,MAP Dataset,4898.333333333333,AGAST+SIFT
4,MAP Dataset,5250.416666666667,AGAST+SIFT
5,MAP Dataset,5694.25,AGAST+SIFT
6,MAP Dataset,5776.266666666666,AGAST+SIFT
7,MAP Dataset,5885.033333333334,AGAST+SIFT
8,MAP Dataset,6364.1,AGAST+SIFT
9,MAP Dataset,6080.533333333334,AGAST+SIFT
10,MAP Dataset,7392.1,AGAST+SIFT
11,MAP Dataset,7035.666666666667,AGAST+SIFT
12,MAP Dataset,6332.433333333333,AGAST+SIFT
13,MAP Dataset,6004.65,AGAST+SIFT
14,MAP Dataset,5729.916666666667,AGAST+SIFT
15,MAP Dataset,5369.466666666666,AGAST+SIFT
16,MAP Dataset,5383.166666666667,AGAST+SIFT
17,MAP Dataset,5358.116666666667,AGAST+SIFT
18,MAP Dataset,5465.85,AGAST+SIFT
19,MAP Dataset,5264.1,AGAST+SIFT
20,MAP Dataset,5322.983333333334,AGAST+SIFT
21,MAP Dataset,6265.733333333334,AGAST+SIFT
22,MAP Dataset,5974.6,AGAST+SIFT
23,MAP Dataset,5962.4,AGAST+SIFT
24,MAP Dataset,4709.883333333333,AGAST+SIFT
25,MAP Dataset,5009.35,AGAST+SIFT
26,MAP Dataset,4863.933333333333,AGAST+SIFT
27,MAP Dataset,5059.0,AGAST+SIFT
28,MAP Dataset,6042.15,AGAST+SIFT
29,MAP Dataset,5470.183333333333,AGAST+SIFT
30,MAP Dataset,5372.166666666667,AGAST+SIFT
31,MAP Dataset,4637.783333333334,AGAST+SIFT
32,MAP Dataset,4298.85,AGAST+SIFT
33,MAP Dataset,4246.833333333333,AGAST+SIFT
34,MAP Dataset,4944.933333333333,AGAST+SIFT
35,MAP Dataset,4944.3,AGAST+SIFT
36,MAP Dataset,4603.3,AGAST+SIFT
37,MAP Dataset,3993.5666666666666,AGAST+SIFT
38,MAP Dataset,4234.3,AGAST+SIFT
39,MAP Dataset,4157.9,AGAST+SIFT
40,MAP Dataset,4225.95,AGAST+SIFT
41,MAP Dataset,4149.3,AGAST+SIFT
42,MAP Dataset,4500.45,AGAST+SIFT
43,MAP Dataset,4404.916666666667,AGAST+SIFT
44,MAP Dataset,4787.2,AGAST+SIFT
45,MAP Dataset,4929.7,AGAST+SIFT
46,MAP Dataset,5206.966666666666,AGAST+SIFT
47,MAP Dataset,5425.983333333334,AGAST+SIFT
48,MAP Dataset,5846.55,AGAST+SIFT
49,MAP Dataset,5693.516666666666,AGAST+SIFT
50,MAP Dataset,6072.65,AGAST+SIFT
51,MAP Dataset,5877.15,AGAST+SIFT
52,MAP Dataset,6107.116666666667,AGAST+SIFT
53,MAP Dataset,6611.633333333333,AGAST+SIFT
54,MAP Dataset,6331.0,AGAST+SIFT
55,MAP Dataset,7446.783333333334,AGAST+SIFT
56,MAP Dataset,6474.466666666666,AGAST+SIFT
57,MAP Dataset,6189.283333333334,AGAST+SIFT
58,MAP Dataset,6208.083333333333,AGAST+SIFT
59,MAP Dataset,6203.966666666666,AGAST+SIFT
