,Dataset,Number of Keypoints,Detector/Descriptor
0,MAP Dataset,314.92,SURF+SIFT
1,MAP Dataset,305.38,SURF+SIFT
2,MAP Dataset,306.11,SURF+SIFT
3,MAP Dataset,299.71,SURF+SIFT
4,MAP Dataset,293.23,SURF+SIFT
5,MAP Dataset,282.0,SURF+SIFT
6,MAP Dataset,273.62,SURF+SIFT
7,MAP Dataset,262.77,SURF+SIFT
8,MAP Dataset,260.18,SURF+SIFT
9,MAP Dataset,253.25,SURF+SIFT
10,MAP Dataset,256.96,SURF+SIFT
11,MAP Dataset,254.77,SURF+SIFT
12,MAP Dataset,253.23,SURF+SIFT
13,MAP Dataset,244.93,SURF+SIFT
14,MAP Dataset,258.78,SURF+SIFT
15,MAP Dataset,263.87,SURF+SIFT
16,MAP Dataset,265.1,SURF+SIFT
17,MAP Dataset,256.04,SURF+SIFT
18,MAP Dataset,255.38,SURF+SIFT
19,MAP Dataset,263.43,SURF+SIFT
20,MAP Dataset,260.71,SURF+SIFT
21,MAP Dataset,264.82,SURF+SIFT
22,MAP Dataset,278.05,SURF+SIFT
23,MAP Dataset,281.26,SURF+SIFT
24,MAP Dataset,287.39,SURF+SIFT
25,MAP Dataset,295.2,SURF+SIFT
26,MAP Dataset,295.49,SURF+SIFT
27,MAP Dataset,301.15,SURF+SIFT
28,MAP Dataset,311.65,SURF+SIFT
29,MAP Dataset,311.25,SURF+SIFT
30,MAP Dataset,334.58,SURF+SIFT
31,MAP Dataset,326.08,SURF+SIFT
32,MAP Dataset,312.68,SURF+SIFT
33,MAP Dataset,306.5,SURF+SIFT
34,MAP Dataset,301.56,SURF+SIFT
35,MAP Dataset,294.74,SURF+SIFT
36,MAP Dataset,294.16,SURF+SIFT
37,MAP Dataset,293.81,SURF+SIFT
38,MAP Dataset,295.94,SURF+SIFT
39,MAP Dataset,289.3,SURF+SIFT
40,MAP Dataset,282.04,SURF+SIFT
41,MAP Dataset,300.11,SURF+SIFT
42,MAP Dataset,286.07,SURF+SIFT
43,MAP Dataset,285.81,SURF+SIFT
44,MAP Dataset,270.69,SURF+SIFT
45,MAP Dataset,278.0,SURF+SIFT
46,MAP Dataset,284.89,SURF+SIFT
47,MAP Dataset,294.05,SURF+SIFT
48,MAP Dataset,310.56,SURF+SIFT
49,MAP Dataset,288.69,SURF+SIFT
50,MAP Dataset,286.88,SURF+SIFT
51,MAP Dataset,316.48,SURF+SIFT
52,MAP Dataset,324.72,SURF+SIFT
53,MAP Dataset,339.68,SURF+SIFT
54,MAP Dataset,341.83,SURF+SIFT
55,MAP Dataset,366.51,SURF+SIFT
56,MAP Dataset,333.66,SURF+SIFT
57,MAP Dataset,337.4,SURF+SIFT
58,MAP Dataset,340.72,SURF+SIFT
59,MAP Dataset,337.31,SURF+SIFT
60,MAP Dataset,338.13,SURF+SIFT
61,MAP Dataset,344.84,SURF+SIFT
62,MAP Dataset,336.6,SURF+SIFT
63,MAP Dataset,334.4,SURF+SIFT
64,MAP Dataset,316.69,SURF+SIFT
65,MAP Dataset,322.2,SURF+SIFT
66,MAP Dataset,310.49,SURF+SIFT
67,MAP Dataset,299.82,SURF+SIFT
68,MAP Dataset,293.0,SURF+SIFT
69,MAP Dataset,284.51,SURF+SIFT
70,MAP Dataset,279.76,SURF+SIFT
71,MAP Dataset,262.49,SURF+SIFT
72,MAP Dataset,253.86,SURF+SIFT
73,MAP Dataset,247.67,SURF+SIFT
74,MAP Dataset,245.21,SURF+SIFT
75,MAP Dataset,241.4,SURF+SIFT
76,MAP Dataset,243.51,SURF+SIFT
77,MAP Dataset,245.77,SURF+SIFT
78,MAP Dataset,235.07,SURF+SIFT
79,MAP Dataset,234.4,SURF+SIFT
80,MAP Dataset,235.01,SURF+SIFT
81,MAP Dataset,247.88,SURF+SIFT
82,MAP Dataset,237.95,SURF+SIFT
83,MAP Dataset,242.61,SURF+SIFT
84,MAP Dataset,248.99,SURF+SIFT
85,MAP Dataset,248.2,SURF+SIFT
86,MAP Dataset,249.31,SURF+SIFT
87,MAP Dataset,250.98,SURF+SIFT
88,MAP Dataset,256.55,SURF+SIFT
89,MAP Dataset,264.47,SURF+SIFT
90,MAP Dataset,267.57,SURF+SIFT
91,MAP Dataset,281.49,SURF+SIFT
92,MAP Dataset,292.0,SURF+SIFT
93,MAP Dataset,294.44,SURF+SIFT
94,MAP Dataset,299.54,SURF+SIFT
95,MAP Dataset,309.33,SURF+SIFT
96,MAP Dataset,321.7,SURF+SIFT
97,MAP Dataset,329.02,SURF+SIFT
98,MAP Dataset,331.62,SURF+SIFT
99,MAP Dataset,353.18,SURF+SIFT
