,Dataset,Number of Keypoints,Detector/Descriptor
0,MAP Dataset,8.333333333333334,SIFT
1,MAP Dataset,8.333333333333334,SIFT
2,MAP Dataset,8.333333333333334,SIFT
3,MAP Dataset,8.333333333333334,SIFT
4,MAP Dataset,8.333333333333334,SIFT
5,MAP Dataset,8.333333333333334,SIFT
6,MAP Dataset,8.333333333333334,SIFT
7,MAP Dataset,8.333333333333334,SIFT
8,MAP Dataset,8.333333333333334,SIFT
9,MAP Dataset,8.341666666666667,SIFT
10,MAP Dataset,8.333333333333334,SIFT
11,MAP Dataset,8.333333333333334,SIFT
12,MAP Dataset,8.333333333333334,SIFT
13,MAP Dataset,8.333333333333334,SIFT
14,MAP Dataset,8.333333333333334,SIFT
15,MAP Dataset,8.35,SIFT
16,MAP Dataset,8.333333333333334,SIFT
17,MAP Dataset,8.333333333333334,SIFT
18,MAP Dataset,8.333333333333334,SIFT
19,MAP Dataset,8.333333333333334,SIFT
20,MAP Dataset,8.341666666666667,SIFT
21,MAP Dataset,8.35,SIFT
22,MAP Dataset,8.333333333333334,SIFT
23,MAP Dataset,8.333333333333334,SIFT
24,MAP Dataset,8.333333333333334,SIFT
25,MAP Dataset,8.333333333333334,SIFT
26,MAP Dataset,8.333333333333334,SIFT
27,MAP Dataset,8.341666666666667,SIFT
28,MAP Dataset,8.333333333333334,SIFT
29,MAP Dataset,8.333333333333334,SIFT
30,MAP Dataset,8.333333333333334,SIFT
31,MAP Dataset,8.333333333333334,SIFT
32,MAP Dataset,8.333333333333334,SIFT
33,MAP Dataset,8.333333333333334,SIFT
34,MAP Dataset,8.333333333333334,SIFT
35,MAP Dataset,8.333333333333334,SIFT
36,MAP Dataset,8.333333333333334,SIFT
37,MAP Dataset,8.333333333333334,SIFT
38,MAP Dataset,8.333333333333334,SIFT
39,MAP Dataset,8.333333333333334,SIFT
40,MAP Dataset,8.333333333333334,SIFT
41,MAP Dataset,8.333333333333334,SIFT
42,MAP Dataset,8.333333333333334,SIFT
43,MAP Dataset,8.333333333333334,SIFT
44,MAP Dataset,8.333333333333334,SIFT
45,MAP Dataset,8.333333333333334,SIFT
46,MAP Dataset,8.333333333333334,SIFT
47,MAP Dataset,8.341666666666667,SIFT
48,MAP Dataset,8.333333333333334,SIFT
49,MAP Dataset,8.333333333333334,SIFT
50,MAP Dataset,8.333333333333334,SIFT
51,MAP Dataset,8.341666666666667,SIFT
52,MAP Dataset,8.341666666666667,SIFT
53,MAP Dataset,8.333333333333334,SIFT
54,MAP Dataset,8.333333333333334,SIFT
55,MAP Dataset,8.333333333333334,SIFT
56,MAP Dataset,8.333333333333334,SIFT
57,MAP Dataset,8.35,SIFT
58,MAP Dataset,8.35,SIFT
59,MAP Dataset,8.333333333333334,SIFT
60,MAP Dataset,8.333333333333334,SIFT
61,MAP Dataset,8.333333333333334,SIFT
62,MAP Dataset,8.333333333333334,SIFT
63,MAP Dataset,8.333333333333334,SIFT
64,MAP Dataset,8.333333333333334,SIFT
65,MAP Dataset,8.333333333333334,SIFT
66,MAP Dataset,8.333333333333334,SIFT
67,MAP Dataset,8.333333333333334,SIFT
68,MAP Dataset,8.333333333333334,SIFT
69,MAP Dataset,8.341666666666667,SIFT
70,MAP Dataset,8.333333333333334,SIFT
71,MAP Dataset,8.341666666666667,SIFT
72,MAP Dataset,8.333333333333334,SIFT
73,MAP Dataset,8.333333333333334,SIFT
74,MAP Dataset,8.333333333333334,SIFT
75,MAP Dataset,8.333333333333334,SIFT
76,MAP Dataset,8.333333333333334,SIFT
77,MAP Dataset,8.333333333333334,SIFT
78,MAP Dataset,8.333333333333334,SIFT
79,MAP Dataset,8.341666666666667,SIFT
80,MAP Dataset,8.333333333333334,SIFT
81,MAP Dataset,8.333333333333334,SIFT
82,MAP Dataset,8.341666666666667,SIFT
83,MAP Dataset,8.333333333333334,SIFT
84,MAP Dataset,8.333333333333334,SIFT
85,MAP Dataset,8.333333333333334,SIFT
86,MAP Dataset,8.333333333333334,SIFT
87,MAP Dataset,8.333333333333334,SIFT
88,MAP Dataset,8.333333333333334,SIFT
89,MAP Dataset,8.333333333333334,SIFT
90,MAP Dataset,8.333333333333334,SIFT
91,MAP Dataset,8.333333333333334,SIFT
92,MAP Dataset,8.333333333333334,SIFT
93,MAP Dataset,8.341666666666667,SIFT
94,MAP Dataset,8.341666666666667,SIFT
95,MAP Dataset,8.333333333333334,SIFT
96,MAP Dataset,8.333333333333334,SIFT
97,MAP Dataset,8.341666666666667,SIFT
98,MAP Dataset,8.333333333333334,SIFT
99,MAP Dataset,8.35,SIFT
100,MAP Dataset,8.333333333333334,SIFT
101,MAP Dataset,8.333333333333334,SIFT
102,MAP Dataset,8.333333333333334,SIFT
103,MAP Dataset,8.333333333333334,SIFT
104,MAP Dataset,8.333333333333334,SIFT
105,MAP Dataset,8.341666666666667,SIFT
106,MAP Dataset,8.333333333333334,SIFT
107,MAP Dataset,8.333333333333334,SIFT
108,MAP Dataset,8.333333333333334,SIFT
109,MAP Dataset,8.341666666666667,SIFT
110,MAP Dataset,8.333333333333334,SIFT
111,MAP Dataset,8.333333333333334,SIFT
112,MAP Dataset,8.333333333333334,SIFT
113,MAP Dataset,8.333333333333334,SIFT
114,MAP Dataset,8.341666666666667,SIFT
115,MAP Dataset,8.333333333333334,SIFT
116,MAP Dataset,8.333333333333334,SIFT
117,MAP Dataset,8.333333333333334,SIFT
118,MAP Dataset,8.333333333333334,SIFT
119,MAP Dataset,8.35,SIFT
