,Dataset,Number of Keypoints,Detector/Descriptor
0,MAP Dataset,2857.3166666666666,SURF
1,MAP Dataset,2840.883333333333,SURF
2,MAP Dataset,2917.766666666667,SURF
3,MAP Dataset,2889.5333333333333,SURF
4,MAP Dataset,2914.3,SURF
5,MAP Dataset,2978.2833333333333,SURF
6,MAP Dataset,2965.383333333333,SURF
7,MAP Dataset,2973.633333333333,SURF
8,MAP Dataset,3059.15,SURF
9,MAP Dataset,3024.4666666666667,SURF
10,MAP Dataset,3293.5833333333335,SURF
11,MAP Dataset,3187.5,SURF
12,MAP Dataset,3045.1,SURF
13,MAP Dataset,2986.65,SURF
14,MAP Dataset,2949.2,SURF
15,MAP Dataset,2897.4333333333334,SURF
16,MAP Dataset,2918.7,SURF
17,MAP Dataset,2913.65,SURF
18,MAP Dataset,2936.383333333333,SURF
19,MAP Dataset,2923.016666666667,SURF
20,MAP Dataset,2978.0833333333335,SURF
21,MAP Dataset,3206.7,SURF
22,MAP Dataset,3182.35,SURF
23,MAP Dataset,3173.366666666667,SURF
24,MAP Dataset,2910.3333333333335,SURF
25,MAP Dataset,2939.0666666666666,SURF
26,MAP Dataset,2871.05,SURF
27,MAP Dataset,2862.0833333333335,SURF
28,MAP Dataset,3032.4666666666667,SURF
29,MAP Dataset,3006.266666666667,SURF
30,MAP Dataset,3009.6833333333334,SURF
31,MAP Dataset,2940.4666666666667,SURF
32,MAP Dataset,2882.15,SURF
33,MAP Dataset,2844.85,SURF
34,MAP Dataset,3005.05,SURF
35,MAP Dataset,2998.8,SURF
36,MAP Dataset,2917.6666666666665,SURF
37,MAP Dataset,2760.6833333333334,SURF
38,MAP Dataset,2786.4,SURF
39,MAP Dataset,2794.483333333333,SURF
40,MAP Dataset,2827.2166666666667,SURF
41,MAP Dataset,2823.5333333333333,SURF
42,MAP Dataset,2876.4,SURF
43,MAP Dataset,2828.133333333333,SURF
44,MAP Dataset,2888.266666666667,SURF
45,MAP Dataset,2841.2,SURF
46,MAP Dataset,2884.8,SURF
47,MAP Dataset,2911.383333333333,SURF
48,MAP Dataset,2971.25,SURF
49,MAP Dataset,2937.1,SURF
50,MAP Dataset,3017.6,SURF
51,MAP Dataset,2957.266666666667,SURF
52,MAP Dataset,2981.1,SURF
53,MAP Dataset,3050.016666666667,SURF
54,MAP Dataset,2967.4666666666667,SURF
55,MAP Dataset,3169.633333333333,SURF
56,MAP Dataset,3122.65,SURF
57,MAP Dataset,2958.016666666667,SURF
58,MAP Dataset,2946.2,SURF
59,MAP Dataset,2940.0833333333335,SURF
