,Dataset,Number of Keypoints,Detector/Descriptor
0,MAP Dataset,825.7375,SURF+SIFT
1,MAP Dataset,813.4125,SURF+SIFT
2,MAP Dataset,815.4625,SURF+SIFT
3,MAP Dataset,792.75,SURF+SIFT
4,MAP Dataset,836.775,SURF+SIFT
5,MAP Dataset,867.9625,SURF+SIFT
6,MAP Dataset,870.6625,SURF+SIFT
7,MAP Dataset,832.8,SURF+SIFT
8,MAP Dataset,841.675,SURF+SIFT
9,MAP Dataset,863.9375,SURF+SIFT
10,MAP Dataset,855.2,SURF+SIFT
11,MAP Dataset,850.1125,SURF+SIFT
12,MAP Dataset,887.1,SURF+SIFT
13,MAP Dataset,885.1625,SURF+SIFT
14,MAP Dataset,902.3875,SURF+SIFT
15,MAP Dataset,925.1,SURF+SIFT
16,MAP Dataset,932.3125,SURF+SIFT
17,MAP Dataset,939.55,SURF+SIFT
18,MAP Dataset,973.9875,SURF+SIFT
19,MAP Dataset,968.025,SURF+SIFT
20,MAP Dataset,1045.7375,SURF+SIFT
21,MAP Dataset,1000.3375,SURF+SIFT
22,MAP Dataset,959.9125,SURF+SIFT
23,MAP Dataset,936.825,SURF+SIFT
24,MAP Dataset,921.4875,SURF+SIFT
25,MAP Dataset,900.5875,SURF+SIFT
26,MAP Dataset,901.225,SURF+SIFT
27,MAP Dataset,908.925,SURF+SIFT
28,MAP Dataset,922.5625,SURF+SIFT
29,MAP Dataset,910.1,SURF+SIFT
30,MAP Dataset,910.4875,SURF+SIFT
31,MAP Dataset,978.2875,SURF+SIFT
32,MAP Dataset,947.2625,SURF+SIFT
33,MAP Dataset,945.65,SURF+SIFT
34,MAP Dataset,874.4125,SURF+SIFT
35,MAP Dataset,887.0,SURF+SIFT
36,MAP Dataset,877.175,SURF+SIFT
37,MAP Dataset,892.5875,SURF+SIFT
38,MAP Dataset,946.55,SURF+SIFT
39,MAP Dataset,900.85,SURF+SIFT
40,MAP Dataset,891.5375,SURF+SIFT
41,MAP Dataset,823.75,SURF+SIFT
42,MAP Dataset,847.125,SURF+SIFT
43,MAP Dataset,848.1875,SURF+SIFT
44,MAP Dataset,868.7125,SURF+SIFT
45,MAP Dataset,874.1,SURF+SIFT
46,MAP Dataset,905.175,SURF+SIFT
47,MAP Dataset,922.9125,SURF+SIFT
48,MAP Dataset,952.85,SURF+SIFT
49,MAP Dataset,945.3625,SURF+SIFT
50,MAP Dataset,966.1625,SURF+SIFT
51,MAP Dataset,957.1875,SURF+SIFT
52,MAP Dataset,977.3625,SURF+SIFT
53,MAP Dataset,1005.575,SURF+SIFT
54,MAP Dataset,987.075,SURF+SIFT
55,MAP Dataset,1053.3625,SURF+SIFT
56,MAP Dataset,959.225,SURF+SIFT
57,MAP Dataset,948.2125,SURF+SIFT
58,MAP Dataset,958.6875,SURF+SIFT
59,MAP Dataset,962.775,SURF+SIFT
60,MAP Dataset,967.025,SURF+SIFT
61,MAP Dataset,1006.05,SURF+SIFT
62,MAP Dataset,984.675,SURF+SIFT
63,MAP Dataset,989.45,SURF+SIFT
64,MAP Dataset,941.2,SURF+SIFT
65,MAP Dataset,977.0375,SURF+SIFT
66,MAP Dataset,958.0,SURF+SIFT
67,MAP Dataset,934.25,SURF+SIFT
68,MAP Dataset,921.5875,SURF+SIFT
69,MAP Dataset,904.05,SURF+SIFT
70,MAP Dataset,903.5875,SURF+SIFT
71,MAP Dataset,858.925,SURF+SIFT
72,MAP Dataset,837.725,SURF+SIFT
73,MAP Dataset,816.4375,SURF+SIFT
74,MAP Dataset,800.65,SURF+SIFT
75,MAP Dataset,783.875,SURF+SIFT
76,MAP Dataset,788.9,SURF+SIFT
77,MAP Dataset,794.5875,SURF+SIFT
78,MAP Dataset,763.5875,SURF+SIFT
79,MAP Dataset,783.2625,SURF+SIFT
