,Dataset,Number of Keypoints,Detector/Descriptor
0,MAP Dataset,4033.4166666666665,FAST+SIFT
1,MAP Dataset,4028.7166666666667,FAST+SIFT
2,MAP Dataset,4525.316666666667,FAST+SIFT
3,MAP Dataset,4587.55,FAST+SIFT
4,MAP Dataset,4921.866666666667,FAST+SIFT
5,MAP Dataset,5323.9,FAST+SIFT
6,MAP Dataset,5410.383333333333,FAST+SIFT
7,MAP Dataset,5518.266666666666,FAST+SIFT
8,MAP Dataset,5952.9,FAST+SIFT
9,MAP Dataset,5700.35,FAST+SIFT
10,MAP Dataset,6857.416666666667,FAST+SIFT
11,MAP Dataset,6531.283333333334,FAST+SIFT
12,MAP Dataset,5921.7,FAST+SIFT
13,MAP Dataset,5622.583333333333,FAST+SIFT
14,MAP Dataset,5367.533333333334,FAST+SIFT
15,MAP Dataset,5046.733333333334,FAST+SIFT
16,MAP Dataset,5055.1,FAST+SIFT
17,MAP Dataset,5034.866666666667,FAST+SIFT
18,MAP Dataset,5127.583333333333,FAST+SIFT
19,MAP Dataset,4949.75,FAST+SIFT
20,MAP Dataset,4976.95,FAST+SIFT
21,MAP Dataset,5795.1,FAST+SIFT
22,MAP Dataset,5494.016666666666,FAST+SIFT
23,MAP Dataset,5477.183333333333,FAST+SIFT
24,MAP Dataset,4400.55,FAST+SIFT
25,MAP Dataset,4669.466666666666,FAST+SIFT
26,MAP Dataset,4553.983333333334,FAST+SIFT
27,MAP Dataset,4744.85,FAST+SIFT
28,MAP Dataset,5619.516666666666,FAST+SIFT
29,MAP Dataset,5054.5,FAST+SIFT
30,MAP Dataset,4956.416666666667,FAST+SIFT
31,MAP Dataset,4333.65,FAST+SIFT
32,MAP Dataset,4008.1833333333334,FAST+SIFT
33,MAP Dataset,3982.7166666666667,FAST+SIFT
34,MAP Dataset,4596.15,FAST+SIFT
35,MAP Dataset,4596.1,FAST+SIFT
36,MAP Dataset,4292.466666666666,FAST+SIFT
37,MAP Dataset,3754.75,FAST+SIFT
38,MAP Dataset,3976.116666666667,FAST+SIFT
39,MAP Dataset,3908.85,FAST+SIFT
40,MAP Dataset,3955.616666666667,FAST+SIFT
41,MAP Dataset,3890.633333333333,FAST+SIFT
42,MAP Dataset,4209.35,FAST+SIFT
43,MAP Dataset,4129.766666666666,FAST+SIFT
44,MAP Dataset,4481.316666666667,FAST+SIFT
45,MAP Dataset,4628.683333333333,FAST+SIFT
46,MAP Dataset,4889.766666666666,FAST+SIFT
47,MAP Dataset,5092.383333333333,FAST+SIFT
48,MAP Dataset,5470.033333333334,FAST+SIFT
49,MAP Dataset,5348.516666666666,FAST+SIFT
50,MAP Dataset,5688.533333333334,FAST+SIFT
51,MAP Dataset,5529.066666666667,FAST+SIFT
52,MAP Dataset,5747.216666666666,FAST+SIFT
53,MAP Dataset,6202.583333333333,FAST+SIFT
54,MAP Dataset,5990.55,FAST+SIFT
55,MAP Dataset,6964.983333333334,FAST+SIFT
56,MAP Dataset,6073.233333333334,FAST+SIFT
57,MAP Dataset,5856.8,FAST+SIFT
58,MAP Dataset,5852.266666666666,FAST+SIFT
59,MAP Dataset,5846.5,FAST+SIFT
