,Dataset,Number of Keypoints,Detector/Descriptor
0,MAP Dataset,26.25,SUPERPOINT
1,MAP Dataset,30.375,SUPERPOINT
2,MAP Dataset,33.708333333333336,SUPERPOINT
3,MAP Dataset,37.86666666666667,SUPERPOINT
4,MAP Dataset,41.55833333333333,SUPERPOINT
5,MAP Dataset,25.241666666666667,SUPERPOINT
6,MAP Dataset,21.45,SUPERPOINT
7,MAP Dataset,18.15,SUPERPOINT
8,MAP Dataset,17.275,SUPERPOINT
9,MAP Dataset,15.975,SUPERPOINT
10,MAP Dataset,14.733333333333333,SUPERPOINT
11,MAP Dataset,13.191666666666666,SUPERPOINT
12,MAP Dataset,13.075,SUPERPOINT
13,MAP Dataset,13.725,SUPERPOINT
14,MAP Dataset,13.791666666666666,SUPERPOINT
15,MAP Dataset,13.191666666666666,SUPERPOINT
16,MAP Dataset,14.225,SUPERPOINT
17,MAP Dataset,13.925,SUPERPOINT
18,MAP Dataset,14.766666666666667,SUPERPOINT
19,MAP Dataset,15.833333333333334,SUPERPOINT
20,MAP Dataset,14.891666666666667,SUPERPOINT
21,MAP Dataset,14.35,SUPERPOINT
22,MAP Dataset,14.25,SUPERPOINT
23,MAP Dataset,14.9,SUPERPOINT
24,MAP Dataset,15.2,SUPERPOINT
25,MAP Dataset,13.966666666666667,SUPERPOINT
26,MAP Dataset,13.616666666666667,SUPERPOINT
27,MAP Dataset,13.816666666666666,SUPERPOINT
28,MAP Dataset,14.85,SUPERPOINT
29,MAP Dataset,15.308333333333334,SUPERPOINT
30,MAP Dataset,14.216666666666667,SUPERPOINT
31,MAP Dataset,13.141666666666667,SUPERPOINT
32,MAP Dataset,13.116666666666667,SUPERPOINT
33,MAP Dataset,12.25,SUPERPOINT
34,MAP Dataset,11.633333333333333,SUPERPOINT
35,MAP Dataset,10.783333333333333,SUPERPOINT
36,MAP Dataset,10.683333333333334,SUPERPOINT
37,MAP Dataset,10.583333333333334,SUPERPOINT
38,MAP Dataset,10.916666666666666,SUPERPOINT
39,MAP Dataset,11.333333333333334,SUPERPOINT
40,MAP Dataset,10.783333333333333,SUPERPOINT
41,MAP Dataset,12.433333333333334,SUPERPOINT
42,MAP Dataset,12.516666666666667,SUPERPOINT
43,MAP Dataset,12.633333333333333,SUPERPOINT
44,MAP Dataset,11.791666666666666,SUPERPOINT
45,MAP Dataset,12.125,SUPERPOINT
46,MAP Dataset,11.916666666666666,SUPERPOINT
47,MAP Dataset,11.416666666666666,SUPERPOINT
48,MAP Dataset,11.183333333333334,SUPERPOINT
49,MAP Dataset,12.35,SUPERPOINT
50,MAP Dataset,12.216666666666667,SUPERPOINT
51,MAP Dataset,11.975,SUPERPOINT
52,MAP Dataset,12.291666666666666,SUPERPOINT
53,MAP Dataset,11.65,SUPERPOINT
54,MAP Dataset,11.933333333333334,SUPERPOINT
55,MAP Dataset,13.075,SUPERPOINT
56,MAP Dataset,12.975,SUPERPOINT
57,MAP Dataset,14.2,SUPERPOINT
58,MAP Dataset,15.183333333333334,SUPERPOINT
59,MAP Dataset,14.85,SUPERPOINT
60,MAP Dataset,14.775,SUPERPOINT
61,MAP Dataset,30.375,SUPERPOINT
62,MAP Dataset,33.708333333333336,SUPERPOINT
63,MAP Dataset,37.86666666666667,SUPERPOINT
64,MAP Dataset,41.55833333333333,SUPERPOINT
65,MAP Dataset,25.241666666666667,SUPERPOINT
66,MAP Dataset,21.45,SUPERPOINT
67,MAP Dataset,18.15,SUPERPOINT
68,MAP Dataset,17.275,SUPERPOINT
69,MAP Dataset,15.975,SUPERPOINT
70,MAP Dataset,14.733333333333333,SUPERPOINT
71,MAP Dataset,13.191666666666666,SUPERPOINT
72,MAP Dataset,13.075,SUPERPOINT
73,MAP Dataset,13.725,SUPERPOINT
74,MAP Dataset,13.791666666666666,SUPERPOINT
75,MAP Dataset,13.191666666666666,SUPERPOINT
76,MAP Dataset,14.225,SUPERPOINT
77,MAP Dataset,13.925,SUPERPOINT
78,MAP Dataset,14.766666666666667,SUPERPOINT
79,MAP Dataset,15.833333333333334,SUPERPOINT
80,MAP Dataset,14.891666666666667,SUPERPOINT
81,MAP Dataset,14.35,SUPERPOINT
82,MAP Dataset,14.25,SUPERPOINT
83,MAP Dataset,14.9,SUPERPOINT
84,MAP Dataset,15.2,SUPERPOINT
85,MAP Dataset,13.966666666666667,SUPERPOINT
86,MAP Dataset,13.616666666666667,SUPERPOINT
87,MAP Dataset,13.816666666666666,SUPERPOINT
88,MAP Dataset,14.85,SUPERPOINT
89,MAP Dataset,15.308333333333334,SUPERPOINT
90,MAP Dataset,14.216666666666667,SUPERPOINT
91,MAP Dataset,13.141666666666667,SUPERPOINT
92,MAP Dataset,13.116666666666667,SUPERPOINT
93,MAP Dataset,12.25,SUPERPOINT
94,MAP Dataset,11.633333333333333,SUPERPOINT
95,MAP Dataset,10.783333333333333,SUPERPOINT
96,MAP Dataset,10.683333333333334,SUPERPOINT
97,MAP Dataset,10.583333333333334,SUPERPOINT
98,MAP Dataset,10.916666666666666,SUPERPOINT
99,MAP Dataset,11.333333333333334,SUPERPOINT
100,MAP Dataset,10.783333333333333,SUPERPOINT
101,MAP Dataset,12.433333333333334,SUPERPOINT
102,MAP Dataset,12.516666666666667,SUPERPOINT
103,MAP Dataset,12.633333333333333,SUPERPOINT
104,MAP Dataset,11.791666666666666,SUPERPOINT
105,MAP Dataset,12.125,SUPERPOINT
106,MAP Dataset,11.916666666666666,SUPERPOINT
107,MAP Dataset,11.416666666666666,SUPERPOINT
108,MAP Dataset,11.183333333333334,SUPERPOINT
109,MAP Dataset,12.35,SUPERPOINT
110,MAP Dataset,12.216666666666667,SUPERPOINT
111,MAP Dataset,11.975,SUPERPOINT
112,MAP Dataset,12.291666666666666,SUPERPOINT
113,MAP Dataset,11.65,SUPERPOINT
114,MAP Dataset,11.933333333333334,SUPERPOINT
115,MAP Dataset,13.075,SUPERPOINT
116,MAP Dataset,12.975,SUPERPOINT
117,MAP Dataset,14.2,SUPERPOINT
118,MAP Dataset,15.183333333333334,SUPERPOINT
119,MAP Dataset,14.85,SUPERPOINT
