,Dataset,Number of Keypoints,Detector/Descriptor
0,Small Village Dataset,869.025,AGAST+SIFT
1,Small Village Dataset,707.1416666666667,AGAST+SIFT
2,Small Village Dataset,690.0416666666666,AGAST+SIFT
3,Small Village Dataset,567.0166666666667,AGAST+SIFT
4,Small Village Dataset,620.775,AGAST+SIFT
5,Small Village Dataset,870.15,AGAST+SIFT
6,Small Village Dataset,1396.1166666666666,AGAST+SIFT
7,Small Village Dataset,1127.6416666666667,AGAST+SIFT
8,Small Village Dataset,725.9583333333334,AGAST+SIFT
9,Small Village Dataset,577.0083333333333,AGAST+SIFT
10,Small Village Dataset,601.5083333333333,AGAST+SIFT
11,Small Village Dataset,709.275,AGAST+SIFT
12,Small Village Dataset,882.0416666666666,AGAST+SIFT
13,Small Village Dataset,1893.15,AGAST+SIFT
14,Small Village Dataset,2863.9416666666666,AGAST+SIFT
15,Small Village Dataset,1699.9583333333333,AGAST+SIFT
16,Small Village Dataset,1199.9583333333333,AGAST+SIFT
17,Small Village Dataset,788.275,AGAST+SIFT
18,Small Village Dataset,743.3333333333334,AGAST+SIFT
19,Small Village Dataset,634.5916666666667,AGAST+SIFT
20,Small Village Dataset,969.3666666666667,AGAST+SIFT
21,Small Village Dataset,1402.2666666666667,AGAST+SIFT
22,Small Village Dataset,1976.3916666666667,AGAST+SIFT
23,Small Village Dataset,1476.1416666666667,AGAST+SIFT
24,Small Village Dataset,906.0583333333333,AGAST+SIFT
25,Small Village Dataset,732.25,AGAST+SIFT
26,Small Village Dataset,916.6583333333333,AGAST+SIFT
27,Small Village Dataset,1065.4416666666666,AGAST+SIFT
28,Small Village Dataset,1586.9416666666666,AGAST+SIFT
29,Small Village Dataset,1979.8916666666667,AGAST+SIFT
30,Small Village Dataset,1959.4916666666666,AGAST+SIFT
31,Small Village Dataset,1188.45,AGAST+SIFT
32,Small Village Dataset,624.9083333333333,AGAST+SIFT
33,Small Village Dataset,755.35,AGAST+SIFT
34,Small Village Dataset,1045.4666666666667,AGAST+SIFT
35,Small Village Dataset,1390.6666666666667,AGAST+SIFT
36,Small Village Dataset,1774.3083333333334,AGAST+SIFT
37,Small Village Dataset,2421.425,AGAST+SIFT
38,Small Village Dataset,1875.6333333333334,AGAST+SIFT
39,Small Village Dataset,1489.9833333333333,AGAST+SIFT
40,Small Village Dataset,896.575,AGAST+SIFT
41,Small Village Dataset,704.875,AGAST+SIFT
42,Small Village Dataset,970.2333333333333,AGAST+SIFT
43,Small Village Dataset,1455.2166666666667,AGAST+SIFT
44,Small Village Dataset,1934.3,AGAST+SIFT
45,Small Village Dataset,2912.4083333333333,AGAST+SIFT
46,Small Village Dataset,2269.616666666667,AGAST+SIFT
47,Small Village Dataset,1674.125,AGAST+SIFT
48,Small Village Dataset,1139.325,AGAST+SIFT
49,Small Village Dataset,723.05,AGAST+SIFT
50,Small Village Dataset,1579.65,AGAST+SIFT
51,Small Village Dataset,1754.4833333333333,AGAST+SIFT
52,Small Village Dataset,2135.4666666666667,AGAST+SIFT
53,Small Village Dataset,2557.975,AGAST+SIFT
54,Small Village Dataset,2670.4083333333333,AGAST+SIFT
55,Small Village Dataset,2243.725,AGAST+SIFT
56,Small Village Dataset,1865.85,AGAST+SIFT
57,Small Village Dataset,1385.2,AGAST+SIFT
58,Small Village Dataset,958.35,AGAST+SIFT
59,Small Village Dataset,2287.258333333333,AGAST+SIFT
60,Small Village Dataset,2632.8083333333334,AGAST+SIFT
61,Small Village Dataset,1643.0583333333334,AGAST+SIFT
62,Small Village Dataset,2152.9416666666666,AGAST+SIFT
63,Small Village Dataset,1481.3083333333334,AGAST+SIFT
64,Small Village Dataset,984.35,AGAST+SIFT
65,Small Village Dataset,674.8583333333333,AGAST+SIFT
66,Small Village Dataset,655.0,AGAST+SIFT
67,Small Village Dataset,569.1833333333333,AGAST+SIFT
68,Small Village Dataset,513.8,AGAST+SIFT
69,Small Village Dataset,527.8333333333334,AGAST+SIFT
70,Small Village Dataset,594.1833333333333,AGAST+SIFT
71,Small Village Dataset,575.7416666666667,AGAST+SIFT
72,Small Village Dataset,618.55,AGAST+SIFT
73,Small Village Dataset,647.5333333333333,AGAST+SIFT
74,Small Village Dataset,657.85,AGAST+SIFT
75,Small Village Dataset,682.7083333333334,AGAST+SIFT
76,Small Village Dataset,885.6416666666667,AGAST+SIFT
77,Small Village Dataset,1487.5583333333334,AGAST+SIFT
78,Small Village Dataset,1637.525,AGAST+SIFT
79,Small Village Dataset,1533.975,AGAST+SIFT
80,Small Village Dataset,848.6166666666667,AGAST+SIFT
81,Small Village Dataset,839.0083333333333,AGAST+SIFT
82,Small Village Dataset,674.9583333333334,AGAST+SIFT
83,Small Village Dataset,589.6083333333333,AGAST+SIFT
84,Small Village Dataset,572.5,AGAST+SIFT
85,Small Village Dataset,455.8333333333333,AGAST+SIFT
86,Small Village Dataset,266.9166666666667,AGAST+SIFT
87,Small Village Dataset,310.1,AGAST+SIFT
88,Small Village Dataset,725.4083333333333,AGAST+SIFT
89,Small Village Dataset,878.7,AGAST+SIFT
